,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,AL,104786,690985.0,,1372.0,12292.0,,1282.0,,700.0,41523.0,,8/12/2020 11:00,2020-08-12T11:00:00Z,08/12 07:00,1882.0,12292.0,2020-08-12T11:00:00Z,791786,,,100801,1814.0,68.0,1,935,11147,795771,795771,12082,795771,35,222,3b8e75d37adb9ba3951ec8b2aae85ba1fa9b02f1,0,0,0,0,0,
1,20200811,AL,103851,679838.0,,1506.0,12070.0,,1270.0,,691.0,37923.0,B,8/11/2020 11:00,2020-08-11T11:00:00Z,08/11 07:00,1847.0,12070.0,2020-08-11T11:00:00Z,779764,,,99926,1781.0,66.0,1,831,2291,783689,783689,3122,783689,50,0,d775daf03cf949c25340db800bb25f4eec3c5fda,0,0,0,0,0,
2,20200810,AL,103020,677547.0,,1528.0,12070.0,,1249.0,,680.0,37923.0,B,8/10/2020 11:00,2020-08-10T11:00:00Z,08/10 07:00,1797.0,12070.0,2020-08-10T11:00:00Z,776937,,,99390,1733.0,64.0,1,1686,16430,780567,780567,18116,780567,29,533,bc7c88c5e4e61a5aacd73bceef95889e5b77bbd3,0,0,0,0,0,
3,20200809,AL,101334,661117.0,,1595.0,11537.0,,1242.0,,674.0,37923.0,B,8/9/2020 11:00,2020-08-09T11:00:00Z,08/09 07:00,1768.0,11537.0,2020-08-09T11:00:00Z,758852,,,97735,1707.0,61.0,1,2947,10002,762451,762451,12949,762451,33,0,8102cf442efa7a76b780900830d288b9ce3abe43,0,0,0,0,0,
4,20200808,AL,98387,651115.0,,1575.0,11537.0,,1228.0,,661.0,37923.0,B,8/8/2020 11:00,2020-08-08T11:00:00Z,08/08 07:00,1735.0,11537.0,2020-08-08T11:00:00Z,745942,,,94827,1674.0,61.0,1,86,0,749502,749502,86,749502,0,0,191408bfa1ca5e4acff71a3f24bdbbd1f77a1581,0,0,0,0,0,
5,20200807,AL,98301,651115.0,,1575.0,11537.0,,1219.0,,658.0,37923.0,B,8/7/2020 11:00,2020-08-07T11:00:00Z,08/07 07:00,1735.0,11537.0,2020-08-07T11:00:00Z,745942,,,94827,1674.0,61.0,1,1709,7923,749416,749416,9632,749416,21,224,b180d67ecb2784ceaaaf7fef67dcee5833fadd52,0,0,0,0,0,
6,20200806,AL,96592,643192.0,,1575.0,11313.0,,1211.0,,654.0,37923.0,B,8/6/2020 11:00,2020-08-06T11:00:00Z,08/06 07:00,1714.0,11313.0,2020-08-06T11:00:00Z,736594,,,93402,1654.0,60.0,1,1938,10386,739784,739784,12324,739784,19,213,27774ad0a8fd9899b54fb5d577b1b778d3d5004f,0,0,0,0,0,
7,20200805,AL,94654,632806.0,,1575.0,11100.0,,1200.0,,645.0,37923.0,B,8/5/2020 11:00,2020-08-05T11:00:00Z,08/05 07:00,1695.0,11100.0,2020-08-05T11:00:00Z,724582,,,91776,1639.0,56.0,1,952,4207,727460,727460,5159,727460,29,0,672da264092f08c418d1945dcb919436e9d82d2f,0,0,0,0,0,
8,20200804,AL,93702,628599.0,,1517.0,11100.0,,1173.0,,634.0,35401.0,B,8/4/2020 11:00,2020-08-04T11:00:00Z,08/04 07:00,1666.0,11100.0,2020-08-04T11:00:00Z,719489,,,90890,1611.0,55.0,1,1041,7209,722301,722301,8250,722301,33,235,000ce6dde752f7fbcd8a4262d549da464dfabb5c,0,0,0,0,0,
9,20200803,AL,92661,621390.0,,1517.0,10865.0,,1153.0,,619.0,35401.0,B,8/3/2020 11:00,2020-08-03T11:00:00Z,08/03 07:00,1633.0,10865.0,2020-08-03T11:00:00Z,711317,,,89927,1580.0,53.0,1,1217,6764,714051,714051,7981,714051,6,344,e2c9f30805eee72254984ba76c01fd4d5d4baca4,0,0,0,0,0,
10,20200802,AL,91444,614626.0,,1529.0,10521.0,,1151.0,,616.0,35401.0,B,8/2/2020 11:00,2020-08-02T11:00:00Z,08/02 07:00,1627.0,10521.0,2020-08-02T11:00:00Z,703437,,,88811,1576.0,51.0,1,2095,6604,706070,706070,8699,706070,24,0,f5d1b46c7f56fa75438b2c3b0610cc999f1b9f30,0,0,0,0,0,
11,20200801,AL,89349,608022.0,,1488.0,10521.0,,1150.0,,616.0,35401.0,B,8/1/2020 11:00,2020-08-01T11:00:00Z,08/01 07:00,1603.0,10521.0,2020-08-01T11:00:00Z,694802,,,86780,1553.0,50.0,1,1626,6278,697371,697371,7904,697371,23,0,051600f9d45322940b3b932b89df96620784ce06,0,0,0,0,0,
12,20200731,AL,87723,601744.0,,1596.0,10521.0,,1144.0,,613.0,35401.0,B,7/31/2020 11:00,2020-07-31T11:00:00Z,07/31 07:00,1580.0,10521.0,2020-07-31T11:00:00Z,687022,,,85278,1531.0,49.0,1,1961,7398,689467,689467,9359,689467,15,451,310a029041a6b87a179110674657ee90aac288c0,0,0,0,0,0,
13,20200730,AL,85762,594346.0,,1595.0,10070.0,,1129.0,,605.0,35401.0,B,7/30/2020 11:00,2020-07-30T11:00:00Z,07/30 07:00,1565.0,10070.0,2020-07-30T11:00:00Z,677841,,,83495,1516.0,49.0,1,1980,9853,680108,680108,11833,680108,27,177,5776f9724a3452e48705a9b2c73f52d3e631229d,0,0,0,0,0,
14,20200729,AL,83782,584493.0,,1598.0,9893.0,,1109.0,,595.0,32510.0,B,7/29/2020 11:00,2020-07-29T11:00:00Z,07/29 07:00,1538.0,9893.0,2020-07-29T11:00:00Z,666065,,,81572,1489.0,49.0,1,1416,1460,668275,668275,2876,668275,47,0,a7b049cfd14780e56e6ef98fb2aba9f82fe89838,0,0,0,0,0,
15,20200728,AL,82366,583033.0,,1598.0,9893.0,,1094.0,,584.0,32510.0,B,7/28/2020 11:00,2020-07-28T11:00:00Z,07/28 07:00,1491.0,9893.0,2020-07-28T11:00:00Z,663342,,,80309,1446.0,45.0,1,1251,6189,665399,665399,7440,665399,0,199,c1a5bd8f18d98fc9530cd541a50772d21cbfb38a,0,0,0,0,0,
16,20200727,AL,81115,576844.0,,1599.0,9694.0,,1081.0,,577.0,32510.0,B,7/27/2020 11:00,2020-07-27T11:00:00Z,07/27 07:00,1491.0,9694.0,2020-07-27T11:00:00Z,655973,,,79129,1446.0,45.0,1,1821,6452,657959,657959,8273,657959,18,537,906fddfa88864f88bdf0d2bcb19cf267a406f2e6,0,0,0,0,0,
17,20200726,AL,79294,570392.0,,1505.0,9157.0,,1076.0,,573.0,32510.0,B,7/26/2020 11:00,2020-07-26T11:00:00Z,07/26 07:00,1473.0,9157.0,2020-07-26T11:00:00Z,647743,,,77351,1428.0,45.0,1,1164,6911,649686,649686,8075,649686,17,0,dc5e47c6735ff1312b84c1f33fb3124dce923880,0,0,0,0,0,
18,20200725,AL,78130,563481.0,,1425.0,9157.0,,1069.0,,567.0,32510.0,B,7/25/2020 11:00,2020-07-25T11:00:00Z,07/25 07:00,1456.0,9157.0,2020-07-25T11:00:00Z,639795,,,76314,1413.0,43.0,1,2125,10502,641611,641611,12627,641611,18,0,8d1bda5ff4d4985142b55becccbea692e56abfda,0,0,0,0,0,
