,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,AZ,190794,867384,,1411.0,20503,497.0,,334.0,,26736.0,A+,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,4383.0,20503,2020-08-13T00:00:00Z,1056770,,,189386.0,4130.0,253.0,,,246800.0,,,,,,,,,,4,1351,12599,1058178,1058178,13950,1058178,36,682,1355f95f3a92ad97712201d848bf74ab50111002,0,0,0,0,0,
1,20200812,AZ,189443,854785,,1469.0,19821,519.0,,328.0,,26418.0,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,4347.0,19821,2020-08-12T00:00:00Z,1042838,,,188053.0,4095.0,252.0,,,241948.0,,,,,,,,,,4,706,6247,1044228,1044228,6953,1044228,148,529,bb5c35756e5cc67235688e951756daf63887e8f3,0,0,0,0,0,
2,20200811,AZ,188737,848538,,1574.0,19292,510.0,,346.0,,26102.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,4199.0,19292,2020-08-11T00:00:00Z,1035900,,,187362.0,3951.0,248.0,,,241052.0,,,,,,,,,,4,1214,7830,1037275,1037275,9044,1037275,45,15,24a11727d1baccb7a3ae0d4c0ab3b87b1d880b5d,0,0,0,0,0,
3,20200810,AZ,187523,840708,,1575.0,19277,506.0,,366.0,,25848.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,4154.0,19277,2020-08-10T00:00:00Z,1026888,,,186180.0,3922.0,232.0,,,240582.0,,,,,,,,,,4,600,5068,1028231,1028231,5668,1028231,4,9,64c3b07530130d1e60d873d5c73e11314548ec9b,0,0,0,0,0,
4,20200809,AZ,186923,835640,,1626.0,19268,514.0,,374.0,,25527.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,4150.0,19268,2020-08-09T00:00:00Z,1021233,,,185593.0,3918.0,232.0,,,239427.0,,,,,,,,,,4,816,5226,1022563,1022563,6042,1022563,13,24,960d34aa908bc92ee9c01a72838c484b7570c632,0,0,0,0,0,
5,20200808,AZ,186107,830414,,1659.0,19244,539.0,,400.0,,25163.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,4137.0,19244,2020-08-08T00:00:00Z,1015218,,,184804.0,3905.0,232.0,,,237810.0,,,,,,,,,,4,1054,10622,1016521,1016521,11676,1016521,56,3,f2c4034966d6c4b6ae9e722a9349ab5deb3c6e20,0,0,0,0,0,
6,20200807,AZ,185053,819792,,1772.0,19241,565.0,,411.0,,24815.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,4081.0,19241,2020-08-07T00:00:00Z,1003583,,,183791.0,3860.0,221.0,,,236405.0,,,,,,,,,,4,1406,7575,1004845,1004845,8981,1004845,79,5173,d5af97379676f190297a648ce2554a055ef49459,0,0,0,0,0,
7,20200806,AZ,183647,812217,,1879.0,14068,593.0,,427.0,,24531.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,4002.0,14068,2020-08-06T00:00:00Z,994625,,,182408.0,3786.0,216.0,,,235088.0,,,,,,,,,,4,1444,8878,995864,995864,10322,995864,70,509,d59c69f1460df3e27a34d043da32a6d3e8d57d9b,0,0,0,0,0,
8,20200805,AZ,182203,803339,,1945.0,13559,618.0,,455.0,,24222.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,3932.0,13559,2020-08-05T00:00:00Z,984332,,,180993.0,3717.0,215.0,,,233685.0,,,,,,,,,,4,1698,12600,985542,985542,14298,985542,87,265,417fa3ae6419231a7c611cff5dfac1cff5c23608,0,0,0,0,0,
9,20200804,AZ,180505,790739,,2024.0,13294,638.0,,474.0,,23944.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,3845.0,13294,2020-08-04T00:00:00Z,971244,,,137710.0,2431.0,152.0,,,232219.0,,,,,,,,,,4,1008,5818,971244,971244,6826,971244,66,1894,ae2552869f23fb7fae60e9c5dd924956d73bc005,0,0,0,0,0,
10,20200803,AZ,179497,784921,,2017.0,11400,628.0,,461.0,,23702.0,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,3779.0,11400,2020-08-03T00:00:00Z,964418,,,137710.0,2431.0,152.0,,,231917.0,,,,,,,,,,4,1030,6960,964418,964418,7990,964418,14,29,1e00edad36a3fec2f1f218fcb55b227a20370ff8,0,0,0,0,0,
11,20200802,AZ,178467,777961,,2147.0,11371,685.0,,474.0,,23413.0,A+,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,3765.0,11371,2020-08-02T00:00:00Z,956428,,,137710.0,2431.0,152.0,,,230790.0,,,,,,,,,,4,1465,6313,956428,956428,7778,956428,18,25,7b6b55d4e6acc2e7769d016ce57052398424c6a1,0,0,0,0,0,
12,20200801,AZ,177002,771648,,2226.0,11346,710.0,,490.0,,23064.0,A+,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,3747.0,11346,2020-08-01T00:00:00Z,948650,,,137710.0,2431.0,152.0,,,229328.0,,,,,,,,,,4,2992,11915,948650,948650,14907,948650,53,86,d793fd8031a378bcab1706f436d3464625c3b35a,0,0,0,0,0,
13,20200731,AZ,174010,759733,,2302.0,11260,719.0,,505.0,,22714.0,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,3694.0,11260,2020-07-31T00:00:00Z,933743,,,137710.0,2431.0,152.0,,,227897.0,,,,,,,,,,4,3212,17265,933743,933743,20477,933743,68,88,77da81c93e05e508e234bba98f3c44cfac888483,0,0,0,0,0,
14,20200730,AZ,170798,742468,,2348.0,11172,758.0,,531.0,,22358.0,A+,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,3626.0,11172,2020-07-30T00:00:00Z,913266,,,137710.0,2431.0,152.0,,,226306.0,,,,,,,,,,4,2525,9312,913266,913266,11837,913266,172,1112,112a6603b3f850f5597817bf352809fa0a44f757,0,0,0,0,0,
15,20200729,AZ,168273,733156,,2424.0,10060,800.0,,561.0,,21994.0,A+,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,3454.0,10060,2020-07-29T00:00:00Z,901429,,,137710.0,2431.0,152.0,,,224276.0,,,,,,,,,,4,2339,8159,901429,901429,10498,901429,46,666,bd52c2a5d5d6902fd9dd634b9ba23ce7da116104,0,0,0,0,0,
16,20200728,AZ,165934,724997,,2564.0,9394,814.0,,574.0,,21626.0,A+,7/28/2020 00:00,2020-07-28T00:00:00Z,07/27 20:00,3408.0,9394,2020-07-28T00:00:00Z,890931,,,137710.0,2431.0,152.0,,,221894.0,,,,,,,,,,4,2107,10491,890931,890931,12598,890931,104,1643,e81d08de54dffe5a32e8717ca36b6dfb8791f708,0,0,0,0,0,
17,20200727,AZ,163827,714506,,2626.0,7751,820.0,,567.0,,21321.0,A+,7/27/2020 00:00,2020-07-27T00:00:00Z,07/26 20:00,3304.0,7751,2020-07-27T00:00:00Z,878333,,,137710.0,2431.0,152.0,,,221349.0,,,,,,,,,,4,1813,9417,878333,878333,11230,878333,-1,45,9dea02489e2ccd94e8a626899be3ff775a158e99,0,0,0,0,0,
18,20200726,AZ,162014,705089,,2650.0,7706,837.0,,581.0,,20978.0,A+,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,3305.0,7706,2020-07-26T00:00:00Z,867103,,,137710.0,2431.0,152.0,,,220444.0,,,,,,,,,,4,1973,7521,867103,867103,9494,867103,19,79,cd9b6cab141eccca012264667dd94966740e3680,0,0,0,0,0,
19,20200725,AZ,160041,697568,,2758.0,7627,842.0,,594.0,,20566.0,A+,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,3286.0,7627,2020-07-25T00:00:00Z,857609,,,137710.0,2431.0,152.0,,,218559.0,,,,,,,,,,4,3740,17052,857609,857609,20792,857609,144,166,65672bc85c877e335643b616052a0a650226e047,0,0,0,0,0,
20,20200724,AZ,156301,680516,,2844.0,7461,837.0,,575.0,,20171.0,A+,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,3142.0,7461,2020-07-24T00:00:00Z,836817,,,137710.0,2431.0,152.0,,,217015.0,,,,,,,,,,4,3357,10747,836817,836817,14104,836817,79,225,db9bc9e7f009ad2cb14d7c7a720f1e268011c948,0,0,0,0,0,
21,20200723,AZ,152944,669769,,2966.0,7236,851.0,,617.0,,19737.0,A+,7/23/2020 00:00,2020-07-23T00:00:00Z,07/22 20:00,3063.0,7236,2020-07-23T00:00:00Z,822713,,,137710.0,2431.0,152.0,,,215211.0,,,,,,,,,,4,2335,6397,822713,822713,8732,822713,89,189,a6bb07972cf64fa8479f9cef07394eb2f9ac3883,0,0,0,0,0,
22,20200722,AZ,150609,663372,,3094.0,7047,870.0,,609.0,,19293.0,A+,7/22/2020 00:00,2020-07-22T00:00:00Z,07/21 20:00,2974.0,7047,2020-07-22T00:00:00Z,813981,,,137710.0,2431.0,152.0,,,213144.0,,,,,,,,,,4,1926,4389,813981,813981,6315,813981,56,153,e2498244810df180e732663fd5cdcf78b24f0993,0,0,0,0,0,
23,20200721,AZ,148683,658983,,3041.0,6894,865.0,,608.0,,18863.0,A+,7/21/2020 00:00,2020-07-21T00:00:00Z,07/20 20:00,2918.0,6894,2020-07-21T00:00:00Z,807666,,,137710.0,2431.0,152.0,,,211454.0,,,,,,,,,,4,3500,10643,807666,807666,14143,807666,134,196,890c8879b503cf0f00796ae421fdf35e8b78bef1,0,0,0,0,0,
24,20200720,AZ,145183,648340,,3084.0,6698,886.0,,622.0,,18518.0,A+,7/20/2020 00:00,2020-07-20T00:00:00Z,07/19 20:00,2784.0,6698,2020-07-20T00:00:00Z,793523,,,137710.0,2431.0,152.0,,,210464.0,,,,,,,,,,4,1559,5985,793523,793523,7544,793523,23,66,f063dc9b52e6b6c14c1e4aa7f593997c12824bc7,0,0,0,0,0,
25,20200719,AZ,143624,642355,,3136.0,6632,894.0,,622.0,,18149.0,A+,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,2761.0,6632,2020-07-19T00:00:00Z,785979,,,137710.0,2431.0,152.0,,,209531.0,,,,,,,,,,4,2359,11629,785979,785979,13988,785979,31,65,dd1ba3b783ba455be23086d63edee71cc1b48426,0,0,0,0,0,
26,20200718,AZ,141265,630726,,3238.0,6567,894.0,,657.0,,17661.0,A+,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,2730.0,6567,2020-07-18T00:00:00Z,771991,,,137710.0,2431.0,152.0,,,206872.0,,,,,,,,,,4,2742,4281,771991,771991,7023,771991,147,165,623c5e9b8bcfbcf34b4976984f868b97351feb65,0,0,0,0,0,
27,20200717,AZ,138523,626445,,3466.0,6402,944.0,,687.0,,17184.0,A+,7/17/2020 00:00,2020-07-17T00:00:00Z,07/16 20:00,2583.0,6402,2020-07-17T00:00:00Z,764155,,,137710.0,2431.0,152.0,,,205682.0,,,,,,,,,,4,3910,11792,764968,764968,15702,764968,91,106,dd06a9a881848207993937fdd27a6fb6726ea8b2,0,0,0,0,0,
28,20200716,AZ,134613,614653,,3454.0,6296,918.0,,657.0,,16684.0,A+,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,2492.0,6296,2020-07-16T00:00:00Z,748491,,,133838.0,2353.0,139.0,,,203318.0,,,,,,,,,,4,3259,10045,749266,749266,13304,749266,58,193,6e47aad4c15c956fc630d54d689c38fa09edf544,0,0,0,0,0,
29,20200715,AZ,131354,604608,,3493.0,6103,929.0,,671.0,,16155.0,A+,7/15/2020 00:00,2020-07-15T00:00:00Z,07/14 20:00,2434.0,6103,2020-07-15T00:00:00Z,735184,,,130576.0,2295.0,139.0,,,201004.0,,,,,,,,,,4,3257,10762,735962,735962,14019,735962,97,161,c1830462c9632eccfefa701931c56a462e86e895,0,0,0,0,0,
