,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,CO,51756,554034,,288.0,6685.0,,,,,5630.0,A,8/12/2020 01:59,2020-08-12T01:59:00Z,08/11 21:59,1756.0,6685.0,2020-08-12T01:59:00Z,,,,48262.0,,,825062.0,602296.0,146470.0,10053.0,136417.0,,,,,,,,8,315,4175,605790,825062.0,7640,605790,5,6,1e64d65d60d29d9fd1ad96a5fbfc26e3e606e792,0,0,0,0,0,
1,20200812,CO,51441,549859,,315.0,6679.0,,,,,5608.0,A,8/11/2020 01:59,2020-08-11T01:59:00Z,08/10 21:59,1751.0,6679.0,2020-08-11T01:59:00Z,,,,48008.0,,,817422.0,597867.0,145694.0,9992.0,135702.0,,,,,,,,8,402,3716,601300,817422.0,7146,601300,5,52,a614837b4e64677be88e156068ccbc38afcc92e1,0,0,0,0,0,
2,20200811,CO,51039,546143,,309.0,6627.0,,,,,5579.0,A,8/9/2020 01:59,2020-08-09T01:59:00Z,08/08 21:59,1746.0,6627.0,2020-08-09T01:59:00Z,,,,47651.0,,,810276.0,593794.0,145181.0,9956.0,135225.0,,,,,,,,8,379,4963,597182,810276.0,8537,597182,10,11,4660ddfbc0e5df16ecd7033713878075cc93cbe4,0,0,0,0,0,
3,20200810,CO,50660,541180,,319.0,6616.0,,,,,5554.0,A,8/9/2020 01:59,2020-08-09T01:59:00Z,08/08 21:59,1736.0,6616.0,2020-08-09T01:59:00Z,,,,47367.0,,,801739.0,588547.0,144812.0,9941.0,134871.0,,,,,,,,8,336,5624,591840,801739.0,10717,591840,0,14,4d9b7ba55d2b6469bd1e54e3db634b27387e01c8,0,0,0,0,0,
4,20200809,CO,50324,535556,,346.0,6602.0,,,,,5507.0,A,8/8/2020 01:59,2020-08-08T01:59:00Z,08/07 21:59,1736.0,6602.0,2020-08-08T01:59:00Z,,,,47083.0,,,791022.0,582639.0,144070.0,9890.0,134180.0,,,,,,,,8,431,6318,585880,791022.0,11352,585880,0,20,57c1298277fd866d584da0220a216142c2735f94,0,0,0,0,0,
5,20200808,CO,49893,529238,,317.0,6582.0,,,,,5490.0,A,8/7/2020 01:59,2020-08-07T01:59:00Z,08/06 21:59,1736.0,6582.0,2020-08-07T01:59:00Z,,,,46656.0,,,779670.0,575894.0,143068.0,9795.0,133273.0,,,,,,,,8,457,7311,579131,779670.0,13197,579131,7,10,6535034ebc3954bc98d19871b18be66d21079b83,0,0,0,0,0,
6,20200807,CO,49436,521927,,317.0,6572.0,,,,,5490.0,A,8/6/2020 01:59,2020-08-06T01:59:00Z,08/05 21:59,1729.0,6572.0,2020-08-06T01:59:00Z,,,,46200.0,,,766473.0,568127.0,142116.0,9726.0,132390.0,,,,,,,,8,448,5596,571363,766473.0,11829,571363,12,36,951ef2b94407acfa802b662ef082351dac5a3384,0,0,0,0,0,
7,20200806,CO,48988,516331,,320.0,6536.0,,,,,5471.0,A,8/5/2020 01:59,2020-08-05T01:59:00Z,08/04 21:59,1717.0,6536.0,2020-08-05T01:59:00Z,,,,45755.0,,,754644.0,562086.0,141311.0,9661.0,131650.0,,,,,,,,8,594,9303,565319,754644.0,27618,565319,7,20,40b82e4faf8bb43e60e16f110dacf73c26d9043c,0,0,0,0,0,
8,20200805,CO,48394,507028,,335.0,6516.0,,,,,5449.0,A,8/4/2020 01:59,2020-08-04T01:59:00Z,08/03 21:59,1710.0,6516.0,2020-08-04T01:59:00Z,,,,45177.0,,,727026.0,552205.0,140274.0,9584.0,130690.0,,,,,,,,8,426,2993,555422,727026.0,5105,555422,0,29,ab736eea49a94d68455d761674bb1f162183f76a,0,0,0,0,0,
9,20200804,CO,47968,504035,,340.0,6487.0,,,,,5424.0,A,8/3/2020 01:59,2020-08-03T01:59:00Z,08/02 21:59,1710.0,6487.0,2020-08-03T01:59:00Z,,,,44773.0,,,721921.0,548808.0,139950.0,9553.0,130397.0,,,,,,,,8,252,4539,552003,721921.0,7361,552003,19,13,b7dda1c71259eb5d4a571f9c5145801ebc8e9a42,0,0,0,0,0,
