,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,CT,50782,876553.0,,63.0,11015.0,,,,,8809.0,B,8/12/2020 20:30,2020-08-12T20:30:00Z,08/12 16:30,4450.0,11015.0,2020-08-12T20:30:00Z,925327.0,,,48774.0,3566.0,884.0,,,,,,,,,,,,,9,76,7976,927335,927335,8052,927335,0,95,99ad29782144552eff1d05110e78484439686138,0,0,0,0,0,
1,20200812,CT,50706,868577.0,,58.0,10920.0,,,,,8721.0,B,8/11/2020 20:30,2020-08-11T20:30:00Z,08/11 16:30,4450.0,10920.0,2020-08-11T20:30:00Z,917282.0,,,48705.0,3566.0,884.0,,,,,,,,,,,,,9,22,7962,919283,919283,7984,919283,6,0,c9a0bcea6a98fe2c24bafa9eb6f53ee7419b828b,0,0,0,0,0,
2,20200811,CT,50684,860615.0,,70.0,10920.0,,,,,8721.0,B,8/10/2020 20:30,2020-08-10T20:30:00Z,08/10 16:30,4444.0,10920.0,2020-08-10T20:30:00Z,909305.0,,,48690.0,3561.0,883.0,,,,,,,,,,,,,9,117,8225,911299,911299,8342,911299,0,0,9fd50036f8f181d14d6b1a97d7fa277bb6e5ec3f,0,0,0,0,0,
3,20200810,CT,50567,852390.0,,64.0,10920.0,,,,,8721.0,B,8/9/2020 20:30,2020-08-09T20:30:00Z,08/09 16:30,4444.0,10920.0,2020-08-09T20:30:00Z,900967.0,,,48577.0,3560.0,884.0,,,,,,,,,,,,,9,247,38077,902957,902957,38324,902957,3,0,fda465cbc1652edad1bf83fbdb53c9af18e268ff,0,0,0,0,0,
4,20200809,CT,50320,814313.0,,65.0,10920.0,,,,,8721.0,B,8/6/2020 20:30,2020-08-06T20:30:00Z,08/06 16:30,4441.0,10920.0,2020-08-06T20:30:00Z,862658.0,,,48345.0,3558.0,883.0,,,,,,,,,,,,,9,0,0,864633,864633,0,864633,0,0,b71defecbc46832dab04c428435836a986cdc6f9,0,0,0,0,0,
5,20200808,CT,50320,814313.0,,65.0,10920.0,,,,,8721.0,B,8/6/2020 20:30,2020-08-06T20:30:00Z,08/06 16:30,4441.0,10920.0,2020-08-06T20:30:00Z,862658.0,,,48345.0,3558.0,883.0,,,,,,,,,,,,,9,0,0,864633,864633,0,864633,0,0,40ed01b0e748a9d2c139911c1c951b9e88ff528d,0,0,0,0,0,
6,20200807,CT,50320,814313.0,,65.0,10920.0,,,,,8721.0,B,8/6/2020 20:30,2020-08-06T20:30:00Z,08/06 16:30,4441.0,10920.0,2020-08-06T20:30:00Z,862658.0,,,48345.0,3558.0,883.0,,,,,,,,,,,,,9,75,7460,864633,864633,7535,864633,4,0,904664c89b66305e5d462fa6c8b626345ea815c4,0,0,0,0,0,
7,20200806,CT,50245,806853.0,,66.0,10920.0,,,,,8721.0,B,8/5/2020 20:30,2020-08-05T20:30:00Z,08/05 16:30,4437.0,10920.0,2020-08-05T20:30:00Z,855126.0,,,48273.0,3555.0,882.0,,,,,,,,,,,,,9,20,8969,857098,857098,8989,857098,0,113,21762eedd0c539b6aaffb23319fa57a30af9b9d5,0,0,0,0,0,
8,20200805,CT,50225,797884.0,,59.0,10807.0,,,,,8613.0,B,8/4/2020 20:30,2020-08-04T20:30:00Z,08/04 16:30,4437.0,10807.0,2020-08-04T20:30:00Z,846142.0,,,48258.0,3555.0,882.0,,,,,,,,,,,,,9,115,11723,848109,848109,11838,848109,0,0,8257cc671d9f696f6f928a7c226ecbdeb8f20a83,0,0,0,0,0,
9,20200804,CT,50110,786161.0,,60.0,10807.0,,,,,8613.0,B,8/3/2020 20:30,2020-08-03T20:30:00Z,08/03 16:30,4437.0,10807.0,2020-08-03T20:30:00Z,834303.0,,,48142.0,3555.0,882.0,,,,,,,,,,,,,9,48,7041,836271,836271,7089,836271,0,0,d0849b7306c5f7e7032d226fda1a723ac467b6a1,0,0,0,0,0,
10,20200803,CT,50062,779120.0,,56.0,10807.0,,,,,8613.0,B,8/2/2020 20:30,2020-08-02T20:30:00Z,08/02 16:30,4437.0,10807.0,2020-08-02T20:30:00Z,827213.0,,,48093.0,3555.0,882.0,,,,,,,,,,,,,9,252,34934,829182,829182,35186,829182,5,0,899f5be0c6928c27d24360ebe7cbea209450879c,0,0,0,0,0,
11,20200802,CT,49810,744186.0,,69.0,10807.0,,,,,8613.0,B,7/30/2020 20:30,2020-07-30T20:30:00Z,07/30 16:30,4432.0,10807.0,2020-07-30T20:30:00Z,792040.0,,,47854.0,3551.0,881.0,,,,,,,,,,,,,9,0,0,793996,793996,0,793996,0,0,f5afa06138b07b360113b39265260a41417934f7,0,0,0,0,0,
12,20200801,CT,49810,744186.0,,69.0,10807.0,,,,,8613.0,B,7/30/2020 20:30,2020-07-30T20:30:00Z,07/30 16:30,4432.0,10807.0,2020-07-30T20:30:00Z,792040.0,,,47854.0,3551.0,881.0,,,,,,,,,,,,,9,0,0,793996,793996,0,793996,0,0,ee5dc86f93a8442e65c0f6f031c22829cd9afcf8,0,0,0,0,0,
13,20200731,CT,49810,744186.0,,69.0,10807.0,,,,,8613.0,B,7/30/2020 20:30,2020-07-30T20:30:00Z,07/30 16:30,4432.0,10807.0,2020-07-30T20:30:00Z,792040.0,,,47854.0,3551.0,881.0,,,,,,,,,,,,,9,140,15128,793996,793996,15268,793996,1,0,31e20dc5a0fb7445868d7b000d64dfbe80d9588f,0,0,0,0,0,
14,20200730,CT,49670,729058.0,,66.0,10807.0,,,,,8613.0,B,7/29/2020 20:30,2020-07-29T20:30:00Z,07/29 16:30,4431.0,10807.0,2020-07-29T20:30:00Z,776775.0,,,47717.0,3550.0,881.0,,,,,,,,,,,,,9,130,12822,778728,778728,12952,778728,6,95,4d81d0ff2a78342b315201625243a990e96433e0,0,0,0,0,0,
15,20200729,CT,49540,716236.0,,53.0,10712.0,,,,,8516.0,B,7/28/2020 20:30,2020-07-28T20:30:00Z,07/28 16:30,4425.0,10712.0,2020-07-28T20:30:00Z,763817.0,,,47581.0,3544.0,881.0,,,,,,,,,,,,,9,463,12625,765776,765776,13088,765776,2,0,eafd95864fc1d9538ce0f964f1f22b5872b1115c,0,0,0,0,0,
16,20200728,CT,49077,703611.0,,54.0,10712.0,,,,,8516.0,B,7/27/2020 20:30,2020-07-27T20:30:00Z,07/27 16:30,4423.0,10712.0,2020-07-27T20:30:00Z,750700.0,,,47089.0,3541.0,882.0,,,,,,,,,,,,,9,94,7543,752688,752688,7637,752688,5,0,ea853d525fce3ef8e8a055e7df3ab18e6054e6cb,0,0,0,0,0,
17,20200727,CT,48983,696068.0,,59.0,10712.0,,,,,8516.0,B,7/26/2020 20:30,2020-07-26T20:30:00Z,07/26 16:30,4418.0,10712.0,2020-07-26T20:30:00Z,743062.0,,,46994.0,3536.0,882.0,,,,,,,,,,,,,9,207,31772,745051,745051,31979,745051,5,0,d3de56dce949c1e182ed5df3227bc56170845a97,0,0,0,0,0,
18,20200726,CT,48776,664296.0,,71.0,10712.0,,,,,8516.0,B,7/23/2020 20:30,2020-07-23T20:30:00Z,07/23 16:30,4413.0,10712.0,2020-07-23T20:30:00Z,711102.0,,,46806.0,3531.0,882.0,,,,,,,,,,,,,9,0,0,713072,713072,0,713072,0,0,e67fc0583bad509ec866a6465a168f38bf330369,0,0,0,0,0,
19,20200725,CT,48776,664296.0,,71.0,10712.0,,,,,8516.0,B,7/23/2020 20:30,2020-07-23T20:30:00Z,07/23 16:30,4413.0,10712.0,2020-07-23T20:30:00Z,711102.0,,,46806.0,3531.0,882.0,,,,,,,,,,,,,9,0,0,713072,713072,0,713072,0,0,259a2c65e7806324e6421b86fb8a2f8732cb29cb,0,0,0,0,0,
20,20200724,CT,48776,664296.0,,71.0,10712.0,,,,,8516.0,B,7/23/2020 20:30,2020-07-23T20:30:00Z,07/23 16:30,4413.0,10712.0,2020-07-23T20:30:00Z,711102.0,,,46806.0,3531.0,882.0,,,,,,,,,,,,,9,544,24640,713072,713072,25184,713072,3,0,9a74037c503ed07695635938d195434c917558a6,0,0,0,0,0,
21,20200723,CT,48232,639656.0,,72.0,10712.0,,,,,8516.0,B,7/22/2020 20:30,2020-07-22T20:30:00Z,07/22 16:30,4410.0,10712.0,2020-07-22T20:30:00Z,685869.0,,,46213.0,3530.0,880.0,,,,,,,,,,,,,9,9,13473,687888,687888,13482,687888,4,58,4e0631a0b7e34731648418d80f365ef31fb9bfaa,0,0,0,0,0,
22,20200722,CT,48223,626183.0,,63.0,10654.0,,,,,8466.0,B,7/21/2020 20:30,2020-07-21T20:30:00Z,07/21 16:30,4406.0,10654.0,2020-07-21T20:30:00Z,672386.0,,,46203.0,3527.0,879.0,,,,,,,,,,,,,9,127,11442,674406,674406,11569,674406,0,0,c5747f6fa8a7609fa39c646469d6da08f93dc209,0,0,0,0,0,
23,20200721,CT,48096,614741.0,,62.0,10654.0,,,,,8466.0,B,7/20/2020 20:30,2020-07-20T20:30:00Z,07/20 16:30,4406.0,10654.0,2020-07-20T20:30:00Z,660857.0,,,46116.0,3527.0,879.0,,,,,,,,,,,,,9,41,0,662837,662837,41,662837,0,0,6b67d81d93b9f0c1bbf58d863c2e97f099c9623d,0,0,0,0,0,
24,20200720,CT,48055,614741.0,,54.0,10654.0,,,,,8466.0,B,7/19/2020 20:30,2020-07-19T20:30:00Z,07/19 16:30,4406.0,10654.0,2020-07-19T20:30:00Z,660857.0,,,46116.0,3525.0,881.0,,,,,,,,,,,,,9,162,5503,662796,662796,5665,662796,10,0,a81c7819df9c6deb6b049b180c7609beb0675d87,0,0,0,0,0,
25,20200719,CT,47893,609238.0,,66.0,10654.0,,,,,8466.0,B,7/17/2020 20:30,2020-07-17T20:30:00Z,07/17 16:30,4396.0,10654.0,2020-07-17T20:30:00Z,655309.0,,,46071.0,3519.0,877.0,,,,,,,,,,,,,9,0,27162,657131,657131,27162,657131,0,0,cbabe5da3e19500a5d4be51c20b04918fa15653d,0,0,0,0,0,
