,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,DE,15575,182544,,36.0,,11.0,,,,8449.0,A,8/8/2020 18:00,2020-08-08T18:00:00Z,08/08 14:00,591.0,,2020-08-08T18:00:00Z,,,,14576.0,521.0,70.0,10,73,2152,198119,198119,2225,198119,1,0,6800d6aa6522c1ac9a188587a9bc1c034800f253,0,0,0,0,0,
1,20200808,DE,15502,180392,,36.0,,11.0,,,,8416.0,A+,8/7/2020 18:00,2020-08-07T18:00:00Z,08/07 14:00,590.0,,2020-08-07T18:00:00Z,195894.0,,,14502.0,520.0,70.0,10,57,1053,195894,195894,1110,195894,2,0,ad18b714c2f67117aa40c6795a110d1ef4ce802f,0,0,0,0,0,
2,20200807,DE,15445,179339,,37.0,,15.0,,,,8392.0,A+,8/6/2020 18:00,2020-08-06T18:00:00Z,08/06 14:00,588.0,,2020-08-06T18:00:00Z,194784.0,,,14447.0,518.0,70.0,10,80,2001,194784,194784,2081,194784,1,0,37abcf239c088a6a767092a68ed2f803d8ab9b3c,0,0,0,0,0,
3,20200806,DE,15365,177338,,45.0,,15.0,,,,8365.0,A+,8/5/2020 18:00,2020-08-05T18:00:00Z,08/05 14:00,587.0,,2020-08-05T18:00:00Z,192703.0,,,14368.0,517.0,70.0,10,69,1934,192703,192703,2003,192703,0,0,80db3073ae662bd62d32f9b7f231785fef80561b,0,0,0,0,0,
4,20200805,DE,15296,175404,,47.0,,4.0,,,,8339.0,A+,8/4/2020 18:00,2020-08-04T18:00:00Z,08/04 14:00,587.0,,2020-08-04T18:00:00Z,190700.0,,,14299.0,517.0,70.0,10,159,1233,190700,190700,1392,190700,0,0,1de35efef8d4f7fafb3f9db7e95f79294cd4235b,0,0,0,0,0,
5,20200804,DE,15137,174171,,42.0,,11.0,,,,8303.0,A+,8/3/2020 18:00,2020-08-03T18:00:00Z,08/03 14:00,587.0,,2020-08-03T18:00:00Z,189308.0,,,14140.0,517.0,70.0,10,82,1567,189308,189308,1649,189308,2,0,60c00692017e616ec98684e9b81bcdfdb1529838,0,0,0,0,0,
6,20200803,DE,15055,172604,,40.0,,9.0,,,,8267.0,A+,8/2/2020 18:00,2020-08-02T18:00:00Z,08/02 14:00,585.0,,2020-08-02T18:00:00Z,187659.0,,,14058.0,515.0,70.0,10,106,2642,187659,187659,2748,187659,0,0,8061d7ad7aa02fb080abe956265c6be50927a0a8,0,0,0,0,0,
7,20200802,DE,14949,169962,,43.0,,8.0,,,,8235.0,A+,8/1/2020 18:00,2020-08-01T18:00:00Z,08/01 14:00,585.0,,2020-08-01T18:00:00Z,184911.0,,,13952.0,515.0,70.0,10,72,1943,184911,184911,2015,184911,0,0,045309a61690d514e5fe9e2ab4d8d68073a3d55d,0,0,0,0,0,
8,20200801,DE,14877,168019,,45.0,,18.0,,,,8212.0,A+,7/31/2020 18:00,2020-07-31T18:00:00Z,07/31 14:00,585.0,,2020-07-31T18:00:00Z,182896.0,,,13880.0,515.0,70.0,10,89,1760,182896,182896,1849,182896,0,0,ca95c404e7e79bd9cc822bd14e6b401e6674f377,0,0,0,0,0,
9,20200731,DE,14788,166259,,46.0,,11.0,,,,8179.0,A+,7/30/2020 18:00,2020-07-30T18:00:00Z,07/30 14:00,585.0,,2020-07-30T18:00:00Z,181047.0,,,13791.0,515.0,70.0,10,99,2085,181047,181047,2184,181047,4,0,ad01129556b5c68432c3ac6af0dc599f52e08392,0,0,0,0,0,
