,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,FL,532806,3452857,3353.0,6848.0,30893.0,,,,,,A,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,8315.0,30893.0,2020-08-08T23:59:00Z,5274241.0,676365.0,4571866.0,532806.0,8315.0,,12,6229,33562,3989016,3985663,39791,3985663,77,254,60bf9170fcb1b0d21df080b4bd5e15cbd68b9f99,0,0,0,0,0,
1,20200808,FL,526577,3419295,3350.0,6890.0,30639.0,,,,,,A,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,8238.0,30639.0,2020-08-07T23:59:00Z,3952028.0,667997.0,4518861.0,526577.0,8238.0,,12,8502,40431,3949222,3945872,48933,3945872,187,525,0cf65f017e11ecb5dd892fe5b0b5c682f10bf809,0,0,0,0,0,
2,20200807,FL,518075,3378864,3374.0,7144.0,30114.0,,,,,,A,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,8051.0,30114.0,2020-08-06T23:59:00Z,3903010.0,656841.0,4453694.0,518075.0,8051.0,,12,7686,31890,3900313,3896939,39576,3896939,180,599,f2d916fea89f7b7fc4c04f2bffd01cad24a7d446,0,0,0,0,0,
3,20200806,FL,510389,3346974,3325.0,7459.0,29515.0,,,,,,A,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,7871.0,29515.0,2020-08-05T23:59:00Z,3863276.0,646583.0,4403366.0,510389.0,7871.0,,12,7650,34829,3860688,3857363,42479,3857363,120,559,cf656be477ab5f0f6b4435fcdac00ca82e9c9a87,0,0,0,0,0,
4,20200805,FL,502739,3312145,3277.0,7615.0,28956.0,,,,,,A,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,7751.0,28956.0,2020-08-04T23:59:00Z,3820683.0,637404.0,4344367.0,502739.0,7751.0,,12,5409,25017,3818161,3814884,30426,3814884,225,623,a16082cb45e243a361cfa30b596d6482c90e60cd,0,0,0,0,0,
5,20200804,FL,497330,3287128,3280.0,7857.0,28333.0,,,,,,A,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,7526.0,28333.0,2020-08-03T23:59:00Z,3790202.0,630093.0,4305309.0,497330.0,7526.0,,12,5446,26214,3787738,3784458,31660,3784458,247,589,f556bda7e2a1d4bf96af3054b51921aa83a84485,0,0,0,0,0,
6,20200803,FL,491884,3260914,3228.0,7938.0,27744.0,,,,,,A,8/2/2020 23:59,2020-08-02T23:59:00Z,08/02 19:59,7279.0,27744.0,2020-08-02T23:59:00Z,3758496.0,622594.0,4263794.0,491884.0,7279.0,,12,4752,27049,3756026,3752798,31801,3752798,73,220,752fe4a16731a0dbbabdcc3c5c5dd1717a32db0a,0,0,0,0,0,
7,20200802,FL,487132,3233865,3394.0,7952.0,27524.0,,,,,,A,8/2/2020 10:45,2020-08-02T10:45:00Z,08/02 06:45,7206.0,27524.0,2020-08-02T10:45:00Z,3726562.0,615892.0,4221931.0,487132.0,7206.0,,12,7104,34450,3724391,3720997,41554,3720997,62,180,0ddfb7398b9700e91ded4d41a0626c3d0fa72bfc,0,0,0,0,0,
8,20200801,FL,480028,3199415,3409.0,8072.0,27344.0,,,,,,A,7/31/2020 23:59,2020-07-31T23:59:00Z,07/31 19:59,7144.0,27344.0,2020-07-31T23:59:00Z,3684875.0,605946.0,4166771.0,480028.0,7144.0,,12,9642,41713,3682852,3679443,51355,3679443,178,439,4198d9de6c299d47e78b6ba32b4e07b97452b4ef,0,0,0,0,0,
9,20200731,FL,470386,3157702,3363.0,8209.0,26905.0,,,,,,A,7/30/2020 23:59,2020-07-30T23:59:00Z,07/30 19:59,6966.0,26905.0,2020-07-30T23:59:00Z,3633393.0,592572.0,4099817.0,470386.0,6966.0,,12,9007,39964,3631451,3628088,48971,3628088,257,519,bf17f692b019e4501b31f4a1aaa2ae7b5aaac0d4,0,0,0,0,0,
10,20200730,FL,461379,3117738,3304.0,8395.0,26386.0,,,,,,A,7/29/2020 23:59,2020-07-29T23:59:00Z,07/29 19:59,6709.0,26386.0,2020-07-29T23:59:00Z,3584193.0,580808.0,4035319.0,461379.0,6709.0,,12,9956,42396,3582421,3579117,52352,3579117,252,519,c518c38a533940d1ba9cdd29ae3475a458c61e94,0,0,0,0,0,
11,20200729,FL,451423,3075342,3220.0,8720.0,25867.0,,,,,,A,7/28/2020 23:59,2020-07-28T23:59:00Z,07/28 19:59,6457.0,25867.0,2020-07-28T23:59:00Z,3531721.0,567610.0,3971204.0,451423.0,6457.0,,12,9446,37020,3529985,3526765,46466,3526765,217,587,2e34eefd426626a806f821264180b97d423caac3,0,0,0,0,0,
12,20200728,FL,441977,3038322,3017.0,8992.0,25280.0,,,,,,A,7/27/2020 23:59,2020-07-27T23:59:00Z,07/27 19:59,6240.0,25280.0,2020-07-27T23:59:00Z,3485141.0,555415.0,3912374.0,441977.0,6240.0,,12,9230,39572,3483316,3480299,48802,3480299,191,590,bcaf13a7e9b6c9d8bf929ae6f9c05f2d350a1716,0,0,0,0,0,
13,20200727,FL,432747,2998750,2902.0,9098.0,24690.0,,,,,,A,7/26/2020 23:59,2020-07-26T23:59:00Z,07/26 19:59,6049.0,24690.0,2020-07-26T23:59:00Z,3436270.0,542920.0,3851809.0,432747.0,6049.0,,12,8892,36102,3434399,3431497,44994,3431497,77,269,e13621d48d1e6db8fcf7ee3bf1b67c9d22a57089,0,0,0,0,0,
14,20200726,FL,423855,2962648,2871.0,8951.0,24421.0,,,,,,A,7/25/2020 23:59,2020-07-25T23:59:00Z,07/25 19:59,5972.0,24421.0,2020-07-25T23:59:00Z,3391133.0,531369.0,3793442.0,423855.0,5972.0,,12,9344,40782,3389374,3386503,50126,3386503,78,335,f0f40005602dc63c4fa56b1a484ccd7582bc89c4,0,0,0,0,0,
15,20200725,FL,414511,2921866,2850.0,9035.0,24086.0,,,,,,A,7/24/2020 23:59,2020-07-24T23:59:00Z,07/24 19:59,5894.0,24086.0,2020-07-24T23:59:00Z,3340929.0,519405.0,3728507.0,414511.0,5894.0,,12,12199,47542,3339227,3336377,59741,3336377,126,511,e546f6ec7d48e0203c86709969512a5addfb15be,0,0,0,0,0,
16,20200724,FL,402312,2874324,2727.0,9200.0,23575.0,,,,,,A,7/23/2020 23:59,2020-07-23T23:59:00Z,07/23 19:59,5768.0,23575.0,2020-07-23T23:59:00Z,3281087.0,502625.0,3649517.0,402312.0,5768.0,,12,12444,53250,3279363,3276636,65694,3276636,136,584,6ad2b6f82cebeefe23ef763fcb6d787137a9471b,0,0,0,0,0,
17,20200723,FL,389868,2821074,2626.0,9422.0,22991.0,,,,,,A,7/22/2020 23:59,2020-07-22T23:59:00Z,07/22 19:59,5632.0,22991.0,2020-07-22T23:59:00Z,3215185.0,486782.0,3574573.0,389868.0,5632.0,,12,10249,45982,3213568,3210942,56231,3210942,173,403,53c83a935ef065c81df2636ee756a0364d0c33ec,0,0,0,0,0,
18,20200722,FL,379619,2775092,2524.0,9475.0,22588.0,,,,,,A,7/21/2020 23:59,2020-07-21T23:59:00Z,07/21 19:59,5459.0,22588.0,2020-07-21T23:59:00Z,3158741.0,473128.0,3507785.0,379619.0,5459.0,,12,9785,45176,3157235,3154711,54961,3154711,140,465,ec3965d5ae5bb0a70a3f82ffd56e57f7487b860e,0,0,0,0,0,
