,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200729,IL,176366,2433528,,1491.0,,355.0,,152.0,,,A,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,7654.0,,2020-07-29T00:00:00Z,2608652.0,,,175124.0,7462.0,192.0,17,1393,36794,2609894,2609894,38187,2609894,16,0,899f00b471fea670ea1c96b15d65a674ba03cc2b,0,0,0,0,0,
1,20200728,IL,174973,2396734,,1383.0,,329.0,,128.0,,,A,7/28/2020 00:00,2020-07-28T00:00:00Z,07/27 20:00,7638.0,,2020-07-28T00:00:00Z,2570465.0,,,173731.0,7446.0,192.0,17,1076,27255,2571707,2571707,28331,2571707,30,0,af635448cdf2daa7daf5987906ce883418fcb896,0,0,0,0,0,
2,20200727,IL,173897,2369479,,1417.0,,350.0,,124.0,,,A,7/27/2020 00:00,2020-07-27T00:00:00Z,07/26 20:00,7608.0,,2020-07-27T00:00:00Z,2542134.0,,,172655.0,7416.0,192.0,17,1231,29336,2543376,2543376,30567,2543376,18,0,8b7f70eb3f5f7601cd41608e8f5d5e9d63c038c8,0,0,0,0,0,
3,20200726,IL,172666,2340143,,1394.0,,345.0,,119.0,,,A,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,7590.0,,2020-07-26T00:00:00Z,2511567.0,,,171424.0,7398.0,192.0,17,1541,39303,2512809,2512809,40844,2512809,1,0,b3e7a465f633e43265105bdac858d62c90c0b77c,0,0,0,0,0,
4,20200725,IL,171125,2300840,,1438.0,,341.0,,110.0,,,A,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,7589.0,,2020-07-25T00:00:00Z,2470723.0,,,169883.0,7397.0,192.0,17,1426,36774,2471965,2471965,38200,2471965,12,0,63b2471686beca7481b640f52ed52be7c986048b,0,0,0,0,0,
5,20200724,IL,169699,2264066,,1471.0,,325.0,,115.0,,,A,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,7577.0,,2020-07-24T00:00:00Z,2432523.0,,,168457.0,7385.0,192.0,17,1599,42798,2433765,2433765,44397,2433765,17,0,db46f5972ee7003f4b7b9cb5a8eecdd4aec7ca0a,0,0,0,0,0,
6,20200723,IL,168100,2221268,,1473.0,,309.0,,135.0,,,A,7/23/2020 00:00,2020-07-23T00:00:00Z,07/22 20:00,7560.0,,2020-07-23T00:00:00Z,2388193.0,,,166925.0,7367.0,193.0,17,1624,38082,2389368,2389368,39706,2389368,20,0,96252439fa0bdc8ea2d3784b02f5d62f40e3b314,0,0,0,0,0,
7,20200722,IL,166476,2183186,,1456.0,,337.0,,132.0,,,A,7/22/2020 00:00,2020-07-22T00:00:00Z,07/21 20:00,7540.0,,2020-07-22T00:00:00Z,2348487.0,,,165301.0,7347.0,193.0,17,1598,38035,2349662,2349662,39633,2349662,23,0,6d06e63f52f75a4fbf963a5db0dd947c7f346563,0,0,0,0,0,
8,20200721,IL,164878,2145151,,1466.0,,320.0,,142.0,,,A,7/21/2020 00:00,2020-07-21T00:00:00Z,07/20 20:00,7517.0,,2020-07-21T00:00:00Z,2308854.0,,,163703.0,7324.0,193.0,17,955,28790,2310029,2310029,29745,2310029,23,0,0d2b7250c66de332848b7c91d132816bb944661d,0,0,0,0,0,
9,20200720,IL,163923,2116361,,1410.0,,308.0,,133.0,,,A,7/20/2020 00:00,2020-07-20T00:00:00Z,07/19 20:00,7494.0,,2020-07-20T00:00:00Z,2279109.0,,,162748.0,7301.0,193.0,17,1173,33425,2280284,2280284,34598,2280284,6,0,3beb164d4f74e4106227bccb748d7539698c8106,0,0,0,0,0,
10,20200719,IL,162750,2082936,,1356.0,,320.0,,132.0,,,A,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,7488.0,,2020-07-19T00:00:00Z,2244511.0,,,161575.0,7295.0,193.0,17,965,31148,2245686,2245686,32113,2245686,5,0,6a7e85182e410d978326e7d61e57218ef04c21fc,0,0,0,0,0,
11,20200718,IL,161785,2051788,,1360.0,,326.0,,119.0,,,A,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,7483.0,,2020-07-18T00:00:00Z,2212398.0,,,160610.0,7290.0,193.0,17,1276,44823,2213573,2213573,46099,2213573,18,0,a18ed9f1b6109c53aa966c24c1320253dd7351ad,0,0,0,0,0,
12,20200717,IL,160509,2006965,,1431.0,,309.0,,128.0,,,A,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,7465.0,,2020-07-16T00:00:00Z,2166299.0,,,159334.0,7272.0,193.0,17,1427,42308,2167474,2167474,43735,2167474,13,0,0b7140bd3baabb93344acc954178594921040f61,0,0,0,0,0,
13,20200716,IL,159082,1964657,,1434.0,,311.0,,127.0,,,A,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,7452.0,,2020-07-16T00:00:00Z,2122607.0,,,157950.0,7251.0,201.0,17,1257,41749,2123739,2123739,43006,2123739,25,0,6bc2d94499285e955c8cc6a9450198299ac2d29a,0,0,0,0,0,
14,20200715,IL,157825,1922908,,1454.0,,324.0,,130.0,,,A,7/15/2020 00:00,2020-07-15T00:00:00Z,07/14 20:00,7427.0,,2020-07-15T00:00:00Z,2079601.0,,,156693.0,7226.0,201.0,17,1187,36974,2080733,2080733,38161,2080733,8,0,c26e2751113806a83fd89ca8d7ccce0bedb527d0,0,0,0,0,0,
15,20200714,IL,156638,1885934,,1416.0,,333.0,,126.0,,,A,7/14/2020 00:00,2020-07-14T00:00:00Z,07/13 20:00,7419.0,,2020-07-14T00:00:00Z,2041440.0,,,155506.0,7218.0,201.0,17,707,27739,2042572,2042572,28446,2042572,25,0,d735a7b1d033561a1bf7171d2483d999957e3e4a,0,0,0,0,0,
16,20200713,IL,155931,1858195,,1362.0,,334.0,,136.0,,,A,7/13/2020 00:00,2020-07-13T00:00:00Z,07/12 20:00,7394.0,,2020-07-13T00:00:00Z,2012994.0,,,154799.0,7193.0,201.0,17,883,29129,2014126,2014126,30012,2014126,6,0,7152ee8471b46f8c38c49840e8f6318664d86c20,0,0,0,0,0,
17,20200712,IL,155048,1829066,,1342.0,,311.0,,127.0,,,A,7/12/2020 00:00,2020-07-12T00:00:00Z,07/11 20:00,7388.0,,2020-07-12T00:00:00Z,1982982.0,,,153916.0,7187.0,201.0,17,954,37940,1984114,1984114,38894,1984114,19,0,156cbcee6eb115b49d47e47d416954c1d1dfef71,0,0,0,0,0,
18,20200711,IL,154094,1791126,,1398.0,,321.0,,139.0,,,A,7/11/2020 00:00,2020-07-11T00:00:00Z,07/10 20:00,7369.0,,2020-07-11T00:00:00Z,1944088.0,,,152962.0,7168.0,201.0,17,1195,31150,1945220,1945220,32345,1945220,24,0,36714ee99d958a8ee6dddfd5d8f4f58df24854ef,0,0,0,0,0,
19,20200710,IL,152899,1759976,,1436.0,,306.0,,155.0,,,A,7/10/2020 00:00,2020-07-10T00:00:00Z,07/09 20:00,7345.0,,2020-07-10T00:00:00Z,1911743.0,,,151767.0,7144.0,201.0,17,1327,31670,1912875,1912875,32997,1912875,16,0,fc6c910bb5fb2c4ffd4e4bda13383521033f4baa,0,0,0,0,0,
20,20200709,IL,151572,1728306,,1507.0,,317.0,,153.0,,,A,7/9/2020 00:00,2020-07-09T00:00:00Z,07/08 20:00,7329.0,,2020-07-09T00:00:00Z,1878756.0,,,150450.0,7119.0,210.0,17,1018,35162,1879878,1879878,36180,1879878,20,0,53438c93dd8a96fb0c47089f86103025f4d65f85,0,0,0,0,0,
21,20200708,IL,150554,1693144,,1385.0,,320.0,,153.0,,,A,7/8/2020 00:00,2020-07-08T00:00:00Z,07/07 20:00,7309.0,,2020-07-08T00:00:00Z,1842576.0,,,149432.0,7099.0,210.0,17,980,31762,1843698,1843698,32742,1843698,36,0,cde4ad647f075e5f6cb2e238aaed9157bc28c7ea,0,0,0,0,0,
22,20200707,IL,149574,1661382,,1385.0,,320.0,,153.0,,,A,7/7/2020 00:00,2020-07-07T00:00:00Z,07/06 20:00,7273.0,,2020-07-07T00:00:00Z,1809834.0,,,148452.0,7063.0,210.0,17,587,26407,1810956,1810956,26994,1810956,37,0,fccd8ef51ebb481b071e8c11c28722e11a250529,0,0,0,0,0,
23,20200706,IL,148987,1634975,,1395.0,,321.0,,151.0,,,A,7/6/2020 00:00,2020-07-06T00:00:00Z,07/05 20:00,7236.0,,2020-07-06T00:00:00Z,1782840.0,,,147865.0,7026.0,210.0,17,614,20520,1783962,1783962,21134,1783962,6,0,c39e1683643dde65cef7b53f6abcfbe2a3c63008,0,0,0,0,0,
24,20200705,IL,148373,1614455,,1326.0,,304.0,,165.0,,,A,7/5/2020 00:00,2020-07-05T00:00:00Z,07/04 20:00,7230.0,,2020-07-05T00:00:00Z,1761706.0,,,147251.0,7020.0,210.0,17,639,26596,1762828,1762828,27235,1762828,6,0,1398ab7c0a071bff3164fe7731ac3b5d1e98cc56,0,0,0,0,0,
25,20200704,IL,147734,1587859,,1346.0,,336.0,,182.0,,,A,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,7224.0,,2020-07-04T00:00:00Z,1734471.0,,,146612.0,7014.0,210.0,17,862,32974,1735593,1735593,33836,1735593,9,0,7c198c79596db2a5301b36de8ad316cf967f61a2,0,0,0,0,0,
26,20200703,IL,146872,1554885,,1349.0,,334.0,,164.0,,,A,7/3/2020 00:00,2020-07-03T00:00:00Z,07/02 20:00,7215.0,,2020-07-03T00:00:00Z,1700635.0,,,145750.0,7005.0,210.0,17,937,33450,1701757,1701757,34387,1701757,27,0,421e6e5636889c1290fcbefb44f0bf957c624a12,0,0,0,0,0,
27,20200702,IL,145935,1521435,,1651.0,,349.0,,195.0,,,A,7/2/2020 00:00,2020-07-02T00:00:00Z,07/01 20:00,7188.0,,2020-07-02T00:00:00Z,1666317.0,,,144882.0,6987.0,201.0,17,869,29393,1667370,1667370,30262,1667370,36,0,758bb7d407dda32e91ba1ad39f01f3fc334410e0,0,0,0,0,0,
28,20200701,IL,145066,1492042,,1511.0,,384.0,,189.0,,,A,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,7152.0,,2020-07-01T00:00:00Z,1636055.0,,,144013.0,6951.0,201.0,17,828,32262,1637108,1637108,33090,1637108,28,0,791ecdc620b0f3ab271a5466af3db3ead258fdc2,0,0,0,0,0,
29,20200630,IL,144238,1459780,,1560.0,,401.0,,185.0,,,A,6/30/2020 00:00,2020-06-30T00:00:00Z,06/29 20:00,7124.0,,2020-06-30T00:00:00Z,1602965.0,,,143185.0,6923.0,201.0,17,724,30345,1604018,1604018,31069,1604018,21,0,f01246957270232034d37f410b3bba1fb2651438,0,0,0,0,0,
30,20200629,IL,143514,1429435,,1501.0,,372.0,,187.0,,,A,6/29/2020 00:00,2020-06-29T00:00:00Z,06/28 20:00,7103.0,,2020-06-29T00:00:00Z,1571896.0,,,142461.0,6902.0,201.0,17,738,26180,1572949,1572949,26918,1572949,14,0,b0cbe9073728985f6787f762eac857460b9129a3,0,0,0,0,0,
