,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,IA,49806,478342,,243.0,,72.0,,25.0,,38657.0,,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,951.0,,2020-08-12T00:00:00Z,,,,49806,,,19,477,3751,528148,528148,4228,528148,11,0,704eced1559fd4f2e80005fd7dc2516dc12f2df2,0,0,0,0,0,
1,20200811,IA,49329,474591,,244.0,,64.0,,25.0,,38033.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,940.0,,2020-08-11T00:00:00Z,,,,49329,,,19,258,2275,523920,523920,2533,523920,7,0,65e922b83b5917c9235d50b164808b652c71781b,0,0,0,0,0,
2,20200810,IA,49071,472316,,224.0,,57.0,,23.0,,37317.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,933.0,,2020-08-10T00:00:00Z,,,,49071,,,19,282,2295,521387,521387,2577,521387,3,0,102989012be70e8905038e59b2775f9f75512b3c,0,0,0,0,0,
3,20200809,IA,48789,470021,,221.0,,57.0,,20.0,,37096.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,930.0,,2020-08-09T00:00:00Z,,,,48789,,,19,506,4757,518810,518810,5263,518810,5,0,29d808c82d16dfda953dbebaf94ae2d7881d059c,0,0,0,0,0,
4,20200808,IA,48283,465264,,229.0,,58.0,,22.0,,36882.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,925.0,,2020-08-08T00:00:00Z,,,,48283,,,19,418,4429,513547,513547,4847,513547,12,0,1f09e083e5c47c133a0ac0419a1e82b8e0c85060,0,0,0,0,0,
5,20200807,IA,47865,460835,,223.0,,65.0,,25.0,,36322.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,913.0,,2020-08-07T00:00:00Z,,,,47865,,,19,504,5076,508700,508700,5580,508700,5,0,b96b91632913c896ce25531049db38793744c8f5,0,0,0,0,0,
6,20200806,IA,47361,455759,,237.0,,68.0,,32.0,,35548.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,908.0,,2020-08-06T00:00:00Z,,,,47361,,,19,702,5990,503120,503120,6692,503120,9,0,4d47289d2091705029bbb261108305358e0eb55c,0,0,0,0,0,
7,20200805,IA,46659,449769,,248.0,,77.0,,34.0,,34733.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,899.0,,2020-08-05T00:00:00Z,,,,46659,,,19,617,5440,496428,496428,6057,496428,11,0,959ea6b6ae2d89a2f745defeb4caf7904dce3f64,0,0,0,0,0,
8,20200804,IA,46042,444329,,243.0,,75.0,,32.0,,34023.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,888.0,,2020-08-04T00:00:00Z,,,,46042,,,19,201,3695,490371,490371,3896,490371,6,0,d7fb58d277eb34bb6b73802afeab77a7c9b9146c,0,0,0,0,0,
9,20200803,IA,45841,440634,,241.0,,78.0,,31.0,,33219.0,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,882.0,,2020-08-03T00:00:00Z,,,,45841,,,19,349,2008,486475,486475,2357,486475,6,0,757b28e4e28d13ca2b64c0eb8927300a9fc4b3d6,0,0,0,0,0,
10,20200802,IA,45492,438626,,231.0,,75.0,,36.0,,32952.0,A+,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,876.0,,2020-08-02T00:00:00Z,,,,45492,,,19,516,4632,484118,484118,5148,484118,4,0,7eedbd8ac3469412b535a5fd3577523384d216c9,0,0,0,0,0,
11,20200801,IA,44976,433994,,242.0,,77.0,,35.0,,32819.0,A+,8/1/2020 14:00,2020-08-01T14:00:00Z,08/01 10:00,872.0,,2020-08-01T14:00:00Z,,,,44976,,,19,394,4164,478970,478970,4558,478970,5,0,258091f9e0c8c2c2f83dd17b3b5778dda02b078e,0,0,0,0,0,
12,20200731,IA,44582,429830,,225.0,,71.0,,29.0,,32578.0,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,867.0,,2020-07-31T00:00:00Z,,,,44582,,,19,544,4770,474412,474412,5314,474412,10,0,f52e0018acf65e565dea01b5453fe0c23dc54773,0,0,0,0,0,
13,20200730,IA,44038,425060,,237.0,,76.0,,31.0,,31835.0,A+,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,857.0,,2020-07-30T00:00:00Z,,,,44038,,,19,761,5625,469098,469098,6386,469098,11,0,ff6f56974f2e35d2cc5993e6d675961fd7436d17,0,0,0,0,0,
14,20200729,IA,43277,419435,,246.0,,76.0,,32.0,,31246.0,A+,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,846.0,,2020-07-29T00:00:00Z,,,,43277,,,19,500,4777,462712,462712,5277,462712,7,0,3a16b50004a9b01ebdedd02fcdc0c010fa73da85,0,0,0,0,0,
15,20200728,IA,42777,414658,,253.0,,75.0,,31.0,,30623.0,A+,7/28/2020 00:00,2020-07-28T00:00:00Z,07/27 20:00,839.0,,2020-07-28T00:00:00Z,,,,42777,,,19,223,2367,457435,457435,2590,457435,6,0,cd730f5075adabbf6c837c1075787ace79a61eeb,0,0,0,0,0,
16,20200727,IA,42554,412291,,241.0,,78.0,,32.0,,29873.0,A+,7/27/2020 00:00,2020-07-27T00:00:00Z,07/26 20:00,833.0,,2020-07-27T00:00:00Z,,,,42554,,,19,354,3892,454845,454845,4246,454845,6,0,0774997416210aab1bf46962e23d2d3767eaa56d,0,0,0,0,0,
17,20200726,IA,42200,408399,,226.0,,77.0,,29.0,,29625.0,A+,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,827.0,,2020-07-26T00:00:00Z,,,,42200,,,19,529,3807,450599,450599,4336,450599,1,0,369c7e91cc41f6b552a1520e3a39872f6c90fa2f,0,0,0,0,0,
18,20200725,IA,41671,404592,,220.0,,72.0,,28.0,,29477.0,A+,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,826.0,,2020-07-25T00:00:00Z,,,,41671,,,19,400,3990,446263,446263,4390,446263,3,0,092fd583182cf08a2c51697a252b7acd42f70b62,0,0,0,0,0,
19,20200724,IA,41271,400602,,230.0,,72.0,,27.0,,29216.0,A+,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,823.0,,2020-07-24T00:00:00Z,,,,41271,,,19,637,4950,441873,441873,5587,441873,5,0,120d3fa2b3815d610f0b0191c68258c35cd9b335,0,0,0,0,0,
20,20200723,IA,40634,395652,,232.0,,73.0,,32.0,,28924.0,A+,7/23/2020 00:00,2020-07-23T00:00:00Z,07/22 20:00,818.0,,2020-07-23T00:00:00Z,,,,40634,,,19,841,9009,436286,436286,9850,436286,10,0,6d406861e0da35ef7df510849232470813fbac50,0,0,0,0,0,
