,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,LA,134304,1464305.0,,1320.0,,,,211.0,,103512.0,,8/12/2020 13:00,2020-08-12T13:00:00Z,08/12 09:00,4361.0,,2020-08-12T13:00:00Z,,,,,4238.0,123.0,22,1179,28866,1598609,1598609,30045,1598609,48,0,21420e53efc95ef15de91a5b5d9268270aebde8b,0,0,0,0,0,
1,20200811,LA,133125,1435439.0,,1335.0,,,,214.0,,89083.0,A,8/11/2020 13:00,2020-08-11T13:00:00Z,08/11 09:00,4313.0,,2020-08-11T13:00:00Z,,,,,4195.0,118.0,22,1164,19467,1568564,1568564,20631,1568564,26,0,2411be3fcbec1387c842565f6e50f67a8b61b2ec,0,0,0,0,0,
2,20200810,LA,131961,1415972.0,,1382.0,,,,215.0,,89083.0,A,8/10/2020 13:00,2020-08-10T13:00:00Z,08/10 09:00,4287.0,,2020-08-10T13:00:00Z,,,,,4169.0,118.0,22,562,6800,1547933,1547933,7362,1547933,24,0,c38c3e052229260cd054cfc58c1a81ae8ac058ba,0,0,0,0,0,
3,20200809,LA,131399,1409172.0,,1383.0,,,,210.0,,89083.0,A,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,4263.0,,2020-08-09T00:00:00Z,,,,,4145.0,118.0,22,2653,32916,1540571,1540571,35569,1540571,56,0,90eecfb24d2e9fd9a903e57c2b02df37c803d210,0,0,0,0,0,
4,20200808,LA,128746,1376256.0,,1406.0,,,,207.0,,89083.0,A,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,4207.0,,2020-08-07T00:00:00Z,,,,,4089.0,118.0,22,0,0,1505002,1505002,0,1505002,0,0,77c31b2374cc28691de95cd93b5e3ab013b27f0c,0,0,0,0,0,
5,20200807,LA,128746,1376256.0,,1406.0,,,,207.0,,89083.0,A,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,4207.0,,2020-08-07T00:00:00Z,,,,,4089.0,118.0,22,1500,18530,1505002,1505002,20030,1505002,61,0,a30afc55ade32f5c8cbdec8da2a17d89bc329293,0,0,0,0,0,
6,20200806,LA,127246,1357726.0,,1457.0,,,,215.0,,89083.0,A,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,4146.0,,2020-08-06T00:00:00Z,,,,,4028.0,118.0,22,1303,13802,1484972,1484972,15105,1484972,50,0,d86e847ba82d344d549a60f0fc12fd74c929b232,0,0,0,0,0,
7,20200805,LA,125943,1343924.0,,1471.0,,,,223.0,,89083.0,A,8/5/2020 13:00,2020-08-05T13:00:00Z,08/05 09:00,4096.0,,2020-08-05T13:00:00Z,,,,,3978.0,118.0,22,1482,18528,1469867,1469867,20010,1469867,45,0,13683bcc0cabac27ad8e9cfe0a9e2714af8762e9,0,0,0,0,0,
8,20200804,LA,124461,1325396.0,,1487.0,,,,240.0,,74246.0,A,8/4/2020 13:00,2020-08-04T13:00:00Z,08/04 09:00,4051.0,,2020-08-04T13:00:00Z,,,,,3937.0,114.0,22,3615,52332,1449857,1449857,55947,1449857,27,0,a9db24647559de4192d035a630277f38390eefd6,0,0,0,0,0,
9,20200803,LA,120846,1273064.0,,1496.0,,,,230.0,,74246.0,A,8/3/2020 13:00,2020-08-03T13:00:00Z,08/03 09:00,4024.0,,2020-08-03T13:00:00Z,,,,,3910.0,114.0,22,1099,13371,1393910,1393910,14470,1393910,17,0,e4d69d99ce013a0ff1d891362b1671945e0b90b9,0,0,0,0,0,
