,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,MI,99856,2122530.0,,713.0,,184.0,,90.0,,63636.0,A+,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,6555.0,,2020-08-13T00:00:00Z,2249441.0,126911.0,2122530.0,90392,6289.0,266,,,233568.0,,,,,,,,,,26,1167,39378,2222386,2222386,40545,2222386,16,0,03f5046b86a4f8e7626dfc5ded31f7203bd2b2ac,0,0,0,0,0,
1,20200812,MI,98689,2083152.0,,640.0,,185.0,,84.0,,63636.0,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,6539.0,,2020-08-12T00:00:00Z,2208812.0,125660.0,2083152.0,89271,6273.0,266,,,231232.0,,,,,,,,,,26,476,34811,2181841,2181841,35287,2181841,6,0,f55e030be48beb613130308e52bcb3b5b53f5887,0,0,0,0,0,
2,20200811,MI,98213,2048341.0,,640.0,,185.0,,85.0,,63636.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,6533.0,,2020-08-11T00:00:00Z,2172898.0,124557.0,2048341.0,88756,6264.0,269,,,230011.0,,,,,,,,,,26,907,23058,2146554,2146554,23965,2146554,7,0,0a9aff3e0659437859ebd4b3cb5be1dd9d523ec5,0,0,0,0,0,
3,20200810,MI,97306,2025283.0,,640.0,,185.0,,132.0,,63636.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,6526.0,,2020-08-10T00:00:00Z,2148786.0,123503.0,2025283.0,87960,6257.0,269,,,229030.0,,,,,,,,,,26,580,20677,2122589,2122589,21257,2122589,7,0,8f678cc45b0b657afc94ed23bbbc6749009269e9,0,0,0,0,0,
4,20200809,MI,96726,2004606.0,,694.0,,232.0,,132.0,,63636.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,6519.0,,2020-08-09T00:00:00Z,2127348.0,122742.0,2004606.0,87403,6249.0,270,,,228519.0,,,,,,,,,,26,535,25676,2101332,2101332,26211,2101332,-1,0,7ce0823c5aeb08437e15f212390cc93e34c92179,0,0,0,0,0,
5,20200808,MI,96191,1978930.0,,694.0,,232.0,,132.0,,63636.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,6520.0,,2020-08-08T00:00:00Z,2100848.0,121918.0,1978930.0,86889,6250.0,270,,,227521.0,,,,,,,,,,26,721,37805,2075121,2075121,38526,2075121,-4,0,a684c1d33d738c8463a843e9c0ba3b47cadbda30,0,0,0,0,0,
6,20200807,MI,95470,1941125.0,,694.0,,232.0,,132.0,,60022.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,6524.0,,2020-08-07T00:00:00Z,2061956.0,120831.0,1941125.0,86191,6247.0,277,,,225674.0,,,,,,,,,,26,814,29203,2036595,2036595,30017,2036595,18,0,a65773553d536e2511672a6fd8f5746c87451db9,0,0,0,0,0,
7,20200806,MI,94656,1911922.0,,694.0,,232.0,,132.0,,60022.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,6506.0,,2020-08-06T00:00:00Z,2031654.0,119732.0,1911922.0,85429,6247.0,259,,,223982.0,,,,,,,,,,26,763,25343,2006578,2006578,26106,2006578,28,0,9797ccc1f4cea815d18dd566089b3c221189b55a,0,0,0,0,0,
8,20200805,MI,93893,1886579.0,,694.0,,232.0,,132.0,,60022.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,6478.0,,2020-08-05T00:00:00Z,2005494.0,118915.0,1886579.0,84707,6221.0,257,,,222019.0,,,,,,,,,,26,718,25339,1980472,1980472,26057,1980472,7,0,1730abe8974c80fabe6c345606f17962de44e569,0,0,0,0,0,
9,20200804,MI,93175,1861240.0,,694.0,,232.0,,132.0,,60022.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,6471.0,,2020-08-04T00:00:00Z,1979257.0,118017.0,1861240.0,84050,6219.0,252,,,220799.0,,,,,,,,,,26,801,26791,1954415,1954415,27592,1954415,8,0,22e562ef2941599ab51fa9f65da1c34475131fb9,0,0,0,0,0,
