,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,MN,63723,909823,,313.0,5783.0,152.0,1679.0,,,56659.0,A,8/13/2020 17:00,2020-08-13T17:00:00Z,08/13 13:00,1739.0,5783.0,2020-08-13T17:00:00Z,1219816,,,63723,1693.0,46.0,,973546.0,,,,,,,,,,,27,730,9720,973546,973546,10450,973546,8,41,85d3931c358a9d4abda8e670d72e4ccafbd2a7ba,0,0,0,0,0,
1,20200813,MN,62993,900103,,308.0,5742.0,154.0,1671.0,,,56346.0,A,8/12/2020 17:00,2020-08-12T17:00:00Z,08/12 13:00,1731.0,5742.0,2020-08-12T17:00:00Z,1203559,,,62993,1685.0,46.0,,963096.0,,,,,,,,,,,27,690,9621,963096,963096,10311,963096,7,31,d9793da3b13063d340ed65c86160aab005cccf30,0,0,0,0,0,
2,20200812,MN,62303,890482,,335.0,5711.0,154.0,1657.0,,,55855.0,A,8/11/2020 17:00,2020-08-11T17:00:00Z,08/11 13:00,1724.0,5711.0,2020-08-11T17:00:00Z,1188288,,,62303,1678.0,46.0,,952785.0,,,,,,,,,,,27,464,6291,952785,952785,6755,952785,17,50,cbfdc8a3823cffa2d79be526c7935ee833499e53,0,0,0,0,0,
3,20200811,MN,61839,884191,,337.0,5661.0,147.0,1648.0,,,55151.0,A,8/10/2020 17:00,2020-08-10T17:00:00Z,08/10 13:00,1707.0,5661.0,2020-08-10T17:00:00Z,1177935,,,61839,1666.0,41.0,,946030.0,,,,,,,,,,,27,323,1547,946030,946030,1870,946030,6,55,07546732ffcc349e2215db645ab72d11c4cfd7ab,0,0,0,0,0,
4,20200810,MN,61516,882644,,320.0,5606.0,159.0,1633.0,,,54364.0,A,8/9/2020 17:00,2020-08-09T17:00:00Z,08/09 13:00,1701.0,5606.0,2020-08-09T17:00:00Z,1172118,,,61516,1660.0,41.0,,944160.0,,,,,,,,,,,27,618,8569,944160,944160,9187,944160,3,51,66d79b7836fda6dadd71710662bb1532b43d6496,0,0,0,0,0,
5,20200809,MN,60898,874075,,312.0,5555.0,148.0,1615.0,,,53568.0,A,8/8/2020 17:00,2020-08-08T17:00:00Z,08/08 13:00,1698.0,5555.0,2020-08-08T17:00:00Z,1159139,,,60898,1657.0,41.0,,934973.0,,,,,,,,,,,27,797,12779,934973,934973,13576,934973,9,49,e694aecf7b3ccb4ef034984b7e30f853c635e920,0,0,0,0,0,
6,20200808,MN,60101,861296,,309.0,5506.0,154.0,1603.0,,,52768.0,A,8/7/2020 17:00,2020-08-07T17:00:00Z,08/07 13:00,1689.0,5506.0,2020-08-07T17:00:00Z,1138595,,,60101,1648.0,41.0,,921397.0,,,,,,,,,,,27,916,10210,921397,921397,11126,921397,8,48,d54e2cfa1e7bc79e4bc79320d0e6a82cea14f23f,0,0,0,0,0,
7,20200807,MN,59185,851086,,300.0,5458.0,155.0,1592.0,,,51940.0,A,8/6/2020 17:00,2020-08-06T17:00:00Z,08/06 13:00,1681.0,5458.0,2020-08-06T17:00:00Z,1121299,,,59185,1640.0,41.0,,910271.0,,,,,,,,,,,27,545,10246,910271,910271,10791,910271,4,37,52f8f9352af7b30673e6276d6ee52c65c50369a8,0,0,0,0,0,
8,20200806,MN,58640,840840,,319.0,5421.0,153.0,1583.0,,,51604.0,A,8/5/2020 17:00,2020-08-05T17:00:00Z,08/05 13:00,1677.0,5421.0,2020-08-05T17:00:00Z,1105094,,,58640,1636.0,41.0,,899480.0,,,,,,,,,,,27,861,10996,899480,899480,11857,899480,7,48,f17dc65901eec810c8abfb7eda69e3fdb78f9c8f,0,0,0,0,0,
9,20200805,MN,57779,829844,,305.0,5373.0,152.0,1575.0,,,51223.0,A,8/4/2020 17:00,2020-08-04T17:00:00Z,08/04 13:00,1670.0,5373.0,2020-08-04T17:00:00Z,1090303,,,57779,1629.0,41.0,,887623.0,,,,,,,,,,,27,617,8895,887623,887623,9512,887623,10,27,c7be61c9d963a6ed7d578dbf5e2b551bb06340e5,0,0,0,0,0,
