,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,MS,69986,438440.0,,1136.0,4847.0,318.0,,195.0,,49836.0,A+,8/12/2020 19:00,2020-08-12T19:00:00Z,08/12 15:00,2011.0,4847.0,2020-08-12T19:00:00Z,506353.0,,,68430.0,1942.0,69.0,,,17765.0,95.0,,,,,,,,,28,612,0,508426,508426,612,508426,22,53,0a276d1e1b39e030c809b1e212d823e81310db20,0,0,0,0,0,
1,20200812,MS,69374,438440.0,,1148.0,4794.0,323.0,,195.0,,49836.0,A+,8/11/2020 19:00,2020-08-11T19:00:00Z,08/11 15:00,1989.0,4794.0,2020-08-11T19:00:00Z,506353.0,,,67913.0,1922.0,67.0,,,17765.0,95.0,,,,,,,,,28,1081,2329,507814,507814,3410,507814,45,56,735f79728ff9f52b28e533514958ec6937f40c00,0,0,0,0,0,
2,20200811,MS,68293,436111.0,,1114.0,4738.0,325.0,,192.0,,49836.0,A+,8/10/2020 19:00,2020-08-10T19:00:00Z,08/10 15:00,1944.0,4738.0,2020-08-10T19:00:00Z,503050.0,,,66939.0,1879.0,65.0,,,17684.0,95.0,,,,,,,,,28,644,9167,504404,504404,9811,504404,32,58,686c69152b2df66888423b854bbb870feb981bc7,0,0,0,0,0,
3,20200810,MS,67649,426944.0,,1074.0,4680.0,328.0,,196.0,,42391.0,A+,8/9/2020 19:00,2020-08-09T19:00:00Z,08/09 15:00,1912.0,4680.0,2020-08-09T19:00:00Z,492386.0,,,66334.0,1847.0,65.0,,,17226.0,95.0,,,,,,,,,28,476,0,494593,494593,476,494593,16,74,8b70cca69810cd7b255cc7d3faa0f9f20ab71bf9,0,0,0,0,0,
4,20200809,MS,67173,426944.0,,1151.0,4606.0,334.0,,198.0,,42391.0,A+,8/7/2020 19:00,2020-08-07T19:00:00Z,08/07 15:00,1896.0,4606.0,2020-08-07T19:00:00Z,492386.0,,,65906.0,1832.0,64.0,,,17226.0,95.0,,,,,,,,,28,527,0,494117,494117,527,494117,22,0,7c9ed742a0ab8007ef781fda2e096a794bce2bd0,0,0,0,0,0,
5,20200808,MS,66646,426944.0,,1151.0,4606.0,334.0,,198.0,,42391.0,A+,8/7/2020 19:00,2020-08-07T19:00:00Z,08/07 15:00,1874.0,4606.0,2020-08-07T19:00:00Z,492386.0,,,65442.0,1812.0,62.0,,,17226.0,95.0,,,,,,,,,28,1210,5168,493590,493590,6378,493590,26,29,0f45fe1671a75cd5854b079a681c3e96a8c0ddfc,0,0,0,0,0,
6,20200807,MS,65436,421776.0,,1136.0,4577.0,335.0,,191.0,,42391.0,A+,8/6/2020 19:00,2020-08-06T19:00:00Z,08/06 15:00,1848.0,4577.0,2020-08-06T19:00:00Z,486071.0,,,64295.0,1793.0,55.0,,,17096.0,95.0,,,,,,,,,28,1036,3635,487212,487212,4671,487212,23,66,1b6fac22d0aad54b1ee78e6ad19363d6010233a0,0,0,0,0,0,
7,20200806,MS,64400,418141.0,,1184.0,4511.0,337.0,,193.0,,42391.0,A+,8/5/2020 19:00,2020-08-05T19:00:00Z,08/05 15:00,1825.0,4511.0,2020-08-05T19:00:00Z,481443.0,,,63302.0,1772.0,53.0,,,17031.0,95.0,,,,,,,,,28,956,3763,482541,482541,4719,482541,21,39,6625ffaa28b5a0487a31918bb185583f004a3751,0,0,0,0,0,
8,20200805,MS,63444,414378.0,,1179.0,4472.0,329.0,,192.0,,42391.0,A+,8/4/2020 19:00,2020-08-04T19:00:00Z,08/04 15:00,1804.0,4472.0,2020-08-04T19:00:00Z,476762.0,,,62384.0,1754.0,50.0,,,17016.0,95.0,,,,,,,,,28,1245,12786,477822,477822,14031,477822,51,48,593b48765d34c0b916d16d03842f04801bb15400,0,0,0,0,0,
9,20200804,MS,62199,401592.0,,1164.0,4424.0,314.0,,173.0,,42391.0,A+,8/3/2020 19:00,2020-08-03T19:00:00Z,08/03 15:00,1753.0,4424.0,2020-08-03T19:00:00Z,460594.0,,,61186.0,1705.0,48.0,,,16566.0,95.0,,,,,,,,,28,1074,0,463791,463791,1074,463791,42,44,692b28073bc147380d87e660445e2db02414c85a,0,0,0,0,0,
