,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,MT,4952,184994,,83.0,272.0,,,,,3275.0,C,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,75.0,272.0,2020-08-09T00:00:00Z,189946.0,,,4952.0,,,30,63,1037,189946,189946,1100,189946,0,4,d098c6c089086b7e61418639dbeaa41deb5b2a40,0,0,0,0,0,
1,20200808,MT,4889,183957,,81.0,268.0,,,,,3255.0,C,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,75.0,268.0,2020-08-08T00:00:00Z,188846.0,,,4889.0,,,30,132,958,188846,188846,1090,188846,5,4,f52448ab3e321afb7566146ac0293e9a767b3f21,0,0,0,0,0,
2,20200807,MT,4757,182999,,84.0,264.0,,,,,3122.0,C,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,70.0,264.0,2020-08-07T00:00:00Z,187756.0,,,4757.0,,,30,155,1786,187756,187756,1941,187756,5,5,8a4a374a3b1bee33abdbddc40fc91dc2daa65e06,0,0,0,0,0,
3,20200806,MT,4602,181213,,87.0,259.0,,,,,2964.0,C,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,65.0,259.0,2020-08-06T00:00:00Z,185815.0,,,4602.0,,,30,173,2518,185815,185815,2691,185815,0,11,6a9314260e8d4a74a3f589bedb9c58d04751c204,0,0,0,0,0,
4,20200805,MT,4429,178695,,79.0,248.0,,,,,2820.0,C,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,65.0,248.0,2020-08-05T00:00:00Z,183124.0,,,4429.0,,,30,115,1773,183124,183124,1888,183124,1,10,cd9c54fc9e872fd5d350b19b36ba259bece014e0,0,0,0,0,0,
5,20200804,MT,4314,176922,,70.0,238.0,,,,,2766.0,C,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,64.0,238.0,2020-08-04T00:00:00Z,181236.0,,,4314.0,,,30,81,1647,181236,181236,1728,181236,0,2,053d0a72e9b72aabe50a38b2236898ce3b3f66e8,0,0,0,0,0,
6,20200803,MT,4233,175275,,69.0,236.0,,,,,2653.0,C,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,64.0,236.0,2020-08-03T00:00:00Z,179508.0,,,4233.0,,,30,40,5173,179508,179508,5213,179508,3,3,e32ac12361135cab5a96f92e4c943e7080d5e273,0,0,0,0,0,
7,20200802,MT,4193,170102,,72.0,233.0,,,,,2466.0,C,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,61.0,233.0,2020-08-02T00:00:00Z,174295.0,,,4193.0,,,30,112,2630,174295,174295,2742,174295,0,3,532bda5210a37e78dc36e81c6682f5ee742e965c,0,0,0,0,0,
8,20200801,MT,4081,167472,,71.0,230.0,,,,,2456.0,C,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,61.0,230.0,2020-08-01T00:00:00Z,171553.0,,,4081.0,,,30,116,1467,171553,171553,1583,171553,1,0,3ae52f7fedf37c99fc9da0d51c7c75937c7e80ac,0,0,0,0,0,
9,20200731,MT,3965,166005,,71.0,230.0,,,,,2331.0,C,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,60.0,230.0,2020-07-31T00:00:00Z,169970.0,,,3965.0,,,30,151,1203,169970,169970,1354,169970,5,9,a8361397314e765c2640dd97a69dc7b9f63e2cae,0,0,0,0,0,
