,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,NE,28245,271429,,147.0,1715.0,,,,,20746.0,A,8/8/2020 22:45,2020-08-08T22:45:00Z,08/08 18:45,345.0,1715.0,2020-08-08T22:45:00Z,299967.0,,,28245.0,,,31,141,1995,299674,299674,2136,299674,0,11,7fe35c8398f9cf7840253ccd32732d479f3a338b,0,0,0,0,0,
1,20200808,NE,28104,269434,,156.0,1704.0,,,,,20333.0,A,8/7/2020 20:15,2020-08-07T20:15:00Z,08/07 16:15,345.0,1704.0,2020-08-07T20:15:00Z,297832.0,,,28104.0,,,31,283,3353,297538,297538,3636,297538,5,16,df0b4c56db7d0c7b08adef33f5b2ece967503331,0,0,0,0,0,
2,20200807,NE,27821,266081,,151.0,1688.0,,,,,20176.0,A,8/6/2020 20:15,2020-08-06T20:15:00Z,08/06 16:15,340.0,1688.0,2020-08-06T20:15:00Z,294198.0,,,27821.0,,,31,332,3389,293902,293902,3721,293902,5,7,5bac57ea1223eb4e07220c330fee38fa18e4179b,0,0,0,0,0,
3,20200806,NE,27489,262692,,148.0,1681.0,,,,,19885.0,A,8/5/2020 20:30,2020-08-05T20:30:00Z,08/05 16:30,335.0,1681.0,2020-08-05T20:30:00Z,290477.0,,,27489.0,,,31,311,2765,290181,290181,3076,290181,3,37,99d787da1367933e88bbd8d03bc9b44e024a3feb,0,0,0,0,0,
4,20200805,NE,27178,259927,,151.0,1644.0,,,,,19764.0,A,8/4/2020 20:30,2020-08-04T20:30:00Z,08/04 16:30,332.0,1644.0,2020-08-04T20:30:00Z,287394.0,,,27178.0,,,31,222,3024,287105,287105,3246,287105,0,0,c0141774155573af7eb1a9eb33e748ad2bf11590,0,0,0,0,0,
5,20200804,NE,26956,256903,,152.0,1644.0,,,,,19677.0,A,8/3/2020 20:35,2020-08-03T20:35:00Z,08/03 16:35,332.0,1644.0,2020-08-03T20:35:00Z,284145.0,,,26956.0,,,31,254,2499,283859,283859,2753,283859,0,14,e734e25225a322ce78df82853c075884bbf7747d,0,0,0,0,0,
6,20200803,NE,26702,254404,,144.0,1630.0,,,,,19575.0,A,8/2/2020 20:10,2020-08-02T20:10:00Z,08/02 16:10,332.0,1630.0,2020-08-02T20:10:00Z,281387.0,,,26702.0,,,31,311,3552,281106,281106,3863,281106,0,1,e47fe3bab84885a8c9af55169431584f7ba2f68d,0,0,0,0,0,
7,20200802,NE,26391,250852,,142.0,1629.0,,,,,19325.0,A,8/1/2020 20:10,2020-08-01T20:10:00Z,08/01 16:10,332.0,1629.0,2020-08-01T20:10:00Z,277526.0,,,26391.0,,,31,180,1804,277243,277243,1984,277243,0,7,848596a17f6f987566439dff5045cd243ae8fca9,0,0,0,0,0,
8,20200801,NE,26211,249048,,152.0,1622.0,,,,,19172.0,A,7/31/2020 20:10,2020-07-31T20:10:00Z,07/31 16:10,332.0,1622.0,2020-07-31T20:10:00Z,275544.0,,,26211.0,,,31,445,3858,275259,275259,4303,275259,4,12,516d81da02bb28dfa1b37e2fbc103c5ff654e2b3,0,0,0,0,0,
9,20200731,NE,25766,245190,,150.0,1610.0,,,,,18997.0,A,7/29/2020 21:00,2020-07-29T21:00:00Z,07/29 17:00,328.0,1610.0,2020-07-29T21:00:00Z,271245.0,,,25766.0,,,31,344,3719,270956,270956,4063,270956,4,0,1c72161a6a4eb92c5d28a6d9fe9f365f719f4dc2,0,0,0,0,0,
10,20200730,NE,25422,241471,,137.0,1610.0,,,,,18802.0,A,7/29/2020 20:20,2020-07-29T20:20:00Z,07/29 16:20,324.0,1610.0,2020-07-29T20:20:00Z,267177.0,,,25422.0,,,31,265,2595,266893,266893,2860,266893,3,4,45e3de6e3ffda38b76506b7b751f95fb692fbd04,0,0,0,0,0,
11,20200729,NE,25157,238876,,122.0,1606.0,,,,,18702.0,A,7/28/2020 20:10,2020-07-28T20:10:00Z,07/28 16:10,321.0,1606.0,2020-07-28T20:10:00Z,264313.0,,,25157.0,,,31,258,2672,264033,264033,2930,264033,4,19,07fb6f105e7d257b4b4c607f41a62000c067ff19,0,0,0,0,0,
12,20200728,NE,24899,236204,,117.0,1587.0,,,,,18520.0,A,7/27/2020 20:10,2020-07-27T20:10:00Z,07/27 16:10,317.0,1587.0,2020-07-27T20:10:00Z,261383.0,,,24899.0,,,31,281,1995,261103,261103,2276,261103,1,17,497debe2ffc61862313576fd39822a91ba3619a4,0,0,0,0,0,
13,20200727,NE,24618,234209,,109.0,1570.0,,,,,18097.0,A,7/26/2020 19:15,2020-07-26T19:15:00Z,07/26 15:15,316.0,1570.0,2020-07-26T19:15:00Z,259105.0,,,24618.0,,,31,223,3140,258827,258827,3363,258827,0,3,1bf8e99c649910ef58fc68a298c1d98796a653c7,0,0,0,0,0,
14,20200726,NE,24395,231069,,103.0,1567.0,,,,,18097.0,A,7/25/2020 20:05,2020-07-25T20:05:00Z,07/25 16:05,316.0,1567.0,2020-07-25T20:05:00Z,255740.0,,,24395.0,,,31,221,2638,255464,255464,2859,255464,0,19,5373780de9f906b8f9ebb9a95048b756ff70b8a0,0,0,0,0,0,
15,20200725,NE,24174,228431,,122.0,1548.0,,,,,17999.0,A,7/24/2020 20:05,2020-07-24T20:05:00Z,07/24 16:05,316.0,1548.0,2020-07-24T20:05:00Z,252881.0,,,24174.0,,,31,356,3175,252605,252605,3531,252605,0,0,826a339c0b11d3a10d599ef136e30fad904b8d35,0,0,0,0,0,
