,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,NH,6831,165754,,23.0,701.0,,210.0,,,6063.0,B,8/9/2020 09:00,2020-08-09T09:00:00Z,08/09 05:00,419.0,701.0,2020-08-09T09:00:00Z,172585.0,,,6831.0,,,33,13,1321,172585,172585,1334,172585,0,1,4afcbf6ca005f1c47f3683964b75dfe83a0df5b3,0,0,0,0,0,
1,20200808,NH,6818,164433,,24.0,700.0,,209.0,,,6049.0,B,8/8/2020 09:00,2020-08-08T09:00:00Z,08/08 05:00,419.0,700.0,2020-08-08T09:00:00Z,171251.0,,,6818.0,,,33,76,2710,171251,171251,2786,171251,0,1,0d9422a7f3796451cb69b593440eb2cba8d6bd04,0,0,0,0,0,
2,20200807,NH,6742,161723,,21.0,699.0,,209.0,,,5941.0,B,8/6/2020 09:00,2020-08-06T09:00:00Z,08/06 05:00,419.0,699.0,2020-08-06T09:00:00Z,168465.0,,,6742.0,,,33,23,1035,168465,168465,1058,168465,1,1,6bd0d9ca3f95957000acd00aebc0caf30b8e2c9d,0,0,0,0,0,
3,20200806,NH,6719,160688,,20.0,698.0,,209.0,,,5923.0,B,8/5/2020 09:00,2020-08-05T09:00:00Z,08/05 05:00,418.0,698.0,2020-08-05T09:00:00Z,167407.0,,,6719.0,,,33,26,1405,167407,167407,1431,167407,0,0,0e75a90445e1c0d0b7481c186761a056be043ffe,0,0,0,0,0,
4,20200805,NH,6693,159283,,23.0,698.0,,209.0,,,5915.0,B,8/4/2020 09:00,2020-08-04T09:00:00Z,08/04 05:00,418.0,698.0,2020-08-04T09:00:00Z,165976.0,,,6693.0,,,33,33,1107,165976,165976,1140,165976,1,1,05813c85b70da8e75b7dd9f7f5746f9b2a2ac588,0,0,0,0,0,
5,20200804,NH,6660,158176,,23.0,697.0,,209.0,,,5848.0,B,8/3/2020 09:00,2020-08-03T09:00:00Z,08/03 05:00,417.0,697.0,2020-08-03T09:00:00Z,164836.0,,,6660.0,,,33,26,2188,164836,164836,2214,164836,0,1,a3930769080bd23b72332334076f474487838ecb,0,0,0,0,0,
6,20200803,NH,6634,155988,,24.0,696.0,,209.0,,,5820.0,B,8/2/2020 09:00,2020-08-02T09:00:00Z,08/02 05:00,417.0,696.0,2020-08-02T09:00:00Z,162622.0,,,6634.0,,,33,21,1639,162622,162622,1660,162622,1,1,29d061595ea715064642f383248d6571e00d253c,0,0,0,0,0,
7,20200802,NH,6613,154349,,22.0,695.0,,208.0,,,5794.0,B,8/1/2020 09:00,2020-08-01T09:00:00Z,08/01 05:00,416.0,695.0,2020-08-01T09:00:00Z,160962.0,,,6613.0,,,33,0,0,160962,160962,0,160962,0,0,a01e385141e4c82fce5c0b4433e069be4c7e4162,0,0,0,0,0,
8,20200801,NH,6613,154349,,22.0,695.0,,208.0,,,5794.0,B,8/1/2020 09:00,2020-08-01T09:00:00Z,08/01 05:00,416.0,695.0,2020-08-01T09:00:00Z,160962.0,,,6613.0,,,33,69,2584,160962,160962,2653,160962,1,3,dce282bf4659ff6fd067ae153477c09f20ea0c15,0,0,0,0,0,
9,20200731,NH,6544,151765,,21.0,692.0,,207.0,,,5722.0,B,7/30/2020 09:00,2020-07-30T09:00:00Z,07/30 05:00,415.0,692.0,2020-07-30T09:00:00Z,158309.0,,,6544.0,,,33,31,881,158309,158309,912,158309,4,2,cdd4f8dea3569fecc44932a975beb3c591509254,0,0,0,0,0,
10,20200730,NH,6513,150884,,22.0,690.0,,205.0,,,5710.0,B,7/29/2020 09:00,2020-07-29T09:00:00Z,07/29 05:00,411.0,690.0,2020-07-29T09:00:00Z,157397.0,,,6513.0,,,33,13,1301,157397,157397,1314,157397,2,0,070bd1a703ce734f39dfc3e0d93c82798892b8a2,0,0,0,0,0,
11,20200729,NH,6500,149583,,21.0,690.0,,202.0,,,5688.0,B,7/28/2020 09:00,2020-07-28T09:00:00Z,07/28 05:00,409.0,690.0,2020-07-28T09:00:00Z,156083.0,,,6500.0,,,33,0,0,156083,156083,0,156083,0,0,01155ab5b70323c0c1855c7681b4098b9e5f0efb,0,0,0,0,0,
12,20200728,NH,6500,149583,,21.0,690.0,,202.0,,,5688.0,B,7/28/2020 09:00,2020-07-28T09:00:00Z,07/28 05:00,409.0,690.0,2020-07-28T09:00:00Z,156083.0,,,6500.0,,,33,64,2410,156083,156083,2474,156083,0,2,f293f86943955b05ea17532c55ed2f2ed271b919,0,0,0,0,0,
