,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,NJ,185938,2190078.0,,592.0,22096.0,111.0,,35.0,,33223.0,,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,15885.0,22096.0,2020-08-12T00:00:00Z,,,,185938.0,14046.0,1839.0,34,463,25243,2376016,2376016,25706,2376016,-5,44,83ea40fd2bd71e8ab04d4469c76385d0e53b2f3e,0,0,0,0,0,
1,20200811,NJ,185475,2164835.0,,538.0,22052.0,101.0,,43.0,,33223.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,15890.0,22052.0,2020-08-11T00:00:00Z,,,,185475.0,14037.0,1853.0,34,444,25820,2350310,2350310,26264,2350310,12,60,d204e6b874467ccddf7bdb37b187bac76c4f0ce5,0,0,0,0,0,
2,20200810,NJ,185031,2139015.0,,545.0,21992.0,83.0,,29.0,,33013.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,15878.0,21992.0,2020-08-10T00:00:00Z,,,,185031.0,14025.0,1853.0,34,258,21936,2324046,2324046,22194,2324046,4,0,3dc731631f1e27c2fd6ea4fe48557b708acaf989,0,0,0,0,0,
3,20200809,NJ,184773,2117079.0,,483.0,21992.0,83.0,,31.0,,32977.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,15874.0,21992.0,2020-08-09T00:00:00Z,,,,184773.0,14021.0,1853.0,34,344,48716,2301852,2301852,49060,2301852,5,43,075e6fc2a07301b7ee1418993a9cf5fd6be3760d,0,0,0,0,0,
4,20200808,NJ,184429,2068363.0,,540.0,21949.0,94.0,,34.0,,32956.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,15869.0,21949.0,2020-08-08T00:00:00Z,,,,184429.0,14016.0,1853.0,34,368,-368,2252792,2252792,0,2252792,9,0,551a54da78a2fc77d82eb3d6917f744bf9d37918,0,0,0,0,0,
5,20200807,NJ,184061,2068731.0,,551.0,21949.0,120.0,,73.0,,32956.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,15860.0,21949.0,2020-08-07T00:00:00Z,,,,184061.0,14007.0,1853.0,34,360,22187,2252792,2252792,22547,2252792,11,384,1753000e8b474f514f39050e3775e7fcb08067cd,0,0,0,0,0,
6,20200806,NJ,183701,2046544.0,,754.0,21565.0,129.0,,54.0,,32811.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,15849.0,21565.0,2020-08-06T00:00:00Z,,,,183701.0,13996.0,1853.0,34,374,42853,2230245,2230245,43227,2230245,7,0,8a6e4f761a1738e1d254d4670fc7a7f02d84535a,0,0,0,0,0,
7,20200805,NJ,183327,2003691.0,,784.0,21565.0,117.0,,47.0,,32749.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,15842.0,21565.0,2020-08-05T00:00:00Z,,,,183327.0,13989.0,1853.0,34,357,21725,2187018,2187018,22082,2187018,7,0,9591ad490627371373c0af4a65cf1efaa23e7444,0,0,0,0,0,
8,20200804,NJ,182970,1981966.0,,470.0,21565.0,126.0,,53.0,,32697.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,15835.0,21565.0,2020-08-04T00:00:00Z,,,,182970.0,13982.0,1853.0,34,356,0,2164936,2164936,356,2164936,11,0,184a05e16a859b24aee28a34d8916c02cc969d7f,0,0,0,0,0,
9,20200803,NJ,182614,1981966.0,,738.0,21565.0,144.0,,49.0,,32660.0,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,15824.0,21565.0,2020-08-03T00:00:00Z,,,,182614.0,13971.0,1853.0,34,264,18438,2164580,2164580,18702,2164580,10,0,09a94e17a9eec73e7ee2c2b9a22e1edc71208874,0,0,0,0,0,
10,20200802,NJ,182350,1963528.0,,695.0,21565.0,113.0,,45.0,,32475.0,A+,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,15814.0,21565.0,2020-08-02T00:00:00Z,,,,182350.0,13961.0,1853.0,34,321,48859,2145878,2145878,49180,2145878,6,0,b12deb6926e436e52c36b1f970e4dd160f3fcc0d,0,0,0,0,0,
11,20200801,NJ,182029,1914669.0,,695.0,21565.0,113.0,,45.0,,32475.0,A+,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,15808.0,21565.0,2020-08-01T00:00:00Z,,,,182029.0,13955.0,1853.0,34,369,0,2096698,2096698,369,2096698,11,0,e017b4913231c831c125933f2603f425843132f4,0,0,0,0,0,
12,20200731,NJ,181660,1914669.0,,695.0,21565.0,113.0,,45.0,,32475.0,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,15797.0,21565.0,2020-07-31T00:00:00Z,,,,181660.0,13944.0,1853.0,34,690,36075,2096329,2096329,36765,2096329,10,0,4647f8d6d3e096469563642b3ddd7b7b366a7a0c,0,0,0,0,0,
13,20200730,NJ,180970,1878594.0,,759.0,21565.0,123.0,,51.0,,32423.0,A+,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,15787.0,21565.0,2020-07-30T00:00:00Z,,,,180970.0,13934.0,1853.0,34,204,16678,2059564,2059564,16882,2059564,11,244,6902870ff8044fee29e22b5c6fae4715c0387224,0,0,0,0,0,
14,20200729,NJ,180766,1861916.0,,761.0,21321.0,116.0,,49.0,,32365.0,A+,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,15776.0,21321.0,2020-07-29T00:00:00Z,,,,180766.0,13923.0,1853.0,34,471,57907,2042682,2042682,58378,2042682,18,0,1e41325ca7585a509eeba969cc6521346f381338,0,0,0,0,0,
15,20200728,NJ,180295,1804009.0,,718.0,21321.0,112.0,,50.0,,32313.0,A+,7/28/2020 13:00,2020-07-28T13:00:00Z,07/28 09:00,15758.0,21321.0,2020-07-28T13:00:00Z,,,,180295.0,13905.0,1853.0,34,483,-20,1984304,1984304,463,1984304,21,0,d6289f4029562ec1cf572c86ba98567196532fb5,0,0,0,0,0,
16,20200727,NJ,179812,1804029.0,,695.0,21321.0,128.0,,54.0,,32275.0,A+,7/27/2020 13:00,2020-07-27T13:00:00Z,07/27 09:00,15737.0,21321.0,2020-07-27T13:00:00Z,,,,179812.0,13884.0,1853.0,34,449,30103,1983841,1983841,30552,1983841,17,7,cbed314a58eb3756c7236647a5863656c018729c,0,0,0,0,0,
17,20200726,NJ,179363,1773926.0,,725.0,21314.0,126.0,,54.0,,32133.0,A+,7/26/2020 13:00,2020-07-26T13:00:00Z,07/26 09:00,15720.0,21314.0,2020-07-26T13:00:00Z,,,,179363.0,13867.0,1853.0,34,505,64627,1953289,1953289,65132,1953289,11,0,4b91e6aacb3353646e483968817e50876b5bfc4c,0,0,0,0,0,
18,20200725,NJ,178858,1709299.0,,831.0,21314.0,143.0,,56.0,,32061.0,A+,7/25/2020 13:00,2020-07-25T13:00:00Z,07/25 09:00,15709.0,21314.0,2020-07-25T13:00:00Z,,,,178858.0,13856.0,1853.0,34,513,0,1888157,1888157,513,1888157,11,130,18be01edec323465281d4299c526742135e0d894,0,0,0,0,0,
19,20200724,NJ,178345,1709299.0,,800.0,21184.0,138.0,,62.0,,32001.0,A+,7/24/2020 13:00,2020-07-24T13:00:00Z,07/24 09:00,15698.0,21184.0,2020-07-24T13:00:00Z,,,,178345.0,13845.0,1853.0,34,458,27548,1887644,1887644,28006,1887644,35,0,f687c86e112da9058cb3dd4b6b36b9b7829777c3,0,0,0,0,0,
20,20200723,NJ,177887,1681751.0,,869.0,21184.0,152.0,,73.0,,31925.0,A+,7/23/2020 13:00,2020-07-23T13:00:00Z,07/23 09:00,15663.0,21184.0,2020-07-23T13:00:00Z,,,,177887.0,13810.0,1853.0,34,242,18467,1859638,1859638,18709,1859638,23,0,7984ceb055646e88155eb4dcbec878101ae83fd5,0,0,0,0,0,
21,20200722,NJ,177645,1663284.0,,873.0,21184.0,151.0,,77.0,,31850.0,A+,7/22/2020 13:00,2020-07-22T13:00:00Z,07/22 09:00,15640.0,21184.0,2020-07-22T13:00:00Z,,,,177645.0,13787.0,1853.0,34,389,22585,1840929,1840929,22974,1840929,24,85,b0108ecc118e0a94a631179c6b1745a58be36b0d,0,0,0,0,0,
22,20200721,NJ,177256,1640699.0,,833.0,21099.0,169.0,,79.0,,31781.0,A+,7/21/2020 13:00,2020-07-21T13:00:00Z,07/21 09:00,15616.0,21099.0,2020-07-21T13:00:00Z,,,,177256.0,13763.0,1853.0,34,293,14788,1817955,1817955,15081,1817955,22,41,c5ca06ab63100660e04fcf45da494eb9199cf544,0,0,0,0,0,
23,20200720,NJ,176963,1625911.0,,798.0,21058.0,146.0,,72.0,,31448.0,A+,7/20/2020 13:00,2020-07-20T13:00:00Z,07/20 09:00,15594.0,21058.0,2020-07-20T13:00:00Z,,,,176963.0,13741.0,1853.0,34,180,11557,1802874,1802874,11737,1802874,10,-6,31ffedabf874c19f8e14f9a566d759750e5d8185,0,0,0,0,0,
24,20200719,NJ,176783,1614354.0,,766.0,21064.0,149.0,,65.0,,31405.0,A+,7/19/2020 13:00,2020-07-19T13:00:00Z,07/19 09:00,15584.0,21064.0,2020-07-19T13:00:00Z,,,,176783.0,13732.0,1852.0,34,-31,9718,1791137,1791137,9687,1791137,7,0,26c43d7a053d408fb561aba2c355637001015d8f,0,0,0,0,0,
25,20200718,NJ,176814,1604636.0,,800.0,21064.0,141.0,,73.0,,31400.0,A+,7/18/2020 13:00,2020-07-18T13:00:00Z,07/18 09:00,15577.0,21064.0,2020-07-18T13:00:00Z,,,,176814.0,13725.0,1852.0,34,263,12259,1781450,1781450,12522,1781450,15,61,537c2319f997827148031c608649b162908dd1c6,0,0,0,0,0,
26,20200717,NJ,176551,1592377.0,,868.0,21003.0,141.0,,66.0,,31400.0,A+,7/17/2020 13:00,2020-07-17T13:00:00Z,07/17 09:00,15562.0,21003.0,2020-07-17T13:00:00Z,,,,176551.0,13710.0,1852.0,34,50,8974,1768928,1768928,9024,1768928,19,229,c9a73344edd32b4ada98c4b27d25d1c099123d7b,0,0,0,0,0,
27,20200716,NJ,176501,1583403.0,,862.0,20774.0,146.0,,64.0,,31400.0,A+,7/16/2020 13:00,2020-07-16T13:00:00Z,07/16 09:00,15543.0,20774.0,2020-07-16T13:00:00Z,,,,176501.0,13691.0,1852.0,34,223,17334,1759904,1759904,17557,1759904,31,0,39af2c405d103ed0ed5d947a823a8418fcfffbce,0,0,0,0,0,
28,20200715,NJ,176278,1566069.0,,923.0,20774.0,151.0,,78.0,,31400.0,A+,7/15/2020 13:00,2020-07-15T13:00:00Z,07/15 09:00,15512.0,20774.0,2020-07-15T13:00:00Z,,,,176278.0,13660.0,1852.0,34,363,20753,1742347,1742347,21116,1742347,25,142,9de8ecc59449c4261ebc16059cb7a46c52ff5091,0,0,0,0,0,
29,20200714,NJ,175915,1545316.0,,888.0,20632.0,149.0,,79.0,,31318.0,A+,7/14/2020 13:00,2020-07-14T13:00:00Z,07/14 09:00,15487.0,20632.0,2020-07-14T13:00:00Z,,,,175915.0,13635.0,1852.0,34,393,20453,1721231,1721231,20846,1721231,22,0,898b55071a936c196a17747191ac83ba30b4e80d,0,0,0,0,0,
30,20200713,NJ,175522,1524863.0,,892.0,20632.0,166.0,,81.0,,31261.0,A+,7/13/2020 13:00,2020-07-13T13:00:00Z,07/13 09:00,15465.0,20632.0,2020-07-13T13:00:00Z,,,,175522.0,13613.0,1852.0,34,224,14557,1700385,1700385,14781,1700385,19,0,27ccbab72bb2987b20dfd82ebe8e77c29e43b1c1,0,0,0,0,0,
31,20200712,NJ,175298,1510306.0,,890.0,20632.0,163.0,,86.0,,31190.0,A+,7/12/2020 13:00,2020-07-12T13:00:00Z,07/12 09:00,15446.0,20632.0,2020-07-12T13:00:00Z,,,,175298.0,13594.0,1852.0,34,339,23981,1685604,1685604,24320,1685604,16,0,7a3f1404a60357f7bca293e39e2845e99bb6d312,0,0,0,0,0,
32,20200711,NJ,174959,1486325.0,,872.0,20632.0,166.0,,87.0,,31092.0,A+,7/11/2020 13:00,2020-07-11T13:00:00Z,07/11 09:00,15430.0,20632.0,2020-07-11T13:00:00Z,,,,174959.0,13578.0,1852.0,34,331,37795,1661284,1661284,38126,1661284,46,65,0ed5d592232c1c2361f14201dd73732b5ff59a5f,0,0,0,0,0,
33,20200710,NJ,174628,1448530.0,,904.0,20567.0,162.0,,94.0,,31014.0,A+,7/10/2020 13:00,2020-07-10T13:00:00Z,07/10 09:00,15384.0,20567.0,2020-07-10T13:00:00Z,,,,174628.0,13532.0,1852.0,34,388,23353,1623158,1623158,23741,1623158,31,62,4bacbb2d24cb22ee4ab9c9885c1146b0f83b0a55,0,0,0,0,0,
34,20200709,NJ,174240,1425177.0,,963.0,20505.0,170.0,,104.0,,30938.0,A+,7/9/2020 13:00,2020-07-09T13:00:00Z,07/09 09:00,15353.0,20505.0,2020-07-09T13:00:00Z,,,,174240.0,13501.0,1852.0,34,201,21368,1599417,1599417,21569,1599417,25,79,4d49aaebb7c4858fc8f3d44297e818a206aa7394,0,0,0,0,0,
35,20200708,NJ,174039,1403809.0,,935.0,20426.0,175.0,,142.0,,30844.0,A+,7/8/2020 13:00,2020-07-08T13:00:00Z,07/08 09:00,15328.0,20426.0,2020-07-08T13:00:00Z,,,,174039.0,13476.0,1852.0,34,161,17554,1577848,1577848,17715,1577848,52,180,8e9e784ed095c56ca053a7c240ae6007a45d83f0,0,0,0,0,0,
36,20200707,NJ,173878,1386255.0,,903.0,20246.0,169.0,,142.0,,30774.0,A+,7/7/2020 13:00,2020-07-07T13:00:00Z,07/07 09:00,15276.0,20246.0,2020-07-07T13:00:00Z,,,,173878.0,13425.0,1851.0,34,267,10657,1560133,1560133,10924,1560133,53,9,109761ff46500f18c8292c980165fb65e9a5181e,0,0,0,0,0,
37,20200706,NJ,173611,1375598.0,,861.0,20237.0,187.0,,152.0,,30729.0,A+,7/5/2020 13:00,2020-07-05T13:00:00Z,07/05 09:00,15223.0,20237.0,2020-07-05T13:00:00Z,,,,173611.0,13373.0,1850.0,34,209,14360,1549209,1549209,14569,1549209,19,0,d1ca45c1845df56693895a93edad3f9ee06b93dd,0,0,0,0,0,
38,20200705,NJ,173402,1361238.0,,917.0,20237.0,210.0,,151.0,,30660.0,A+,7/5/2020 13:00,2020-07-05T13:00:00Z,07/05 09:00,15204.0,20237.0,2020-07-05T13:00:00Z,,,,173402.0,13355.0,1849.0,34,369,25723,1534640,1534640,26092,1534640,22,4,03e7af068ce0b5b0fd6510ddc8f117cea64a690f,0,0,0,0,0,
39,20200704,NJ,173033,1335515.0,,983.0,20233.0,205.0,,164.0,,30565.0,A+,7/4/2020 13:00,2020-07-04T13:00:00Z,07/04 09:00,15182.0,20233.0,2020-07-04T13:00:00Z,,,,173033.0,13333.0,1849.0,34,291,22756,1508548,1508548,23047,1508548,25,19,045aeca3aa39f8aa7ee886d24b7479e187979348,0,0,0,0,0,
40,20200703,NJ,172742,1312759.0,,1028.0,20214.0,216.0,,167.0,,30464.0,A+,7/3/2020 13:00,2020-07-03T13:00:00Z,07/03 09:00,15157.0,20214.0,2020-07-03T13:00:00Z,,,,172742.0,13308.0,1849.0,34,386,21202,1485501,1485501,21588,1485501,58,73,10379238abb703381f86cee6da040f00e765739b,0,0,0,0,0,
41,20200702,NJ,172356,1291557.0,,1027.0,20141.0,216.0,,170.0,,30383.0,A+,7/2/2020 13:00,2020-07-02T13:00:00Z,07/02 09:00,15099.0,20141.0,2020-07-02T13:00:00Z,,,,172356.0,13251.0,1848.0,34,428,20548,1463913,1463913,20976,1463913,27,87,fc0f201da7029f4a05247da0f8c858359aac4ee8,0,0,0,0,0,
42,20200701,NJ,171928,1271009.0,,1080.0,20054.0,217.0,,178.0,,30300.0,A+,7/1/2020 13:00,2020-07-01T13:00:00Z,07/01 09:00,15072.0,20054.0,2020-07-01T13:00:00Z,,,,171928.0,13224.0,1848.0,34,261,20302,1442937,1442937,20563,1442937,43,207,bf67c32f01c41668fb4c29037d1d8a6d4775eaad,0,0,0,0,0,
43,20200630,NJ,171667,1250707.0,,992.0,19847.0,211.0,,174.0,,30213.0,A+,6/30/2020 13:00,2020-06-30T13:00:00Z,06/30 09:00,15029.0,19847.0,2020-06-30T13:00:00Z,,,,171667.0,13181.0,1848.0,34,395,17995,1422374,1422374,18390,1422374,43,0,77ff4c4743f3f3cd151778541f2f085ebda86049,0,0,0,0,0,
44,20200629,NJ,171272,1232712.0,,978.0,19847.0,225.0,,185.0,,30163.0,A+,6/29/2020 13:00,2020-06-29T13:00:00Z,06/29 09:00,14986.0,19847.0,2020-06-29T13:00:00Z,,,,171272.0,13138.0,1848.0,34,90,16061,1403984,1403984,16151,1403984,19,6,e612dbeb327d2d72a83775c15498b4f1fd7200aa,0,0,0,0,0,
45,20200628,NJ,171182,1216651.0,,1014.0,19841.0,223.0,,187.0,,30092.0,A+,6/28/2020 13:00,2020-06-28T13:00:00Z,06/28 09:00,14967.0,19841.0,2020-06-28T13:00:00Z,,,,171182.0,13121.0,1846.0,34,309,20274,1387833,1387833,20583,1387833,27,18,f9f4601bce42306f92697bb222038bdf161fc607,0,0,0,0,0,
46,20200627,NJ,170873,1196377.0,,1103.0,19823.0,236.0,,200.0,,29967.0,A+,6/27/2020 13:00,2020-06-27T13:00:00Z,06/27 09:00,14940.0,19823.0,2020-06-27T13:00:00Z,,,,170873.0,13094.0,1846.0,34,289,20289,1367250,1367250,20578,1367250,36,71,3f89d34c02362de479ccf206099deca762b70f03,0,0,0,0,0,
47,20200626,NJ,170584,1176088.0,,1118.0,19752.0,234.0,,206.0,,29855.0,A+,6/26/2020 13:00,2020-06-26T13:00:00Z,06/26 09:00,14904.0,19752.0,2020-06-26T13:00:00Z,,,,170584.0,13060.0,1844.0,34,388,25374,1346672,1346672,25762,1346672,43,84,9797e8b8f7834545b9dd0f09d4c026104a8abf8b,0,0,0,0,0,
48,20200625,NJ,170196,1150714.0,,1182.0,19668.0,252.0,,210.0,,29740.0,A+,6/25/2020 13:00,2020-06-25T13:00:00Z,06/25 09:00,14861.0,19668.0,2020-06-25T13:00:00Z,,,,170196.0,13018.0,1843.0,34,304,20961,1320910,1320910,21265,1320910,23,70,f57de78addb2c44e53ba30089960b14a228ac422,0,0,0,0,0,
49,20200624,NJ,169892,1129753.0,,1196.0,19598.0,275.0,,214.0,,29627.0,A+,6/24/2020 13:00,2020-06-24T13:00:00Z,06/24 09:00,14838.0,19598.0,2020-06-24T13:00:00Z,,,,169892.0,12995.0,1843.0,34,158,16036,1299645,1299645,16194,1299645,46,86,097f0f145ca2ab03c6885c34402bf6f3c8797c00,0,0,0,0,0,
