,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,NY,420860,6088784,,548.0,89995.0,131.0,,66.0,,73689.0,A,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,25202.0,89995.0,2020-08-08T23:59:00Z,6509644.0,,,420860.0,,,36,515,65297,6509644,6509644,65812,6509644,7,0,c5b9c6267c4dcd728f45e0f7fccd90a4e3dfb1c9,0,0,0,0,0,
1,20200808,NY,420345,6023487,,573.0,89995.0,133.0,,64.0,,73609.0,A,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,25195.0,89995.0,2020-08-07T23:59:00Z,6443832.0,,,420345.0,,,36,703,74154,6443832,6443832,74857,6443832,5,0,ce02206adb4f56c80e880a5b34cad6aa2cc2576b,0,0,0,0,0,
2,20200807,NY,419642,5949333,,579.0,89995.0,139.0,,66.0,,73530.0,A,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,25190.0,89995.0,2020-08-06T23:59:00Z,6368975.0,,,419642.0,,,36,714,69456,6368975,6368975,70170,6368975,5,0,43fff99305316e384cfd48689d6f531edacfc79f,0,0,0,0,0,
3,20200806,NY,418928,5879877,,570.0,89995.0,132.0,,69.0,,73472.0,A,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,25185.0,89995.0,2020-08-05T23:59:00Z,6298805.0,,,418928.0,,,36,703,71667,6298805,6298805,72370,6298805,6,0,a48943e826782c0fb621e6762167c07ac54f0f17,0,0,0,0,0,
4,20200805,NY,418225,5808210,,564.0,89995.0,134.0,,69.0,,73410.0,A,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,25179.0,89995.0,2020-08-04T23:59:00Z,6226435.0,,,418225.0,,,36,636,72032,6226435,6226435,72668,6226435,4,0,e1c419799e0362eb277d9d21b018b32d792ac1b9,0,0,0,0,0,
5,20200804,NY,417589,5736178,,568.0,89995.0,139.0,,69.0,,73326.0,A,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,25175.0,89995.0,2020-08-03T23:59:00Z,6153767.0,,,417589.0,,,36,746,70247,6153767,6153767,70993,6153767,3,0,7901f3282311e6d08f0dfc2847cbcd05a52fe436,0,0,0,0,0,
6,20200803,NY,416843,5665931,,536.0,89995.0,136.0,,62.0,,73279.0,A,8/2/2020 23:59,2020-08-02T23:59:00Z,08/02 19:59,25172.0,89995.0,2020-08-02T23:59:00Z,6082774.0,,,416843.0,,,36,545,51294,6082774,6082774,51839,6082774,2,0,7f5798a626f21fe8c0c65131de226d8f12fd8f12,0,0,0,0,0,
7,20200802,NY,416298,5614637,,556.0,89995.0,143.0,,71.0,,73222.0,A,8/1/2020 23:59,2020-08-01T23:59:00Z,08/01 19:59,25170.0,89995.0,2020-08-01T23:59:00Z,6030935.0,,,416298.0,,,36,531,58430,6030935,6030935,58961,6030935,6,0,582ec3c3e1c2108e62bba9c603abc2863f834009,0,0,0,0,0,
8,20200801,NY,415767,5556207,,581.0,89995.0,147.0,,72.0,,73134.0,A,7/31/2020 23:59,2020-07-31T23:59:00Z,07/31 19:59,25164.0,89995.0,2020-07-31T23:59:00Z,5971974.0,,,415767.0,,,36,753,81984,5971974,5971974,82737,5971974,14,0,704f59d60c707ed44d13219d072b75baee3be7ba,0,0,0,0,0,
9,20200731,NY,415014,5474223,,576.0,89995.0,140.0,,70.0,,73055.0,A,7/30/2020 23:59,2020-07-30T23:59:00Z,07/30 19:59,25150.0,89995.0,2020-07-30T23:59:00Z,5889237.0,,,415014.0,,,36,644,68225,5889237,5889237,68869,5889237,5,0,1ae5a61b041c4a83505c506203339765b89b1ff9,0,0,0,0,0,
