,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,OH,106557,1672852,,925.0,12128.0,319.0,2755.0,170.0,,84904.0,A+,8/14/2020 14:00,2020-08-14T14:00:00Z,08/14 10:00,3784.0,12128.0,2020-08-14T14:00:00Z,,,,100945,3510.0,274.0,,1773797.0,,,,,,,,,,,39,1131,24971,1779409,1779409,26102,1779409,29,105,7d65f0a15d69f2ebdf60eee1ee3aadfd461113d9,0,0,0,0,0,
1,20200813,OH,105426,1647881,,952.0,12023.0,329.0,2743.0,178.0,,83642.0,B,8/13/2020 14:00,2020-08-13T14:00:00Z,08/13 10:00,3755.0,12023.0,2020-08-13T14:00:00Z,,,,99856,3481.0,274.0,,1747737.0,,,,,,,,,,,39,1178,23749,1753307,1753307,24927,1753307,21,122,1331cc1acfe2385e774ad16fd23bdb2ec8fa7b81,0,0,0,0,0,
2,20200812,OH,104248,1624132,,984.0,11901.0,320.0,2721.0,173.0,,82310.0,B,8/12/2020 14:00,2020-08-12T14:00:00Z,08/12 10:00,3734.0,11901.0,2020-08-12T14:00:00Z,,,,98725,3460.0,274.0,,1722857.0,,,,,,,,,,,39,1422,19188,1728380,1728380,20610,1728380,26,141,6dada55da7fbcef8f3d50e8621b06a086862d23b,0,0,0,0,0,
3,20200811,OH,102826,1604944,,968.0,11760.0,338.0,2699.0,172.0,,80885.0,B,8/11/2020 14:00,2020-08-11T14:00:00Z,08/11 10:00,3708.0,11760.0,2020-08-11T14:00:00Z,,,,97373,3435.0,273.0,,1702317.0,,,,,,,,,,,39,1095,19031,1707770,1707770,20126,1707770,35,131,17801475b5c1c3dbd62c37bd2996bdc0fa2955cd,0,0,0,0,0,
4,20200810,OH,101731,1585913,,968.0,11629.0,351.0,2680.0,195.0,,79321.0,B,8/10/2020 14:00,2020-08-10T14:00:00Z,08/10 10:00,3673.0,11629.0,2020-08-10T14:00:00Z,,,,96358,3405.0,268.0,,1682271.0,,,,,,,,,,,39,883,18213,1687644,1687644,19096,1687644,4,64,b0162de024820d1f504d792a202594c59ff147d8,0,0,0,0,0,
5,20200809,OH,100848,1567700,,952.0,11565.0,365.0,2665.0,193.0,,78435.0,B,8/9/2020 14:00,2020-08-09T14:00:00Z,08/09 10:00,3669.0,11565.0,2020-08-09T14:00:00Z,,,,95496,3397.0,272.0,,1663196.0,,,,,,,,,,,39,879,23176,1668548,1668548,24055,1668548,1,49,e460fa7d0af9b18e223b3c13f77074e58ab2b0b9,0,0,0,0,0,
6,20200808,OH,99969,1544524,,936.0,11516.0,363.0,2654.0,185.0,,77429.0,B,8/8/2020 14:00,2020-08-08T14:00:00Z,08/08 10:00,3668.0,11516.0,2020-08-08T14:00:00Z,,,,94671,3396.0,272.0,,1639195.0,,,,,,,,,,,39,1294,20104,1644493,1644493,21398,1644493,16,69,c3fbb69916995d00cd2b511ecdff4ee66c345fcf,0,0,0,0,0,
7,20200807,OH,98675,1524420,,956.0,11447.0,334.0,2641.0,190.0,,75975.0,B,8/7/2020 14:00,2020-08-07T14:00:00Z,08/07 10:00,3652.0,11447.0,2020-08-07T14:00:00Z,,,,93402,3381.0,271.0,,1617822.0,,,,,,,,,,,39,1204,23852,1623095,1623095,25056,1623095,34,81,2360259cc28f88d1ec2520328e0d4c9e3b1ac014,0,0,0,0,0,
8,20200806,OH,97471,1500568,,979.0,11366.0,342.0,2627.0,182.0,,74612.0,B,8/6/2020 14:00,2020-08-06T14:00:00Z,08/06 10:00,3618.0,11366.0,2020-08-06T14:00:00Z,,,,92273,3348.0,270.0,,1592841.0,,,,,,,,,,,39,1166,22260,1598039,1598039,23426,1598039,22,135,eef8f5d98192cce2c55e44e438b699ffdbd58884,0,0,0,0,0,
9,20200805,OH,96305,1478308,,1004.0,11231.0,340.0,2609.0,189.0,,72950.0,B,8/5/2020 14:00,2020-08-05T14:00:00Z,08/05 10:00,3596.0,11231.0,2020-08-05T14:00:00Z,,,,91171,3326.0,270.0,,1569479.0,,,,,,,,,,,39,1199,17602,1574613,1574613,18801,1574613,26,112,d4e8f02c537cef9d5e701cf69848596d79566450,0,0,0,0,0,
10,20200804,OH,95106,1460706,,1038.0,11119.0,340.0,2593.0,197.0,,71338.0,B,8/4/2020 14:00,2020-08-04T14:00:00Z,08/04 10:00,3570.0,11119.0,2020-08-04T14:00:00Z,,,,90041,3301.0,269.0,,1550747.0,,,,,,,,,,,39,1143,19126,1555812,1555812,20269,1555812,31,127,3368b9a3dcc05a27982cc46f82356a9c2dd800e0,0,0,0,0,0,
11,20200803,OH,93963,1441580,,1001.0,10992.0,348.0,2570.0,199.0,,69501.0,B,8/3/2020 14:00,2020-08-03T14:00:00Z,08/03 10:00,3539.0,10992.0,2020-08-03T14:00:00Z,,,,88997,3271.0,268.0,,1530577.0,,,,,,,,,,,39,932,17065,1535543,1535543,17997,1535543,10,92,0f1daa10194cb9570b5df8085e4465e8e51fa666,0,0,0,0,0,
12,20200802,OH,93031,1424515,,1049.0,10900.0,334.0,2560.0,187.0,,68394.0,B,8/2/2020 14:00,2020-08-02T14:00:00Z,08/02 10:00,3529.0,10900.0,2020-08-02T14:00:00Z,,,,88134,3261.0,268.0,,1512649.0,,,,,,,,,,,39,944,23699,1517546,1517546,24643,1517546,14,43,5d1b69237b086b894d94c13563adc60e0aa8ad6e,0,0,0,0,0,
13,20200801,OH,92087,1400816,,1049.0,10857.0,340.0,2557.0,188.0,,67319.0,B,8/1/2020 14:00,2020-08-01T14:00:00Z,08/01 10:00,3515.0,10857.0,2020-08-01T14:00:00Z,,,,87218,3246.0,269.0,,1488034.0,,,,,,,,,,,39,928,23641,1492903,1492903,24569,1492903,26,67,81564cc7e6eea4c317ea205c735bbdb022e8a588,0,0,0,0,0,
14,20200731,OH,91159,1377175,,1024.0,10790.0,330.0,2552.0,185.0,,65788.0,B,7/31/2020 14:00,2020-07-31T14:00:00Z,07/31 10:00,3489.0,10790.0,2020-07-31T14:00:00Z,,,,86333,3222.0,267.0,,1463508.0,,,,,,,,,,,39,1533,20329,1468334,1468334,21862,1468334,47,112,61dd5b9955f2cce9e33945189b164ae2d113fa32,0,0,0,0,0,
15,20200730,OH,89626,1356846,,1049.0,10678.0,319.0,2534.0,184.0,,64311.0,B,7/30/2020 14:00,2020-07-30T14:00:00Z,07/30 10:00,3442.0,10678.0,2020-07-30T14:00:00Z,,,,84862,3177.0,265.0,,1441708.0,,,,,,,,,,,39,1733,23902,1446472,1446472,25635,1446472,20,125,af87bf748c43f29474322cb919e9b058180be244,0,0,0,0,0,
16,20200729,OH,87893,1332944,,1100.0,10553.0,348.0,2513.0,179.0,,62695.0,B,7/29/2020 14:00,2020-07-29T14:00:00Z,07/29 10:00,3422.0,10553.0,2020-07-29T14:00:00Z,,,,83213,3156.0,266.0,,1416157.0,,,,,,,,,,,39,1396,20708,1420837,1420837,22104,1420837,40,128,a2cee69328d4629f8e68b439cf71fe89c1e5e217,0,0,0,0,0,
17,20200728,OH,86497,1312236,,1144.0,10425.0,363.0,2488.0,176.0,,61056.0,B,7/28/2020 14:00,2020-07-28T14:00:00Z,07/28 10:00,3382.0,10425.0,2020-07-28T14:00:00Z,,,,81896,3118.0,264.0,,1394132.0,,,,,,,,,,,39,1320,53315,1398733,1398733,54635,1398733,38,140,89d510f1911d01dc3d73aa52376b6d5eb1d4f44c,0,0,0,0,0,
18,20200727,OH,85177,1258921,,1110.0,10285.0,356.0,2466.0,164.0,,59413.0,B,7/27/2020 14:00,2020-07-27T14:00:00Z,07/27 10:00,3344.0,10285.0,2020-07-27T14:00:00Z,,,,80628,3082.0,262.0,,1339549.0,,,,,,,,,,,39,1104,16563,1344098,1344098,17667,1344098,37,86,bbc87f91a6b243916935d392db692bf11262b480,0,0,0,0,0,
19,20200726,OH,84073,1242358,,1075.0,10199.0,357.0,2444.0,177.0,,58465.0,B,7/26/2020 14:00,2020-07-26T14:00:00Z,07/26 10:00,3307.0,10199.0,2020-07-26T14:00:00Z,,,,79573,3049.0,258.0,,1321931.0,,,,,,,,,,,39,889,31720,1326431,1326431,32609,1326431,10,54,1ebcc774a9ba0e148589850c281e5cb73d27eadf,0,0,0,0,0,
