,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,OK,43566,650485.0,,594.0,3605.0,223.0,,,,36052.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,603.0,3605.0,2020-08-09T00:00:00Z,,49186.0,650485.0,43566.0,,,40,486,0,694051,694051,486,694051,0,11,ebb32a6af13c14fe2d07be4cc699196167430e8f,0,0,0,0,0,
1,20200808,OK,43080,650485.0,,594.0,3594.0,223.0,,,,35745.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,603.0,3594.0,2020-08-08T00:00:00Z,,49186.0,650485.0,43080.0,,,40,825,6925,693565,693565,7750,693565,3,39,a322b0c67a221965c06e76c98fdd203b129ce551,0,0,0,0,0,
2,20200807,OK,42255,643560.0,,561.0,3555.0,216.0,,,,35001.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,600.0,3555.0,2020-08-07T00:00:00Z,,48461.0,643560.0,42255.0,,,40,854,10308,685815,685815,11162,685815,7,58,4a762cc8ea90e30c32fb1639d8aebf4b332f7426,0,0,0,0,0,
3,20200806,OK,41401,633252.0,,643.0,3497.0,216.0,,,,34320.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,593.0,3497.0,2020-08-06T00:00:00Z,,47329.0,633252.0,41401.0,,,40,837,9086,674653,674653,9923,674653,10,52,f5938d30ae9be9777e7948ac726ccaf9713a4eb4,0,0,0,0,0,
4,20200805,OK,40564,624166.0,,645.0,3445.0,207.0,,,,33383.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,583.0,3445.0,2020-08-05T00:00:00Z,,46281.0,624166.0,40564.0,,,40,1101,6353,664730,664730,7454,664730,17,70,090722b90a2b562ef3ca76c5b18f42595a065599,0,0,0,0,0,
5,20200804,OK,39463,617813.0,,504.0,3375.0,232.0,,,,32319.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,566.0,3375.0,2020-08-04T00:00:00Z,,45521.0,617813.0,39463.0,,,40,861,18352,657276,657276,19213,657276,15,100,6c814b89044d6384260bdf0bbd96cc12161191af,0,0,0,0,0,
6,20200803,OK,38602,599461.0,,628.0,3275.0,258.0,,,,31165.0,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,551.0,3275.0,2020-08-03T00:00:00Z,,43360.0,599461.0,38602.0,,,40,377,0,638063,638063,377,638063,1,34,7632aeef2add45212c45d2774e2808b1f4f4e111,0,0,0,0,0,
7,20200802,OK,38225,599461.0,,628.0,3241.0,258.0,,,,30820.0,A+,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,550.0,3241.0,2020-08-02T00:00:00Z,,43360.0,599461.0,38225.0,,,40,494,0,637686,637686,494,637686,1,13,7750f9c7c7769105d55d3086f418dc8037fd0d31,0,0,0,0,0,
8,20200801,OK,37731,599461.0,,628.0,3228.0,258.0,,,,30282.0,A+,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,549.0,3228.0,2020-08-01T00:00:00Z,,43360.0,599461.0,37731.0,,,40,1244,10370,637192,637192,11614,637192,8,67,250cdeaa61bee07ae2c102ed806488b2b7ea7f9e,0,0,0,0,0,
9,20200731,OK,36487,589091.0,,621.0,3161.0,253.0,,,,29187.0,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,541.0,3161.0,2020-07-31T00:00:00Z,,42245.0,589091.0,36487.0,,,40,747,9815,625578,625578,10562,625578,5,57,42d3f2082d8391f73a1cbb4869ebe9d3906348c6,0,0,0,0,0,
10,20200730,OK,35740,579276.0,,647.0,3104.0,244.0,,,,28411.0,A+,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,536.0,3104.0,2020-07-30T00:00:00Z,,41179.0,579276.0,35740.0,,,40,1117,7386,615016,615016,8503,615016,13,63,62aa8dbb7881dfb3bdeec71afaa0dc6e2e5dc095,0,0,0,0,0,
11,20200729,OK,34623,571890.0,,663.0,3041.0,228.0,,,,27386.0,A+,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,523.0,3041.0,2020-07-29T00:00:00Z,,40163.0,571890.0,34623.0,,,40,848,16539,606513,606513,17387,606513,14,54,0ff67fa48ff8f9372410df2d5139654c24c09594,0,0,0,0,0,
12,20200728,OK,33775,555351.0,,596.0,2987.0,207.0,,,,26363.0,A+,7/28/2020 00:00,2020-07-28T00:00:00Z,07/27 20:00,509.0,2987.0,2020-07-28T00:00:00Z,,38785.0,555351.0,33775.0,,,40,1089,19723,589126,589126,20812,589126,13,115,cc60d89f7cfca7dea20764e07cfc05bd110c035b,0,0,0,0,0,
13,20200727,OK,32686,535628.0,,625.0,2872.0,225.0,,,,25252.0,A+,7/27/2020 00:00,2020-07-27T00:00:00Z,07/26 20:00,496.0,2872.0,2020-07-27T00:00:00Z,,36489.0,535628.0,32686.0,,,40,1401,0,568314,568314,1401,568314,0,37,82d8a6c06b8317f79ea372711e9500691f355f27,0,0,0,0,0,
14,20200726,OK,31285,535628.0,,625.0,2835.0,225.0,,,,24698.0,A+,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,496.0,2835.0,2020-07-26T00:00:00Z,,36489.0,535628.0,31285.0,,,40,1204,0,566913,566913,1204,566913,0,67,69069082f6ea038d14a2bd272bc4d0c4a6b84ea8,0,0,0,0,0,
15,20200725,OK,30081,535628.0,,625.0,2768.0,225.0,,,,24053.0,A+,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,496.0,2768.0,2020-07-25T00:00:00Z,,36489.0,535628.0,30081.0,,,40,965,41702,565709,565709,42667,565709,12,81,6bc4e3a3b0b6c5a4de64416c99bdfdfa308fe45d,0,0,0,0,0,
16,20200724,OK,29116,493926.0,,628.0,2687.0,260.0,,,,23277.0,A+,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,484.0,2687.0,2020-07-24T00:00:00Z,,32927.0,493926.0,29116.0,,,40,1147,8720,523042,523042,9867,523042,7,91,aa0aa8270f75bb06098d1bccaec3d783009e080d,0,0,0,0,0,
17,20200723,OK,27969,485206.0,,607.0,2596.0,255.0,,,,22441.0,A+,7/23/2020 00:00,2020-07-23T00:00:00Z,07/22 20:00,477.0,2596.0,2020-07-23T00:00:00Z,,31903.0,485206.0,27969.0,,,40,668,6909,513175,513175,7577,513175,3,56,ceba706fde3aa3cab11d6b9964293e403e6d6d37,0,0,0,0,0,
18,20200722,OK,27301,478297.0,,630.0,2540.0,257.0,,,,21596.0,A+,7/22/2020 00:00,2020-07-22T00:00:00Z,07/21 20:00,474.0,2540.0,2020-07-22T00:00:00Z,,31051.0,478297.0,27301.0,,,40,975,6240,505598,505598,7215,505598,13,137,ce2e1286f951a49c4103199f305dba0968cbccac,0,0,0,0,0,
19,20200721,OK,26326,472057.0,,613.0,2403.0,248.0,,,,20663.0,A+,7/21/2020 00:00,2020-07-21T00:00:00Z,07/20 20:00,461.0,2403.0,2020-07-21T00:00:00Z,,30273.0,472057.0,26326.0,,,40,893,21382,498383,498383,22275,498383,9,0,f07380b5b82293a7506bc34c3bcc83ef4d3720fe,0,0,0,0,0,
20,20200720,OK,25433,450675.0,,604.0,2403.0,232.0,,,,19750.0,A+,7/20/2020 00:00,2020-07-20T00:00:00Z,07/19 20:00,452.0,2403.0,2020-07-20T00:00:00Z,,27903.0,450675.0,25433.0,,,40,168,0,476108,476108,168,476108,1,15,68f6fe908175786f114eec5878fb080c479edae6,0,0,0,0,0,
21,20200719,OK,25265,450675.0,,547.0,2388.0,232.0,,,,19466.0,A+,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,451.0,2388.0,2020-07-19T00:00:00Z,,27903.0,450675.0,25265.0,,,40,209,0,475940,475940,209,475940,0,13,ba704416cb2b494bd7ff32b13af1bda3b56f2b9c,0,0,0,0,0,
22,20200718,OK,25056,450675.0,,547.0,2375.0,232.0,,,,19186.0,A+,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,451.0,2375.0,2020-07-18T00:00:00Z,,27903.0,450675.0,25056.0,,,40,916,9771,475731,475731,10687,475731,6,86,7864253842052801903611acd27e0ed306e2e8e0,0,0,0,0,0,
23,20200717,OK,24140,440904.0,,604.0,2289.0,247.0,,,,18766.0,A+,7/17/2020 08:00,2020-07-17T08:00:00Z,07/17 04:00,445.0,2289.0,2020-07-17T08:00:00Z,,26785.0,440904.0,24140.0,,,40,699,7528,465044,465044,8227,465044,7,71,8176f34cccff54c4aba0c14f833cf0a79b32a1ca,0,0,0,0,0,
24,20200716,OK,23441,433376.0,,638.0,2218.0,235.0,,,,18095.0,A+,7/16/2020 08:00,2020-07-16T08:00:00Z,07/16 04:00,438.0,2218.0,2020-07-16T08:00:00Z,,25931.0,433376.0,23441.0,,,40,628,8864,456817,456817,9492,456817,6,48,68cdd0bb5c04419cbe1994c6f755117c39d11518,0,0,0,0,0,
25,20200715,OK,22813,424512.0,,561.0,2170.0,231.0,,,,17366.0,A+,7/13/2020 00:00,2020-07-13T00:00:00Z,07/12 20:00,432.0,2170.0,2020-07-13T00:00:00Z,,24954.0,424512.0,22813.0,,,40,1075,4956,447325,447325,6031,447325,4,54,1cb37e49889c2f6ab1ed6ab7ae86391dfa445831,0,0,0,0,0,
26,20200714,OK,21738,419556.0,,546.0,2116.0,234.0,,,,16635.0,A+,7/13/2020 00:00,2020-07-13T00:00:00Z,07/12 20:00,428.0,2116.0,2020-07-13T00:00:00Z,,24383.0,419556.0,21738.0,,,40,993,19519,441294,441294,20512,441294,4,53,1b77da47e3611a5f6ae66967ab9a3a4b9cf2d0a0,0,0,0,0,0,
27,20200713,OK,20745,400037.0,,499.0,2063.0,186.0,,,,15815.0,A+,7/13/2020 00:00,2020-07-13T00:00:00Z,07/12 20:00,424.0,2063.0,2020-07-13T00:00:00Z,,22367.0,400037.0,20745.0,,,40,510,0,420782,420782,510,420782,2,31,9702954ee546456d9efe20d5075fefd57039c880,0,0,0,0,0,
28,20200712,OK,20235,400037.0,,499.0,2032.0,186.0,,,,15485.0,A+,7/12/2020 00:00,2020-07-12T00:00:00Z,07/11 20:00,422.0,2032.0,2020-07-12T00:00:00Z,,22367.0,400037.0,20235.0,,,40,456,0,420272,420272,456,420272,1,40,e9b543de287e025ad440e28596351e5e30fd8ea9,0,0,0,0,0,
29,20200711,OK,19779,400037.0,,499.0,1992.0,186.0,,,,15136.0,A+,7/11/2020 00:00,2020-07-11T00:00:00Z,07/10 20:00,421.0,1992.0,2020-07-11T00:00:00Z,,22367.0,400037.0,19779.0,,,40,687,8055,419816,419816,8742,419816,5,43,8b97b5fa2ec032dc2b781cf3fba5da10444d597a,0,0,0,0,0,
30,20200710,OK,19092,391982.0,,487.0,1949.0,217.0,,,,14648.0,A+,7/10/2020 08:00,2020-07-10T08:00:00Z,07/10 04:00,416.0,1949.0,2020-07-10T08:00:00Z,,21345.0,391982.0,19092.0,,,40,596,8724,411074,411074,9320,411074,6,56,4f7e7faeaa189ed37828663cbc143349432db0e0,0,0,0,0,0,
31,20200709,OK,18496,383258.0,,453.0,1893.0,215.0,,,,14100.0,A+,7/9/2020 08:00,2020-07-09T08:00:00Z,07/09 04:00,410.0,1893.0,2020-07-09T08:00:00Z,,20489.0,383258.0,18496.0,,,40,603,6328,401754,401754,6931,401754,3,89,ee63f0b9b09a2a907c37e9ad75f44ee26f44f0a1,0,0,0,0,0,
32,20200708,OK,17893,376930.0,,458.0,1804.0,209.0,,,,13538.0,A+,7/8/2020 00:00,2020-07-08T00:00:00Z,07/07 20:00,407.0,1804.0,2020-07-08T00:00:00Z,,19871.0,376930.0,17893.0,,,40,673,5132,394823,394823,5805,394823,3,63,bca13996a61e6455ac615597d45697803065122c,0,0,0,0,0,
