,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,OR,22613,450494,,224.0,1863.0,57.0,,16.0,,4355.0,A+,8/14/2020 03:01,2020-08-14T03:01:00Z,08/13 23:01,385.0,1863.0,2020-08-14T03:01:00Z,,,450494.0,21441.0,,,,471935.0,,,,,,,,,,,41,313,5531,473107,473107,5844,473107,2,10,18566b6e3313ac3139eae85766bf5cd2b37817e2,0,0,0,0,0,
1,20200813,OR,22300,444963,,232.0,1853.0,57.0,,22.0,,4282.0,A+,8/13/2020 03:01,2020-08-13T03:01:00Z,08/12 23:01,383.0,1853.0,2020-08-13T03:01:00Z,,,444963.0,21141.0,,,,466104.0,,,,,,,,,,,41,278,4443,467263,467263,4721,467263,8,8,5ae40f755869432c3831a00c1311c4b6b09e0992,0,0,0,0,0,
2,20200812,OR,22022,440520,,213.0,1845.0,50.0,,17.0,,4282.0,A+,8/12/2020 03:01,2020-08-12T03:01:00Z,08/11 23:01,375.0,1845.0,2020-08-12T03:01:00Z,,,440520.0,20875.0,,,,461395.0,,,,,,,,,,,41,248,5206,462542,462542,5454,462542,7,32,1e48b562f324a8a2cd197b6e3703e4ad0400f4ba,0,0,0,0,0,
3,20200811,OR,21774,435314,,234.0,1813.0,59.0,,15.0,,4226.0,A+,8/11/2020 03:01,2020-08-11T03:01:00Z,08/10 23:01,368.0,1813.0,2020-08-11T03:01:00Z,,,435314.0,20643.0,,,,455957.0,,,,,,,,,,,41,286,6070,457088,457088,6356,457088,11,15,6a0d30868fe5981872642a1500d8a0c4b840d18b,0,0,0,0,0,
4,20200810,OR,21488,429244,,214.0,1798.0,58.0,,22.0,,4226.0,A+,8/10/2020 03:01,2020-08-10T03:01:00Z,08/09 23:01,357.0,1798.0,2020-08-10T03:01:00Z,,,429244.0,20385.0,,,,449629.0,,,,,,,,,,,41,216,3479,450732,450732,3695,450732,1,40,d1c9c160c71b04cbd0490c955fc4d557c61cd8ce,0,0,0,0,0,
5,20200809,OR,21272,425765,,204.0,1758.0,51.0,,18.0,,4111.0,A+,8/9/2020 03:01,2020-08-09T03:01:00Z,08/08 23:01,356.0,1758.0,2020-08-09T03:01:00Z,,,425765.0,19562.0,,,,436619.0,,,,,,,,,,,41,262,8708,447037,447037,8970,447037,1,0,fa7450893d1a6773e83556a03ba175b1220185ae,0,0,0,0,0,
6,20200808,OR,21010,417057,,204.0,1758.0,51.0,,18.0,,4111.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,355.0,1758.0,2020-08-08T00:00:00Z,,,422358.0,19562.0,,,,436619.0,,,,,,,,,,,41,374,0,438067,438067,374,438067,7,0,86d3bfb5137f84f5ac0a5693e42adeed9983a254,0,0,0,0,0,
7,20200807,OR,20636,417057,,204.0,1758.0,51.0,,18.0,,4111.0,A+,8/7/2020 03:01,2020-08-07T03:01:00Z,08/06 23:01,348.0,1758.0,2020-08-07T03:01:00Z,,,417057.0,19562.0,,,,436619.0,,,,,,,,,,,41,411,5020,437693,437693,5431,437693,9,15,9259ea6b31498c661feafdded0921095253ae777,0,0,0,0,0,
8,20200806,OR,20225,412037,,230.0,1743.0,58.0,,29.0,,4065.0,A+,8/6/2020 03:01,2020-08-06T03:01:00Z,08/05 23:01,339.0,1743.0,2020-08-06T03:01:00Z,,,412037.0,19162.0,,,,431199.0,,,,,,,,,,,41,246,5214,432262,432262,5460,432262,1,17,ec7d93151a61850840120baba29a40500a9e22af,0,0,0,0,0,
9,20200805,OR,19979,406823,,228.0,1726.0,60.0,,25.0,,4037.0,A+,8/5/2020 03:01,2020-08-05T03:01:00Z,08/04 23:01,338.0,1726.0,2020-08-05T03:01:00Z,,,406823.0,18936.0,,,,425759.0,,,,,,,,,,,41,280,6608,426802,426802,6888,426802,5,38,d5040b40de8920d38d3935fce6244c03e0655786,0,0,0,0,0,
