,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,PR,25128,305972.0,,428.0,,70.0,,49.0,,,B,8/14/2020 00:00,2020-08-14T00:00:00Z,08/13 20:00,317.0,,2020-08-14T00:00:00Z,310546.0,7002.0,303412.0,10730.0,192.0,125.0,,,,14398.0,,,,,,,,,72,682,0,331100,331100,682,331100,11,0,d69a1d41b1813107e696ce183e7676b887b090d8,0,0,0,0,0,
1,20200813,PR,24446,305972.0,,466.0,,80.0,,57.0,,,B,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,306.0,,2020-08-13T00:00:00Z,310546.0,7002.0,303412.0,10279.0,182.0,124.0,,,,14167.0,,,,,,,,,72,372,0,330418,330418,372,330418,11,0,54d5e1ecffe673a7ca8ecd9f523829fd4aa3ca5c,0,0,0,0,0,
2,20200812,PR,24074,305972.0,,447.0,,75.0,,57.0,,,B,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,295.0,,2020-08-12T00:00:00Z,310546.0,7002.0,303412.0,10169.0,174.0,121.0,,,,13905.0,,,,,,,,,72,671,0,330046,330046,671,330046,8,0,378459de47ace2bcc653d0f9c8c6f8e31e77d9b5,0,0,0,0,0,
3,20200811,PR,23403,305972.0,,439.0,,80.0,,62.0,,,B,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,287.0,,2020-08-11T00:00:00Z,310546.0,7002.0,303412.0,9605.0,167.0,120.0,,,,13798.0,,,,,,,,,72,582,0,329375,329375,582,329375,8,0,9761c27f66369070d751bbccd428f7b0cafd7ec6,0,0,0,0,0,
4,20200810,PR,22821,305972.0,,423.0,,77.0,,50.0,,,B,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,279.0,,2020-08-10T00:00:00Z,310546.0,7002.0,303412.0,9319.0,161.0,118.0,,,,13502.0,,,,,,,,,72,700,0,328793,328793,700,328793,0,0,1579cfa577f215e1a50082e086ee24968483e569,0,0,0,0,0,
5,20200809,PR,22121,305972.0,,424.0,,79.0,,53.0,,,B,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,279.0,,2020-08-09T00:00:00Z,310546.0,7002.0,303412.0,8934.0,161.0,118.0,,,,13187.0,,,,,,,,,72,697,0,328093,328093,697,328093,5,0,622df09d8d3fe50050e05d83ad6eee81ecdf0407,0,0,0,0,0,
6,20200808,PR,21424,305972.0,,399.0,,77.0,,54.0,,,B,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,274.0,,2020-08-08T00:00:00Z,310546.0,7002.0,303412.0,8573.0,158.0,116.0,,,,12851.0,,,,,,,,,72,738,0,327396,327396,738,327396,9,0,534589aa3f405c9bceb3906944276ea068c24c4b,0,0,0,0,0,
7,20200807,PR,20686,305972.0,,440.0,,73.0,,58.0,,,B,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,265.0,,2020-08-07T00:00:00Z,310546.0,7002.0,303412.0,8230.0,149.0,116.0,,,,12456.0,,,,,,,,,72,752,0,326658,326658,752,326658,7,0,d752af0bfb9c7155168808ab4fea269e8f086c91,0,0,0,0,0,
8,20200806,PR,19934,305972.0,,456.0,,76.0,,53.0,,,B,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,258.0,,2020-08-06T00:00:00Z,310546.0,7002.0,303412.0,7824.0,144.0,114.0,,,,12110.0,,,,,,,,,72,283,0,325906,325906,283,325906,12,0,975171a2456360fdd02b94154d0b875d3e14670c,0,0,0,0,0,
9,20200805,PR,19651,305972.0,,507.0,,73.0,,54.0,,,B,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,246.0,,2020-08-05T00:00:00Z,310546.0,7002.0,303412.0,7684.0,133.0,113.0,,,,11967.0,,,,,,,,,72,327,0,325623,325623,327,325623,9,0,e843388178b5f24a7d2fe114a28858b84bc059bb,0,0,0,0,0,
