,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,SC,103909,702119,,1322.0,6482.0,323.0,,201.0,,40837.0,A+,8/12/2020 23:59,2020-08-12T23:59:00Z,08/12 19:59,2186.0,6482.0,2020-08-12T23:59:00Z,805170.0,130613.0,674577.0,103051.0,2089.0,97.0,,,56730.0,4168.0,52562.0,,,,,,,,45,935,5004,806028,806028,5939,806028,42,0,b9042b7d9d85a8876e1d2d283e9bd63d8361e8bf,0,0,0,0,0,
1,20200812,SC,102974,697115,,1366.0,6482.0,333.0,,206.0,,40837.0,A+,8/11/2020 23:59,2020-08-11T23:59:00Z,08/11 19:59,2144.0,6482.0,2020-08-11T23:59:00Z,799258.0,129544.0,669714.0,102143.0,2057.0,87.0,,,56309.0,4073.0,52236.0,,,,,,,,45,844,2894,800089,800089,3738,800089,46,0,9374babaa40e5080fff11e7c21ee230b92a513e8,0,0,0,0,0,
2,20200811,SC,102130,694221,,1330.0,6482.0,339.0,,207.0,,40837.0,A+,8/10/2020 23:59,2020-08-10T23:59:00Z,08/10 19:59,2098.0,6482.0,2020-08-10T23:59:00Z,795581.0,128846.0,666735.0,101360.0,2012.0,86.0,,,56148.0,4049.0,52099.0,,,,,,,,45,971,3750,796351,796351,4721,796351,49,329,5f204606b7c0c15e8dc1431b2fad392d145faa1a,0,0,0,0,0,
3,20200810,SC,101159,690471,,1353.0,6153.0,360.0,,217.0,,37798.0,A+,8/9/2020 23:59,2020-08-09T23:59:00Z,08/09 19:59,2049.0,6153.0,2020-08-09T23:59:00Z,790902.0,127842.0,663060.0,100431.0,1966.0,83.0,,,56070.0,4035.0,52035.0,,,,,,,,45,724,4922,791630,791630,5646,791630,18,0,23144b9782770643f54ab4beb6c19a43b22e3304,0,0,0,0,0,
4,20200809,SC,100435,685549,,1378.0,6153.0,365.0,,219.0,,37798.0,A+,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,2031.0,6153.0,2020-08-08T23:59:00Z,785262.0,127056.0,658206.0,99713.0,1949.0,82.0,,,55882.0,4011.0,51871.0,,,,,,,,45,975,6934,785984,785984,7909,785984,24,0,49e9c77db36d5cfbdc0b888aa3695d983c36a983,0,0,0,0,0,
5,20200808,SC,99460,678615,,1402.0,6153.0,357.0,,234.0,,37798.0,A+,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,2007.0,6153.0,2020-08-07T23:59:00Z,777358.0,126005.0,651353.0,98743.0,1931.0,76.0,,,55713.0,3993.0,51720.0,,,,,,,,45,1241,8873,778075,778075,10114,778075,45,0,332bcc9598fa0907d1f7421d33437e26705d7bef,0,0,0,0,0,
6,20200807,SC,98219,669742,,1415.0,6153.0,358.0,,231.0,,37798.0,A+,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,1962.0,6153.0,2020-08-06T23:59:00Z,767296.0,124324.0,642972.0,97554.0,1883.0,79.0,,,55182.0,3905.0,51277.0,,,,,,,,45,1422,10394,767961,767961,11816,767961,19,354,c7d9c58b34f7ba93723f7bae07510a1508f38d4f,0,0,0,0,0,
7,20200806,SC,96797,659348,,1492.0,5799.0,356.0,,276.0,,32859.0,A+,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,1943.0,5799.0,2020-08-05T23:59:00Z,755480.0,122278.0,633202.0,96132.0,1863.0,80.0,,,54487.0,3761.0,50726.0,,,,,,,,45,1325,6198,756145,756145,7523,756145,49,0,ab3ba0327bce0fc13c1093bd400de6a9d3ff6446,0,0,0,0,0,
8,20200805,SC,95472,653150,,1469.0,5799.0,363.0,,270.0,,32859.0,A+,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,1894.0,5799.0,2020-08-04T23:59:00Z,747987.0,120715.0,627272.0,94837.0,1819.0,75.0,,,54232.0,3736.0,50496.0,,,,,,,,45,1282,6883,748622,748622,8165,748622,47,0,6b319e0625ef942e7eeaece154045e4341106fbd,0,0,0,0,0,
9,20200804,SC,94190,646267,,1458.0,5799.0,355.0,,254.0,,32859.0,A+,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,1847.0,5799.0,2020-08-03T23:59:00Z,739871.0,118989.0,620882.0,93604.0,1774.0,73.0,,,54061.0,3683.0,50378.0,,,,,,,,45,1239,7543,740457,740457,8782,740457,54,272,decd30c426fe822ddb22acb239007e000b5bbeab,0,0,0,0,0,
