,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,WI,68681,1044613,239.0,336.0,5235.0,110.0,951.0,,,54181.0,A+,8/14/2020 00:00,2020-08-14T00:00:00Z,08/13 20:00,1032.0,5235.0,2020-08-14T00:00:00Z,,,,64227,1025.0,7.0,,1108840.0,,,,,,,,,,,55,1059,9418,1113533,1113294,10477,1113294,7,65,756d702a9fa3f702ed7e410b0394bf32a4bde391,0,0,0,0,0,
1,20200813,WI,67622,1035195,221.0,364.0,5170.0,111.0,942.0,,,53239.0,A+,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,1025.0,5170.0,2020-08-13T00:00:00Z,,,,63206,1018.0,7.0,,1098401.0,,,,,,,,,,,55,968,11472,1103038,1102817,12440,1102817,7,45,26c63e7579e79aa8531e6b1d05911e6e9c4c5089,0,0,0,0,0,
2,20200812,WI,66654,1023723,221.0,364.0,5125.0,111.0,941.0,,,52350.0,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,1018.0,5125.0,2020-08-12T00:00:00Z,,,,62263,1011.0,7.0,,1085986.0,,,,,,,,,,,55,531,9446,1090598,1090377,9977,1090377,5,33,6c7c069ffb82638eb5c528e88ff0bee54ea30672,0,0,0,0,0,
3,20200811,WI,66123,1014277,221.0,364.0,5092.0,111.0,939.0,,,51456.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,1013.0,5092.0,2020-08-11T00:00:00Z,,,,61785,1006.0,7.0,,1076062.0,,,,,,,,,,,55,767,12875,1080621,1080400,13642,1080400,8,61,1555bac327f3a081610e0894c6bab2984aae0965,0,0,0,0,0,
4,20200810,WI,65356,1001402,207.0,414.0,5031.0,119.0,938.0,,,50662.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,1005.0,5031.0,2020-08-10T00:00:00Z,,,,61061,998.0,7.0,,1062463.0,,,,,,,,,,,55,521,7660,1066965,1066758,8181,1066758,0,31,74488830c2866066212fbe6da5cee3fa4816f4e1,0,0,0,0,0,
5,20200809,WI,64835,993742,153.0,355.0,5000.0,94.0,938.0,,,50028.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,1005.0,5000.0,2020-08-09T00:00:00Z,,,,60554,998.0,7.0,,1054296.0,,,,,,,,,,,55,622,6797,1058730,1058577,7419,1058577,2,20,c99ed3c1173913b8bbc4805701e0657173563140,0,0,0,0,0,
6,20200808,WI,64213,986945,152.0,311.0,4980.0,96.0,937.0,,,49283.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,1003.0,4980.0,2020-08-08T00:00:00Z,,,,59933,996.0,7.0,,1046878.0,,,,,,,,,,,55,1185,11997,1051310,1051158,13182,1051158,6,50,0cc9d9d92681235ff877377798fbe4dc4fe1b351,0,0,0,0,0,
7,20200807,WI,63028,974948,118.0,296.0,4930.0,101.0,931.0,,,48244.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,997.0,4930.0,2020-08-07T00:00:00Z,,,,58768,990.0,7.0,,1033716.0,,,,,,,,,,,55,1043,13097,1038094,1037976,14140,1037976,12,49,e97c9a4103e351e691de1b7c474c193a0c14362b,0,0,0,0,0,
8,20200806,WI,61985,961851,92.0,251.0,4881.0,104.0,927.0,,,47221.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,985.0,4881.0,2020-08-06T00:00:00Z,,,,57779,978.0,7.0,,1019630.0,,,,,,,,,,,55,875,16867,1023928,1023836,17742,1023836,8,55,8453293052ca75cd59fe2bc949f809e5e994a67a,0,0,0,0,0,
9,20200805,WI,61110,944984,116.0,258.0,4826.0,96.0,919.0,,,46323.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,977.0,4826.0,2020-08-05T00:00:00Z,,,,56940,970.0,7.0,,1001924.0,,,,,,,,,,,55,939,16139,1006210,1006094,17078,1006094,9,43,2010d90d00839ce7a41c61f364dab498a569cc05,0,0,0,0,0,
