ObjectId,All_Cases,All_Cases__Cumulative_,Community_Cases,Community_Cases__Cumulative_,Secondary_Cases,Secondary_Cases__Cumulative_,Travel_Cases,Travel_Cases__Cumulative_,UI_Cases,UI_Cases__Cumulative_,Hospitalized_Cases,Hospitalized_Cases__Cumulative_,Deceased_Cases,Deceased_Cases__Cumulative_,Date_Reported
1,3,3,0,0,0,0,3,3,0,0,1,1,1,1,2020/03/16 12:00:00
2,5,8,0,0,1,1,4,7,0,0,0,1,0,1,2020/03/17 12:00:00
3,3,11,0,0,0,1,3,10,0,0,0,1,0,1,2020/03/18 12:00:00
4,3,14,0,0,2,3,1,11,0,0,0,1,0,1,2020/03/19 12:00:00
5,1,15,0,0,0,3,1,12,0,0,0,1,0,1,2020/03/20 12:00:00
6,10,25,0,0,6,9,4,16,0,0,2,3,0,1,2020/03/21 12:00:00
7,13,38,3,3,3,12,7,23,0,0,1,4,0,1,2020/03/22 12:00:00
8,4,42,1,4,2,14,1,24,0,0,0,4,0,1,2020/03/23 12:00:00
9,7,49,1,5,2,16,4,28,0,0,0,4,0,1,2020/03/24 12:00:00
10,14,63,4,9,2,18,8,36,0,0,3,7,2,3,2020/03/25 12:00:00
11,11,74,3,12,6,24,2,38,0,0,1,8,0,3,2020/03/26 12:00:00
12,17,91,1,13,12,36,4,42,0,0,2,10,1,4,2020/03/27 12:00:00
13,19,110,2,15,8,44,9,51,0,0,3,13,1,5,2020/03/28 12:00:00
14,8,118,2,17,3,47,3,54,0,0,1,14,1,6,2020/03/29 12:00:00
15,10,128,4,21,4,51,2,56,0,0,2,16,0,6,2020/03/30 12:00:00
16,13,141,4,25,6,57,3,59,0,0,3,19,0,6,2020/03/31 12:00:00
17,8,149,5,30,3,60,0,59,0,0,2,21,0,6,2020/04/01 12:00:00
18,11,160,3,33,4,64,3,62,1,1,0,21,0,6,2020/04/02 12:00:00
19,11,171,2,35,4,68,5,67,0,1,1,22,0,6,2020/04/03 12:00:00
20,14,185,4,39,7,75,3,70,0,1,2,24,1,7,2020/04/04 12:00:00
21,6,191,2,41,2,77,2,72,0,1,2,26,0,7,2020/04/05 12:00:00
22,22,213,10,51,8,85,4,76,0,1,0,26,0,7,2020/04/06 12:00:00
23,13,226,4,55,8,93,1,77,0,1,4,30,1,8,2020/04/07 12:00:00
24,9,235,4,59,3,96,2,79,0,1,2,32,1,9,2020/04/08 12:00:00
25,11,246,6,65,4,100,1,80,0,1,1,33,0,9,2020/04/09 12:00:00
26,11,257,4,69,6,106,1,81,0,1,0,33,0,9,2020/04/10 12:00:00
27,15,272,6,75,7,113,2,83,0,1,0,33,0,9,2020/04/11 12:00:00
28,5,277,1,76,1,114,3,86,0,1,0,33,0,9,2020/04/12 12:00:00
29,8,285,3,79,4,118,1,87,0,1,0,33,0,9,2020/04/13 12:00:00
30,8,293,1,80,6,124,1,88,0,1,1,34,0,9,2020/04/14 12:00:00
31,7,300,2,82,4,128,1,89,0,1,1,35,0,9,2020/04/15 12:00:00
32,9,309,1,83,8,136,0,89,0,1,0,35,0,9,2020/04/16 12:00:00
33,5,314,3,86,1,137,1,90,0,1,0,35,0,9,2020/04/17 12:00:00
34,5,319,1,87,3,140,1,91,0,1,0,35,0,9,2020/04/18 12:00:00
35,2,321,2,89,0,140,0,91,0,1,0,35,0,9,2020/04/19 12:00:00
36,8,329,2,91,6,146,0,91,0,1,0,35,0,9,2020/04/20 12:00:00
37,6,335,1,92,5,151,0,91,0,1,0,35,0,9,2020/04/21 12:00:00
38,2,337,0,92,2,153,0,91,0,1,0,35,0,9,2020/04/22 12:00:00
39,2,339,2,94,0,153,0,91,0,1,0,35,0,9,2020/04/23 12:00:00
40,0,339,0,94,0,153,0,91,0,1,0,35,0,9,2020/04/24 12:00:00
41,2,341,0,94,0,153,1,92,1,2,0,35,0,9,2020/04/25 12:00:00
42,4,345,1,95,3,156,0,92,0,2,1,36,0,9,2020/04/26 12:00:00
43,6,351,2,97,3,159,1,93,0,2,0,36,0,9,2020/04/27 12:00:00
44,4,355,1,98,3,162,0,93,0,2,0,36,0,9,2020/04/28 12:00:00
45,0,355,0,98,0,162,0,93,0,2,0,36,0,9,2020/04/29 12:00:00
46,9,364,4,102,4,166,1,94,0,2,1,37,1,10,2020/04/30 12:00:00
47,1,365,1,103,0,166,0,94,0,2,0,37,0,10,2020/05/01 12:00:00
48,3,368,3,106,0,166,0,94,0,2,2,39,0,10,2020/05/02 12:00:00
49,2,370,1,107,1,167,0,94,0,2,0,39,0,10,2020/05/03 12:00:00
50,1,371,0,107,1,168,0,94,0,2,0,39,0,10,2020/05/04 12:00:00
51,1,372,0,107,0,168,1,95,0,2,0,39,0,10,2020/05/05 12:00:00
52,2,374,0,107,0,168,2,97,0,2,0,39,0,10,2020/05/06 12:00:00
53,3,377,2,109,0,168,1,98,0,2,0,39,0,10,2020/05/07 12:00:00
54,1,378,0,109,0,168,1,99,0,2,1,40,0,10,2020/05/08 12:00:00
55,1,379,0,109,0,168,1,100,0,2,0,40,0,10,2020/05/09 12:00:00
56,2,381,2,111,0,168,0,100,0,2,0,40,0,10,2020/05/10 12:00:00
57,2,383,0,111,2,170,0,100,0,2,0,40,0,10,2020/05/11 12:00:00
58,0,383,0,111,0,170,0,100,0,2,0,40,0,10,2020/05/12 12:00:00
59,4,387,1,112,1,171,1,101,1,3,4,44,0,10,2020/05/13 12:00:00
60,1,388,1,113,0,171,0,101,0,3,0,44,0,10,2020/05/14 12:00:00
61,4,392,2,115,0,171,1,102,1,4,1,45,0,10,2020/05/15 12:00:00
62,4,396,1,116,2,173,0,102,1,5,0,45,0,10,2020/05/16 12:00:00
63,3,399,3,119,0,173,0,102,0,5,1,46,0,10,2020/05/17 12:00:00
64,0,399,0,119,0,173,0,102,0,5,0,46,0,10,2020/05/18 12:00:00
65,3,402,2,121,0,173,1,103,0,5,2,48,0,10,2020/05/19 12:00:00
66,0,402,0,121,0,173,0,103,0,5,0,48,0,10,2020/05/20 12:00:00
67,2,404,2,123,0,173,0,103,0,5,0,48,0,10,2020/05/21 12:00:00
68,4,408,4,127,0,173,0,103,0,5,0,48,0,10,2020/05/22 12:00:00
69,0,408,0,127,0,173,0,103,0,5,0,48,0,10,2020/05/23 12:00:00
70,1,409,1,128,0,173,0,103,0,5,0,48,0,10,2020/05/24 12:00:00
71,2,411,1,129,0,173,0,103,1,6,0,48,0,10,2020/05/25 12:00:00
72,1,412,1,130,0,173,0,103,0,6,0,48,0,10,2020/05/26 12:00:00
73,13,425,7,137,4,177,1,104,1,7,1,49,0,10,2020/05/27 12:00:00
74,5,430,0,137,4,181,1,105,0,7,0,49,0,10,2020/05/28 12:00:00
75,3,433,2,139,1,182,0,105,0,7,1,50,1,11,2020/05/29 12:00:00
76,27,460,7,146,19,201,0,105,1,8,1,51,1,12,2020/05/30 12:00:00
77,7,467,1,147,4,205,0,105,2,10,0,51,0,12,2020/05/31 12:00:00
78,20,487,4,151,14,219,0,105,2,12,0,51,0,12,2020/06/01 12:00:00
79,18,505,7,158,11,230,0,105,0,12,2,53,0,12,2020/06/02 12:00:00
80,8,513,1,159,6,236,0,105,1,13,0,53,0,12,2020/06/03 12:00:00
81,11,524,2,161,6,242,0,105,3,16,1,54,0,12,2020/06/04 12:00:00
82,12,536,0,161,11,253,0,105,1,17,1,55,0,12,2020/06/05 12:00:00
83,8,544,2,163,3,256,0,105,3,20,0,55,0,12,2020/06/06 12:00:00
84,18,562,3,166,13,269,0,105,2,22,0,55,0,12,2020/06/07 12:00:00
85,11,573,3,169,6,275,1,106,1,23,0,55,0,12,2020/06/08 12:00:00
86,20,593,4,173,10,285,0,106,6,29,0,55,0,12,2020/06/09 12:00:00
87,18,611,6,179,6,291,3,109,3,32,0,55,0,12,2020/06/10 12:00:00
88,14,625,4,183,4,295,3,112,3,35,2,57,0,12,2020/06/11 12:00:00
89,27,652,4,187,11,306,4,116,8,43,0,57,0,12,2020/06/12 12:00:00
90,9,661,2,189,2,308,0,116,5,48,2,59,0,12,2020/06/13 12:00:00
91,3,664,0,189,3,311,0,116,0,48,1,60,0,12,2020/06/14 12:00:00
92,13,677,3,192,4,315,1,117,5,53,0,60,0,12,2020/06/15 12:00:00
93,20,697,2,194,4,319,0,117,14,67,0,60,0,12,2020/06/16 12:00:00
94,12,709,2,196,4,323,0,117,6,73,0,60,0,12,2020/06/17 12:00:00
95,14,723,4,200,4,327,1,118,5,78,1,61,0,12,2020/06/18 12:00:00
96,21,744,1,201,3,330,2,120,15,93,1,62,0,12,2020/06/19 12:00:00
97,12,756,2,203,0,330,0,120,10,103,0,62,0,12,2020/06/20 12:00:00
98,6,762,0,203,0,330,0,120,6,109,0,62,0,12,2020/06/21 12:00:00
99,16,778,1,204,0,330,0,120,15,124,1,63,0,12,2020/06/22 12:00:00
