,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,AL,105557,697005.0,,1365.0,12456.0,,1292.0,,707.0,41523.0,B,8/13/2020 11:00,2020-08-13T11:00:00Z,08/13 07:00,1890.0,12456.0,2020-08-13T11:00:00Z,798501,,,101496,1821.0,69.0,,,,,,,,,,,,,1,771,6020,802562,802562,6791,802562,8,164,7d9b76da037e0e2f27bcbc64c059d6d263452b52,0,0,0,0,0,
1,20200812,AL,104786,690985.0,,1372.0,12292.0,,1282.0,,700.0,41523.0,B,8/12/2020 11:00,2020-08-12T11:00:00Z,08/12 07:00,1882.0,12292.0,2020-08-12T11:00:00Z,791786,,,100801,1814.0,68.0,,,,,,,,,,,,,1,935,11147,795771,795771,12082,795771,35,222,137c5b62f4730d76c6b01e6855395ada4c274a36,0,0,0,0,0,
2,20200811,AL,103851,679838.0,,1506.0,12070.0,,1270.0,,691.0,37923.0,B,8/11/2020 11:00,2020-08-11T11:00:00Z,08/11 07:00,1847.0,12070.0,2020-08-11T11:00:00Z,779764,,,99926,1781.0,66.0,,,,,,,,,,,,,1,831,2291,783689,783689,3122,783689,50,0,c5ff9145ded97a98326380b74512fd218a76af11,0,0,0,0,0,
3,20200810,AL,103020,677547.0,,1528.0,12070.0,,1249.0,,680.0,37923.0,B,8/10/2020 11:00,2020-08-10T11:00:00Z,08/10 07:00,1797.0,12070.0,2020-08-10T11:00:00Z,776937,,,99390,1733.0,64.0,,,,,,,,,,,,,1,1686,16430,780567,780567,18116,780567,29,533,4c4341c641f16248d1f05c25428ab52bccaf257f,0,0,0,0,0,
4,20200809,AL,101334,661117.0,,1595.0,11537.0,,1242.0,,674.0,37923.0,B,8/9/2020 11:00,2020-08-09T11:00:00Z,08/09 07:00,1768.0,11537.0,2020-08-09T11:00:00Z,758852,,,97735,1707.0,61.0,,,,,,,,,,,,,1,2947,10002,762451,762451,12949,762451,33,0,a57dbdd3c08f392e3b36c1388b5ddc3f09dd7f90,0,0,0,0,0,
5,20200808,AL,98387,651115.0,,1575.0,11537.0,,1228.0,,661.0,37923.0,B,8/8/2020 11:00,2020-08-08T11:00:00Z,08/08 07:00,1735.0,11537.0,2020-08-08T11:00:00Z,745942,,,94827,1674.0,61.0,,,,,,,,,,,,,1,86,0,749502,749502,86,749502,0,0,afd9790d5fea0423e7d5a176b619630a487526d7,0,0,0,0,0,
6,20200807,AL,98301,651115.0,,1575.0,11537.0,,1219.0,,658.0,37923.0,B,8/7/2020 11:00,2020-08-07T11:00:00Z,08/07 07:00,1735.0,11537.0,2020-08-07T11:00:00Z,745942,,,94827,1674.0,61.0,,,,,,,,,,,,,1,1709,7923,749416,749416,9632,749416,21,224,0439810f1a41d465a185f1f5beed85ba42e90b85,0,0,0,0,0,
7,20200806,AL,96592,643192.0,,1575.0,11313.0,,1211.0,,654.0,37923.0,B,8/6/2020 11:00,2020-08-06T11:00:00Z,08/06 07:00,1714.0,11313.0,2020-08-06T11:00:00Z,736594,,,93402,1654.0,60.0,,,,,,,,,,,,,1,1938,10386,739784,739784,12324,739784,19,213,682dc4b5769821191a95473c29ba41cc0d10fe07,0,0,0,0,0,
8,20200805,AL,94654,632806.0,,1575.0,11100.0,,1200.0,,645.0,37923.0,B,8/5/2020 11:00,2020-08-05T11:00:00Z,08/05 07:00,1695.0,11100.0,2020-08-05T11:00:00Z,724582,,,91776,1639.0,56.0,,,,,,,,,,,,,1,952,4207,727460,727460,5159,727460,29,0,8f0cdc01f4c656d224ffe636eef2392ee1091fff,0,0,0,0,0,
9,20200804,AL,93702,628599.0,,1517.0,11100.0,,1173.0,,634.0,35401.0,B,8/4/2020 11:00,2020-08-04T11:00:00Z,08/04 07:00,1666.0,11100.0,2020-08-04T11:00:00Z,719489,,,90890,1611.0,55.0,,,,,,,,,,,,,1,1041,7209,722301,722301,8250,722301,33,235,8ce52c4025ebae14cdf3491b963b8e3d8a5842f5,0,0,0,0,0,
