,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200719,AK,2277,170733,,27.0,,,,1.0,,712.0,A,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,18,,2020-07-19T00:00:00Z,173010,,,,18.0,,2,118,4529,173010,173010,4647,173010,0,0,debaefd876cd41580e56dcdfb8d1236f199234ad,0,0,0,0,0,
1,20200718,AK,2159,166204,,26.0,,,,1.0,,708.0,A,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,18,,2020-07-18T00:00:00Z,168363,,,,18.0,,2,78,2871,168363,168363,2949,168363,1,0,ec66e86851a02568f6d8d884518235b940e32c12,0,0,0,0,0,
2,20200717,AK,2081,163333,,32.0,,,,0.0,,697.0,A,7/17/2020 00:00,2020-07-17T00:00:00Z,07/16 20:00,17,,2020-07-17T00:00:00Z,165414,,,,17.0,,2,49,2343,165414,165414,2392,165414,0,0,e904def0e1f67ac528572f0506eef868c163a3f3,0,0,0,0,0,
3,20200716,AK,2032,160990,,32.0,,,,0.0,,688.0,A,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,17,,2020-07-16T00:00:00Z,163022,,,,17.0,,2,401,6528,163022,163022,6929,163022,0,0,34f789833937d1270ce0cce67d132f6f0b7c76cf,0,0,0,0,0,
4,20200715,AK,1631,154462,,32.0,,,,0.0,,669.0,A,7/15/2020 00:00,2020-07-15T00:00:00Z,07/14 20:00,17,,2020-07-15T00:00:00Z,156093,,,,17.0,,2,52,6568,156093,156093,6620,156093,0,0,94f51a21cc1532dde7387df47013f567fb56d967,0,0,0,0,0,
5,20200714,AK,1579,147894,,25.0,,,,1.0,,642.0,A,7/14/2020 00:00,2020-07-14T00:00:00Z,07/13 20:00,17,,2020-07-14T00:00:00Z,149473,,,,17.0,,2,40,2843,149473,149473,2883,149473,0,0,14ec620d73185257a210b3f634cca1a8024dabe0,0,0,0,0,0,
6,20200713,AK,1539,145051,,22.0,,,,0.0,,620.0,A,7/13/2020 00:00,2020-07-13T00:00:00Z,07/12 20:00,17,,2020-07-13T00:00:00Z,146590,,,,17.0,,2,60,1055,146590,146590,1115,146590,0,0,4572301f99d3fc09b76a0c0f921beaa75d523071,0,0,0,0,0,
7,20200712,AK,1479,143996,,27.0,,,,0.0,,615.0,A,7/12/2020 00:00,2020-07-12T00:00:00Z,07/11 20:00,17,,2020-07-12T00:00:00Z,145475,,,,17.0,,2,94,2005,145475,145475,2099,145475,0,0,a0d3d26cd6bfe23ff076e92f50acd2e1ee43cfc4,0,0,0,0,0,
8,20200711,AK,1385,141991,,31.0,,,,1.0,,598.0,A,7/11/2020 00:00,2020-07-11T00:00:00Z,07/10 20:00,17,,2020-07-11T00:00:00Z,143376,,,,17.0,,2,62,1383,143376,143376,1445,143376,0,0,d88f70b7bfa373ef0fb14998ccb0d0d3a9c806fb,0,0,0,0,0,
9,20200710,AK,1323,140608,,30.0,,,,0.0,,588.0,A,7/10/2020 00:00,2020-07-10T00:00:00Z,07/09 20:00,17,,2020-07-10T00:00:00Z,141931,,,,17.0,,2,51,6136,141931,141931,6187,141931,0,0,7337a3e96732733e1dad90b6631e3e4316bba0ff,0,0,0,0,0,
10,20200709,AK,1272,134472,,28.0,,,,0.0,,571.0,A,7/9/2020 00:00,2020-07-09T00:00:00Z,07/08 20:00,17,,2020-07-09T00:00:00Z,135744,,,,17.0,,2,46,2297,135744,135744,2343,135744,0,0,55912ff71f785e526d4154c6ddd12b7188f17807,0,0,0,0,0,
11,20200708,AK,1226,132175,,30.0,,,,0.0,,563.0,A,7/8/2020 00:00,2020-07-08T00:00:00Z,07/07 20:00,17,,2020-07-08T00:00:00Z,133401,,,,17.0,,2,42,1939,133401,133401,1981,133401,0,0,44f40820165a4480d4a1b8b031bb7e6bf3a22a40,0,0,0,0,0,
12,20200707,AK,1184,130236,,25.0,,,,1.0,,560.0,A,7/6/2020 00:00,2020-07-06T00:00:00Z,07/05 20:00,17,,2020-07-06T00:00:00Z,131420,,,,17.0,,2,46,7621,131420,131420,7667,131420,1,0,b73251092e6ac1630d79986571a3a0b762af92f8,0,0,0,0,0,
13,20200706,AK,1138,122615,,19.0,,,,3.0,,548.0,A,7/5/2020 00:00,2020-07-05T00:00:00Z,07/04 20:00,16,,2020-07-05T00:00:00Z,123753,,,,16.0,,2,0,0,123753,123753,0,123753,0,0,a0a54ae086228288c73c5fd67e40698c20faff91,0,0,0,0,0,
14,20200705,AK,1138,122615,,19.0,,,,3.0,,548.0,A,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,16,,2020-07-04T00:00:00Z,123753,,,,16.0,,2,27,994,123753,123753,1021,123753,0,0,904a10c08e426e55a99b57b3fac7011f20d37709,0,0,0,0,0,
15,20200704,AK,1111,121621,,23.0,,,,3.0,,544.0,A,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,16,,2020-07-04T00:00:00Z,122732,,,,16.0,,2,48,2476,122732,122732,2524,122732,1,0,01fd647bd68ffeec0cd7768a47ef788710ffe356,0,0,0,0,0,
16,20200703,AK,1063,119145,,25.0,,,,3.0,,539.0,A,7/3/2020 00:00,2020-07-03T00:00:00Z,07/02 20:00,15,,2020-07-03T00:00:00Z,120208,,,,15.0,,2,46,4253,120208,120208,4299,120208,1,0,59679722e82c0bbc426df489c513b61ab0c5b0a4,0,0,0,0,0,
17,20200702,AK,1017,114892,,18.0,,,,1.0,,535.0,A,7/2/2020 00:00,2020-07-02T00:00:00Z,07/01 20:00,14,,2020-07-02T00:00:00Z,115909,,,,14.0,,2,39,1470,115909,115909,1509,115909,0,0,6b68c6ff5b067d569f370f0d82a8c57d3116aba1,0,0,0,0,0,
