,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200725,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,0d7a633be32b1ba4de5e5b83e4541495d606dc79,0,0,0,0,0,
1,20200724,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,f959d1a6b8d4b3f47c048f022a17cfc45bac67e4,0,0,0,0,0,
2,20200723,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,3ef0986f4a9bd86467f99f1466dc940a8b200448,0,0,0,0,0,
3,20200722,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,a7286f5f9d83a17ad859560311d14a66e73307c0,0,0,0,0,0,
4,20200721,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,0751b91aec0bbed662c9bf6c56ba3fb8cadfa0d1,0,0,0,0,0,
5,20200720,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,eb1949a094a8c4c95f33a9c6db8d407e917f5bdb,0,0,0,0,0,
6,20200719,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,9328b3a695275b97fc4a31e2e3e3c405eee335ef,0,0,0,0,0,
7,20200718,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,c2b70935f8c7d35677342f50f07a679978c16b9a,0,0,0,0,0,
8,20200717,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,0,1037,1037,0,1037,0,0,05c29e79ae40469ded632c9081bcb462bbd2e3b1,0,0,0,0,0,
9,20200716,AS,0.0,1037.0,,,,,,,,,C,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,0.0,,2020-07-16T00:00:00Z,,,,0,,,60,0,221,1037,1037,221,1037,0,0,b11c597b1542d32f00fa075fb29060f5cf9b540b,0,0,0,0,0,
10,20200715,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,6ebccec81a549a84f958d0f4c66df72370b801cd,0,0,0,0,0,
11,20200714,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,9cc69cf4129f613a31d4e9f33d777581a76fdb2f,0,0,0,0,0,
12,20200713,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,1f13af9834af8e8abccdb8e5afa49c44939fb6fa,0,0,0,0,0,
13,20200712,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,de5742ae1442bce01a43701e685f427c6a31b538,0,0,0,0,0,
14,20200711,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,9ccaa9ea6a49fbe356f54070a072db79e0f610d2,0,0,0,0,0,
15,20200710,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,18bb332473ba05e3359ba3d995f81f054cc6497e,0,0,0,0,0,
16,20200709,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,816,816,0,816,0,0,f5dda5f53d4e1da1969317f567803c940e980c08,0,0,0,0,0,
17,20200708,AS,0.0,816.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,120,816,816,120,816,0,0,1d62264acb2a1617a5565755798c69aec882b4dd,0,0,0,0,0,
18,20200707,AS,0.0,696.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,afa0e4e2a78b67a89b7be11f1402d27639204fb3,0,0,0,0,0,
19,20200706,AS,0.0,696.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,5d9101cbf7f5b2fb63fed063ed6f8cc8f08ab633,0,0,0,0,0,
20,20200705,AS,0.0,696.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,a558db55c214dc2c65b330590d5c6ba36b4d5e56,0,0,0,0,0,
21,20200704,AS,0.0,696.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,610e0b50e009e0ea556785027d7a901ab740cce6,0,0,0,0,0,
22,20200703,AS,0.0,696.0,,,,,,,,,C,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,0.0,,2020-07-01T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,4f69eac29eed738f65845d78db44df18bcf11e9a,0,0,0,0,0,
23,20200702,AS,0.0,696.0,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,0.0,,2020-06-27T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,7fdfb084c5f72c4014a25d9d975ae6091f37e2bc,0,0,0,0,0,
24,20200701,AS,0.0,696.0,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,0.0,,2020-06-27T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,76c1010585a1ff3a0335f09f4951cd8b5b4a976a,0,0,0,0,0,
25,20200630,AS,0.0,696.0,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,0.0,,2020-06-27T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,f316f964d5a7e6f4eac0cf4c6a4687e85ab7aebe,0,0,0,0,0,
26,20200629,AS,0.0,696.0,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,0.0,,2020-06-27T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,77fd0c0ed7a7f0b9925ebbd5d9af605697cd0327,0,0,0,0,0,
27,20200628,AS,0.0,696.0,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,0.0,,2020-06-27T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,62674ffb278c65b03c9b643f701be817e8ed0f75,0,0,0,0,0,
28,20200627,AS,0.0,696.0,,,,,,,,,C,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,0.0,,2020-06-27T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,f3b36e9e43abd2b650f3c41d5031dae8f445a88c,0,0,0,0,0,
29,20200626,AS,0.0,696.0,,,,,,,,,C,6/25/2020 00:00,2020-06-25T00:00:00Z,06/24 20:00,0.0,,2020-06-25T00:00:00Z,,,,0,,,60,0,0,696,696,0,696,0,0,a1336b8ba72769e339f70e050015f69101bda03f,0,0,0,0,0,
30,20200625,AS,0.0,696.0,,,,,,,,,C,6/25/2020 00:00,2020-06-25T00:00:00Z,06/24 20:00,0.0,,2020-06-25T00:00:00Z,,,,0,,,60,0,522,696,696,522,696,0,0,727d0154e2c88855a2148e51bb11e31af33803dd,0,0,0,0,0,
31,20200624,AS,0.0,174.0,,,,,,,,,C,6/1/2020 00:00,2020-06-01T00:00:00Z,05/31 20:00,0.0,,2020-06-01T00:00:00Z,,,,0,,,60,0,0,174,174,0,174,0,0,0ba3bc7cad0975ac0d162a0ba549e405c46abd20,0,0,0,0,0,
