,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200625,AR,18062,259318,,284.0,1245.0,,,61.0,194.0,12127.0,A,6/25/2020 15:20,2020-06-25T15:20:00Z,06/25 11:20,240.0,1245.0,2020-06-25T15:20:00Z,,,,18062.0,5,687,4827,277380,277380,5514,277380,0,31,651dd04526a06699eef6c83fc27f1850be5e46cb,0,0,0,0,0,
1,20200624,AR,17375,254491,,267.0,1214.0,,,58.0,189.0,11568.0,B,6/24/2020 15:38,2020-06-24T15:38:00Z,06/24 11:38,240.0,1214.0,2020-06-24T15:38:00Z,,,,17375.0,5,697,6677,271866,271866,7374,271866,3,26,4e2e733ef730182747b9f4ea119aa5e414ce2763,0,0,0,0,0,
2,20200623,AR,16678,247814,,248.0,1188.0,,,57.0,186.0,11220.0,A,6/23/2020 14:50,2020-06-23T14:50:00Z,06/23 10:50,237.0,1188.0,2020-06-23T14:50:00Z,,,,16678.0,5,595,7558,264492,264492,8153,264492,10,24,85ada121319e67e007e948504ed59ad41d6e8df9,0,0,0,0,0,
3,20200622,AR,16083,240256,,237.0,1164.0,,,61.0,186.0,10793.0,A,6/22/2020 14:50,2020-06-22T14:50:00Z,06/22 10:50,227.0,1164.0,2020-06-22T14:50:00Z,,,,16083.0,5,941,13164,256339,256339,14105,256339,3,12,20d82ee9c9deb6b905d2bafd6af10c01b8adf8b2,0,0,0,0,0,
4,20200621,AR,15142,227092,,240.0,1152.0,,,59.0,184.0,10082.0,A,6/20/2020 19:40,2020-06-20T19:40:00Z,06/20 15:40,224.0,1152.0,2020-06-20T19:40:00Z,,,,15142.0,5,0,0,242234,242234,0,242234,0,52,98acb23e8142e941bc2b7eb83d6892d67c819db3,0,0,0,0,0,
5,20200620,AR,15142,227092,,224.0,1100.0,,,53.0,175.0,10082.0,B,6/20/2020 00:00,2020-06-20T00:00:00Z,06/19 20:00,224.0,1100.0,2020-06-20T00:00:00Z,,,,15142.0,5,511,6951,242234,242234,7462,242234,10,0,a07a4e7d3e3c3ebc81c365310b6075761c86e4fc,0,0,0,0,0,
6,20200619,AR,14631,220141,,224.0,1100.0,,,53.0,175.0,9712.0,B,6/19/2020 15:40,2020-06-19T15:40:00Z,06/19 11:40,214.0,1100.0,2020-06-19T15:40:00Z,,,,14631.0,5,703,5635,234772,234772,6338,234772,6,26,77bcd2ee369d7e1857d1d48f55f1cf25e07ecdb5,0,0,0,0,0,
7,20200618,AR,13928,214506,,226.0,1074.0,,,53.0,173.0,9376.0,B,6/18/2020 15:10,2020-06-18T15:10:00Z,06/18 11:10,208.0,1074.0,2020-06-18T15:10:00Z,,,,13928.0,5,322,7413,228434,228434,7735,228434,11,22,18689a56d425e2051c51c144e355569ce4786172,0,0,0,0,0,
8,20200617,AR,13606,207093,,217.0,1052.0,,,53.0,168.0,8996.0,A,6/17/2020 15:10,2020-06-17T15:10:00Z,06/17 11:10,197.0,1052.0,2020-06-17T15:10:00Z,,,,13606.0,5,415,14718,220699,220699,15133,220699,15,26,495c9f3d841d3604de7679918df335e1e00594cf,0,0,0,0,0,
9,20200616,AR,13191,192375,,214.0,1026.0,,,45.0,165.0,8352.0,A,6/16/2020 15:10,2020-06-16T15:10:00Z,06/16 11:10,182.0,1026.0,2020-06-16T15:10:00Z,,,,13191.0,5,274,1154,205566,205566,1428,205566,0,23,c5119ffd6425362da168a79b9b64af5bedc77ae3,0,0,0,0,0,
10,20200615,AR,12917,191221,,206.0,1003.0,,,45.0,163.0,8352.0,B,6/15/2020 00:00,2020-06-15T00:00:00Z,06/14 20:00,182.0,1003.0,2020-06-15T00:00:00Z,,,,12917.0,5,416,6733,204138,204138,7149,204138,3,5,b09ef2ffe500407eb08f0c06674367d8b4eb4d37,0,0,0,0,0,
11,20200614,AR,12501,184488,,204.0,998.0,,,46.0,162.0,8110.0,A,6/14/2020 00:00,2020-06-14T00:00:00Z,06/13 20:00,179.0,998.0,2020-06-14T00:00:00Z,,,,12501.0,5,954,9018,196989,196989,9972,196989,3,19,7a1373dc0a9d41f463a820a16399802fdd3311c0,0,0,0,0,0,
12,20200613,AR,11547,175470,,203.0,979.0,,,49.0,160.0,7607.0,A,6/13/2020 00:00,2020-06-13T00:00:00Z,06/12 20:00,176.0,979.0,2020-06-13T00:00:00Z,,,,11547.0,5,0,5895,187017,187017,5895,187017,0,18,51267156707bdb86f0a40abe6d5a71bc07b53e10,0,0,0,0,0,
13,20200612,AR,11547,169575,,203.0,961.0,,,49.0,157.0,7607.0,A,6/12/2020 15:10,2020-06-12T15:10:00Z,06/12 11:10,176.0,961.0,2020-06-12T15:10:00Z,,,,11547.0,5,731,3726,181122,181122,4457,181122,5,36,4bee2db901732ed74238ccbf11e271ba60bcc9fe,0,0,0,0,0,
14,20200611,AR,10816,165849,,187.0,925.0,,,45.0,150.0,7351.0,A,6/11/2020 14:50,2020-06-11T14:50:00Z,06/11 10:50,171.0,925.0,2020-06-11T14:50:00Z,,,,10816.0,5,448,0,176665,176665,448,176665,6,24,0cb450ae43dfa0221fa84b39aa4ee8d2139b1de9,0,0,0,0,0,
15,20200610,AR,10368,165849,,181.0,901.0,,,49.0,147.0,7116.0,A,6/10/2020 15:00,2020-06-10T15:00:00Z,06/10 11:00,165.0,901.0,2020-06-10T15:00:00Z,,,,10368.0,5,288,10148,176217,176217,10436,176217,4,36,4f7e7ec67e53107f2fa8e266de2611ee7fa856a0,0,0,0,0,0,
16,20200609,AR,10080,155701,,173.0,865.0,,,44.0,144.0,6875.0,A,6/9/2020 15:00,2020-06-09T15:00:00Z,06/09 11:00,161.0,865.0,2020-06-09T15:00:00Z,,,,10080.0,5,340,4854,165781,165781,5194,165781,6,21,ce446c5d81bb9cd9f13211029e2241d9ca648f39,0,0,0,0,0,
17,20200608,AR,9740,150847,,171.0,844.0,,,46.0,143.0,6424.0,A,6/8/2020 15:10,2020-06-08T15:10:00Z,06/08 11:10,155.0,844.0,2020-06-08T15:10:00Z,,,,9740.0,5,314,0,160587,160587,314,160587,1,0,3ac80df29045eb45d6e9fc63d3679f48e948c130,0,0,0,0,0,
18,20200607,AR,9426,150847,,145.0,844.0,,,35.0,143.0,6424.0,A,6/7/2020 16:10,2020-06-07T16:10:00Z,06/07 12:10,154.0,844.0,2020-06-07T16:10:00Z,,,,9426.0,5,325,3191,160273,160273,3516,160273,0,6,6759145c896e01129855228f8d701df011941b89,0,0,0,0,0,
