,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200708,CA,289468,4706707,,7705.0,,1976.0,,,,,B,7/8/2020 00:00,2020-07-08T00:00:00Z,07/07 20:00,6562.0,,2020-07-08T00:00:00Z,4996175,,,289468.0,,,6,11694,88111,4996175,4996175,99805,4996175,114,0,3537046bf4188b187fc618317db06c2d9f345e87,0,0,0,0,0,
1,20200707,CA,277774,4618596,,7499.0,,1984.0,,,,,B,7/7/2020 00:00,2020-07-07T00:00:00Z,07/06 20:00,6448.0,,2020-07-07T00:00:00Z,4896370,,,277774.0,,,6,6090,96927,4896370,4896370,103017,4896370,111,0,bda260afa5a8b8762b2c464b5619cecb3c5358c6,0,0,0,0,0,
2,20200706,CA,271684,4521669,,7278.0,,1937.0,,,,,B,7/6/2020 00:00,2020-07-06T00:00:00Z,07/05 20:00,6337.0,,2020-07-06T00:00:00Z,4793353,,,271684.0,,,6,11529,101686,4793353,4793353,113215,4793353,6,0,c954e75ad41457f13666ee43673ca235c36136ab,0,0,0,0,0,
3,20200705,CA,260155,4419983,,7149.0,,1907.0,,,,,B,7/5/2020 00:00,2020-07-05T00:00:00Z,07/04 20:00,6331.0,,2020-07-05T00:00:00Z,4680138,,,260155.0,,,6,5410,121697,4680138,4680138,127107,4680138,18,0,a37bbeacb77547eda988a962ebdb43bdfe76954d,0,0,0,0,0,
4,20200704,CA,254745,4298286,,7092.0,,1888.0,,,,,B,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,6313.0,,2020-07-04T00:00:00Z,4553031,,,254745.0,,,6,6510,98345,4553031,4553031,104855,4553031,50,0,2149af06e7b68256a3d353aafa37976750920516,0,0,0,0,0,
5,20200703,CA,248235,4199941,,7024.0,,1871.0,,,,,B,7/3/2020 00:00,2020-07-03T00:00:00Z,07/02 20:00,6263.0,,2020-07-03T00:00:00Z,4448176,,,248235.0,,,6,8040,101418,4448176,4448176,109458,4448176,100,0,288d9cb57e0d996943af02bf914d2ab40280dee9,0,0,0,0,0,
6,20200702,CA,240195,4098523,,6812.0,,1934.0,,,,,B,7/2/2020 00:00,2020-07-02T00:00:00Z,07/01 20:00,6163.0,,2020-07-02T00:00:00Z,4338718,,,240195.0,,,6,7538,77004,4338718,4338718,84542,4338718,73,0,5c9d97df9660a00ae406dff9678aa32412861c9d,0,0,0,0,0,
7,20200701,CA,232657,4021519,,6612.0,,1859.0,,,,,B,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,6090.0,,2020-07-01T00:00:00Z,4254176,,,232657.0,,,6,9740,77297,4254176,4254176,87037,4254176,110,0,42d1f4e31a95da95378ec3a6b3a14a0dd4fe8692,0,0,0,0,0,
8,20200630,CA,222917,3944222,,6466.0,,1751.0,,,,,B,6/30/2020 00:00,2020-06-30T00:00:00Z,06/29 20:00,5980.0,,2020-06-30T00:00:00Z,4167139,,,222917.0,,,6,6367,99080,4167139,4167139,105447,4167139,44,0,abb284226988c1b06fdea38a1f6a5364b4e3f5b6,0,0,0,0,0,
9,20200629,CA,216550,3845142,,6179.0,,1686.0,,,,,B,6/29/2020 00:00,2020-06-29T00:00:00Z,06/28 20:00,5936.0,,2020-06-29T00:00:00Z,4061692,,,216550.0,,,6,5307,100433,4061692,4061692,105740,4061692,31,0,f6968cb160eee09c327e0207aa101cd83c5e5736,0,0,0,0,0,
10,20200628,CA,211243,3744709,,5956.0,,1602.0,,,,,B,6/28/2020 00:00,2020-06-28T00:00:00Z,06/27 20:00,5905.0,,2020-06-28T00:00:00Z,3955952,,,211243.0,,,6,4810,88832,3955952,3955952,93642,3955952,33,0,535bc444805fde24ff7c1f083bc452c4f2c4d336,0,0,0,0,0,
11,20200627,CA,206433,3655877,,5790.0,,1562.0,,,,,B,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,5872.0,,2020-06-27T00:00:00Z,3862310,,,206433.0,,,6,5972,85024,3862310,3862310,90996,3862310,60,0,101c022c04a2829fef937a0f17c413e5a8fb334c,0,0,0,0,0,
12,20200626,CA,200461,3570853,,5639.0,,1570.0,,,,,B,6/26/2020 00:00,2020-06-26T00:00:00Z,06/25 20:00,5812.0,,2020-06-26T00:00:00Z,3771314,,,200461.0,,,6,4890,72079,3771314,3771314,76969,3771314,79,0,2763b419337eb1c55424e3b5e9cd01e493ba5d7d,0,0,0,0,0,
13,20200625,CA,195571,3498774,,5522.0,,1523.0,,,,,B,6/25/2020 00:00,2020-06-25T00:00:00Z,06/24 20:00,5733.0,,2020-06-25T00:00:00Z,3694345,,,195571.0,,,6,5349,96097,3694345,3694345,101446,3694345,101,0,86ee252c23e4ecff94da6d010772f278aafa9728,0,0,0,0,0,
14,20200624,CA,190222,3402677,,5399.0,,1487.0,,,,,B,6/24/2020 00:00,2020-06-24T00:00:00Z,06/23 20:00,5632.0,,2020-06-24T00:00:00Z,3592899,,,190222.0,,,6,7149,88821,3592899,3592899,95970,3592899,52,0,6ae63ff7d41202c448630c98a9e6fab11262da46,0,0,0,0,0,
15,20200623,CA,183073,3313856,,5065.0,,1421.0,,,,,B,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,5580.0,,2020-06-23T00:00:00Z,3496929,,,183073.0,,,6,5019,80224,3496929,3496929,85243,3496929,65,0,4aa0e22ff29295f9726bcdb344239c334115e7bf,0,0,0,0,0,
16,20200622,CA,178054,3233632,,4804.0,,1412.0,,,,,B,6/22/2020 00:00,2020-06-22T00:00:00Z,06/21 20:00,5515.0,,2020-06-22T00:00:00Z,3411686,,,178054.0,,,6,4230,88200,3411686,3411686,92430,3411686,20,0,2f80f43769731ffcb4bf360082792ce0d12d3b3f,0,0,0,0,0,
17,20200621,CA,173824,3145432,,4679.0,,1366.0,,,,,B,6/21/2020 00:00,2020-06-21T00:00:00Z,06/20 20:00,5495.0,,2020-06-21T00:00:00Z,3319256,,,173824.0,,,6,4515,80329,3319256,3319256,84844,3319256,71,0,5b76645e9abaf943ea11326bcf7e7c415e28ecda,0,0,0,0,0,
18,20200620,CA,169309,3065103,,4582.0,,1332.0,,,,,B,6/20/2020 00:00,2020-06-20T00:00:00Z,06/19 20:00,5424.0,,2020-06-20T00:00:00Z,3234412,,,169309.0,,,6,3893,74817,3234412,3234412,78710,3234412,64,0,27e1289df64c400a77b11d65cf8dfcc48b784aaa,0,0,0,0,0,
19,20200619,CA,165416,2990286,,4587.0,,1329.0,,,,,B,6/19/2020 00:00,2020-06-19T00:00:00Z,06/18 20:00,5360.0,,2020-06-19T00:00:00Z,3155702,,,165416.0,,,6,4317,76855,3155702,3155702,81172,3155702,70,0,81796732408a82a6e5a15fd73cb7b299262d0c08,0,0,0,0,0,
20,20200618,CA,161099,2913431,,4584.0,,1298.0,,,,,B,6/18/2020 00:00,2020-06-18T00:00:00Z,06/17 20:00,5290.0,,2020-06-18T00:00:00Z,3074530,,,161099.0,,,6,4084,72458,3074530,3074530,76542,3074530,82,0,207bc7e2be498c52be2ee7736c608ade01ed93e2,0,0,0,0,0,
21,20200617,CA,157015,2840973,,4522.0,,1318.0,,,,,B,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,5208.0,,2020-06-17T00:00:00Z,2997988,,,157015.0,,,6,3455,56778,2997988,2997988,60233,2997988,87,0,f287d36a27e59e6d7e926c40e19ad924b558a566,0,0,0,0,0,
22,20200616,CA,153560,2784195,,4462.0,,1272.0,,,,,B,6/16/2020 00:00,2020-06-16T00:00:00Z,06/15 20:00,5121.0,,2020-06-16T00:00:00Z,2937755,,,153560.0,,,6,2108,67465,2937755,2937755,69573,2937755,32,0,bbecf62da64e135065a031546930384e864a08a2,0,0,0,0,0,
