,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200713,CO,36913,362452,,324.0,5895.0,,,,,4780.0,A,7/12/2020 01:59,2020-07-12T01:59:00Z,07/11 21:59,1586.0,5895.0,2020-07-12T01:59:00Z,,,,33911.0,,,8,322,6940,399365,399365,7262,399365,0,10,410132865f47552ef2e30bd4ce6185a54adcaa78,0,0,0,0,0,
1,20200712,CO,36591,355512,,324.0,5885.0,,,,,4749.0,A,7/12/2020 01:59,2020-07-12T01:59:00Z,07/11 21:59,1586.0,5885.0,2020-07-12T01:59:00Z,,,,33587.0,,,8,400,5842,392103,392103,6242,392103,0,21,ef67c0a53f7bcb9d800d6672c466c93e5463abe1,0,0,0,0,0,
2,20200711,CO,36191,349670,,328.0,5864.0,,,,,4728.0,A,7/11/2020 01:59,2020-07-11T01:59:00Z,07/10 21:59,1586.0,5864.0,2020-07-11T01:59:00Z,,,,33189.0,,,8,666,8055,385861,385861,8721,385861,5,33,26327c3d332018b172afa5e060ce10de8181b158,0,0,0,0,0,
3,20200710,CO,35525,341615,,318.0,5831.0,,,,,4691.0,A,7/10/2020 01:59,2020-07-10T01:59:00Z,07/09 21:59,1581.0,5831.0,2020-07-10T01:59:00Z,,,,32546.0,,,8,409,6029,377140,377140,6438,377140,37,11,bd7e7262cfb8160ee3cfe7db81b0171365077edb,0,0,0,0,0,
4,20200709,CO,35116,335586,,335.0,5820.0,,,,,4669.0,A,7/9/2020 01:59,2020-07-09T01:59:00Z,07/08 21:59,1544.0,5820.0,2020-07-09T01:59:00Z,,,,32138.0,,,8,452,5177,370702,370702,5629,370702,2,79,8ebd6f31b0a4bf6b9c0dd873db58b0ba4408b869,0,0,0,0,0,
5,20200708,CO,34664,330409,,335.0,5741.0,,,,,4669.0,A,7/8/2020 01:59,2020-07-08T01:59:00Z,07/07 21:59,1542.0,5741.0,2020-07-08T01:59:00Z,,,,31736.0,,,8,407,4026,365073,365073,4433,365073,0,150,8dffd3b685be2d24b9cb85d360e8e138bc63d581,0,0,0,0,0,
6,20200707,CO,34257,326383,,327.0,5591.0,,,,,4636.0,A,7/7/2020 01:59,2020-07-07T01:59:00Z,07/06 21:59,1542.0,5591.0,2020-07-07T01:59:00Z,,,,31368.0,,,8,192,4793,360640,360640,4985,360640,21,26,0d39ae75a86b8a2b81c24c9752dbf757096dc4ce,0,0,0,0,0,
7,20200706,CO,34065,321590,,286.0,5565.0,,,,,4603.0,A,7/6/2020 01:59,2020-07-06T01:59:00Z,07/05 21:59,1521.0,5565.0,2020-07-06T01:59:00Z,,,,31168.0,,,8,199,4739,355655,355655,4938,355655,0,15,96765a22ca5f27b0fc6c11d85efd5b24909424a5,0,0,0,0,0,
8,20200705,CO,33866,316851,,283.0,5550.0,,,,,4568.0,A,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,1521.0,5550.0,2020-07-04T00:00:00Z,,,,30970.0,,,8,247,4716,350717,350717,4963,350717,0,13,3c68ff44f0c49af6de2d0d9121c6dff658dc47eb,0,0,0,0,0,
9,20200704,CO,33619,312135,,270.0,5537.0,,,,,4557.0,A,7/4/2020 01:59,2020-07-04T01:59:00Z,07/03 21:59,1521.0,5537.0,2020-07-04T01:59:00Z,,,,30722.0,,,8,267,5197,345754,345754,5464,345754,0,10,09a2419f83156826c76703e8597cd0914392198f,0,0,0,0,0,
10,20200703,CO,33352,306938,,270.0,5527.0,,,,,4541.0,A,7/2/2020 00:00,2020-07-02T00:00:00Z,07/01 20:00,1521.0,5527.0,2020-07-02T00:00:00Z,,,,30453.0,,,8,323,6712,340290,340290,7035,340290,1,14,fddf3944cf076d83e456298fadf1e150a6dcc94e,0,0,0,0,0,
11,20200702,CO,33029,300226,,262.0,5513.0,,,,,4524.0,A,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,1520.0,5513.0,2020-07-01T00:00:00Z,,,,30133.0,,,8,314,5438,333255,333255,5752,333255,0,24,a8568bdc52703d81052fb08335ec2bc6ed11306f,0,0,0,0,0,
12,20200701,CO,32715,294788,,237.0,5489.0,,,,,4502.0,A,6/30/2020 00:00,2020-06-30T00:00:00Z,06/29 20:00,1520.0,5489.0,2020-06-30T00:00:00Z,,,,29844.0,,,8,204,3442,327503,327503,3646,327503,12,47,d48b7d1a04210670cb8fec6d72dfebf5ea31edc2,0,0,0,0,0,
13,20200630,CO,32511,291346,,271.0,5442.0,,,,,4479.0,A,6/29/2020 00:00,2020-06-29T00:00:00Z,06/28 20:00,1508.0,5442.0,2020-06-29T00:00:00Z,,,,29651.0,,,8,204,4088,323857,323857,4292,323857,26,41,e794fe25b3f08e31eca87095c8f803cbf5ee8b82,0,0,0,0,0,
14,20200629,CO,32307,287258,,234.0,5401.0,,,,,4459.0,A,6/28/2020 00:00,2020-06-28T00:00:00Z,06/27 20:00,1482.0,5401.0,2020-06-28T00:00:00Z,,,,29476.0,,,8,285,5569,319565,319565,5854,319565,0,2,fee5b8db6a669348c211a5cdeeeba08eaf5d31d8,0,0,0,0,0,
15,20200628,CO,32022,281689,,235.0,5399.0,,,,,4442.0,A,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,1482.0,5399.0,2020-06-27T00:00:00Z,,,,29194.0,,,8,226,5902,313711,313711,6128,313711,0,7,bdb9078f2b5ec9d8087d24eb0fed0db3c44168ba,0,0,0,0,0,
16,20200627,CO,31796,275787,,226.0,5392.0,,,,,4430.0,A,6/26/2020 00:00,2020-06-26T00:00:00Z,06/25 20:00,1482.0,5392.0,2020-06-26T00:00:00Z,,,,28972.0,,,8,317,4689,307583,307583,5006,307583,7,6,12d8d68e457387f56203e2422eb59f10c88d558f,0,0,0,0,0,
17,20200626,CO,31479,271098,,247.0,5386.0,,,,,4412.0,A,6/25/2020 00:00,2020-06-25T00:00:00Z,06/24 20:00,1475.0,5386.0,2020-06-25T00:00:00Z,,,,28674.0,,,8,324,6188,302577,302577,6512,302577,18,11,ee051aac2c8586691a29eac023e7e37b041b27dd,0,0,0,0,0,
18,20200625,CO,31155,264910,,247.0,5375.0,,,,,4392.0,A,6/24/2020 00:00,2020-06-24T00:00:00Z,06/23 20:00,1457.0,5375.0,2020-06-24T00:00:00Z,,,,28374.0,,,8,262,4969,296065,296065,5231,296065,2,9,0e073f321e6bc0fb162bd1abe3db388e266fecc0,0,0,0,0,0,
19,20200624,CO,30893,259941,,238.0,5366.0,,,,,4370.0,A,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,1455.0,5366.0,2020-06-23T00:00:00Z,,,,28138.0,,,8,188,2770,290834,290834,2958,290834,17,23,eb4e40109e88d6d15bc21d4812fc1bd3c3742c37,0,0,0,0,0,
20,20200623,CO,30705,257171,,249.0,5343.0,,,,,4342.0,A,6/22/2020 00:00,2020-06-22T00:00:00Z,06/21 20:00,1438.0,5343.0,2020-06-22T00:00:00Z,,,,27959.0,,,8,166,4938,287876,287876,5104,287876,9,16,3827d3cfa3538477e2b26c70f7288f7ac618fd93,0,0,0,0,0,
21,20200622,CO,30539,252233,,256.0,5327.0,,,,,4328.0,A,6/22/2020 00:00,2020-06-22T00:00:00Z,06/21 20:00,1429.0,5327.0,2020-06-22T00:00:00Z,,,,27800.0,,,8,190,4196,282772,282772,4386,282772,0,4,d54939b91325c4fe987e69c03c43aef99505f554,0,0,0,0,0,
22,20200621,CO,30349,248037,,255.0,5323.0,,,,,4309.0,A,6/20/2020 00:00,2020-06-20T00:00:00Z,06/19 20:00,1429.0,5323.0,2020-06-20T00:00:00Z,,,,27608.0,,,8,162,5155,278386,278386,5317,278386,0,5,99f7993199bc7c57c8d1a80b7e5ca5534b5ae959,0,0,0,0,0,
23,20200620,CO,30187,242882,,250.0,5318.0,,,,,4296.0,A,6/19/2020 00:00,2020-06-19T00:00:00Z,06/18 20:00,1429.0,5318.0,2020-06-19T00:00:00Z,,,,27453.0,,,8,286,8337,273069,273069,8623,273069,12,10,064403190518e153b91c1274e21fb296f7309ef3,0,0,0,0,0,
24,20200619,CO,29901,234545,,270.0,5308.0,,,,,4280.0,A,6/18/2020 00:00,2020-06-18T00:00:00Z,06/17 20:00,1417.0,5308.0,2020-06-18T00:00:00Z,,,,27218.0,,,8,228,2002,264446,264446,2230,264446,15,14,557910caa9aac77bb71fab1dcfe939d7d5920c15,0,0,0,0,0,
