,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200725,CT,48776,664296.0,,71.0,10712.0,,,,,8516.0,B,7/23/2020 20:30,2020-07-23T20:30:00Z,07/23 16:30,4413.0,10712.0,2020-07-23T20:30:00Z,711102.0,,,46806.0,3531.0,882.0,9,0,0,713072,713072,0,713072,0,0,20e8714f734e11c6fb8cade35dc760f724f615e4,0,0,0,0,0,
1,20200724,CT,48776,664296.0,,71.0,10712.0,,,,,8516.0,B,7/23/2020 20:30,2020-07-23T20:30:00Z,07/23 16:30,4413.0,10712.0,2020-07-23T20:30:00Z,711102.0,,,46806.0,3531.0,882.0,9,544,24640,713072,713072,25184,713072,3,0,aa2a6a53e8cbbe1d7de14440d5d187bbb87324ca,0,0,0,0,0,
2,20200723,CT,48232,639656.0,,72.0,10712.0,,,,,8516.0,B,7/22/2020 20:30,2020-07-22T20:30:00Z,07/22 16:30,4410.0,10712.0,2020-07-22T20:30:00Z,685869.0,,,46213.0,3530.0,880.0,9,9,13473,687888,687888,13482,687888,4,58,7298955aac0d257772fb4ce9a329ceb744ff6cec,0,0,0,0,0,
3,20200722,CT,48223,626183.0,,63.0,10654.0,,,,,8466.0,B,7/21/2020 20:30,2020-07-21T20:30:00Z,07/21 16:30,4406.0,10654.0,2020-07-21T20:30:00Z,672386.0,,,46203.0,3527.0,879.0,9,127,11442,674406,674406,11569,674406,0,0,a37081ca09a901a465d82289bc9440e7bf479986,0,0,0,0,0,
4,20200721,CT,48096,614741.0,,62.0,10654.0,,,,,8466.0,B,7/20/2020 20:30,2020-07-20T20:30:00Z,07/20 16:30,4406.0,10654.0,2020-07-20T20:30:00Z,660857.0,,,46116.0,3527.0,879.0,9,41,0,662837,662837,41,662837,0,0,f868801fa78190a0efb541952dc9fd1d35efdd5b,0,0,0,0,0,
5,20200720,CT,48055,614741.0,,54.0,10654.0,,,,,8466.0,B,7/19/2020 20:30,2020-07-19T20:30:00Z,07/19 16:30,4406.0,10654.0,2020-07-19T20:30:00Z,660857.0,,,46116.0,3525.0,881.0,9,162,5503,662796,662796,5665,662796,10,0,2746291c6c5a54cd7a2ceb673d108661854397ed,0,0,0,0,0,
6,20200719,CT,47893,609238.0,,66.0,10654.0,,,,,8466.0,B,7/17/2020 20:30,2020-07-17T20:30:00Z,07/17 16:30,4396.0,10654.0,2020-07-17T20:30:00Z,655309.0,,,46071.0,3519.0,877.0,9,0,27162,657131,657131,27162,657131,0,0,793552820acd17e0eae7e6429ab291b78fe25982,0,0,0,0,0,
7,20200718,CT,47893,582076.0,,66.0,10654.0,,,,,8466.0,B,7/16/2020 20:30,2020-07-16T20:30:00Z,07/16 16:30,4396.0,10654.0,2020-07-16T20:30:00Z,627986.0,,,45910.0,3519.0,877.0,9,0,-139,629969,629969,-139,629969,0,0,a23f58b2bcc99296b5841ad68c4e5009cb187477,0,0,0,0,0,
8,20200717,CT,47893,582215.0,,66.0,10654.0,,,,,8466.0,B,7/16/2020 20:30,2020-07-16T20:30:00Z,07/16 16:30,4396.0,10654.0,2020-07-16T20:30:00Z,627986.0,,,45771.0,3519.0,877.0,9,143,-118,630108,630108,25,630108,7,0,42867cc0bde577f68fce07b7d54e3fbf612ed59b,0,0,0,0,0,
9,20200716,CT,47750,582333.0,,66.0,10654.0,,,,,8466.0,B,7/15/2020 20:30,2020-07-15T20:30:00Z,07/15 16:30,4389.0,10654.0,2020-07-15T20:30:00Z,627986.0,,,45653.0,3515.0,874.0,9,114,14311,630083,630083,14425,630083,9,102,b6a050b85590c02bd589997a66aba36d22e2c862,0,0,0,0,0,
10,20200715,CT,47636,568022.0,,67.0,10552.0,,,,,8351.0,B,7/14/2020 20:30,2020-07-14T20:30:00Z,07/14 16:30,4380.0,10552.0,2020-07-14T20:30:00Z,613569.0,,,45547.0,3505.0,875.0,9,106,11429,615658,615658,11535,615658,8,0,487521276baa60220883bc382f2e675a090c3a44,0,0,0,0,0,
11,20200714,CT,47530,556593.0,,66.0,10552.0,,,,,8351.0,B,7/13/2020 20:30,2020-07-13T20:30:00Z,07/13 16:30,4372.0,10552.0,2020-07-13T20:30:00Z,602116.0,,,45523.0,3497.0,875.0,9,20,12123,604123,604123,12143,604123,1,0,ef52c1e924465eb1afc0b4bd52d474bf32d6da4b,0,0,0,0,0,
12,20200713,CT,47510,544470.0,,74.0,10552.0,,,,,8351.0,B,7/12/2020 20:30,2020-07-12T20:30:00Z,07/12 16:30,4371.0,10552.0,2020-07-12T20:30:00Z,589778.0,,,45308.0,3492.0,879.0,9,223,2363,591980,591980,2586,591980,23,0,393aa6081aefae5c0914ce6172d36cdee4b65d94,0,0,0,0,0,
13,20200712,CT,47287,542107.0,,77.0,10552.0,,,,,8351.0,B,7/9/2020 20:30,2020-07-09T20:30:00Z,07/09 16:30,4348.0,10552.0,2020-07-09T20:30:00Z,587331.0,,,45224.0,3476.0,871.0,9,0,31006,589394,589394,31006,589394,0,0,f897d984388b806d9fcf72e525762ef5759e99bd,0,0,0,0,0,
14,20200711,CT,47287,511101.0,,77.0,10552.0,,,,,8351.0,B,7/9/2020 20:30,2020-07-09T20:30:00Z,07/09 16:30,4348.0,10552.0,2020-07-09T20:30:00Z,556230.0,,,45129.0,3476.0,871.0,9,0,-73,558388,558388,-73,558388,0,0,833952c9fa8e0f1a297139f9ebf381d9991dd8bf,0,0,0,0,0,
15,20200710,CT,47287,511174.0,,77.0,10552.0,,,,,8351.0,B,7/9/2020 20:30,2020-07-09T20:30:00Z,07/09 16:30,4348.0,10552.0,2020-07-09T20:30:00Z,556230.0,,,45056.0,3476.0,871.0,9,78,-59,558461,558461,19,558461,0,0,25c3a35e8ad2f3a826f856810c186b485d8b4694,0,0,0,0,0,
16,20200709,CT,47209,511233.0,,90.0,10552.0,,,,,8351.0,B,7/8/2020 20:30,2020-07-08T20:30:00Z,07/08 16:30,4348.0,10552.0,2020-07-08T20:30:00Z,556230.0,,,44997.0,3476.0,872.0,9,101,12338,558442,558442,12439,558442,5,141,5ceb62642fded8dfd63672da99f7d2c85baa96ff,0,0,0,0,0,
17,20200708,CT,47108,498895.0,,88.0,10411.0,,,,,8210.0,B,7/7/2020 20:30,2020-07-07T20:30:00Z,07/07 16:30,4343.0,10411.0,2020-07-07T20:30:00Z,543636.0,,,44741.0,3471.0,872.0,9,75,8102,546003,546003,8177,546003,5,0,1358b2c5bdfd0233c559725ba65659ceb1d7939e,0,0,0,0,0,
18,20200707,CT,47033,490793.0,,83.0,10411.0,,,,,8210.0,B,7/6/2020 20:30,2020-07-06T20:30:00Z,07/06 16:30,4338.0,10411.0,2020-07-06T20:30:00Z,535465.0,,,44672.0,3466.0,872.0,9,57,7256,537826,537826,7313,537826,0,0,7385e0278bb101bc2e9ba17b4cdd6b5e780a4a36,0,0,0,0,0,
19,20200706,CT,46976,483537.0,,69.0,10411.0,,,,,8210.0,B,7/5/2020 20:30,2020-07-05T20:30:00Z,07/05 16:30,4338.0,10411.0,2020-07-05T20:30:00Z,528130.0,,,44593.0,3466.0,872.0,9,259,5686,530513,530513,5945,530513,3,0,f73198d458f47ed8ec42adce2a9075ebda5ce171,0,0,0,0,0,
