,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,DE,16340,191135,,38.0,,10.0,,,,8613.0,A+,8/13/2020 18:00,2020-08-13T18:00:00Z,08/13 14:00,593.0,,2020-08-13T18:00:00Z,,,,15340.0,524.0,69.0,,207475.0,,,,,,,,,,,10,373,1474,207475,207475,1847,207475,0,0,5955a1a778d8cc1095e8579dd64b0c0c838b06d4,0,0,0,0,0,
1,20200813,DE,15967,189661,,37.0,,10.0,,,,8587.0,A+,8/12/2020 18:00,2020-08-12T18:00:00Z,08/12 14:00,593.0,,2020-08-12T18:00:00Z,,,,14968.0,524.0,69.0,,205628.0,,,,,,,,,,,10,268,3160,205628,205628,3428,205628,2,0,375b9b060a3a7d2ae876c0b01b7bfcc25b7efaa0,0,0,0,0,0,
2,20200812,DE,15699,186501,,35.0,,13.0,,,,8519.0,A+,8/11/2020 18:00,2020-08-11T18:00:00Z,08/11 14:00,591.0,,2020-08-11T18:00:00Z,,,,14700.0,521.0,70.0,,202200.0,,,,,,,,,,,10,0,0,202200,202200,0,202200,0,0,3a08f84e53d47c87f391107d9c13663c5260da63,0,0,0,0,0,
3,20200811,DE,15699,186501,,35.0,,13.0,,,,8519.0,A+,8/10/2020 18:00,2020-08-10T18:00:00Z,08/10 14:00,591.0,,2020-08-10T18:00:00Z,,,,14700.0,521.0,70.0,,202200.0,,,,,,,,,,,10,65,1463,202200,202200,1528,202200,0,0,350ab34975c9a4c404b531d3f1a612b81786549e,0,0,0,0,0,
4,20200810,DE,15634,185038,,34.0,,12.0,,,,8500.0,A+,8/9/2020 18:00,2020-08-09T18:00:00Z,08/09 14:00,591.0,,2020-08-09T18:00:00Z,,,,14636.0,521.0,70.0,,200672.0,,,,,,,,,,,10,59,2494,200672,200672,2553,200672,0,0,ca92c6d9cb300c83ec67b0a3493f4e8f64647ae0,0,0,0,0,0,
5,20200809,DE,15575,182544,,36.0,,11.0,,,,8449.0,A,8/8/2020 18:00,2020-08-08T18:00:00Z,08/08 14:00,591.0,,2020-08-08T18:00:00Z,,,,14576.0,521.0,70.0,,198119.0,,,,,,,,,,,10,73,2152,198119,198119,2225,198119,1,0,77092e6df83a89ca450c421eaa8e40457a1ef024,0,0,0,0,0,
6,20200808,DE,15502,180392,,36.0,,11.0,,,,8416.0,A+,8/7/2020 18:00,2020-08-07T18:00:00Z,08/07 14:00,590.0,,2020-08-07T18:00:00Z,,,,14502.0,520.0,70.0,,195894.0,,,,,,,,,,,10,57,1053,195894,195894,1110,195894,2,0,c1ef9ce3abc96569caae4ddc4005b22e9a098fa8,0,0,0,0,0,
7,20200807,DE,15445,179339,,37.0,,15.0,,,,8392.0,A+,8/6/2020 18:00,2020-08-06T18:00:00Z,08/06 14:00,588.0,,2020-08-06T18:00:00Z,,,,14447.0,518.0,70.0,,194784.0,,,,,,,,,,,10,80,2001,194784,194784,2081,194784,1,0,3cc0902efecb98a5051c1a2bcdbc3b9d62b9bbd6,0,0,0,0,0,
8,20200806,DE,15365,177338,,45.0,,15.0,,,,8365.0,A+,8/5/2020 18:00,2020-08-05T18:00:00Z,08/05 14:00,587.0,,2020-08-05T18:00:00Z,,,,14368.0,517.0,70.0,,192703.0,,,,,,,,,,,10,69,1934,192703,192703,2003,192703,0,0,ef60a94340fa0ba21472a05d3c2f4ced487146a8,0,0,0,0,0,
9,20200805,DE,15296,175404,,47.0,,4.0,,,,8339.0,A+,8/4/2020 18:00,2020-08-04T18:00:00Z,08/04 14:00,587.0,,2020-08-04T18:00:00Z,,,,14299.0,517.0,70.0,,190700.0,,,,,,,,,,,10,159,1233,190700,190700,1392,190700,0,0,81aeafefd644345a51cd38a070e130699a72790a,0,0,0,0,0,
10,20200804,DE,15137,174171,,42.0,,11.0,,,,8303.0,A+,8/3/2020 18:00,2020-08-03T18:00:00Z,08/03 14:00,587.0,,2020-08-03T18:00:00Z,,,,14140.0,517.0,70.0,,189308.0,,,,,,,,,,,10,82,1567,189308,189308,1649,189308,2,0,f6c912c055a2e5276b3e633800af0725174c5276,0,0,0,0,0,
11,20200803,DE,15055,172604,,40.0,,9.0,,,,8267.0,A+,8/2/2020 18:00,2020-08-02T18:00:00Z,08/02 14:00,585.0,,2020-08-02T18:00:00Z,,,,14058.0,515.0,70.0,,187659.0,,,,,,,,,,,10,106,2642,187659,187659,2748,187659,0,0,bb31daa886c52220c301f6e5e97932a241c99f12,0,0,0,0,0,
12,20200802,DE,14949,169962,,43.0,,8.0,,,,8235.0,A+,8/1/2020 18:00,2020-08-01T18:00:00Z,08/01 14:00,585.0,,2020-08-01T18:00:00Z,,,,13952.0,515.0,70.0,,184911.0,,,,,,,,,,,10,72,1943,184911,184911,2015,184911,0,0,0745bdb956097653be6e2a40734b7dec2ae9cd8b,0,0,0,0,0,
13,20200801,DE,14877,168019,,45.0,,18.0,,,,8212.0,A+,7/31/2020 18:00,2020-07-31T18:00:00Z,07/31 14:00,585.0,,2020-07-31T18:00:00Z,,,,13880.0,515.0,70.0,,182896.0,,,,,,,,,,,10,89,1760,182896,182896,1849,182896,0,0,609f081b4c4386c344f1ba8e1009676e7213b14f,0,0,0,0,0,
14,20200731,DE,14788,166259,,46.0,,11.0,,,,8179.0,A+,7/30/2020 18:00,2020-07-30T18:00:00Z,07/30 14:00,585.0,,2020-07-30T18:00:00Z,,,,13791.0,515.0,70.0,,181047.0,,,,,,,,,,,10,99,2085,181047,181047,2184,181047,4,0,4bbce0b806b66e2b89f5673b383b3ea201dbfbe8,0,0,0,0,0,
15,20200730,DE,14689,164174,,69.0,,11.0,,,,8140.0,A+,7/29/2020 18:00,2020-07-29T18:00:00Z,07/29 14:00,581.0,,2020-07-29T18:00:00Z,,,,13692.0,511.0,70.0,,178863.0,,,,,,,,,,,10,87,1760,178863,178863,1847,178863,0,0,b98610313322a31a32fc67afbdd9fc466a53297e,0,0,0,0,0,
16,20200729,DE,14602,162414,,68.0,,15.0,,,,8108.0,A+,7/28/2020 18:00,2020-07-28T18:00:00Z,07/28 14:00,581.0,,2020-07-28T18:00:00Z,,,,13606.0,511.0,70.0,,177016.0,,,,,,,,,,,10,126,2267,177016,177016,2393,177016,1,0,2904ae94a70fa64853798ba8667c79b360bbaca8,0,0,0,0,0,
17,20200728,DE,14476,160147,,62.0,,14.0,,,,8076.0,A+,7/27/2020 18:00,2020-07-27T18:00:00Z,07/27 14:00,580.0,,2020-07-27T18:00:00Z,,,,13480.0,510.0,70.0,,174623.0,,,,,,,,,,,10,70,1494,174623,174623,1564,174623,1,0,b60459b89576f2ff30c39e17235e8803961a0678,0,0,0,0,0,
18,20200727,DE,14406,158653,,63.0,,18.0,,,,8035.0,A+,7/26/2020 18:00,2020-07-26T18:00:00Z,07/26 14:00,579.0,,2020-07-26T18:00:00Z,,,,13410.0,509.0,70.0,,173059.0,,,,,,,,,,,10,116,2950,173059,173059,3066,173059,0,0,5ade2c76d647568d08293f8d7477ca1195350043,0,0,0,0,0,
19,20200726,DE,14290,155703,,57.0,,9.0,,,,7996.0,A+,7/25/2020 18:00,2020-07-25T18:00:00Z,07/25 14:00,579.0,,2020-07-25T18:00:00Z,,,,13294.0,509.0,70.0,,169993.0,,,,,,,,,,,10,115,2956,169993,169993,3071,169993,0,0,7b1b23558f0f5d9b5ee40c60405103238405b350,0,0,0,0,0,
20,20200725,DE,14175,152747,,55.0,,11.0,,,,7961.0,A+,7/24/2020 18:00,2020-07-24T18:00:00Z,07/24 14:00,579.0,,2020-07-24T18:00:00Z,,,,13179.0,509.0,70.0,,166922.0,,,,,,,,,,,10,-27,2623,166922,166922,2596,166922,1,0,190082758e4ea50ad2c8a8b9d46fb5268d687ca9,0,0,0,0,0,
21,20200724,DE,14202,150124,,55.0,,9.0,,,,7936.0,A+,7/23/2020 18:00,2020-07-23T18:00:00Z,07/23 14:00,578.0,,2020-07-23T18:00:00Z,,,,13205.0,508.0,70.0,,164326.0,,,,,,,,,,,10,278,1697,164326,164326,1975,164326,49,0,7af6aaf0b022824e8ce3e6d71d23b40b839ececb,0,0,0,0,0,
22,20200723,DE,13924,148427,,56.0,,7.0,,,,7893.0,A+,7/22/2020 18:00,2020-07-22T18:00:00Z,07/22 14:00,529.0,,2020-07-22T18:00:00Z,,,,12933.0,471.0,58.0,,162351.0,,,,,,,,,,,10,132,2786,162351,162351,2918,162351,2,0,74d358e7ae7c554ecfbf2d2a83b465c544fc9cef,0,0,0,0,0,
23,20200722,DE,13792,145641,,61.0,,7.0,,,,7859.0,A+,7/21/2020 18:00,2020-07-21T18:00:00Z,07/21 14:00,527.0,,2020-07-21T18:00:00Z,,,,12804.0,469.0,58.0,,159433.0,,,,,,,,,,,10,46,1040,159433,159433,1086,159433,2,0,e00bea28e0ebefd2d180a7dd42541d71af90ddd1,0,0,0,0,0,
24,20200721,DE,13746,144601,,58.0,,11.0,,,,7362.0,A+,7/20/2020 18:00,2020-07-20T18:00:00Z,07/20 14:00,525.0,,2020-07-20T18:00:00Z,,,,12763.0,467.0,58.0,,158347.0,,,,,,,,,,,10,227,5125,158347,158347,5352,158347,2,0,0ce6c5c2881edb5c3aee8ab04a859965d6732591,0,0,0,0,0,
25,20200720,DE,13519,139476,,47.0,,9.0,,,,7362.0,A+,7/19/2020 18:00,2020-07-19T18:00:00Z,07/19 14:00,523.0,,2020-07-19T18:00:00Z,,,,12537.0,465.0,58.0,,152995.0,,,,,,,,,,,10,0,0,152995,152995,0,152995,0,0,3893b13360ddbe88de002e595338de2c546674ae,0,0,0,0,0,
26,20200719,DE,13519,139476,,47.0,,9.0,,,,7362.0,A+,7/18/2020 18:00,2020-07-18T18:00:00Z,07/18 14:00,523.0,,2020-07-18T18:00:00Z,,,,12537.0,465.0,58.0,,152995.0,,,,,,,,,,,10,90,2148,152995,152995,2238,152995,0,0,a78677ad0d637c9a31964ebd4de3d1afaef38de4,0,0,0,0,0,
27,20200718,DE,13429,137328,,51.0,,8.0,,,,7362.0,A+,7/17/2020 18:00,2020-07-17T18:00:00Z,07/17 14:00,523.0,,2020-07-17T18:00:00Z,,,,12447.0,465.0,58.0,,150757.0,,,,,,,,,,,10,92,2055,150757,150757,2147,150757,2,0,ce75ad943daef10f50a84a9e8b3c89c13ffb2439,0,0,0,0,0,
28,20200717,DE,13337,135273,,55.0,,7.0,,,,7315.0,A+,7/16/2020 18:00,2020-07-16T18:00:00Z,07/16 14:00,521.0,,2020-07-16T18:00:00Z,,,,12355.0,463.0,58.0,,148610.0,,,,,,,,,,,10,223,3517,148610,148610,3740,148610,0,0,7310d6039980ea870c784ac0856ba4f4417361d6,0,0,0,0,0,
