,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,DC,12753,205189,,77.0,,17.0,,8.0,,10156.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,591.0,,2020-08-08T00:00:00Z,,,,,,,11,100,4508,217942,217942,4608,217942,1,0,b1487da085e8ac3af902b092f1906f6ef47978ac,0,0,0,0,0,
1,20200808,DC,12653,200681,,80.0,,17.0,,8.0,,10124.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,590.0,,2020-08-07T00:00:00Z,213334.0,,,,,,11,64,4545,213334,213334,4609,213334,1,0,d6e9eceda6f46594776d133c2c7293c71adfdedd,0,0,0,0,0,
2,20200807,DC,12589,196136,,90.0,,18.0,,12.0,,10118.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,589.0,,2020-08-06T00:00:00Z,208725.0,,,,,,11,71,2671,208725,208725,2742,208725,2,0,04091b71959368e9d8c4acfbd5a0d825c6dba4a9,0,0,0,0,0,
3,20200806,DC,12518,193465,,98.0,,23.0,,12.0,,10094.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,587.0,,2020-08-05T00:00:00Z,205983.0,,,,,,11,75,3083,205983,205983,3158,205983,0,0,97ecea48fe7233a2207d7f49847aff2e0054ceca,0,0,0,0,0,
4,20200805,DC,12443,190382,,97.0,,21.0,,13.0,,10015.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,587.0,,2020-08-04T00:00:00Z,202825.0,,,,,,11,45,2653,202825,202825,2698,202825,0,0,243f79d86c321af7ac69b23f4b5c9b42ba06f96b,0,0,0,0,0,
5,20200804,DC,12398,187729,,100.0,,17.0,,10.0,,9959.0,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,587.0,,2020-08-03T00:00:00Z,200127.0,,,,,,11,85,1227,200127,200127,1312,200127,1,0,4dc2073062013c85b29fbef7bd16eb532d226331,0,0,0,0,0,
6,20200803,DC,12313,186502,,104.0,,24.0,,12.0,,9893.0,A+,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,586.0,,2020-08-02T00:00:00Z,198815.0,,,,,,11,39,1584,198815,198815,1623,198815,0,0,ec3b01eb3666d3c52cd02957f690a17383a47b98,0,0,0,0,0,
7,20200802,DC,12274,184918,,102.0,,24.0,,12.0,,9870.0,A+,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,586.0,,2020-08-01T00:00:00Z,197192.0,,,,,,11,69,3342,197192,197192,3411,197192,1,0,f9e195472746ee9d7557478c4d9e7e2d7b4cd00e,0,0,0,0,0,
8,20200801,DC,12205,181576,,100.0,,26.0,,13.0,,9816.0,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,585.0,,2020-07-31T00:00:00Z,193781.0,,,,,,11,79,4961,193781,193781,5040,193781,0,0,e6848d8ccaa010cb8614b8bc22c86c59f657bc08,0,0,0,0,0,
9,20200731,DC,12126,176615,,86.0,,17.0,,9.0,,9816.0,A+,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,585.0,,2020-07-30T00:00:00Z,188741.0,,,,,,11,69,5682,188741,188741,5751,188741,1,0,b41e666c13f5c1cbb619dcdb7d233b1a216a3246,0,0,0,0,0,
