,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,FL,550901,3536678,3529.0,6551.0,32349.0,,,,,,,8/11/2020 23:59,2020-08-11T23:59:00Z,08/11 19:59,8898.0,32349.0,2020-08-11T23:59:00Z,5438795.0,701395.0,4709452.0,550901.0,8898.0,,12,8109,30195,4091108,4087579,38304,4087579,213,599,4aecf5315dab93b4af47b9d424c36d3b2dd893d6,0,0,0,0,0,
1,20200811,FL,542792,3506483,3444.0,6753.0,31750.0,,,,,,A,8/10/2020 23:59,2020-08-10T23:59:00Z,08/10 19:59,8685.0,31750.0,2020-08-10T23:59:00Z,5375903.0,690302.0,4658471.0,542792.0,8685.0,,12,5831,29587,4052719,4049275,35418,4049275,277,573,c9322fc6d2535c242bdb07b1f189597a03f58735,0,0,0,0,0,
2,20200810,FL,536961,3476896,3362.0,6948.0,31177.0,,,,,,A,8/9/2020 23:59,2020-08-09T23:59:00Z,08/09 19:59,8408.0,31177.0,2020-08-09T23:59:00Z,5320145.0,682190.0,4611442.0,536961.0,8408.0,,12,4155,24039,4017219,4013857,28194,4013857,93,284,3039b256248c423256401b130be356728b74c337,0,0,0,0,0,
3,20200809,FL,532806,3452857,3353.0,6848.0,30893.0,,,,,,A,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,8315.0,30893.0,2020-08-08T23:59:00Z,5274241.0,676365.0,4571866.0,532806.0,8315.0,,12,6229,33562,3989016,3985663,39791,3985663,77,254,60bf9170fcb1b0d21df080b4bd5e15cbd68b9f99,0,0,0,0,0,
4,20200808,FL,526577,3419295,3350.0,6890.0,30639.0,,,,,,A,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,8238.0,30639.0,2020-08-07T23:59:00Z,5212309.0,667997.0,4518861.0,526577.0,8238.0,,12,8502,40431,3949222,3945872,48933,3945872,187,525,d1dc02a7e9c1c98479782446fb3a2f94a1abedc1,0,0,0,0,0,
5,20200807,FL,518075,3378864,3374.0,7144.0,30114.0,,,,,,A,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,8051.0,30114.0,2020-08-06T23:59:00Z,5135173.0,656841.0,4453694.0,518075.0,8051.0,,12,7686,31890,3900313,3896939,39576,3896939,180,599,4441b5da2191ee571e99660d66c907bc7e3c8c10,0,0,0,0,0,
6,20200806,FL,510389,3346974,3325.0,7459.0,29515.0,,,,,,A,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,7871.0,29515.0,2020-08-05T23:59:00Z,5073879.0,646583.0,4403366.0,510389.0,7871.0,,12,7650,34829,3860688,3857363,42479,3857363,120,559,5133c0415f2ad100e70476139a8b9e436006f4b6,0,0,0,0,0,
7,20200805,FL,502739,3312145,3277.0,7615.0,28956.0,,,,,,A,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,7751.0,28956.0,2020-08-04T23:59:00Z,5004570.0,637404.0,4344367.0,502739.0,7751.0,,12,5409,25017,3818161,3814884,30426,3814884,225,623,df3ca7e5b82e443c67bc254da0ec0233c8d8eb56,0,0,0,0,0,
8,20200804,FL,497330,3287128,3280.0,7857.0,28333.0,,,,,,A,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,7526.0,28333.0,2020-08-03T23:59:00Z,4957810.0,630093.0,4305309.0,497330.0,7526.0,,12,5446,26214,3787738,3784458,31660,3784458,247,589,1b31b1a08b39801931c5906c421002bd8e4ac9a9,0,0,0,0,0,
9,20200803,FL,491884,3260914,3228.0,7938.0,27744.0,,,,,,A,8/2/2020 23:59,2020-08-02T23:59:00Z,08/02 19:59,7279.0,27744.0,2020-08-02T23:59:00Z,4908466.0,622594.0,4263794.0,491884.0,7279.0,,12,4752,27049,3756026,3752798,31801,3752798,73,220,cb1200bf3ba3db8d3202aa4e724943524037bba4,0,0,0,0,0,
10,20200802,FL,487132,3233865,3394.0,7952.0,27524.0,,,,,,A,8/2/2020 10:45,2020-08-02T10:45:00Z,08/02 06:45,7206.0,27524.0,2020-08-02T10:45:00Z,4859321.0,615892.0,4221931.0,487132.0,7206.0,,12,7104,34450,3724391,3720997,41554,3720997,62,180,4226aafea9046160b5186e830453e60c65487f65,0,0,0,0,0,
11,20200801,FL,480028,3199415,3409.0,8072.0,27344.0,,,,,,A,7/31/2020 23:59,2020-07-31T23:59:00Z,07/31 19:59,7144.0,27344.0,2020-07-31T23:59:00Z,4793361.0,605946.0,4166771.0,480028.0,7144.0,,12,9642,41713,3682852,3679443,51355,3679443,178,439,a2937bab492798cc8b3af6d9d0d166336ed8849c,0,0,0,0,0,
