,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,GA,228668,1713942.0,,2807.0,21581.0,,3963.0,,,,A,8/13/2020 14:50,2020-08-13T14:50:00Z,08/13 10:50,4538.0,21581.0,2020-08-13T14:50:00Z,1942610,209150.0,1733460.0,228668.0,,,,,247048.0,17140.0,229908.0,,,,,,,,13,2515,23353,1942610,1942610,25868,1942610,82,202,2608595149c2bfe2c59040476a670693001e84c1,0,0,0,0,0,
1,20200812,GA,226153,1690589.0,,2865.0,21379.0,,3929.0,,,,A,8/12/2020 14:50,2020-08-12T14:50:00Z,08/12 10:50,4456.0,21379.0,2020-08-12T14:50:00Z,1916742,206894.0,1709848.0,226153.0,,,,,245877.0,17025.0,228852.0,,,,,,,,13,3565,17692,1916742,1916742,21257,1916742,105,348,3586b3df3773c016cc9dac3b6e8c68a2d6e52e43,0,0,0,0,0,
2,20200811,GA,222588,1672897.0,,2881.0,21031.0,,3832.0,,,,A,8/11/2020 14:50,2020-08-11T14:50:00Z,08/11 10:50,4351.0,21031.0,2020-08-11T14:50:00Z,1895485,204556.0,1690929.0,222588.0,,,,,243577.0,16791.0,226786.0,,,,,,,,13,3563,29960,1895485,1895485,33523,1895485,122,355,50edd4d2088fd4bb2edeb02659fc3178e3955327,0,0,0,0,0,
3,20200810,GA,219025,1642937.0,,2871.0,20676.0,,3767.0,,,,A,8/10/2020 14:50,2020-08-10T14:50:00Z,08/10 10:50,4229.0,20676.0,2020-08-10T14:50:00Z,1861962,201853.0,1660109.0,219025.0,,,,,243257.0,16749.0,226508.0,,,,,,,,13,2429,24485,1861962,1861962,26914,1861962,30,48,64454ccde1066e314a75694c21204490d3ed338a,0,0,0,0,0,
4,20200809,GA,216596,1618452.0,,2865.0,20628.0,,3752.0,,,,A,8/9/2020 14:50,2020-08-09T14:50:00Z,08/09 10:50,4199.0,20628.0,2020-08-09T14:50:00Z,1835048,199610.0,1635438.0,216596.0,,,,,241290.0,16503.0,224787.0,,,,,,,,13,3169,33913,1835048,1835048,37082,1835048,13,72,be27c9a4aa2774b0d3eff5928ff3814047042edd,0,0,0,0,0,
5,20200808,GA,213427,1584539.0,,2878.0,20556.0,,3739.0,,,,A,8/8/2020 14:50,2020-08-08T14:50:00Z,08/08 10:50,4186.0,20556.0,2020-08-08T14:50:00Z,1797966,196576.0,1601390.0,213427.0,,,,,239168.0,16252.0,222916.0,,,,,,,,13,4423,40414,1797966,1797966,44837,1797966,69,274,9e31830a8f61f34ce1cf347e783b7fe6e4c554aa,0,0,0,0,0,
6,20200807,GA,209004,1544125.0,,2981.0,20282.0,,3700.0,,,,A,8/7/2020 14:50,2020-08-07T14:50:00Z,08/07 10:50,4117.0,20282.0,2020-08-07T14:50:00Z,1753129,192229.0,1560900.0,209004.0,,,,,236570.0,15910.0,220660.0,,,,,,,,13,4109,24258,1753129,1753129,28367,1753129,91,280,8c7f8b279a722eb08058aa6023b1d62d5d55d494,0,0,0,0,0,
7,20200806,GA,204895,1519867.0,,3006.0,20002.0,,3647.0,,,,A,8/6/2020 14:50,2020-08-06T14:50:00Z,08/06 10:50,4026.0,20002.0,2020-08-06T14:50:00Z,1724762,188995.0,1535767.0,204895.0,,,,,234055.0,15596.0,218459.0,,,,,,,,13,3182,26356,1724762,1724762,29538,1724762,42,214,d101272ac2e3c30d8dd9417bfc1b0564014b4756,0,0,0,0,0,
8,20200805,GA,201713,1493511.0,,3077.0,19788.0,,3616.0,,,,A,8/5/2020 14:50,2020-08-05T14:50:00Z,08/05 10:50,3984.0,19788.0,2020-08-05T14:50:00Z,1695224,185954.0,1509270.0,201713.0,,,,,231824.0,15410.0,216414.0,,,,,,,,13,3765,27047,1695224,1695224,30812,1695224,142,362,cd4d0f32cbc5a4490c10def15fa7aae9360d851b,0,0,0,0,0,
9,20200804,GA,197948,1466464.0,,3094.0,19426.0,,3556.0,,,,A,8/4/2020 14:50,2020-08-04T14:50:00Z,08/04 10:50,3842.0,19426.0,2020-08-04T14:50:00Z,1664412,182579.0,1481833.0,197948.0,,,,,229556.0,15079.0,214477.0,,,,,,,,13,2513,15498,1664412,1664412,18011,1664412,0,302,460e183ba7fd89994e4fe75c6e2a9931579d8ca3,0,0,0,0,0,
