,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,HI,4312,149305.0,,146.0,267.0,29.0,,22.0,,1716.0,C,8/13/2020 23:15,2020-08-13T23:15:00Z,08/13 19:15,40.0,267.0,2020-08-13T23:15:00Z,194351.0,,,,,,,153617.0,,,,,,,,,,,15,0,3030,153617,153617,3030,153617,0,0,6d47e4ee4c26b5e3c1953e16433350277a1a625d,0,0,0,0,0,
1,20200813,HI,4312,146275.0,,132.0,267.0,33.0,,24.0,,1716.0,C,8/13/2020 16:28,2020-08-13T16:28:00Z,08/13 12:28,40.0,267.0,2020-08-13T16:28:00Z,194351.0,,,,,,,150233.0,,,,,,,,,,,15,354,0,150587,150587,354,150587,2,7,6ddc06edd6518b77e0e9dc1c94de2bdc1ad390d4,0,0,0,0,0,
2,20200812,HI,3958,146275.0,,166.0,260.0,31.0,,23.0,,1665.0,C,8/11/2020 23:06,2020-08-11T23:06:00Z,08/11 19:06,38.0,260.0,2020-08-11T23:06:00Z,189492.0,,,,,,,150233.0,,,,,,,,,,,15,320,4077,150233,150233,4397,150233,4,18,45ca41dd227d9150eed52a53b33c54f1a941ece2,0,0,0,0,0,
3,20200811,HI,3638,142198.0,,105.0,242.0,24.0,,15.0,,1586.0,C,8/10/2020 23:37,2020-08-10T23:37:00Z,08/10 19:37,34.0,242.0,2020-08-10T23:37:00Z,183508.0,,,,,,,145836.0,,,,,,,,,,,15,140,3600,145836,145836,3740,145836,3,3,4551649cc7dc9e7d8a285c475582a6c6ae245230,0,0,0,0,0,
4,20200810,HI,3498,138598.0,,105.0,239.0,24.0,,15.0,,1548.0,C,8/8/2020 20:40,2020-08-08T20:40:00Z,08/08 16:40,31.0,239.0,2020-08-08T20:40:00Z,181000.0,,,,,,,141944.0,,,,,,,,,,,15,152,0,142096,142096,152,142096,0,2,411a5f98e0c992882c65cd87b3226ad257ae5ec1,0,0,0,0,0,
5,20200809,HI,3346,138598.0,,105.0,237.0,24.0,,15.0,,1511.0,C,8/8/2020 20:40,2020-08-08T20:40:00Z,08/08 16:40,31.0,237.0,2020-08-08T20:40:00Z,178211.0,,,,,,,141944.0,,,,,,,,,,,15,231,2467,141944,141944,2698,141944,0,6,0ad82c56d0b8b78428a660547e41888604e1a514,0,0,0,0,0,
6,20200808,HI,3115,136131.0,,102.0,231.0,24.0,,19.0,,1467.0,C,8/7/2020 23:38,2020-08-07T23:38:00Z,08/07 19:38,31.0,231.0,2020-08-07T23:38:00Z,174717.0,,,,,,,139246.0,,,,,,,,,,,15,201,3761,139246,139246,3962,139246,2,6,d48fdb181c59dde10925c8eeba3c551099bc7fc7,0,0,0,0,0,
7,20200807,HI,2914,132370.0,,117.0,225.0,21.0,,14.0,,1440.0,C,8/6/2020 23:37,2020-08-06T23:37:00Z,08/06 19:37,29.0,225.0,2020-08-06T23:37:00Z,172699.0,,,,,,,135284.0,,,,,,,,,,,15,151,224,135284,135284,375,135284,2,11,696ec6c359ae3b9361c56bed1e4103e96d7b5dd8,0,0,0,0,0,
8,20200806,HI,2763,132146.0,,83.0,214.0,15.0,,13.0,,1402.0,C,8/5/2020 23:10,2020-08-05T23:10:00Z,08/05 19:10,27.0,214.0,2020-08-05T23:10:00Z,168422.0,,,,,,,134909.0,,,,,,,,,,,15,172,2211,134909,134909,2383,134909,0,6,098f4788674de2d77904dddc74e26140ef9efd54,0,0,0,0,0,
9,20200805,HI,2591,129935.0,,83.0,208.0,15.0,,13.0,,1354.0,C,8/4/2020 23:22,2020-08-04T23:22:00Z,08/04 19:22,27.0,208.0,2020-08-04T23:22:00Z,165176.0,,,,,,,132526.0,,,,,,,,,,,15,143,1671,132526,132526,1814,132526,1,7,f2737e3fe9646547ff2e1f6cf35bce9eee2f5d66,0,0,0,0,0,
10,20200804,HI,2448,128264.0,,138.0,201.0,15.0,,10.0,,1315.0,C,8/3/2020 22:53,2020-08-03T22:53:00Z,08/03 18:53,26.0,201.0,2020-08-03T22:53:00Z,162785.0,,,,,,,130712.0,,,,,,,,,,,15,206,3227,130712,130712,3433,130712,0,2,780cec8d6e197a32dc615d0d2481a064f9611420,0,0,0,0,0,
