,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,ID,25595,186649,,189.0,1037.0,32.0,289.0,,,9548.0,,8/11/2020 18:58,2020-08-11T18:58:00Z,08/11 14:58,246.0,1037.0,2020-08-11T18:58:00Z,210599,,,23950.0,221.0,25.0,16,495,3344,212244,212244,3839,212244,7,31,ba5e0de551c52024c3e12aca330ab6564b077e8c,0,0,0,0,0,
1,20200811,ID,25100,183305,,189.0,1006.0,32.0,282.0,,,9341.0,A,8/10/2020 18:58,2020-08-10T18:58:00Z,08/10 14:58,239.0,1006.0,2020-08-10T18:58:00Z,206830,,,23525.0,214.0,25.0,16,429,1500,208405,208405,1929,208405,2,7,77123e4bb5aafe26a8de95ed57bd5cc65efa3faf,0,0,0,0,0,
2,20200810,ID,24671,181805,,201.0,999.0,48.0,280.0,,,9157.0,A,8/9/2020 18:46,2020-08-09T18:46:00Z,08/09 14:46,237.0,999.0,2020-08-09T18:46:00Z,204928,,,23123.0,212.0,25.0,16,176,1469,206476,206476,1645,206476,2,11,c54f1448f29b014d069bbe30e7fc8502a929a2f4,0,0,0,0,0,
3,20200809,ID,24495,180336,,201.0,988.0,48.0,279.0,,,8921.0,A,8/8/2020 19:00,2020-08-08T19:00:00Z,08/08 15:00,235.0,988.0,2020-08-08T19:00:00Z,203289,,,22953.0,211.0,24.0,16,573,1287,204831,204831,1860,204831,6,20,85d0c184bd1084e51a2ff2c77b8b4a16b770e13d,0,0,0,0,0,
4,20200808,ID,23922,179049,,201.0,968.0,48.0,276.0,,,8738.0,A,8/7/2020 18:46,2020-08-07T18:46:00Z,08/07 14:46,229.0,968.0,2020-08-07T18:46:00Z,201457,,,22408.0,205.0,24.0,16,523,3748,202971,202971,4271,202971,6,14,9c5db8839fe7f045d77c17e3b1565b52c7bfbf57,0,0,0,0,0,
5,20200807,ID,23399,175301,,242.0,954.0,42.0,269.0,,,8486.0,A,8/6/2020 19:00,2020-08-06T19:00:00Z,08/06 15:00,223.0,954.0,2020-08-06T19:00:00Z,197217,,,21916.0,199.0,24.0,16,692,3415,198700,198700,4107,198700,6,23,0640ec5a1fe56d9f63b8a2a20cd1d4a982d9f858,0,0,0,0,0,
6,20200806,ID,22707,171886,,242.0,931.0,42.0,262.0,,,8207.0,A,8/5/2020 19:00,2020-08-05T19:00:00Z,08/05 15:00,217.0,931.0,2020-08-05T19:00:00Z,193154,,,21268.0,194.0,23.0,16,473,2233,194593,194593,2706,194593,7,25,c93b8e106c05daf70e668410bce185f6d64dd6f3,0,0,0,0,0,
7,20200805,ID,22234,169653,,195.0,906.0,39.0,260.0,,,7875.0,A,8/4/2020 19:00,2020-08-04T19:00:00Z,08/04 15:00,210.0,906.0,2020-08-04T19:00:00Z,190520,,,20867.0,187.0,23.0,16,559,3550,191887,191887,4109,191887,10,20,8c18d08c6f7d358eb4b7a3f676e8af60dbf4782b,0,0,0,0,0,
8,20200804,ID,21675,166103,,106.0,886.0,22.0,256.0,,,7617.0,A,8/3/2020 18:56,2020-08-03T18:56:00Z,08/03 14:56,200.0,886.0,2020-08-03T18:56:00Z,186475,,,20372.0,177.0,23.0,16,331,2110,187778,187778,2441,187778,3,12,f221060ddca71e61fa1c7a95bd2bbe2baca8d070,0,0,0,0,0,
9,20200803,ID,21344,163993,,239.0,874.0,54.0,253.0,,,7370.0,A,8/2/2020 18:49,2020-08-02T18:49:00Z,08/02 14:49,197.0,874.0,2020-08-02T18:49:00Z,184060,,,20067.0,174.0,23.0,16,230,808,185337,185337,1038,185337,0,18,065197801a37a5eaab21412e0630e6ea8910b3bf,0,0,0,0,0,
10,20200802,ID,21114,163185,,239.0,856.0,54.0,250.0,,,7146.0,A,8/1/2020 18:52,2020-08-01T18:52:00Z,08/01 14:52,197.0,856.0,2020-08-01T18:52:00Z,183034,,,19849.0,174.0,23.0,16,393,2033,184299,184299,2426,184299,8,6,09bae8de4d590ff72f325189c21e440f669532e4,0,0,0,0,0,
11,20200801,ID,20721,161152,,239.0,850.0,54.0,249.0,,,6998.0,A,7/31/2020 19:15,2020-07-31T19:15:00Z,07/31 15:15,189.0,850.0,2020-07-31T19:15:00Z,180615,,,19463.0,155.0,22.0,16,475,2288,181873,181873,2763,181873,12,15,de53fc5f1cef6b61899af6ee7a0c22d88ddf5ad7,0,0,0,0,0,
12,20200731,ID,20246,158864,,236.0,835.0,51.0,247.0,,,6744.0,A,7/30/2020 18:52,2020-07-30T18:52:00Z,07/30 14:52,177.0,835.0,2020-07-30T18:52:00Z,177884,,,19020.0,155.0,22.0,16,567,3024,179110,179110,3591,179110,4,27,f8fb752768472cddf6143c810dac70584fee8096,0,0,0,0,0,
13,20200730,ID,19679,155840,,236.0,808.0,51.0,236.0,,,6472.0,A,7/29/2020 18:58,2020-07-29T18:58:00Z,07/29 14:58,173.0,808.0,2020-07-29T18:58:00Z,174343,,,18503.0,152.0,21.0,16,457,2020,175519,175519,2477,175519,13,25,d4beeeed4527272a0e79af292b917dcb4e3499ff,0,0,0,0,0,
14,20200729,ID,19222,153820,,209.0,783.0,40.0,232.0,,,6203.0,A,7/28/2020 19:00,2020-07-28T19:00:00Z,07/28 15:00,160.0,783.0,2020-07-28T19:00:00Z,171892,,,18072.0,139.0,21.0,16,528,1797,173042,173042,2325,173042,8,33,8ab9c7b6ce18220bf8c0ecad6f6362697c3aac1d,0,0,0,0,0,
15,20200728,ID,18694,152023,,209.0,750.0,40.0,224.0,,,5964.0,A,7/27/2020 19:00,2020-07-27T19:00:00Z,07/27 15:00,152.0,750.0,2020-07-27T19:00:00Z,169588,,,17565.0,130.0,22.0,16,517,2206,170717,170717,2723,170717,6,9,c763a8d8e46ec39177c2fb34e49a23f0b1eb89ab,0,0,0,0,0,
16,20200727,ID,18177,149817,,204.0,741.0,45.0,222.0,,,5731.0,A,7/26/2020 19:00,2020-07-26T19:00:00Z,07/26 15:00,146.0,741.0,2020-07-26T19:00:00Z,166903,,,17086.0,125.0,21.0,16,350,1420,167994,167994,1770,167994,0,18,b6330ff2f3e68c5f967828f3a8f75a1cd29c7086,0,0,0,0,0,
17,20200726,ID,17827,148397,,204.0,723.0,45.0,217.0,,,5483.0,A,7/25/2020 19:00,2020-07-25T19:00:00Z,07/25 15:00,146.0,723.0,2020-07-25T19:00:00Z,165132,,,16735.0,125.0,21.0,16,563,2221,166224,166224,2784,166224,2,14,856ef5c77249ded96599eb3a17f94daea500f58a,0,0,0,0,0,
18,20200725,ID,17264,146176,,204.0,709.0,45.0,210.0,,,5251.0,A,7/24/2020 19:00,2020-07-24T19:00:00Z,07/24 15:00,144.0,709.0,2020-07-24T19:00:00Z,162384,,,16208.0,123.0,21.0,16,528,2719,163440,163440,3247,163440,6,12,0bfe60ed5f6e1d74ff8324bb1a0c8b31c071d4ce,0,0,0,0,0,
19,20200724,ID,16736,143457,,204.0,697.0,46.0,207.0,,,5008.0,A,7/23/2020 19:00,2020-07-23T19:00:00Z,07/23 15:00,138.0,697.0,2020-07-23T19:00:00Z,159163,,,15706.0,117.0,21.0,16,414,2953,160193,160193,3367,160193,3,23,477ebfc42c39a3ce25b81bcd48f570e5c5256945,0,0,0,0,0,
