,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200625,IN,43655,400597.0,,723.0,6912.0,276.0,1452.0,91.0,,33036.0,A+,6/24/2020 23:59,2020-06-24T23:59:00Z,06/24 19:59,2586.0,6912.0,2020-06-24T23:59:00Z,,,,43655.0,18,515,11854,444252,444252,12369,444252,8,29,fb56564b15ba33708aea9e1b016ac556b5a0aa03,0,0,0,0,0,
1,20200624,IN,43140,388743.0,,701.0,6883.0,263.0,1446.0,89.0,,32152.0,A+,6/23/2020 23:59,2020-06-23T23:59:00Z,06/23 19:59,2578.0,6883.0,2020-06-23T23:59:00Z,,,,43140.0,18,269,5238,431883,431883,5507,431883,9,30,60473467ca616c1c7015a4b67f8ebe666f83a776,0,0,0,0,0,
2,20200623,IN,42871,383505.0,,736.0,6853.0,297.0,1447.0,110.0,,32152.0,A+,6/22/2020 23:59,2020-06-22T23:59:00Z,06/22 19:59,2569.0,6853.0,2020-06-22T23:59:00Z,,,,42871.0,18,238,7222,426376,426376,7460,426376,16,34,1d2077d1001c4fb1aedc57c31dba8553b676dbd7,0,0,0,0,0,
3,20200622,IN,42633,376283.0,,756.0,6819.0,283.0,1452.0,108.0,,31739.0,A+,6/21/2020 23:59,2020-06-21T23:59:00Z,06/21 19:59,2553.0,6819.0,2020-06-21T23:59:00Z,,,,42633.0,18,210,6786,418916,418916,6996,418916,13,31,59fda4ef2904cbcb558875f4b8b5e0faa4c20d4c,0,0,0,0,0,
4,20200621,IN,42423,369497.0,,744.0,6788.0,226.0,1450.0,124.0,,31302.0,A+,6/20/2020 23:59,2020-06-20T23:59:00Z,06/20 19:59,2540.0,6788.0,2020-06-20T23:59:00Z,,,,42423.0,18,362,9756,411920,411920,10118,411920,4,33,13aa525b8c4602dce8bb84b9d34294512e86db9b,0,0,0,0,0,
5,20200620,IN,42061,359741.0,,768.0,6755.0,231.0,1444.0,113.0,,31110.0,A+,6/19/2020 23:59,2020-06-19T23:59:00Z,06/19 19:59,2536.0,6755.0,2020-06-19T23:59:00Z,,,,42061.0,18,315,8600,401802,401802,8915,401802,20,24,a5504fb90ddcddf485046c5789e8f1340667315b,0,0,0,0,0,
6,20200619,IN,41746,351141.0,,773.0,6731.0,259.0,1465.0,111.0,,30760.0,A+,6/18/2020 23:59,2020-06-18T23:59:00Z,06/18 19:59,2516.0,6731.0,2020-06-18T23:59:00Z,,,,41746.0,18,308,7857,392887,392887,8165,392887,25,142,f61c2c3506607e29890b89bf766ebd40a85177fa,0,0,0,0,0,
7,20200618,IN,41438,343284.0,,754.0,6589.0,236.0,1389.0,103.0,,30175.0,A+,6/17/2020 23:59,2020-06-17T23:59:00Z,06/17 19:59,2491.0,6589.0,2020-06-17T23:59:00Z,,,,41438.0,18,425,13115,384722,384722,13540,384722,16,63,4adb29b8de7c963cb92f2f9b913ea208566b2c52,0,0,0,0,0,
8,20200617,IN,41013,330169.0,,789.0,6526.0,238.0,1384.0,105.0,,29671.0,A+,6/16/2020 23:59,2020-06-16T23:59:00Z,06/16 19:59,2475.0,6526.0,2020-06-16T23:59:00Z,,,,41013.0,18,227,7210,371182,371182,7437,371182,28,45,affc5a41134506810c5166e84722dd7ac50b4e85,0,0,0,0,0,
9,20200616,IN,40786,322959.0,,860.0,6481.0,313.0,1383.0,121.0,,29093.0,A+,6/15/2020 23:59,2020-06-15T23:59:00Z,06/15 19:59,2447.0,6481.0,2020-06-15T23:59:00Z,,,,40786.0,18,356,7560,363745,363745,7916,363745,14,30,e38a7971eac4aeb83b7a0e3332e6ade79846d76c,0,0,0,0,0,
10,20200615,IN,40430,315399.0,,882.0,6451.0,305.0,1368.0,123.0,,28744.0,A+,6/14/2020 23:59,2020-06-14T23:59:00Z,06/14 19:59,2433.0,6451.0,2020-06-14T23:59:00Z,,,,40430.0,18,521,6917,355829,355829,7438,355829,11,32,3105b86d9b6e25f28e4be854b16ddb5f5081fe42,0,0,0,0,0,
11,20200614,IN,39909,308482.0,,869.0,6419.0,301.0,1360.0,113.0,,28522.0,A+,6/13/2020 23:59,2020-06-13T23:59:00Z,06/13 19:59,2422.0,6419.0,2020-06-13T23:59:00Z,,,,39909.0,18,366,7388,348391,348391,7754,348391,9,70,ee0988cf58647880759275938fc9740a192597c8,0,0,0,0,0,
