,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,IA,50336,484477,,261.0,,88.0,,25.0,,39320.0,A+,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,959.0,,2020-08-13T00:00:00Z,,,,50336,,,,538099.0,,,,43119.0,2896.0,40184.0,,,,,19,530,6135,534813,534813,6665,534813,8,0,ae944badc811f8f6aebafebdea155c29d599e081,0,0,0,0,0,
1,20200812,IA,49806,478342,,243.0,,72.0,,25.0,,38657.0,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,951.0,,2020-08-12T00:00:00Z,,,,49806,,,,531310.0,,,,42311.0,2871.0,39401.0,,,,,19,477,3751,528148,528148,4228,528148,11,0,3dbd4ca84fca924f91c7a760d957ecd16693d8cc,0,0,0,0,0,
2,20200811,IA,49329,474591,,244.0,,64.0,,25.0,,38033.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,940.0,,2020-08-11T00:00:00Z,,,,49329,,,,527055.0,,,,42235.0,2860.0,39336.0,,,,,19,258,2275,523920,523920,2533,523920,7,0,d43b1773d6523bea1e8b39c19997ccbef3d7493c,0,0,0,0,0,
3,20200810,IA,49071,472316,,224.0,,57.0,,23.0,,37317.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,933.0,,2020-08-10T00:00:00Z,,,,49071,,,,524445.0,,,,42105.0,2849.0,39217.0,,,,,19,282,2295,521387,521387,2577,521387,3,0,c5d995bc1b9050bcd524383ce2a9b3cf88107635,0,0,0,0,0,
4,20200809,IA,48789,470021,,221.0,,57.0,,20.0,,37096.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,930.0,,2020-08-09T00:00:00Z,,,,48789,,,,521783.0,,,,42052.0,2839.0,39174.0,,,,,19,506,4757,518810,518810,5263,518810,5,0,13ad721d3a23f490cd3ea75282e3df0f9be1c887,0,0,0,0,0,
5,20200808,IA,48283,465264,,229.0,,58.0,,22.0,,36882.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,925.0,,2020-08-08T00:00:00Z,,,,48283,,,,516402.0,,,,41699.0,2829.0,38831.0,,,,,19,418,4429,513547,513547,4847,513547,12,0,9c73fa1e210e2a23ea493806baacf5f2f9846850,0,0,0,0,0,
6,20200807,IA,47865,460835,,223.0,,65.0,,25.0,,36322.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,913.0,,2020-08-07T00:00:00Z,,,,47865,,,,511424.0,,,,41130.0,2821.0,38270.0,,,,,19,504,5076,508700,508700,5580,508700,5,0,1065143d5322ea475f74f8d08ad604d244b742bd,0,0,0,0,0,
7,20200806,IA,47361,455759,,237.0,,68.0,,32.0,,35548.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,908.0,,2020-08-06T00:00:00Z,,,,47361,,,,505772.0,,,,40563.0,2808.0,37716.0,,,,,19,702,5990,503120,503120,6692,503120,9,0,4b150f1905da658ed6989c6fe0a4e8cd00e3f1b2,0,0,0,0,0,
8,20200805,IA,46659,449769,,248.0,,77.0,,34.0,,34733.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,899.0,,2020-08-05T00:00:00Z,,,,46659,,,,498949.0,,,,39746.0,2796.0,36911.0,,,,,19,617,5440,496428,496428,6057,496428,11,0,8c622dd4564a0705a27054b49a1eef9e8b267a04,0,0,0,0,0,
9,20200804,IA,46042,444329,,243.0,,75.0,,32.0,,34023.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,888.0,,2020-08-04T00:00:00Z,,,,46042,,,,492517.0,,,,39596.0,2776.0,36781.0,,,,,19,201,3695,490371,490371,3896,490371,6,0,51926a01bab5cfddd50534bd62e3a75b59952632,0,0,0,0,0,
