,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,KS,33885,309158,,311.0,2020.0,98.0,554.0,33.0,198.0,1399.0,A+,8/14/2020 10:00,2020-08-14T10:00:00Z,08/14 06:00,402.0,2020.0,2020-08-14T10:00:00Z,,,,,,,,343043.0,,,,,,,,,,,20,1338,7142,343043,343043,8480,343043,7,45,50844e198162278bc73e09956a696fba4012f305,0,0,0,0,0,
1,20200813,KS,32547,302016,,357.0,1975.0,95.0,548.0,29.0,195.0,1367.0,A+,8/12/2020 10:00,2020-08-12T10:00:00Z,08/12 06:00,395.0,1975.0,2020-08-12T10:00:00Z,,,,,,,,334563.0,,,,,,,,,,,20,0,0,334563,334563,0,334563,0,0,1151fb36bb812e6094f6f569b17c076b04c02042,0,0,0,0,0,
2,20200812,KS,32547,302016,,357.0,1975.0,95.0,548.0,29.0,195.0,1367.0,A+,8/12/2020 10:00,2020-08-12T10:00:00Z,08/12 06:00,395.0,1975.0,2020-08-12T10:00:00Z,,,,,,,,334563.0,,,,,,,,,,,20,817,7077,334563,334563,7894,334563,8,64,4e1fad3c53bfcc3c695331b896c9ed328fdd267d,0,0,0,0,0,
3,20200811,KS,31730,294939,,216.0,1911.0,60.0,534.0,19.0,194.0,1319.0,A+,8/10/2020 10:00,2020-08-10T10:00:00Z,08/10 06:00,387.0,1911.0,2020-08-10T10:00:00Z,,,,,,,,326669.0,,,,,,,,,,,20,0,0,326669,326669,0,326669,0,0,7f050395ac20568a52f599a285518b7ba8972d6f,0,0,0,0,0,
4,20200810,KS,31730,294939,,216.0,1911.0,60.0,534.0,19.0,194.0,1319.0,A+,8/10/2020 10:00,2020-08-10T10:00:00Z,08/10 06:00,387.0,1911.0,2020-08-10T10:00:00Z,,,,,,,,326669.0,,,,,,,,,,,20,1092,9065,326669,326669,10157,326669,7,36,5bbe3732dd6cf8980fad9f91d7aa7cfc59603b46,0,0,0,0,0,
5,20200809,KS,30638,285874,,333.0,1875.0,88.0,526.0,26.0,193.0,1293.0,A+,8/7/2020 10:00,2020-08-07T10:00:00Z,08/07 06:00,380.0,1875.0,2020-08-07T10:00:00Z,,,,,,,,316512.0,,,,,,,,,,,20,0,0,316512,316512,0,316512,0,0,f20737f280d16d90a4e747d4827d7aac4b29fc77,0,0,0,0,0,
6,20200808,KS,30638,285874,,333.0,1875.0,88.0,526.0,26.0,193.0,1293.0,A+,8/7/2020 10:00,2020-08-07T10:00:00Z,08/07 06:00,380.0,1875.0,2020-08-07T10:00:00Z,,,,,,,,316512.0,,,,,,,,,,,20,0,0,316512,316512,0,316512,0,0,b46377d62bc1862870c076d7b90398308389cb97,0,0,0,0,0,
7,20200807,KS,30638,285874,,333.0,1875.0,88.0,526.0,26.0,193.0,1293.0,A+,8/7/2020 10:00,2020-08-07T10:00:00Z,08/07 06:00,380.0,1875.0,2020-08-07T10:00:00Z,,,,,,,,316512.0,,,,,,,,,,,20,921,6873,316512,316512,7794,316512,12,54,1c93daf6f204d1019e35fea18855855a8fd61edc,0,0,0,0,0,
8,20200806,KS,29717,279001,,358.0,1821.0,78.0,516.0,25.0,190.0,1254.0,A+,8/5/2020 10:00,2020-08-05T10:00:00Z,08/05 06:00,368.0,1821.0,2020-08-05T10:00:00Z,,,,,,,,308718.0,,,,,,,,,,,20,0,0,308718,308718,0,308718,0,0,e19ec4137cf13b816bbfa2eb8f0de0efbb549af8,0,0,0,0,0,
9,20200805,KS,29717,279001,,358.0,1821.0,78.0,516.0,25.0,190.0,1254.0,A+,8/5/2020 10:00,2020-08-05T10:00:00Z,08/05 06:00,368.0,1821.0,2020-08-05T10:00:00Z,,,,,,,,308718.0,,,,,,,,,,,20,841,6038,308718,308718,6879,308718,3,39,1440d9ae71bd569c896e095ee2616774ce2db2a3,0,0,0,0,0,
10,20200804,KS,28876,272963,,232.0,1782.0,62.0,505.0,16.0,184.0,1196.0,A+,8/3/2020 10:00,2020-08-03T10:00:00Z,08/03 06:00,365.0,1782.0,2020-08-03T10:00:00Z,,,,,,,,301839.0,,,,,,,,,,,20,0,0,301839,301839,0,301839,0,0,fe243ab1ed5635936a7735981819dc5d0dc236b1,0,0,0,0,0,
11,20200803,KS,28876,272963,,232.0,1782.0,62.0,505.0,16.0,184.0,1196.0,A+,8/3/2020 10:00,2020-08-03T10:00:00Z,08/03 06:00,365.0,1782.0,2020-08-03T10:00:00Z,,,,,,,,301839.0,,,,,,,,,,,20,1064,8268,301839,301839,9332,301839,7,31,777be7234d4551ed390c3b85ab9caf3d19d4838b,0,0,0,0,0,
12,20200802,KS,27812,264695,,366.0,1751.0,98.0,494.0,26.0,179.0,1178.0,A+,7/31/2020 10:00,2020-07-31T10:00:00Z,07/31 06:00,358.0,1751.0,2020-07-31T10:00:00Z,,,,,,,,292507.0,,,,,,,,,,,20,0,0,292507,292507,0,292507,0,0,bd0a99927934668514b807924c3c38af79b1f2b5,0,0,0,0,0,
13,20200801,KS,27812,264695,,366.0,1751.0,98.0,494.0,26.0,179.0,1178.0,A+,7/31/2020 10:00,2020-07-31T10:00:00Z,07/31 06:00,358.0,1751.0,2020-07-31T10:00:00Z,,,,,,,,292507.0,,,,,,,,,,,20,0,0,292507,292507,0,292507,0,0,d0b6dc075e2378e82e2c9ad73c56b1b37cf8aea7,0,0,0,0,0,
14,20200731,KS,27812,264695,,366.0,1751.0,98.0,494.0,26.0,179.0,1178.0,A+,7/31/2020 10:00,2020-07-31T10:00:00Z,07/31 06:00,358.0,1751.0,2020-07-31T10:00:00Z,,,,,,,,292507.0,,,,,,,,,,,20,942,6616,292507,292507,7558,292507,9,51,c3662ede5b3b35530881c8f209819fd757b73d7d,0,0,0,0,0,
15,20200730,KS,26870,258079,,393.0,1700.0,83.0,483.0,29.0,174.0,1149.0,A+,7/29/2020 10:00,2020-07-29T10:00:00Z,07/29 06:00,349.0,1700.0,2020-07-29T10:00:00Z,,,,,,,,284949.0,,,,,,,,,,,20,0,0,284949,284949,0,284949,0,0,824dce2b886a4240312fbe7bdb6e7bb00f857bbb,0,0,0,0,0,
16,20200729,KS,26870,258079,,393.0,1700.0,83.0,483.0,29.0,174.0,1149.0,A+,7/29/2020 10:00,2020-07-29T10:00:00Z,07/29 06:00,349.0,1700.0,2020-07-29T10:00:00Z,,,,,,,,284949.0,,,,,,,,,,,20,698,5315,284949,284949,6013,284949,14,56,a5cb10d8622d831796f69015f2560521fada7ea2,0,0,0,0,0,
17,20200728,KS,26172,252764,,212.0,1644.0,58.0,465.0,24.0,171.0,1108.0,A+,7/27/2020 10:00,2020-07-27T10:00:00Z,07/27 06:00,335.0,1644.0,2020-07-27T10:00:00Z,,,,,,,,278397.0,,,,,,,,,,,20,0,0,278936,278936,0,278936,0,0,2701903c6509fd5c1aa36dc24102353f46aa786f,0,0,0,0,0,
18,20200727,KS,26172,252764,,212.0,1644.0,58.0,465.0,24.0,171.0,1108.0,A+,7/27/2020 10:00,2020-07-27T10:00:00Z,07/27 06:00,335.0,1644.0,2020-07-27T10:00:00Z,,,,,,,,278397.0,,,,,,,,,,,20,1063,-94,278936,278936,969,278936,9,48,e1f040986e9504c771bf33e825305b141162c924,0,0,0,0,0,
19,20200726,KS,25109,252858,,315.0,1596.0,98.0,459.0,24.0,166.0,1077.0,A+,7/24/2020 10:00,2020-07-24T10:00:00Z,07/24 06:00,326.0,1596.0,2020-07-24T10:00:00Z,,,,,,,,277967.0,,,,,,,,,,,20,0,0,277967,277967,0,277967,0,0,d2778b8fab87e85af6db902a1bc1a462e7da8ab0,0,0,0,0,0,
20,20200725,KS,25109,252858,,315.0,1596.0,98.0,459.0,24.0,166.0,1077.0,A+,7/24/2020 10:00,2020-07-24T10:00:00Z,07/24 06:00,326.0,1596.0,2020-07-24T10:00:00Z,,,,,,,,277967.0,,,,,,,,,,,20,0,0,277967,277967,0,277967,0,0,21141c2c77376a7696ace4640116c5b165c52c7f,0,0,0,0,0,
21,20200724,KS,25109,252858,,,1596.0,98.0,459.0,24.0,166.0,1077.0,A+,7/24/2020 10:00,2020-07-24T10:00:00Z,07/24 06:00,326.0,1596.0,2020-07-24T10:00:00Z,,,,,,,,277967.0,,,,,,,,,,,20,1005,8276,277967,277967,9281,277967,18,51,72b8089af7e6361499456f28c625153e734bda13,0,0,0,0,0,
22,20200723,KS,24104,244582,,,1545.0,112.0,450.0,28.0,164.0,1050.0,A+,7/22/2020 10:00,2020-07-22T10:00:00Z,07/22 06:00,308.0,1545.0,2020-07-22T10:00:00Z,,,,,,,,268686.0,,,,,,,,,,,20,0,0,268686,268686,0,268686,0,0,e31235a77300c8e9ed65d74c3e48b265c3af558d,0,0,0,0,0,
23,20200722,KS,24104,244582,,,1545.0,112.0,450.0,28.0,164.0,1050.0,A+,7/22/2020 10:00,2020-07-22T10:00:00Z,07/22 06:00,308.0,1545.0,2020-07-22T10:00:00Z,,,,,,,,268686.0,,,,,,,,,,,20,770,6385,268686,268686,7155,268686,1,48,58cdae782c47c61be884b74896182c9aa38f05cd,0,0,0,0,0,
24,20200721,KS,23334,238197,,,1497.0,111.0,439.0,21.0,162.0,1016.0,A,7/20/2020 10:00,2020-07-20T10:00:00Z,07/20 06:00,307.0,1497.0,2020-07-20T10:00:00Z,,,,,,,,261531.0,,,,,,,,,,,20,0,0,261531,261531,0,261531,0,0,e54e55de4f261c6a1577b28d4f717f86930600eb,0,0,0,0,0,
25,20200720,KS,23334,238197,,,1497.0,111.0,439.0,21.0,162.0,1016.0,A,7/20/2020 10:00,2020-07-20T10:00:00Z,07/20 06:00,307.0,1497.0,2020-07-20T10:00:00Z,,,,,,,,261531.0,,,,,,,,,,,20,1369,10809,261531,261531,12178,261531,8,44,38e4d267603a2191bcf900da6fdc8649912c1751,0,0,0,0,0,
26,20200719,KS,21965,227388,,,1453.0,58.0,427.0,14.0,161.0,983.0,A,7/17/2020 10:00,2020-07-17T10:00:00Z,07/17 06:00,299.0,1453.0,2020-07-17T10:00:00Z,,,,,,,,249353.0,,,,,,,,,,,20,0,0,249353,249353,0,249353,0,0,cd4bb08f4a8e84d1f744dc804d17124f3898c11b,0,0,0,0,0,
27,20200718,KS,21965,227388,,,1453.0,58.0,427.0,14.0,161.0,983.0,A,7/17/2020 10:00,2020-07-17T10:00:00Z,07/17 06:00,299.0,1453.0,2020-07-17T10:00:00Z,,,,,,,,249353.0,,,,,,,,,,,20,0,0,249353,249353,0,249353,0,0,26b468d7cc1a79bfc1424b1bf31fb710922456e4,0,0,0,0,0,
