,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200725,KY,26764,514819,,595.0,3266.0,132.0,1126.0,,,7421.0,B,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,696.0,3266.0,2020-07-25T00:00:00Z,,,,25390.0,692.0,4.0,21,833,7274,541583,541583,8107,541583,5,18,c7085de7fcd27a2775c2b55021861937a39e9eb8,0,0,0,0,0,
1,20200724,KY,25931,507545,,618.0,3248.0,130.0,1125.0,,,7396.0,B,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,691.0,3248.0,2020-07-24T00:00:00Z,,,,24615.0,687.0,4.0,21,784,7897,533476,533476,8681,533476,7,327,712f191500f73229175a77c5662ae6223f2c36f7,0,0,0,0,0,
2,20200723,KY,25147,499648,,581.0,2921.0,135.0,1040.0,,,7046.0,B,7/23/2020 00:00,2020-07-23T00:00:00Z,07/22 20:00,684.0,2921.0,2020-07-23T00:00:00Z,,,,23882.0,680.0,4.0,21,607,5113,524795,524795,5720,524795,7,7,477aa9a7e1502e17e2000b1f97960f9de8894094,0,0,0,0,0,
3,20200722,KY,24540,494535,,603.0,2914.0,145.0,1039.0,,,7000.0,B,7/22/2020 00:00,2020-07-22T00:00:00Z,07/21 20:00,677.0,2914.0,2020-07-22T00:00:00Z,,,,23336.0,673.0,4.0,21,480,9902,519075,519075,10382,519075,3,14,fdcefe05b9e81add2be6991be6aa180096b52496,0,0,0,0,0,
4,20200721,KY,24060,484633,,532.0,2900.0,136.0,1036.0,,,6927.0,B,7/21/2020 00:00,2020-07-21T00:00:00Z,07/20 20:00,674.0,2900.0,2020-07-21T00:00:00Z,,,,22916.0,670.0,4.0,21,646,13893,508693,508693,14539,508693,3,18,662f01f33509003d87b36e88a6aec3c503d031d5,0,0,0,0,0,
5,20200720,KY,23414,470740,,542.0,2882.0,114.0,1035.0,,,6876.0,B,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,671.0,2882.0,2020-07-19T00:00:00Z,,,,22328.0,667.0,4.0,21,253,1177,494154,494154,1430,494154,1,2,46e43d1ab1be06e5c1993476e9a3ca740a3a5355,0,0,0,0,0,
6,20200719,KY,23161,469563,,511.0,2880.0,102.0,1035.0,,,6874.0,B,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,670.0,2880.0,2020-07-18T00:00:00Z,,,,22095.0,666.0,4.0,21,977,1546,492724,492724,2523,492724,3,5,3891b89f4d04c8f6a62fb1b5858332a818219be1,0,0,0,0,0,
7,20200718,KY,22184,468017,,514.0,2875.0,109.0,1033.0,,,6824.0,B,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,667.0,2875.0,2020-07-18T00:00:00Z,,,,21128.0,662.0,5.0,21,579,6560,490201,490201,7139,490201,9,11,5594e91ca48e11d14fc7696eaac33ff96ed9d602,0,0,0,0,0,
8,20200717,KY,21605,461457,,452.0,2864.0,89.0,1031.0,,,6772.0,B,7/17/2020 00:00,2020-07-17T00:00:00Z,07/16 20:00,658.0,2864.0,2020-07-17T00:00:00Z,,,,20607.0,653.0,5.0,21,522,14536,483062,483062,15058,483062,8,22,47b9c8283f0131ae8a3527df1a45111133cbee25,0,0,0,0,0,
9,20200716,KY,21083,446921,,418.0,2842.0,92.0,1030.0,,,5500.0,B,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,650.0,2842.0,2020-07-16T00:00:00Z,,,,20118.0,646.0,4.0,21,406,8411,468004,468004,8817,468004,5,19,0a3d5c29ab560549935466520d6d6032b371218e,0,0,0,0,0,
