Date,Statewide COVID-19 Hospitalizations,FID,x,y
5/8/2020 12:00:00 AM,1359,8,-10150934.823442807,3562442.0173784792
5/9/2020 12:00:00 AM,1333,14,-10150934.823442796,3562442.0173784792
5/10/2020 12:00:00 AM,1324,18,-10150934.823442796,3562442.0173784792
5/11/2020 12:00:00 AM,1310,22,-10150934.823442785,3562442.0173784792
5/12/2020 12:00:00 AM,1320,27,-10150934.823442785,3562442.0173784792
5/13/2020 12:00:00 AM,1194,31,-10150934.823442785,3562442.0173784792
5/14/2020 12:00:00 AM,1193,35,-10150934.823443063,3562442.0173784792
5/15/2020 12:00:00 AM,1091,39,-10150934.823443063,3562442.0173784792
5/16/2020 12:00:00 AM,1028,42,-10150934.823443063,3562442.0173784792
5/17/2020 12:00:00 AM,1019,46,-10150934.823443051,3562442.0173784792
5/18/2020 12:00:00 AM,1031,50,-10150934.823443051,3562442.0173784792
5/19/2020 12:00:00 AM,1004,54,-10150934.823443042,3562442.0173784792
5/20/2020 12:00:00 AM,931,58,-10150934.823443042,3562442.0173784792
5/21/2020 12:00:00 AM,884,141,-10150934.823443031,3562442.0173784792
5/22/2020 12:00:00 AM,867,143,-10150934.823443031,3562442.0173784792
5/23/2020 12:00:00 AM,836,145,-10150934.823443031,3562442.0173784792
5/24/2020 12:00:00 AM,813,147,-10150934.82344302,3562442.0173784792
5/25/2020 12:00:00 AM,847,149,-10150934.82344302,3562442.0173784792
5/26/2020 12:00:00 AM,831,151,-10150934.82344302,3562442.0173784792
5/27/2020 12:00:00 AM,798,153,-10150934.823443009,3562442.0173784792
5/28/2020 12:00:00 AM,761,155,-10150934.823443009,3562442.0173784792
5/29/2020 12:00:00 AM,714,157,-10150934.823443009,3562442.0173784792
5/30/2020 12:00:00 AM,674,159,-10150934.823442997,3562442.0173784792
5/31/2020 12:00:00 AM,678,161,-10150934.823442997,3562442.0173784792
6/1/2020 12:00:00 AM,661,163,-10150934.823442986,3562442.0173784792
6/2/2020 12:00:00 AM,639,165,-10150934.823442986,3562442.0173784792
6/3/2020 12:00:00 AM,617,167,-10150934.823442986,3562442.0173784792
6/4/2020 12:00:00 AM,613,169,-10150934.823442975,3562442.0173784792
6/5/2020 12:00:00 AM,604,171,-10150934.823442975,3562442.0173784792
6/6/2020 12:00:00 AM,582,173,-10150934.823442975,3562442.0173784792
6/7/2020 12:00:00 AM,575,175,-10150934.823442964,3562442.0173784792
6/8/2020 12:00:00 AM,582,177,-10150934.823442964,3562442.0173784792
6/9/2020 12:00:00 AM,568,179,-10150934.823442953,3562442.0173784792
6/10/2020 12:00:00 AM,549,181,-10150934.823442953,3562442.0173784792
6/11/2020 12:00:00 AM,553,183,-10150934.823442953,3562442.0173784792
6/12/2020 12:00:00 AM,549,185,-10150934.823442942,3562442.0173784792
6/13/2020 12:00:00 AM,542,187,-10150934.823442942,3562442.0173784792
6/14/2020 12:00:00 AM,556,189,-10150934.823442942,3562442.0173784792
6/15/2020 12:00:00 AM,568,191,-10150934.82344293,3562442.0173784792
6/16/2020 12:00:00 AM,588,193,-10150934.82344293,3562442.0173784792
6/17/2020 12:00:00 AM,585,195,-10150934.82344293,3562442.0173784792
6/18/2020 12:00:00 AM,554,197,-10150934.82344292,3562442.0173784792
6/19/2020 12:00:00 AM,561,199,-10150934.82344292,3562442.0173784792
6/20/2020 12:00:00 AM,574,201,-10150934.823442908,3562442.0173784792
6/21/2020 12:00:00 AM,589,203,-10150934.823442908,3562442.0173784792
6/22/2020 12:00:00 AM,630,205,-10150934.823442908,3562442.0173784792
6/23/2020 12:00:00 AM,646,207,-10150934.823442897,3562442.0173784792
6/24/2020 12:00:00 AM,631,209,-10150934.823442897,3562442.0173784792
6/25/2020 12:00:00 AM,653,211,-10150934.823442897,3562442.0173784792
6/26/2020 12:00:00 AM,700,213,-10150934.823442884,3562442.0173784792
3/24/2020 12:00:00 AM,271,361,-10150934.823442986,3562442.0173784792
3/25/2020 12:00:00 AM,491,363,-10150934.823442986,3562442.0173784792
3/26/2020 12:00:00 AM,676,365,-10150934.823442975,3562442.0173784792
3/27/2020 12:00:00 AM,773,367,-10150934.823442975,3562442.0173784792
3/28/2020 12:00:00 AM,927,369,-10150934.823442975,3562442.0173784792
3/29/2020 12:00:00 AM,1032,371,-10150934.823442964,3562442.0173784792
3/30/2020 12:00:00 AM,1158,373,-10150934.823442964,3562442.0173784792
3/31/2020 12:00:00 AM,1355,375,-10150934.823442953,3562442.0173784792
4/1/2020 12:00:00 AM,1498,377,-10150934.823442953,3562442.0173784792
4/2/2020 12:00:00 AM,1639,379,-10150934.823442953,3562442.0173784792
4/3/2020 12:00:00 AM,1707,381,-10150934.823442942,3562442.0173784792
4/4/2020 12:00:00 AM,1726,383,-10150934.823442942,3562442.0173784792
4/5/2020 12:00:00 AM,1803,385,-10150934.823442942,3562442.0173784792
4/6/2020 12:00:00 AM,1981,387,-10150934.82344293,3562442.0173784792
4/7/2020 12:00:00 AM,1996,389,-10150934.82344293,3562442.0173784792
4/8/2020 12:00:00 AM,1983,391,-10150934.82344293,3562442.0173784792
4/9/2020 12:00:00 AM,2014,393,-10150934.82344292,3562442.0173784792
4/10/2020 12:00:00 AM,2054,395,-10150934.82344292,3562442.0173784792
4/11/2020 12:00:00 AM,2067,397,-10150934.823442908,3562442.0173784792
4/12/2020 12:00:00 AM,2084,399,-10150934.823442908,3562442.0173784792
4/13/2020 12:00:00 AM,2134,401,-10150934.823442908,3562442.0173784792
4/14/2020 12:00:00 AM,1977,403,-10150934.823442897,3562442.0173784792
4/15/2020 12:00:00 AM,1943,405,-10150934.823442897,3562442.0173784792
4/16/2020 12:00:00 AM,1914,407,-10150934.823442897,3562442.0173784792
4/17/2020 12:00:00 AM,1868,409,-10150934.823442884,3562442.0173784792
4/18/2020 12:00:00 AM,1761,411,-10150934.823442884,3562442.0173784792
4/19/2020 12:00:00 AM,1748,413,-10150934.823442884,3562442.0173784792
4/20/2020 12:00:00 AM,1794,415,-10150934.823442873,3562442.0173784792
4/21/2020 12:00:00 AM,1798,417,-10150934.823442873,3562442.0173784792
4/22/2020 12:00:00 AM,1747,419,-10150934.823442861,3562442.0173784792
4/23/2020 12:00:00 AM,1727,421,-10150934.823442861,3562442.0173784792
4/24/2020 12:00:00 AM,1697,423,-10150934.823442861,3562442.0173784792
4/25/2020 12:00:00 AM,1700,425,-10150934.823442852,3562442.0173784792
4/26/2020 12:00:00 AM,1701,427,-10150934.823442852,3562442.0173784792
4/27/2020 12:00:00 AM,1683,429,-10150934.823442852,3562442.0173784792
4/28/2020 12:00:00 AM,1666,431,-10150934.823442841,3562442.0173784792
4/29/2020 12:00:00 AM,1629,433,-10150934.823442841,3562442.0173784792
4/30/2020 12:00:00 AM,1601,435,-10150934.823442841,3562442.0173784792
5/1/2020 12:00:00 AM,1607,437,-10150934.82344283,3562442.0173784792
5/2/2020 12:00:00 AM,1545,439,-10150934.82344283,3562442.0173784792
5/3/2020 12:00:00 AM,1530,441,-10150934.823442819,3562442.0173784792
5/4/2020 12:00:00 AM,1502,443,-10150934.823442819,3562442.0173784792
5/5/2020 12:00:00 AM,1512,445,-10150934.823442819,3562442.0173784792
5/6/2020 12:00:00 AM,1465,447,-10150934.823442807,3562442.0173784792
5/7/2020 12:00:00 AM,1432,449,-10150934.823442807,3562442.0173784792
