,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,LA,135439,1480541.0,,1281.0,,,,196.0,,103512.0,A,8/13/2020 13:00,2020-08-13T13:00:00Z,08/13 09:00,4402.0,,2020-08-13T13:00:00Z,,,,,4279.0,123.0,,1615980.0,,,,,,,,,,,22,1135,16236,1615980,1615980,17371,1615980,41,0,fb6165a6ea4998a6b62183fab3ee0b8b7891357b,0,0,0,0,0,
1,20200812,LA,134304,1464305.0,,1320.0,,,,211.0,,103512.0,A,8/12/2020 13:00,2020-08-12T13:00:00Z,08/12 09:00,4361.0,,2020-08-12T13:00:00Z,,,,,4238.0,123.0,,1598609.0,,,,,,,,,,,22,1179,28866,1598609,1598609,30045,1598609,48,0,668c5c795a2929c56c00ad299b70c836b8436fc8,0,0,0,0,0,
2,20200811,LA,133125,1435439.0,,1335.0,,,,214.0,,89083.0,A,8/11/2020 13:00,2020-08-11T13:00:00Z,08/11 09:00,4313.0,,2020-08-11T13:00:00Z,,,,,4195.0,118.0,,1568564.0,,,,,,,,,,,22,1164,19467,1568564,1568564,20631,1568564,26,0,a94658ef9d14d43765cd8537738aef109c5a48ff,0,0,0,0,0,
3,20200810,LA,131961,1415972.0,,1382.0,,,,215.0,,89083.0,A,8/10/2020 13:00,2020-08-10T13:00:00Z,08/10 09:00,4287.0,,2020-08-10T13:00:00Z,,,,,4169.0,118.0,,1547933.0,,,,,,,,,,,22,562,6800,1547933,1547933,7362,1547933,24,0,b49ef4b31310a52e653110df61db1e7d593580c1,0,0,0,0,0,
4,20200809,LA,131399,1409172.0,,1383.0,,,,210.0,,89083.0,A,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,4263.0,,2020-08-09T00:00:00Z,,,,,4145.0,118.0,,1540571.0,,,,,,,,,,,22,2653,32916,1540571,1540571,35569,1540571,56,0,02c1e089b06ee7894c4a53a66004e282d9a3a21c,0,0,0,0,0,
5,20200808,LA,128746,1376256.0,,1406.0,,,,207.0,,89083.0,A,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,4207.0,,2020-08-07T00:00:00Z,,,,,4089.0,118.0,,1505002.0,,,,,,,,,,,22,0,0,1505002,1505002,0,1505002,0,0,e836a687616786a4155e854ef4638ad8369669e3,0,0,0,0,0,
6,20200807,LA,128746,1376256.0,,1406.0,,,,207.0,,89083.0,A,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,4207.0,,2020-08-07T00:00:00Z,,,,,4089.0,118.0,,1505002.0,,,,,,,,,,,22,1500,18530,1505002,1505002,20030,1505002,61,0,a5118d0363da3d59c6d5e5b486c9919222da8cdf,0,0,0,0,0,
7,20200806,LA,127246,1357726.0,,1457.0,,,,215.0,,89083.0,A,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,4146.0,,2020-08-06T00:00:00Z,,,,,4028.0,118.0,,1484972.0,,,,,,,,,,,22,1303,13802,1484972,1484972,15105,1484972,50,0,9ee92af82cfb81ed7d70de78cd0c9bbdfdfdcef1,0,0,0,0,0,
8,20200805,LA,125943,1343924.0,,1471.0,,,,223.0,,89083.0,A,8/5/2020 13:00,2020-08-05T13:00:00Z,08/05 09:00,4096.0,,2020-08-05T13:00:00Z,,,,,3978.0,118.0,,1469867.0,,,,,,,,,,,22,1482,18528,1469867,1469867,20010,1469867,45,0,a757a59975b8ac28220f8f16a56e10c7904d9828,0,0,0,0,0,
9,20200804,LA,124461,1325396.0,,1487.0,,,,240.0,,74246.0,A,8/4/2020 13:00,2020-08-04T13:00:00Z,08/04 09:00,4051.0,,2020-08-04T13:00:00Z,,,,,3937.0,114.0,,1449857.0,,,,,,,,,,,22,3615,52332,1449857,1449857,55947,1449857,27,0,85c8d09571116b761a0d4a532696989c231f87af,0,0,0,0,0,
10,20200803,LA,120846,1273064.0,,1496.0,,,,230.0,,74246.0,A,8/3/2020 13:00,2020-08-03T13:00:00Z,08/03 09:00,4024.0,,2020-08-03T13:00:00Z,,,,,3910.0,114.0,,1393910.0,,,,,,,,,,,22,1099,13371,1393910,1393910,14470,1393910,17,0,185f4b30293eba3d6d2bc4ccdfcd9a53421f2920,0,0,0,0,0,
11,20200802,LA,119747,1259693.0,,1534.0,,,,221.0,,74246.0,A,8/2/2020 13:00,2020-08-02T13:00:00Z,08/02 09:00,4007.0,,2020-08-02T13:00:00Z,,,,,3893.0,114.0,,1379440.0,,,,,,,,,,,22,3467,33730,1379440,1379440,37197,1379440,58,0,0664d2404ccf8b5cd5d7556a2a8e242e7c23f54b,0,0,0,0,0,
12,20200801,LA,116280,1225963.0,,1546.0,,,,222.0,,74246.0,A,7/31/2020 13:00,2020-07-31T13:00:00Z,07/31 09:00,3949.0,,2020-07-31T13:00:00Z,,,,,3835.0,114.0,,1342243.0,,,,,,,,,,,22,0,0,1342243,1342243,0,1342243,0,0,579f54acb12fa01a028afb8ef91771d5b5d6e16a,0,0,0,0,0,
13,20200731,LA,116280,1225963.0,,1546.0,,,,222.0,,74246.0,A,7/31/2020 13:00,2020-07-31T13:00:00Z,07/31 09:00,3949.0,,2020-07-31T13:00:00Z,,,,,3835.0,114.0,,1342243.0,,,,,,,,,,,22,1799,23054,1342243,1342243,24853,1342243,24,0,bf07a314431c2760d6066cd9caef64c67f042055,0,0,0,0,0,
14,20200730,LA,114481,1202909.0,,1524.0,,,,205.0,,74246.0,A,7/30/2020 13:00,2020-07-30T13:00:00Z,07/30 09:00,3925.0,,2020-07-30T13:00:00Z,,,,,3811.0,114.0,,1317390.0,,,,,,,,,,,22,1708,20551,1317390,1317390,22259,1317390,42,0,1e492adc7feb31f8930955582f3b35111a20d677,0,0,0,0,0,
15,20200729,LA,112773,1182358.0,,1544.0,,,,221.0,,74246.0,A,7/29/2020 13:00,2020-07-29T13:00:00Z,07/29 09:00,3883.0,,2020-07-29T13:00:00Z,,,,,3769.0,114.0,,1295131.0,,,,,,,,,,,22,1735,17092,1295131,1295131,18827,1295131,71,0,be31442a5c45d1a61f3664a1e658e602715304a0,0,0,0,0,0,
16,20200728,LA,111038,1165266.0,,1583.0,,,,214.0,,61456.0,A,7/28/2020 13:00,2020-07-28T13:00:00Z,07/28 09:00,3812.0,,2020-07-28T13:00:00Z,,,,,3700.0,112.0,,1276304.0,,,,,,,,,,,22,1121,15161,1276304,1276304,16282,1276304,26,0,4d5b5203b34153f8a1d824a85c75fc5af3d1343a,0,0,0,0,0,
17,20200727,LA,109917,1150105.0,,1600.0,,,,208.0,,61456.0,A,7/27/2020 13:00,2020-07-27T13:00:00Z,07/27 09:00,3786.0,,2020-07-27T13:00:00Z,,,,,3674.0,112.0,,1260022.0,,,,,,,,,,,22,2343,24415,1260022,1260022,26758,1260022,23,0,dd20e2e6566111ec2cf0f36cb9cc9c7a0f5c4cd0,0,0,0,0,0,
18,20200726,LA,107574,1125690.0,,1557.0,,,,184.0,,61456.0,A,7/26/2020 13:00,2020-07-26T13:00:00Z,07/26 09:00,3763.0,,2020-07-26T13:00:00Z,,,,,3651.0,112.0,,1233264.0,,,,,,,,,,,22,3840,29698,1233264,1233264,33538,1233264,48,0,4d1b9e25b1a41e3b58eb7d7c39cd8c1b9326976f,0,0,0,0,0,
19,20200725,LA,103734,1095992.0,,1600.0,,,,197.0,,61456.0,A,7/24/2020 13:00,2020-07-24T13:00:00Z,07/24 09:00,3715.0,,2020-07-24T13:00:00Z,,,,,3603.0,112.0,,1199726.0,,,,,,,,,,,22,0,0,1199726,1199726,0,1199726,0,0,62efa3b31c983c682dd7055615a34386801ceebb,0,0,0,0,0,
