,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,ME,4115,200928,,6.0,399.0,2.0,,1.0,,3604.0,A+,8/13/2020 23:59,2020-08-13T23:59:00Z,08/13 19:59,126.0,399.0,2020-08-13T23:59:00Z,204625.0,5183.0,199219.0,3697.0,125.0,1.0,,,9186.0,450.0,8723.0,,,,,,,,23,26,2733,205043,205043,2759,205043,0,4,baba49e15cf447e85bf58464dbe3cb0860e4b79b,0,0,0,0,0,
1,20200813,ME,4089,198195,,11.0,395.0,5.0,,3.0,,3592.0,A+,8/12/2020 23:59,2020-08-12T23:59:00Z,08/12 19:59,126.0,395.0,2020-08-12T23:59:00Z,201874.0,5165.0,196488.0,3679.0,125.0,1.0,,,9165.0,446.0,8706.0,,,,,,,,23,19,3147,202284,202284,3166,202284,0,1,072d810d337353e878ca9f9e234cfbb9ec091caa,0,0,0,0,0,
2,20200812,ME,4070,195048,,9.0,394.0,4.0,,1.0,,3579.0,A+,8/11/2020 23:59,2020-08-11T23:59:00Z,08/11 19:59,126.0,394.0,2020-08-11T23:59:00Z,198710.0,5138.0,193353.0,3662.0,125.0,1.0,,,9133.0,441.0,8679.0,,,,,,,,23,20,6645,199118,199118,6665,199118,0,0,539256da256c8b5024f656019e03ff77d708f525,0,0,0,0,0,
3,20200811,ME,4050,188403,,9.0,394.0,4.0,,1.0,,3560.0,A+,8/10/2020 23:59,2020-08-10T23:59:00Z,08/10 19:59,126.0,394.0,2020-08-10T23:59:00Z,192047.0,5105.0,186723.0,3644.0,125.0,1.0,,,9117.0,441.0,8663.0,,,,,,,,23,1,1546,192453,192453,1547,192453,1,1,0202a0d02169d5b9a4e632ae457b10c3cbb3db2b,0,0,0,0,0,
4,20200810,ME,4049,186857,,8.0,393.0,3.0,,1.0,,3537.0,A+,8/9/2020 23:59,2020-08-09T23:59:00Z,08/09 19:59,125.0,393.0,2020-08-09T23:59:00Z,190498.0,5093.0,185189.0,3641.0,124.0,1.0,,,9110.0,440.0,8657.0,,,,,,,,23,7,1913,190906,190906,1920,190906,0,0,12c138098d7c928e45178ddccf93ed6a073b3856,0,0,0,0,0,
5,20200809,ME,4042,184944,,9.0,393.0,3.0,,1.0,,3512.0,A+,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,125.0,393.0,2020-08-08T23:59:00Z,188569.0,5076.0,183277.0,3625.0,124.0,1.0,,,9097.0,440.0,8644.0,,,,,,,,23,16,2569,188986,188986,2585,188986,0,0,151dd1c1dff2cdd6250a8d77bb185a7f8b0c4985,0,0,0,0,0,
6,20200808,ME,4026,182375,,9.0,393.0,4.0,,0.0,,3504.0,A+,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,125.0,393.0,2020-08-07T23:59:00Z,185984.0,5053.0,180715.0,3609.0,124.0,1.0,,,9031.0,435.0,8584.0,,,,,,,,23,12,2667,186401,186401,2679,186401,1,0,f2f0b65f6eeed66d0bcf62b3c9d49c144d9ae9de,0,0,0,0,0,
7,20200807,ME,4014,179708,,10.0,393.0,5.0,,1.0,,3479.0,A+,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,124.0,393.0,2020-08-06T23:59:00Z,183307.0,5034.0,178061.0,3599.0,123.0,1.0,,,9016.0,433.0,8571.0,,,,,,,,23,17,2789,183722,183722,2806,183722,0,3,9e820d2114622aee0220783200e633e10f6cd09a,0,0,0,0,0,
8,20200806,ME,3997,176919,,11.0,390.0,3.0,,1.0,,3475.0,A+,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,124.0,390.0,2020-08-05T23:59:00Z,180501.0,5010.0,175279.0,3582.0,123.0,1.0,,,8982.0,430.0,8540.0,,,,,,,,23,5,2666,180916,180916,2671,180916,0,0,9d9090d8f97e9c0e8dce95566594f4a86a6c2805,0,0,0,0,0,
9,20200805,ME,3992,174253,,10.0,390.0,4.0,,1.0,,3456.0,A+,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,124.0,390.0,2020-08-04T23:59:00Z,177821.0,4988.0,172622.0,3568.0,123.0,1.0,,,8952.0,426.0,8514.0,,,,,,,,23,17,2467,178245,178245,2484,178245,1,2,09f1964127280757e663180667caa51016214d34,0,0,0,0,0,
10,20200804,ME,3975,171786,,12.0,388.0,1.0,,1.0,,3424.0,A+,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,123.0,388.0,2020-08-03T23:59:00Z,175334.0,4961.0,170162.0,3548.0,122.0,1.0,,,8930.0,424.0,8494.0,,,,,,,,23,5,1611,175761,175761,1616,175761,-1,-1,8a909ea68609a7a02a575a938076552f1694799a,0,0,0,0,0,
11,20200803,ME,3970,170175,,12.0,389.0,3.0,,1.0,,3396.0,A+,8/2/2020 23:59,2020-08-02T23:59:00Z,08/02 19:59,124.0,389.0,2020-08-02T23:59:00Z,173716.0,4944.0,168562.0,3541.0,122.0,2.0,,,8909.0,419.0,8478.0,,,,,,,,23,12,2059,174145,174145,2071,174145,1,1,9518f77bfc0195a2c8205703de6f90758758fa59,0,0,0,0,0,
12,20200802,ME,3958,168116,,12.0,388.0,4.0,,1.0,,3387.0,A+,8/1/2020 23:59,2020-08-01T23:59:00Z,08/01 19:59,123.0,388.0,2020-08-01T23:59:00Z,171651.0,4932.0,166510.0,3535.0,122.0,1.0,,,8898.0,418.0,8468.0,,,,,,,,23,21,2307,172074,172074,2328,172074,0,0,17ece9f95052685d806faaca3515347ea7608615,0,0,0,0,0,
13,20200801,ME,3937,165809,,10.0,388.0,5.0,,1.0,,3377.0,A+,7/31/2020 23:59,2020-07-31T23:59:00Z,07/31 19:59,123.0,388.0,2020-07-31T23:59:00Z,169325.0,4905.0,164215.0,3516.0,122.0,1.0,,,8854.0,417.0,8425.0,,,,,,,,23,25,2554,169746,169746,2579,169746,0,0,c679ab13cec371a190ebbad07b59d64f9ca78eca,0,0,0,0,0,
