,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,MD,98160,996934,,470.0,13463.0,111.0,,,,5962.0,A,8/13/2020 10:00,2020-08-13T10:00:00Z,08/13 06:00,3620.0,13463.0,2020-08-13T10:00:00Z,1533472.0,115313.0,,98160,3483.0,137.0,,1095094.0,,,,,,,,,,,24,776,15480,1095094,1095094,16256,1095094,8,115,4b6324743418f5b5fc1c72da6c692cedf87d49e4,0,0,0,0,0,
1,20200812,MD,97384,981454,,488.0,13348.0,117.0,,,,5956.0,A,8/12/2020 10:00,2020-08-12T10:00:00Z,08/12 06:00,3612.0,13348.0,2020-08-12T10:00:00Z,1503630.0,114407.0,,97384,3474.0,138.0,,1078838.0,,,,,,,,,,,24,541,10838,1078838,1078838,11379,1078838,8,82,072c8a972920af8dcab207a307bb78d6be5f84e1,0,0,0,0,0,
2,20200811,MD,96843,970616,,529.0,13266.0,121.0,,,,5935.0,A,8/11/2020 10:00,2020-08-11T10:00:00Z,08/11 06:00,3604.0,13266.0,2020-08-11T10:00:00Z,1485615.0,113763.0,,96843,3467.0,137.0,,1067459.0,,,,,,,,,,,24,585,10064,1067459,1067459,10649,1067459,13,19,287bd112aab02373d965f7148ab39648ee4f5d16,0,0,0,0,0,
3,20200810,MD,96258,960552,,534.0,13247.0,119.0,,,,5910.0,A,8/10/2020 10:00,2020-08-10T10:00:00Z,08/10 06:00,3591.0,13247.0,2020-08-10T10:00:00Z,1468470.0,113013.0,,96258,3454.0,137.0,,1056810.0,,,,,,,,,,,24,755,16710,1056810,1056810,17465,1056810,6,70,516fc532b86793a2178c69d8fd5e01cf487929f3,0,0,0,0,0,
4,20200809,MD,95503,943842,,525.0,13177.0,128.0,,,,5910.0,A,8/9/2020 10:00,2020-08-09T10:00:00Z,08/09 06:00,3585.0,13177.0,2020-08-09T10:00:00Z,1438739.0,112072.0,,95503,3448.0,137.0,,1039345.0,,,,,,,,,,,24,922,18900,1039345,1039345,19822,1039345,8,72,9d7f4f3c6c0bcebfbe0dad9efb2e1c364139d65c,0,0,0,0,0,
5,20200808,MD,94581,924942,,515.0,13105.0,127.0,,,,5899.0,A,8/8/2020 10:00,2020-08-08T10:00:00Z,08/08 06:00,3577.0,13105.0,2020-08-08T10:00:00Z,1398266.0,110972.0,,94581,3440.0,137.0,,1019523.0,,,,,,,,,,,24,775,11924,1019523,1019523,12699,1019523,12,58,0379f8056c681dfe95e6936e6de6f2b1a534eecc,0,0,0,0,0,
6,20200807,MD,93806,913018,,528.0,13047.0,135.0,,,,5838.0,A,8/7/2020 10:00,2020-08-07T10:00:00Z,08/07 06:00,3565.0,13047.0,2020-08-07T10:00:00Z,1377459.0,110066.0,,93806,3429.0,136.0,,1006824.0,,,,,,,,,,,24,801,13882,1006824,1006824,14683,1006824,14,69,68e23774276a7715972bc8dc0ea57cafa0f80112,0,0,0,0,0,
7,20200806,MD,93005,899136,,535.0,12978.0,139.0,,,,5790.0,A,8/6/2020 10:00,2020-08-06T10:00:00Z,08/06 06:00,3551.0,12978.0,2020-08-06T10:00:00Z,1348880.0,109142.0,,93005,3415.0,136.0,,992141.0,,,,,,,,,,,24,579,9167,992141,992141,9746,992141,15,56,28228006c1c74e92b13c37ff3b892e08ee567e9b,0,0,0,0,0,
8,20200805,MD,92426,889969,,555.0,12922.0,134.0,,,,5749.0,A,8/5/2020 10:00,2020-08-05T10:00:00Z,08/05 06:00,3536.0,12922.0,2020-08-05T10:00:00Z,1332181.0,108502.0,,92426,3402.0,134.0,,982395.0,,,,,,,,,,,24,572,9477,982395,982395,10049,982395,6,34,c99fb84f7f1ff5ba5e25a2c14fb862e9462b86d5,0,0,0,0,0,
9,20200804,MD,91854,880492,,547.0,12888.0,137.0,,,,5740.0,A,8/4/2020 10:00,2020-08-04T10:00:00Z,08/04 06:00,3530.0,12888.0,2020-08-04T10:00:00Z,1310419.0,107832.0,,91854,3396.0,134.0,,972346.0,,,,,,,,,,,24,710,10999,972346,972346,11709,972346,7,56,7a570fe4893e9eaf2425bdd54b6f78e859af76b6,0,0,0,0,0,
