,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,MA,122319,1267661.0,,401.0,12131.0,61.0,,26.0,,100486.0,A+,8/13/2020 10:00,2020-08-13T10:00:00Z,08/13 06:00,8790.0,12131.0,2020-08-13T10:00:00Z,1821031.0,,,113517.0,8568.0,222.0,,1381178.0,,,,103573.0,,,63165.0,,,,25,319,27560,1389980,1389980,27879,1389980,21,22,45d7d6421ae0c0f9a058514422af3ad36ec72698,0,0,0,0,0,
1,20200812,MA,122000,1240101.0,,422.0,12109.0,64.0,,33.0,,100486.0,A+,8/12/2020 10:00,2020-08-12T10:00:00Z,08/12 06:00,8769.0,12109.0,2020-08-12T10:00:00Z,1781548.0,,,113198.0,8547.0,222.0,,1353299.0,,,,102782.0,,,62738.0,,,,25,293,15464,1362101,1362101,15757,1362101,18,20,7f6598539e43c0172fbf629555aeef89d1b2b0ca,0,0,0,0,0,
2,20200811,MA,121707,1224637.0,,387.0,12089.0,70.0,,33.0,,99021.0,A+,8/11/2020 10:00,2020-08-11T10:00:00Z,08/11 06:00,8751.0,12089.0,2020-08-11T10:00:00Z,1759976.0,,,112969.0,8529.0,222.0,,1337606.0,,,,102208.0,,,,,,,25,392,14676,1346344,1346344,15068,1346344,10,27,15599dbeb0de74976e80f7353aad5a9d3e14c3c3,0,0,0,0,0,
3,20200810,MA,121315,1209961.0,,380.0,12062.0,60.0,,25.0,,99021.0,A+,8/10/2020 10:00,2020-08-10T10:00:00Z,08/10 06:00,8741.0,12062.0,2020-08-10T10:00:00Z,1739378.0,,,112673.0,8519.0,222.0,,1322634.0,,,,101714.0,,,,,,,25,275,11062,1331276,1331276,11337,1331276,6,8,cfa0095fc3e6016abfb2c06ed0c03a81c199d1c8,0,0,0,0,0,
4,20200809,MA,121040,1198899.0,,375.0,12054.0,60.0,,26.0,,99021.0,A+,8/9/2020 10:00,2020-08-09T10:00:00Z,08/09 06:00,8735.0,12054.0,2020-08-09T10:00:00Z,1723320.0,,,112459.0,8514.0,221.0,,1311358.0,,,,101485.0,,,,,,,25,329,16866,1319939,1319939,17195,1319939,14,10,1c448a8251af4ce6a6bec8930f652b098025b139,0,0,0,0,0,
5,20200808,MA,120711,1182033.0,,386.0,12044.0,68.0,,30.0,,99021.0,A+,8/8/2020 10:00,2020-08-08T10:00:00Z,08/08 06:00,8721.0,12044.0,2020-08-08T10:00:00Z,1699442.0,,,112173.0,8500.0,221.0,,1294206.0,,,,101139.0,,,,,,,25,420,16269,1302744,1302744,16689,1302744,12,22,94cae7c60799917f92d5eca3f6c2386650d64aa7,0,0,0,0,0,
6,20200807,MA,120291,1165764.0,,390.0,12022.0,69.0,,30.0,,99021.0,A+,8/7/2020 10:00,2020-08-07T10:00:00Z,08/07 06:00,8709.0,12022.0,2020-08-07T10:00:00Z,1676170.0,,,111853.0,8488.0,221.0,,1277617.0,,,,100383.0,,,,,,,25,417,14420,1286055,1286055,14837,1286055,18,15,514e8afb78ba1fc1f5247ba9347f1c88aa599b02,0,0,0,0,0,
7,20200806,MA,119874,1151344.0,,403.0,12007.0,73.0,,32.0,,99021.0,A+,8/6/2020 10:00,2020-08-06T10:00:00Z,08/06 06:00,8691.0,12007.0,2020-08-06T10:00:00Z,1653792.0,,,111533.0,8470.0,221.0,,1262877.0,,,,99768.0,,,,,,,25,231,11393,1271218,1271218,11624,1271218,32,14,835c2612ec7f998b8315eafc108ad83c1186a78a,0,0,0,0,0,
8,20200805,MA,119643,1139951.0,,396.0,11993.0,57.0,,21.0,,99021.0,A+,8/4/2020 10:00,2020-08-04T10:00:00Z,08/04 06:00,8659.0,11993.0,2020-08-04T10:00:00Z,1636875.0,,,111371.0,8438.0,221.0,,1251322.0,,,,99170.0,,,,,,,25,440,16878,1259594,1259594,17318,1259594,2,20,dae72ea888372edeedd1f859d797840be4e40fbb,0,0,0,0,0,
9,20200804,MA,119203,1123073.0,,354.0,11973.0,56.0,,29.0,,97595.0,A+,8/4/2020 10:00,2020-08-04T10:00:00Z,08/04 06:00,8657.0,11973.0,2020-08-04T10:00:00Z,1611827.0,,,111033.0,8436.0,221.0,,1234106.0,,,,98298.0,,,,,,,25,546,14878,1242276,1242276,15424,1242276,9,31,3a8dda8bf68e34098a4516b752d1ccae67cc320f,0,0,0,0,0,
