,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200719,MI,81868,1402591.0,,680.0,,201.0,,102.0,,55162.0,A+,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,6366.0,,2020-07-19T00:00:00Z,1505204.0,102613.0,1402591.0,73663,6119.0,247,26,530,27851,1484459,1484459,28381,1484459,2,0,4ae4ddbd2b0aec3df77f27b6ff0a827d78a17987,0,0,0,0,0,
1,20200718,MI,81338,1374740.0,,680.0,,201.0,,102.0,,55162.0,A+,7/18/2020 00:00,2020-07-18T00:00:00Z,07/17 20:00,6364.0,,2020-07-18T00:00:00Z,1476385.0,101645.0,1374740.0,73180,6117.0,247,26,745,29827,1456078,1456078,30572,1456078,9,0,5a503c9242f272a6f46887d01d64359adc113ffc,0,0,0,0,0,
2,20200717,MI,80593,1344913.0,,680.0,,201.0,,88.0,,53867.0,A+,7/17/2020 00:00,2020-07-17T00:00:00Z,07/16 20:00,6355.0,,2020-07-17T00:00:00Z,1445361.0,100448.0,1344913.0,72502,6108.0,247,26,754,29598,1425506,1425506,30352,1425506,7,0,57588e3fce742159138e349a7bf4c569de323b03,0,0,0,0,0,
3,20200716,MI,79839,1315315.0,,680.0,,201.0,,107.0,,53867.0,A+,7/16/2020 00:00,2020-07-16T00:00:00Z,07/15 20:00,6348.0,,2020-07-16T00:00:00Z,1414802.0,99487.0,1315315.0,71842,6101.0,247,26,926,26309,1395154,1395154,27235,1395154,18,0,0435477032419d47e2dd119358fb7c59d5c4794d,0,0,0,0,0,
4,20200715,MI,78913,1289006.0,,543.0,,184.0,,107.0,,53867.0,A+,7/15/2020 00:00,2020-07-15T00:00:00Z,07/14 20:00,6330.0,,2020-07-15T00:00:00Z,1387545.0,98539.0,1289006.0,71197,6085.0,245,26,1049,33084,1367919,1367919,34133,1367919,4,0,83a7d12dba2fcb3b4ef05b8b41b1fb3cabb7a3a5,0,0,0,0,0,
5,20200714,MI,77864,1255922.0,,543.0,,184.0,,109.0,,53867.0,A+,7/14/2020 00:00,2020-07-14T00:00:00Z,07/13 20:00,6326.0,,2020-07-14T00:00:00Z,1353182.0,97260.0,1255922.0,70306,6081.0,245,26,666,19693,1333786,1333786,20359,1333786,5,0,f4bf45b924df61ad254907ad3fe6c8977a7c86b0,0,0,0,0,0,
6,20200713,MI,77198,1236229.0,,543.0,,184.0,,113.0,,53867.0,A+,7/13/2020 00:00,2020-07-13T00:00:00Z,07/12 20:00,6321.0,,2020-07-13T00:00:00Z,1332667.0,96438.0,1236229.0,69722,6075.0,246,26,422,16850,1313427,1313427,17272,1313427,7,0,39a16cdd8fd6fc755b6817078346da5cf443a294,0,0,0,0,0,
7,20200712,MI,76776,1219379.0,,505.0,,174.0,,99.0,,53867.0,A+,7/12/2020 00:00,2020-07-12T00:00:00Z,07/11 20:00,6314.0,,2020-07-12T00:00:00Z,1315305.0,95926.0,1219379.0,69338,6068.0,246,26,406,21627,1296155,1296155,22033,1296155,1,0,bf681bca4ada7d40f4e61818391664d74c32a7aa,0,0,0,0,0,
8,20200711,MI,76370,1197752.0,,505.0,,174.0,,99.0,,53867.0,A+,7/11/2020 00:00,2020-07-11T00:00:00Z,07/10 20:00,6313.0,,2020-07-11T00:00:00Z,1292951.0,95199.0,1197752.0,68948,6067.0,246,26,685,26632,1274122,1274122,27317,1274122,28,0,bb5f5c2e8cfb4a779c923a731b0b6113947eb201,0,0,0,0,0,
9,20200710,MI,75685,1171120.0,,505.0,,174.0,,92.0,,52841.0,A+,7/10/2020 00:00,2020-07-10T00:00:00Z,07/09 20:00,6285.0,,2020-07-10T00:00:00Z,1265344.0,94224.0,1171120.0,68295,6039.0,246,26,622,22630,1246805,1246805,23252,1246805,14,0,589a26914078aefffd56486499fd82e0c2716467,0,0,0,0,0,
10,20200709,MI,75063,1148490.0,,505.0,,174.0,,93.0,,52841.0,A+,7/9/2020 00:00,2020-07-09T00:00:00Z,07/08 20:00,6271.0,,2020-07-09T00:00:00Z,1241962.0,93472.0,1148490.0,67683,6024.0,247,26,512,23038,1223553,1223553,23550,1223553,9,0,fb144f5060c7aa86aa539fdb5a3c44698a9ecc97,0,0,0,0,0,
11,20200708,MI,74551,1125452.0,,505.0,,174.0,,93.0,,52841.0,A+,7/8/2020 00:00,2020-07-08T00:00:00Z,07/07 20:00,6262.0,,2020-07-08T00:00:00Z,1218053.0,92601.0,1125452.0,67237,6015.0,247,26,651,22841,1200003,1200003,23492,1200003,11,0,def911c5a164988a4809f08b9f2d2814c960fbd2,0,0,0,0,0,
12,20200707,MI,73900,1102611.0,,505.0,,174.0,,99.0,,52841.0,A+,7/7/2020 00:00,2020-07-07T00:00:00Z,07/06 20:00,6251.0,,2020-07-07T00:00:00Z,1194318.0,91707.0,1102611.0,66627,6005.0,246,26,631,16517,1176511,1176511,17148,1176511,30,0,8196c714ff12ce5de04e4f04bf445b90e472e32b,0,0,0,0,0,
13,20200706,MI,73269,1086094.0,,505.0,,174.0,,92.0,,52841.0,A+,7/6/2020 00:00,2020-07-06T00:00:00Z,07/05 20:00,6221.0,,2020-07-06T00:00:00Z,1177247.0,91153.0,1086094.0,66173,5975.0,246,26,328,12216,1159363,1159363,12544,1159363,3,0,5409ff44083ff924aa4e2d86d0d57406387cd39f,0,0,0,0,0,
14,20200705,MI,72941,1073878.0,,548.0,,193.0,,92.0,,52841.0,A+,7/5/2020 00:00,2020-07-05T00:00:00Z,07/04 20:00,6218.0,,2020-07-05T00:00:00Z,1164666.0,90788.0,1073878.0,65876,5972.0,246,26,360,16305,1146819,1146819,16665,1146819,0,0,d10022fec07d093608c27c4646e47d3ac55ea2dc,0,0,0,0,0,
15,20200704,MI,72581,1057573.0,,548.0,,193.0,,92.0,,52841.0,A+,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,6218.0,,2020-07-04T00:00:00Z,1147836.0,90263.0,1057573.0,65533,5972.0,246,26,406,21483,1130154,1130154,21889,1130154,3,0,a4881b24fbd6e40f64e167ba535e1241f6c72e05,0,0,0,0,0,
16,20200703,MI,72175,1036090.0,,548.0,,193.0,,92.0,,51099.0,A+,7/3/2020 00:00,2020-07-03T00:00:00Z,07/02 20:00,6215.0,,2020-07-03T00:00:00Z,1125738.0,89648.0,1036090.0,65135,5969.0,246,26,497,22631,1108265,1108265,23128,1108265,3,0,dd3a9a71d62e187bfe146058d33ad83338b1e475,0,0,0,0,0,
17,20200702,MI,71678,1013459.0,,548.0,,193.0,,103.0,,51099.0,A+,7/2/2020 00:00,2020-07-02T00:00:00Z,07/01 20:00,6212.0,,2020-07-02T00:00:00Z,1102412.0,88953.0,1013459.0,64675,5966.0,246,26,589,22689,1085137,1085137,23278,1085137,14,0,1bbc8cdec6a8440c4652ce9239797e20f25d1a30,0,0,0,0,0,
18,20200701,MI,71089,990770.0,,471.0,,179.0,,103.0,,51099.0,A+,7/1/2020 00:00,2020-07-01T00:00:00Z,06/30 20:00,6198.0,,2020-07-01T00:00:00Z,1078989.0,88219.0,990770.0,64132,5951.0,247,26,361,16441,1061859,1061859,16802,1061859,5,0,1459eeaeb8d1294b84563730618c1bbca25deeb0,0,0,0,0,0,
19,20200630,MI,70728,974329.0,,471.0,,179.0,,98.0,,51099.0,A+,6/30/2020 00:00,2020-06-30T00:00:00Z,06/29 20:00,6193.0,,2020-06-30T00:00:00Z,1062116.0,87787.0,974329.0,63870,5947.0,246,26,505,15177,1045057,1045057,15682,1045057,32,0,3d97915eac882cd985250d549aef305864a618ac,0,0,0,0,0,
20,20200629,MI,70223,959152.0,,557.0,,193.0,,106.0,,51099.0,A+,6/29/2020 00:00,2020-06-29T00:00:00Z,06/28 20:00,6161.0,,2020-06-29T00:00:00Z,1046545.0,87393.0,959152.0,63497,5915.0,246,26,277,12419,1029375,1029375,12696,1029375,3,0,a38ebbb58c3282a3f31d25aa539aa9c6d7b36097,0,0,0,0,0,
21,20200628,MI,69946,946733.0,,557.0,,193.0,,106.0,,51099.0,A+,6/28/2020 00:00,2020-06-28T00:00:00Z,06/27 20:00,6158.0,,2020-06-28T00:00:00Z,1033820.0,87087.0,946733.0,63261,5912.0,246,26,267,15591,1016679,1016679,15858,1016679,5,0,981d4f886dfbdad782c0dc11990461b3d35d4768,0,0,0,0,0,
22,20200627,MI,69679,931142.0,,557.0,,193.0,,106.0,,51099.0,A+,6/27/2020 00:00,2020-06-27T00:00:00Z,06/26 20:00,6153.0,,2020-06-27T00:00:00Z,1017855.0,86713.0,931142.0,63009,5907.0,246,26,350,18765,1000821,1000821,19115,1000821,19,0,3737fc4daad3ab2a5ddf84cf872b385c1470d777,0,0,0,0,0,
23,20200626,MI,69329,912377.0,,557.0,,193.0,,106.0,,49290.0,A+,6/26/2020 00:00,2020-06-26T00:00:00Z,06/25 20:00,6134.0,,2020-06-26T00:00:00Z,998490.0,86113.0,912377.0,62695,5888.0,246,26,340,18527,981706,981706,18867,981706,1,0,8e7aaa3ee599bdc5df4dbe8ba23ddbafd6121f5c,0,0,0,0,0,
24,20200625,MI,68989,893850.0,,557.0,,193.0,,115.0,,49290.0,A+,6/25/2020 00:00,2020-06-25T00:00:00Z,06/24 20:00,6133.0,,2020-06-25T00:00:00Z,979418.0,85568.0,893850.0,62306,5886.0,247,26,434,17600,962839,962839,18034,962839,19,0,331b31ddaaf36da093a33f117d256693540b425f,0,0,0,0,0,
