,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200723,MN,48721,856594,,282.0,4818.0,107.0,1431.0,,,42524.0,A,7/22/2020 17:00,2020-07-22T17:00:00Z,07/22 13:00,1601.0,4818.0,2020-07-22T17:00:00Z,905315,,,48721.0,1561.0,40.0,27,760,16004,905315,905315,16764,905315,9,47,bac98997cf55c14bf00ff4020666c07a6bb2b0b9,0,0,0,0,0,
1,20200722,MN,47961,840590,,273.0,4771.0,119.0,1423.0,,,42234.0,A,7/21/2020 17:00,2020-07-21T17:00:00Z,07/21 13:00,1592.0,4771.0,2020-07-21T17:00:00Z,888551,,,47961.0,1552.0,40.0,27,504,11188,888551,888551,11692,888551,4,48,0c685d4b682222a736ccee320cf154f29fcf49c2,0,0,0,0,0,
2,20200721,MN,47457,829402,,266.0,4723.0,112.0,1412.0,,,41511.0,A,7/20/2020 17:00,2020-07-20T17:00:00Z,07/20 13:00,1588.0,4723.0,2020-07-20T17:00:00Z,876859,,,47457.0,1548.0,40.0,27,350,9099,876859,876859,9449,876859,3,45,060c6e3cc9a56077dedd011be21f4e8e56edb433,0,0,0,0,0,
3,20200720,MN,47107,820303,,247.0,4678.0,115.0,1397.0,,,40742.0,A,7/19/2020 17:00,2020-07-19T17:00:00Z,07/19 13:00,1585.0,4678.0,2020-07-19T17:00:00Z,867410,,,47107.0,1545.0,40.0,27,903,13319,867410,867410,14222,867410,4,51,ce360206308bf023f8254789f62af5f6bef0e104,0,0,0,0,0,
4,20200719,MN,46204,806984,,258.0,4627.0,120.0,1389.0,,,40001.0,A,7/18/2020 17:00,2020-07-18T17:00:00Z,07/18 13:00,1581.0,4627.0,2020-07-18T17:00:00Z,853188,,,46204.0,1541.0,40.0,27,734,16492,853188,853188,17226,853188,3,25,a08bf3fca6b3262906a5af0ab92a743b4d0b54c1,0,0,0,0,0,
5,20200718,MN,45470,790492,,265.0,4602.0,117.0,1377.0,,,39310.0,A,7/17/2020 17:00,2020-07-17T17:00:00Z,07/17 13:00,1578.0,4602.0,2020-07-17T17:00:00Z,835962,,,45470.0,1538.0,40.0,27,457,15994,835962,835962,16451,835962,5,39,7564fdb7c3019747ac084248bbe0a6bf97b9e9a0,0,0,0,0,0,
6,20200717,MN,45013,774498,,252.0,4563.0,110.0,1369.0,,,38568.0,A,7/16/2020 17:00,2020-07-16T17:00:00Z,07/16 13:00,1573.0,4563.0,2020-07-16T17:00:00Z,819511,,,45013.0,1533.0,40.0,27,666,13633,819511,819511,14299,819511,7,37,930abf842f12dd8db47075601c5aeb48eb318c5c,0,0,0,0,0,
7,20200716,MN,44347,760865,,249.0,4526.0,103.0,1357.0,,,38290.0,A,7/15/2020 17:00,2020-07-15T17:00:00Z,07/15 13:00,1566.0,4526.0,2020-07-15T17:00:00Z,805212,,,44347.0,1526.0,40.0,27,605,14110,805212,805212,14715,805212,8,31,a01ffb4f5e6739d76ddaa3cb3f47c2d372223911,0,0,0,0,0,
8,20200715,MN,43742,746755,,254.0,4495.0,106.0,1353.0,,,38179.0,A,7/14/2020 17:00,2020-07-14T17:00:00Z,07/14 13:00,1558.0,4495.0,2020-07-14T17:00:00Z,790497,,,43742.0,1518.0,40.0,27,572,12311,790497,790497,12883,790497,10,43,99bfc96e883403177f3e16abb1a7e4fe5867062b,0,0,0,0,0,
9,20200714,MN,43170,734444,,236.0,4452.0,107.0,1348.0,,,37749.0,A,7/13/2020 17:00,2020-07-13T17:00:00Z,07/13 13:00,1548.0,4452.0,2020-07-13T17:00:00Z,777614,,,43170.0,1510.0,38.0,27,398,8227,777614,777614,8625,777614,6,28,1a3b611e4a499c8813dc584a95e6258ad75fd842,0,0,0,0,0,
