,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200719,MS,42638,335439.0,,1129.0,3727.0,278.0,,132.0,,25932.0,A,7/17/2020 19:00,2020-07-17T19:00:00Z,07/17 15:00,1355.0,3727.0,2020-07-17T19:00:00Z,376793.0,,,42130.0,1324.0,31.0,28,792,0,378077,378077,792,378077,9,0,789c9971c011dc741209974c151a79d2caac334a,0,0,0,0,0,
1,20200718,MS,41846,335439.0,,1076.0,3727.0,253.0,,129.0,,25932.0,A,7/17/2020 19:00,2020-07-17T19:00:00Z,07/17 15:00,1346.0,3727.0,2020-07-17T19:00:00Z,376793.0,,,41354.0,1316.0,30.0,28,1017,4804,377285,377285,5821,377285,14,15,043f45067cf3d18ab0dadb6fb940b0536399a90c,0,0,0,0,0,
2,20200717,MS,40829,330635.0,,1076.0,3712.0,253.0,,129.0,,25932.0,A,7/16/2020 19:00,2020-07-16T19:00:00Z,07/16 15:00,1332.0,3712.0,2020-07-16T19:00:00Z,370993.0,,,40358.0,1303.0,29.0,28,1032,6532,371464,371464,7564,371464,24,37,21f39ebc78093a86eca9895cf581cf387a50fcaf,0,0,0,0,0,
3,20200716,MS,39797,324103.0,,1117.0,3675.0,247.0,,125.0,,25932.0,A,7/15/2020 19:00,2020-07-15T19:00:00Z,07/15 15:00,1308.0,3675.0,2020-07-15T19:00:00Z,363487.0,,,39384.0,1283.0,25.0,28,1230,5813,363900,363900,7043,363900,18,46,01303c3974ad0efce90729d533d54e71b9835dc6,0,0,0,0,0,
4,20200715,MS,38567,318290.0,,1099.0,3629.0,240.0,,132.0,,25932.0,A,7/14/2020 19:00,2020-07-14T19:00:00Z,07/14 15:00,1290.0,3629.0,2020-07-14T19:00:00Z,356488.0,,,38198.0,1266.0,24.0,28,1025,5619,356857,356857,6644,356857,18,44,a9082984c81e3cee2fc9f7f947449499000118ec,0,0,0,0,0,
5,20200714,MS,37542,312671.0,,1059.0,3585.0,227.0,,126.0,,25932.0,A,7/13/2020 19:00,2020-07-13T19:00:00Z,07/13 15:00,1272.0,3585.0,2020-07-13T19:00:00Z,349869.0,,,37198.0,1249.0,23.0,28,862,5936,350213,350213,6798,350213,22,55,e3424796c0e7ab60967a3d1616c6049e5a803005,0,0,0,0,0,
6,20200713,MS,36680,306735.0,,1020.0,3530.0,208.0,,110.0,,25932.0,A,7/12/2020 19:00,2020-07-12T19:00:00Z,07/12 15:00,1250.0,3530.0,2020-07-12T19:00:00Z,343299.0,,,36564.0,1228.0,22.0,28,393,7811,343415,343415,8204,343415,1,35,04524c7abb4e9911cabce9f3a31e87d9a3ebf8bd,0,0,0,0,0,
7,20200712,MS,36287,298924.0,,963.0,3495.0,202.0,,107.0,,22167.0,A,7/12/2020 00:00,2020-07-12T00:00:00Z,07/11 20:00,1249.0,3495.0,2020-07-12T00:00:00Z,334029.0,,,35961.0,1227.0,22.0,28,868,0,335211,335211,868,335211,19,0,c47e75a20c998f3e6cdce38d859a12f8c43172f2,0,0,0,0,0,
8,20200711,MS,35419,298924.0,,963.0,3495.0,202.0,,107.0,,22167.0,A,7/10/2020 19:00,2020-07-10T19:00:00Z,07/10 15:00,1230.0,3495.0,2020-07-10T19:00:00Z,334029.0,,,35105.0,1208.0,22.0,28,797,3234,334343,334343,4031,334343,15,40,79f36ceefb9ff689eec6b8410a7389d62fdef6cb,0,0,0,0,0,
9,20200710,MS,34622,295690.0,,981.0,3455.0,205.0,,103.0,,22167.0,A,7/9/2020 19:00,2020-07-09T19:00:00Z,07/09 15:00,1215.0,3455.0,2020-07-09T19:00:00Z,330011.0,,,34321.0,1195.0,20.0,28,1031,4477,330312,330312,5508,330312,11,41,a55950a1a4b6b41dce0d006a44d5124907db0ed0,0,0,0,0,0,
10,20200709,MS,33591,291213.0,,941.0,3414.0,187.0,,104.0,,22167.0,A,7/8/2020 19:00,2020-07-08T19:00:00Z,07/08 15:00,1204.0,3414.0,2020-07-08T19:00:00Z,324522.0,,,33309.0,1184.0,20.0,28,703,7782,324804,324804,8485,324804,16,49,842b83b0fb6577723a20c534139dc8a334a2c242,0,0,0,0,0,
11,20200708,MS,32888,283431.0,,883.0,3365.0,190.0,,101.0,,22167.0,A,7/7/2020 19:00,2020-07-07T19:00:00Z,07/07 15:00,1188.0,3365.0,2020-07-07T19:00:00Z,314459.0,,,32620.0,1168.0,20.0,28,674,0,316319,316319,674,316319,30,50,9c91eeae3066d2ffa44df7aa09a911935a4c643c,0,0,0,0,0,
12,20200707,MS,32214,283431.0,,885.0,3315.0,173.0,,95.0,,22167.0,A,7/6/2020 19:00,2020-07-06T19:00:00Z,07/06 15:00,1158.0,3315.0,2020-07-06T19:00:00Z,314459.0,,,31966.0,1139.0,19.0,28,957,0,315645,315645,957,315645,44,35,d8014bd374b7abc7643eaa133622de2a58183d7c,0,0,0,0,0,
