,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,MT,5541,194320,,86.0,319.0,,,,,4011.0,C,8/14/2020 00:00,2020-08-14T00:00:00Z,08/13 20:00,81.0,319.0,2020-08-14T00:00:00Z,199861.0,,,5541.0,,,,,,,,,,,,,,,30,134,1907,199861,199861,2041,199861,0,4,5ef4584eae4aa83078ef6d43b3cd372a8ddca19d,0,0,0,0,0,
1,20200813,MT,5407,192413,,101.0,315.0,,,,,3937.0,C,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,81.0,315.0,2020-08-12T00:00:00Z,197820.0,,,5407.0,,,,,,,,,,,,,,,30,139,1645,197820,197820,1784,197820,1,14,04d308a44a27e2eb828556f897170efef029d72e,0,0,0,0,0,
2,20200812,MT,5268,190768,,97.0,301.0,,,,,3598.0,C,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,80.0,301.0,2020-08-12T00:00:00Z,196036.0,,,5268.0,,,,,,,,,,,,,,,30,164,1460,196036,196036,1624,196036,3,25,fec95a9d94760d02cdb1eabb087455c58f21fc32,0,0,0,0,0,
3,20200811,MT,5104,189308,,77.0,276.0,,,,,3542.0,C,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,77.0,276.0,2020-08-11T00:00:00Z,194412.0,,,5104.0,,,,,,,,,,,,,,,30,87,920,194412,194412,1007,194412,2,3,68ee9dbe16d2808def81df29e58199913a10f728,0,0,0,0,0,
4,20200810,MT,5017,188388,,80.0,273.0,,,,,3413.0,C,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,75.0,273.0,2020-08-10T00:00:00Z,193405.0,,,5017.0,,,,,,,,,,,,,,,30,65,3394,193405,193405,3459,193405,0,1,4a6f1f1af3546b22a2eb0f6dec4885e512a29589,0,0,0,0,0,
5,20200809,MT,4952,184994,,83.0,272.0,,,,,3275.0,C,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,75.0,272.0,2020-08-09T00:00:00Z,189946.0,,,4952.0,,,,,,,,,,,,,,,30,63,1037,189946,189946,1100,189946,0,4,c1bb4e5169775c4d94a5220a0a5117e97beda5bf,0,0,0,0,0,
6,20200808,MT,4889,183957,,81.0,268.0,,,,,3255.0,C,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,75.0,268.0,2020-08-08T00:00:00Z,188846.0,,,4889.0,,,,,,,,,,,,,,,30,132,958,188846,188846,1090,188846,5,4,ca94a280b3982c6c1f5435193a3dac73468c3d9e,0,0,0,0,0,
7,20200807,MT,4757,182999,,84.0,264.0,,,,,3122.0,C,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,70.0,264.0,2020-08-07T00:00:00Z,187756.0,,,4757.0,,,,,,,,,,,,,,,30,155,1786,187756,187756,1941,187756,5,5,4ac8d2112eb4ae7db0b8fcf17addb4257c22381b,0,0,0,0,0,
8,20200806,MT,4602,181213,,87.0,259.0,,,,,2964.0,C,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,65.0,259.0,2020-08-06T00:00:00Z,185815.0,,,4602.0,,,,,,,,,,,,,,,30,173,2518,185815,185815,2691,185815,0,11,9f8736deca538ed8fff15b789b29cece37e8a24a,0,0,0,0,0,
9,20200805,MT,4429,178695,,79.0,248.0,,,,,2820.0,C,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,65.0,248.0,2020-08-05T00:00:00Z,183124.0,,,4429.0,,,,,,,,,,,,,,,30,115,1773,183124,183124,1888,183124,1,10,f2a78ce95aae0087b3679d3d8543888243b9f391,0,0,0,0,0,
