,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,NV,59749,478455,,948.0,,260.0,,166.0,,1423.0,A+,8/14/2020 02:59,2020-08-14T02:59:00Z,08/13 22:59,1045,,2020-08-14T02:59:00Z,735891.0,,,59749.0,,,,538202.0,,,,,,,,,,,32,1099,3961,538204,538204,5060,538204,15,0,a3e62b1e32bc3d91401f3d0336774572ea1669db,0,0,0,0,0,
1,20200813,NV,58650,474494,,982.0,,260.0,,174.0,,1393.0,A+,8/13/2020 02:59,2020-08-13T02:59:00Z,08/12 22:59,1030,,2020-08-13T02:59:00Z,727283.0,,,58650.0,,,,533281.0,,,,,,,,,,,32,602,5007,533144,533144,5609,533144,34,0,a8ef421265327d4b91d275933020d7f065a3646a,0,0,0,0,0,
2,20200812,NV,58048,469487,,998.0,,268.0,,177.0,,1385.0,A+,8/12/2020 02:59,2020-08-12T02:59:00Z,08/11 22:59,996,,2020-08-12T02:59:00Z,717306.0,,,58048.0,,,,527501.0,,,,,,,,,,,32,528,2258,527535,527535,2786,527535,15,0,0fc74e9084cf9b9b45f7df23cccbab2e607bbb43,0,0,0,0,0,
3,20200811,NV,57520,467229,,971.0,,257.0,,171.0,,1361.0,A+,8/11/2020 02:59,2020-08-11T02:59:00Z,08/10 22:59,981,,2020-08-11T02:59:00Z,712619.0,,,57520.0,,,,524812.0,,,,,,,,,,,32,548,2009,524749,524749,2557,524749,18,0,defc5218026c4c81a8cf28b7be6d6817166fe2d0,0,0,0,0,0,
4,20200810,NV,56972,465220,,1014.0,,266.0,,172.0,,1326.0,A+,8/10/2020 13:00,2020-08-10T13:00:00Z,08/10 09:00,963,,2020-08-10T13:00:00Z,708461.0,,,56972.0,,,,522403.0,,,,,,,,,,,32,742,3846,522192,522192,4588,522192,6,0,ae69d1213a1b20bd12aea25230e63563dfcf7145,0,0,0,0,0,
5,20200809,NV,56230,461374,,976.0,,278.0,,173.0,,1297.0,A+,8/9/2020 02:59,2020-08-09T02:59:00Z,08/08 22:59,957,,2020-08-09T02:59:00Z,700212.0,,,56230.0,,,,517740.0,,,,,,,,,,,32,811,3774,517604,517604,4585,517604,8,0,6efaacc412d9a7dc0415e280df9330ea949f0576,0,0,0,0,0,
6,20200808,NV,55419,457600,,976.0,,278.0,,173.0,,1297.0,A+,8/8/2020 02:59,2020-08-08T02:59:00Z,08/07 22:59,949,,2020-08-08T02:59:00Z,691615.0,,,55419.0,,,,513036.0,,,,,,,,,,,32,886,5135,513019,513019,6021,513019,29,0,e7c6029a87a9eac325fb86d54c50f13c7976b750,0,0,0,0,0,
7,20200807,NV,54533,452465,,1035.0,,289.0,,178.0,,1297.0,A+,8/7/2020 02:59,2020-08-07T02:59:00Z,08/06 22:59,920,,2020-08-07T02:59:00Z,679482.0,,,54533.0,,,,506737.0,,,,,,,,,,,32,976,5827,506998,506998,6803,506998,20,0,e3d1e81e1279e4769f16c7abff0c85dadcd7a6de,0,0,0,0,0,
8,20200806,NV,53557,446638,,1117.0,,307.0,,208.0,,1251.0,A+,8/6/2020 02:59,2020-08-06T02:59:00Z,08/05 22:59,900,,2020-08-06T02:59:00Z,666990.0,,,53557.0,,,,499606.0,,,,,,,,,,,32,729,8349,500195,500195,9078,500195,10,0,8dc741aca954bd907645e5cb43fbf6367d0ab94f,0,0,0,0,0,
9,20200805,NV,52828,438289,,1148.0,,320.0,,214.0,,1234.0,A+,8/5/2020 02:59,2020-08-05T02:59:00Z,08/04 22:59,890,,2020-08-05T02:59:00Z,650621.0,,,52828.0,,,,489247.0,,,,,,,,,,,32,649,1381,491117,491117,2030,491117,28,0,3403578fdc97dfb4cd733aa7599bacb6f2e8fbc0,0,0,0,0,0,
