,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200719,NH,6203,137175,,17.0,673.0,,193.0,,,5251.0,B,7/19/2020 09:00,2020-07-19T09:00:00Z,07/19 05:00,398.0,673.0,2020-07-19T09:00:00Z,,,,6203.0,,,33,38,1554,143378,143378,1592,143378,3,3,884cfd8aff94fe3ad9b7c1d5b130fa1dc2b09b1d,0,0,0,0,0,
1,20200718,NH,6165,135621,,24.0,670.0,,192.0,,,5188.0,B,7/17/2020 09:00,2020-07-17T09:00:00Z,07/17 05:00,395.0,670.0,2020-07-17T09:00:00Z,,,,6165.0,,,33,0,0,141786,141786,0,141786,0,0,d21c079d5fdf86135f8fd6780e2bbcd734b71a21,0,0,0,0,0,
2,20200717,NH,6165,135621,,24.0,670.0,,192.0,,,5188.0,B,7/17/2020 09:00,2020-07-17T09:00:00Z,07/17 05:00,395.0,670.0,2020-07-17T09:00:00Z,,,,6165.0,,,33,52,3462,141786,141786,3514,141786,1,2,f323c8041dfc18e0d14d6d140210c40882aab280,0,0,0,0,0,
3,20200716,NH,6113,132159,,24.0,668.0,,192.0,,,5125.0,B,7/15/2020 09:00,2020-07-15T09:00:00Z,07/15 05:00,394.0,668.0,2020-07-15T09:00:00Z,,,,6113.0,,,33,22,1141,138272,138272,1163,138272,2,3,7874ce01aed2ec400c95abe0c550debd7e5bac54,0,0,0,0,0,
4,20200715,NH,6091,131018,,23.0,665.0,,191.0,,,5101.0,B,7/14/2020 09:00,2020-07-14T09:00:00Z,07/14 05:00,392.0,665.0,2020-07-14T09:00:00Z,,,,6091.0,,,33,23,1058,137109,137109,1081,137109,1,76,487d75f27518730b3d4958c3d7820bfcc1dd010f,0,0,0,0,0,
5,20200714,NH,6068,129960,,24.0,589.0,,191.0,,,5056.0,B,7/13/2020 09:00,2020-07-13T09:00:00Z,07/13 05:00,391.0,589.0,2020-07-13T09:00:00Z,,,,6068.0,,,33,14,1148,136028,136028,1162,136028,0,0,4f4f3bad4e2b9270b3a262bcffdacbac78a5acbb,0,0,0,0,0,
6,20200713,NH,6054,128812,,22.0,589.0,,191.0,,,5027.0,B,7/12/2020 09:00,2020-07-12T09:00:00Z,07/12 05:00,391.0,589.0,2020-07-12T09:00:00Z,,,,6054.0,,,33,30,1447,134866,134866,1477,134866,0,0,0aefc96ee6526d42d69c14a3c0e89770c51ec95a,0,0,0,0,0,
7,20200712,NH,6024,127365,,22.0,589.0,,191.0,,,5013.0,B,7/11/2020 09:00,2020-07-11T09:00:00Z,07/11 05:00,391.0,589.0,2020-07-11T09:00:00Z,,,,6024.0,,,33,33,1054,133389,133389,1087,133389,1,4,2afe501cd24d896fde1d8e31b865a5533496b0a0,0,0,0,0,0,
8,20200711,NH,5991,126311,,20.0,585.0,,190.0,,,4897.0,B,7/10/2020 09:00,2020-07-10T09:00:00Z,07/10 05:00,390.0,585.0,2020-07-10T09:00:00Z,,,,5991.0,,,33,18,1233,132302,132302,1251,132302,3,4,5fd9b5ef5c340c3eb1ef1a8c13df5aeecdc5e507,0,0,0,0,0,
9,20200710,NH,5973,125078,,24.0,581.0,,189.0,,,4831.0,B,7/9/2020 09:00,2020-07-09T09:00:00Z,07/09 05:00,387.0,581.0,2020-07-09T09:00:00Z,,,,5973.0,,,33,21,1402,131051,131051,1423,131051,1,3,6f58cdc33188e51a4d0ca8b81bff5e4c88b982f6,0,0,0,0,0,
10,20200709,NH,5952,123676,,22.0,578.0,,164.0,,,4817.0,B,7/8/2020 09:00,2020-07-08T09:00:00Z,07/08 05:00,386.0,578.0,2020-07-08T09:00:00Z,,,,5952.0,,,33,20,1097,129628,129628,1117,129628,2,1,316978948646fcc45cb6daafd3348d4fc6b24351,0,0,0,0,0,
11,20200708,NH,5932,122579,,24.0,577.0,,164.0,,,4758.0,B,7/7/2020 09:00,2020-07-07T09:00:00Z,07/07 05:00,384.0,577.0,2020-07-07T09:00:00Z,,,,5932.0,,,33,18,613,128511,128511,631,128511,2,3,2df9d102a6a5e5f30b9d63a800a7b9f974b35386,0,0,0,0,0,
12,20200707,NH,5914,121966,,25.0,574.0,,163.0,,,4706.0,B,7/6/2020 09:00,2020-07-06T09:00:00Z,07/06 05:00,382.0,574.0,2020-07-06T09:00:00Z,,,,5914.0,,,33,17,2628,127880,127880,2645,127880,1,4,ae9c1ebb83596daf6b27dabbc8a701e35148059c,0,0,0,0,0,
13,20200706,NH,5897,119338,,25.0,570.0,,163.0,,,4684.0,B,7/5/2020 09:00,2020-07-05T09:00:00Z,07/05 05:00,381.0,570.0,2020-07-05T09:00:00Z,,,,5897.0,,,33,40,1446,125235,125235,1486,125235,5,1,167f6e9b312901f785a53514f1ce3c50307d0983,0,0,0,0,0,
14,20200705,NH,5857,117892,,25.0,569.0,,163.0,,,4597.0,B,7/3/2020 09:00,2020-07-03T09:00:00Z,07/03 05:00,376.0,569.0,2020-07-03T09:00:00Z,,,,5857.0,,,33,0,0,123749,123749,0,123749,0,0,41a690b1c4793b5a79b5c545e8b328193b5ee0ba,0,0,0,0,0,
15,20200704,NH,5857,117892,,25.0,569.0,,163.0,,,4597.0,B,7/3/2020 09:00,2020-07-03T09:00:00Z,07/03 05:00,376.0,569.0,2020-07-03T09:00:00Z,,,,5857.0,,,33,35,1527,123749,123749,1562,123749,1,2,68df65b84d1352de2392da462649649b63bb02fa,0,0,0,0,0,
16,20200703,NH,5822,116365,,31.0,567.0,,162.0,,,4508.0,B,7/2/2020 09:00,2020-07-02T09:00:00Z,07/02 05:00,375.0,567.0,2020-07-02T09:00:00Z,,,,5822.0,,,33,20,1860,122187,122187,1880,122187,2,2,8d208cbf18cbf4a3b45f997d98ff2afc8363edfd,0,0,0,0,0,
17,20200702,NH,5802,114505,,32.0,565.0,,162.0,,,4491.0,B,7/1/2020 09:00,2020-07-01T09:00:00Z,07/01 05:00,373.0,565.0,2020-07-01T09:00:00Z,,,,5802.0,,,33,20,1118,120307,120307,1138,120307,2,0,6511fe26dc7153f9b45c25102dc482278d4a1738,0,0,0,0,0,
18,20200701,NH,5782,113387,,37.0,565.0,,162.0,,,4463.0,B,6/30/2020 09:00,2020-06-30T09:00:00Z,06/30 05:00,371.0,565.0,2020-06-30T09:00:00Z,,,,5782.0,,,33,22,849,119169,119169,871,119169,4,0,0563e26b0afa6b58a4d0b494667cd6b9527e2c9c,0,0,0,0,0,
19,20200630,NH,5760,112538,,34.0,565.0,,162.0,,,4435.0,B,6/29/2020 09:00,2020-06-29T09:00:00Z,06/29 05:00,367.0,565.0,2020-06-29T09:00:00Z,,,,5760.0,,,33,0,0,118298,118298,0,118298,0,0,41c0784d49f2e501ce4e4aefe51e93cc1280b537,0,0,0,0,0,
