,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,NJ,187164,2242677.0,,514.0,22161.0,91.0,,40.0,,33206.0,A+,8/14/2020 00:00,2020-08-14T00:00:00Z,08/13 20:00,15903.0,22161.0,2020-08-14T00:00:00Z,,,,187164.0,14064.0,1839.0,,2429841,,,,,,,,,,,34,570,25581,2429841,2429841,26151,2429841,10,36,20a7728951c2067b9aba081a4b1a7172e9d8ef9e,0,0,0,0,0,
1,20200813,NJ,186594,2217096.0,,545.0,22125.0,103.0,,28.0,,33223.0,A+,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,15893.0,22125.0,2020-08-13T00:00:00Z,,,,186594.0,14054.0,1839.0,,2403690,,,,,,,,,,,34,656,27018,2403690,2403690,27674,2403690,8,29,71f52517dd9392ea7e7aa1a277fc2f82cfb5f42a,0,0,0,0,0,
2,20200812,NJ,185938,2190078.0,,592.0,22096.0,111.0,,35.0,,33223.0,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,15885.0,22096.0,2020-08-12T00:00:00Z,,,,185938.0,14046.0,1839.0,,2376016,,,,,,,,,,,34,463,25243,2376016,2376016,25706,2376016,-5,44,0fd1908e2644866f79734fa6b6f0ff5fb6ee0e40,0,0,0,0,0,
3,20200811,NJ,185475,2164835.0,,538.0,22052.0,101.0,,43.0,,33223.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,15890.0,22052.0,2020-08-11T00:00:00Z,,,,185475.0,14037.0,1853.0,,2350310,,,,,,,,,,,34,444,25820,2350310,2350310,26264,2350310,12,60,88699176d2366c141a8a0edb7af15163359f96a6,0,0,0,0,0,
4,20200810,NJ,185031,2139015.0,,545.0,21992.0,83.0,,29.0,,33013.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,15878.0,21992.0,2020-08-10T00:00:00Z,,,,185031.0,14025.0,1853.0,,2324046,,,,,,,,,,,34,258,21936,2324046,2324046,22194,2324046,4,0,4a49b609fc2b1d4603daf97cc50ab8d72d14e23a,0,0,0,0,0,
5,20200809,NJ,184773,2117079.0,,483.0,21992.0,83.0,,31.0,,32977.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,15874.0,21992.0,2020-08-09T00:00:00Z,,,,184773.0,14021.0,1853.0,,2301852,,,,,,,,,,,34,344,48716,2301852,2301852,49060,2301852,5,43,419191d4015131470631193e2af4dd96ca55428e,0,0,0,0,0,
6,20200808,NJ,184429,2068363.0,,540.0,21949.0,94.0,,34.0,,32956.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,15869.0,21949.0,2020-08-08T00:00:00Z,,,,184429.0,14016.0,1853.0,,2252792,,,,,,,,,,,34,368,-368,2252792,2252792,0,2252792,9,0,b1e4ff64e2debf7c1649d798b31ce32111cc9d70,0,0,0,0,0,
7,20200807,NJ,184061,2068731.0,,551.0,21949.0,120.0,,73.0,,32956.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,15860.0,21949.0,2020-08-07T00:00:00Z,,,,184061.0,14007.0,1853.0,,2252792,,,,,,,,,,,34,360,22187,2252792,2252792,22547,2252792,11,384,a217b4ab89858e67f42f665e5cc369cf01705b4e,0,0,0,0,0,
8,20200806,NJ,183701,2046544.0,,754.0,21565.0,129.0,,54.0,,32811.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,15849.0,21565.0,2020-08-06T00:00:00Z,,,,183701.0,13996.0,1853.0,,2230245,,,,,,,,,,,34,374,42853,2230245,2230245,43227,2230245,7,0,44f64fb533606d3b36b1147ed94f5ad64d975aff,0,0,0,0,0,
9,20200805,NJ,183327,2003691.0,,784.0,21565.0,117.0,,47.0,,32749.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,15842.0,21565.0,2020-08-05T00:00:00Z,,,,183327.0,13989.0,1853.0,,2187018,,,,,,,,,,,34,357,21725,2187018,2187018,22082,2187018,7,0,02160659ae6b7301f9236b4481ef783dbeba429f,0,0,0,0,0,
