,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,NY,424167,6477669,,554.0,89995.0,127.0,,59.0,,73997.0,A,8/13/2020 23:59,2020-08-13T23:59:00Z,08/13 19:59,25232.0,89995.0,2020-08-13T23:59:00Z,,,,424167.0,,,,6901836.0,,,,,,,,,,,36,727,84728,6901836,6901836,85455,6901836,4,0,a683888b5fe695bfaf533d7ece1c6c6fecbe28c7,0,0,0,0,0,
1,20200813,NY,423440,6392941,,555.0,89995.0,124.0,,56.0,,73907.0,A,8/12/2020 23:59,2020-08-12T23:59:00Z,08/12 19:59,25228.0,89995.0,2020-08-12T23:59:00Z,,,,423440.0,,,,6816381.0,,,,,,,,,,,36,737,87163,6816381,6816381,87900,6816381,10,0,850a9bda7dc2eeb3e451555c6f0b632ff8161251,0,0,0,0,0,
2,20200812,NY,422703,6305778,,558.0,89995.0,123.0,,62.0,,73842.0,A,8/11/2020 23:59,2020-08-11T23:59:00Z,08/11 19:59,25218.0,89995.0,2020-08-11T23:59:00Z,,,,422703.0,,,,6728481.0,,,,,,,,,,,36,700,87076,6728481,6728481,87776,6728481,7,0,adfd3c58bc44efef1caf8bf02a5fc46a0ab450db,0,0,0,0,0,
3,20200811,NY,422003,6218702,,540.0,89995.0,120.0,,60.0,,73779.0,A,8/10/2020 23:59,2020-08-10T23:59:00Z,08/10 19:59,25211.0,89995.0,2020-08-10T23:59:00Z,,,,422003.0,,,,6640705.0,,,,,,,,,,,36,667,76392,6640705,6640705,77059,6640705,7,0,d06dc698bbd54b548e447d6dc68a3aefc97155cb,0,0,0,0,0,
4,20200810,NY,421336,6142310,,535.0,89995.0,127.0,,62.0,,73736.0,A,8/9/2020 23:59,2020-08-09T23:59:00Z,08/09 19:59,25204.0,89995.0,2020-08-09T23:59:00Z,,,,421336.0,,,,6563646.0,,,,,,,,,,,36,476,53526,6563646,6563646,54002,6563646,2,0,08660d9b76ac11254f79f5db6ba58667fa788327,0,0,0,0,0,
5,20200809,NY,420860,6088784,,548.0,89995.0,131.0,,66.0,,73689.0,A,8/8/2020 23:59,2020-08-08T23:59:00Z,08/08 19:59,25202.0,89995.0,2020-08-08T23:59:00Z,,,,420860.0,,,,6509644.0,,,,,,,,,,,36,515,65297,6509644,6509644,65812,6509644,7,0,41e81b99eb12d9c901e7ef7f621f8adefcfcae08,0,0,0,0,0,
6,20200808,NY,420345,6023487,,573.0,89995.0,133.0,,64.0,,73609.0,A,8/7/2020 23:59,2020-08-07T23:59:00Z,08/07 19:59,25195.0,89995.0,2020-08-07T23:59:00Z,,,,420345.0,,,,6443832.0,,,,,,,,,,,36,703,74154,6443832,6443832,74857,6443832,5,0,2d1e4b57ac5f75623bf6165755571474d755b86a,0,0,0,0,0,
7,20200807,NY,419642,5949333,,579.0,89995.0,139.0,,66.0,,73530.0,A,8/6/2020 23:59,2020-08-06T23:59:00Z,08/06 19:59,25190.0,89995.0,2020-08-06T23:59:00Z,,,,419642.0,,,,6368975.0,,,,,,,,,,,36,714,69456,6368975,6368975,70170,6368975,5,0,fb1249a96aaff41521f0e3911b0cf59083f9e0e3,0,0,0,0,0,
8,20200806,NY,418928,5879877,,570.0,89995.0,132.0,,69.0,,73472.0,A,8/5/2020 23:59,2020-08-05T23:59:00Z,08/05 19:59,25185.0,89995.0,2020-08-05T23:59:00Z,,,,418928.0,,,,6298805.0,,,,,,,,,,,36,703,71667,6298805,6298805,72370,6298805,6,0,9ed6413ba27ef36a56e6f6003d466ce233cb37aa,0,0,0,0,0,
9,20200805,NY,418225,5808210,,564.0,89995.0,134.0,,69.0,,73410.0,A,8/4/2020 23:59,2020-08-04T23:59:00Z,08/04 19:59,25179.0,89995.0,2020-08-04T23:59:00Z,,,,418225.0,,,,6226435.0,,,,,,,,,,,36,636,72032,6226435,6226435,72668,6226435,4,0,2b66a008f211ff33774a055e84a860f6d92a80d4,0,0,0,0,0,
10,20200804,NY,417589,5736178,,568.0,89995.0,139.0,,69.0,,73326.0,A,8/3/2020 23:59,2020-08-03T23:59:00Z,08/03 19:59,25175.0,89995.0,2020-08-03T23:59:00Z,,,,417589.0,,,,6153767.0,,,,,,,,,,,36,746,70247,6153767,6153767,70993,6153767,3,0,5336cae21413dc569e00201443f2d86aaad2f6db,0,0,0,0,0,
11,20200803,NY,416843,5665931,,536.0,89995.0,136.0,,62.0,,73279.0,A,8/2/2020 23:59,2020-08-02T23:59:00Z,08/02 19:59,25172.0,89995.0,2020-08-02T23:59:00Z,,,,416843.0,,,,6082774.0,,,,,,,,,,,36,545,51294,6082774,6082774,51839,6082774,2,0,fd94c05414c4a7fa0c06b1cd688129774f52a85d,0,0,0,0,0,
12,20200802,NY,416298,5614637,,556.0,89995.0,143.0,,71.0,,73222.0,A,8/1/2020 23:59,2020-08-01T23:59:00Z,08/01 19:59,25170.0,89995.0,2020-08-01T23:59:00Z,,,,416298.0,,,,6030935.0,,,,,,,,,,,36,531,58430,6030935,6030935,58961,6030935,6,0,a91deb4c6beb86ca34318acb25aa79c261b43e48,0,0,0,0,0,
