,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,NC,142170,1735232.0,,1049.0,,308.0,,,,116969.0,A+,8/14/2020 11:50,2020-08-14T11:50:00Z,08/14 07:50,2313.0,,2020-08-14T11:50:00Z,1877402.0,,,142170.0,2313.0,,,,,,,,,,,,,,37,1346,25367,1877402,1877402,26713,1877402,26,0,ceb1025216bca76a5269a1356c0b208968edfa2b,0,0,0,0,0,
1,20200813,NC,140824,1709865.0,,1070.0,,313.0,,,,116969.0,A+,8/13/2020 12:10,2020-08-13T12:10:00Z,08/13 08:10,2287.0,,2020-08-13T12:10:00Z,1850689.0,,,140824.0,2287.0,,,,,,,,,,,,,,37,1763,25643,1850689,1850689,27406,1850689,38,0,d60941b3c8cf7d27ca65e5d903046781066040c2,0,0,0,0,0,
2,20200812,NC,139061,1684222.0,,1062.0,,311.0,,,,116969.0,A+,8/12/2020 14:15,2020-08-12T14:15:00Z,08/12 10:15,2249.0,,2020-08-12T14:15:00Z,1823283.0,,,139061.0,2249.0,,,,,,,,,,,,,,37,1166,-195381,1823283,1823283,-194215,1823283,45,0,85e1728d820ddbb5433e9fd876391ea6df1d12a6,0,0,0,0,0,
3,20200811,NC,137895,1879603.0,,1122.0,,329.0,,,,116969.0,A+,8/11/2020 15:40,2020-08-11T15:40:00Z,08/11 11:40,2204.0,,2020-08-11T15:40:00Z,2017498.0,,,137895.0,2204.0,,,,,,,,,,,,,,37,1051,14528,2017498,2017498,15579,2017498,32,0,3e47378e9cacf3f4a689745bf24dfd0fdbb1b49e,0,0,0,0,0,
4,20200810,NC,136844,1865075.0,,1111.0,,317.0,,,,105093.0,A+,8/10/2020 14:20,2020-08-10T14:20:00Z,08/10 10:20,2172.0,,2020-08-10T14:20:00Z,2001919.0,,,136844.0,2172.0,,,,,,,,,,,,,,37,626,14745,2001919,2001919,15371,2001919,4,0,24a012cde52a5b05a3ca2fb404ae8fbe7c49cd9f,0,0,0,0,0,
5,20200809,NC,136218,1850330.0,,1109.0,,315.0,,,,105093.0,A+,8/9/2020 11:55,2020-08-09T11:55:00Z,08/09 07:55,2168.0,,2020-08-09T11:55:00Z,1986548.0,,,136218.0,2168.0,,,,,,,,,,,,,,37,1452,15330,1986548,1986548,16782,1986548,8,0,5b3e0ede804fdb5f0ba0b189987bb300dc75cc2b,0,0,0,0,0,
6,20200808,NC,134766,1835000.0,,1129.0,,335.0,,,,105093.0,A+,8/8/2020 12:10,2020-08-08T12:10:00Z,08/08 08:10,2160.0,,2020-08-08T12:10:00Z,1969766.0,,,134766.0,2160.0,,,,,,,,,,,,,,37,1954,28000,1969766,1969766,29954,1969766,26,0,0b7c96e41ada4cde5dfce678786fad5f41ea56fc,0,0,0,0,0,
7,20200807,NC,132812,1807000.0,,1123.0,,339.0,,,,105093.0,A+,8/7/2020 12:00,2020-08-07T12:00:00Z,08/07 08:00,2134.0,,2020-08-07T12:00:00Z,1939812.0,,,132812.0,2134.0,,,,,,,,,,,,,,37,1545,33517,1939812,1939812,35062,1939812,42,0,43322be0edd91d638e67f4bc500b2c0d8e029979,0,0,0,0,0,
8,20200806,NC,131267,1773483.0,,1147.0,,333.0,,,,105093.0,A+,8/6/2020 12:00,2020-08-06T12:00:00Z,08/06 08:00,2092.0,,2020-08-06T12:00:00Z,1904750.0,,,131267.0,2092.0,,,,,,,,,,,,,,37,1979,29103,1904750,1904750,31082,1904750,42,0,153f3feb30e41bad1e3c876b0cbb5d5b76b02de0,0,0,0,0,0,
9,20200805,NC,129288,1744380.0,,1167.0,,346.0,,,,105093.0,A+,8/5/2020 12:00,2020-08-05T12:00:00Z,08/05 08:00,2050.0,,2020-08-05T12:00:00Z,1873668.0,,,129288.0,2050.0,,,,,,,,,,,,,,37,1127,18515,1873668,1873668,19642,1873668,40,0,3bea4e4e647b00e746dff0771db47737bd3d8023,0,0,0,0,0,
