,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200812,ND,7970,165049,,58.0,440.0,,,,,6815.0,,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,104.0,440.0,2020-08-12T00:00:00Z,372813.0,,,7970.0,100.0,4.0,38,85,1076,173019,173019,1161,173019,2,10,59250299fc2a9ff8a967a99ec1a56fcfe3580740,0,0,0,0,0,
1,20200811,ND,7885,163973,,55.0,430.0,,,,,6668.0,C,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,102.0,430.0,2020-08-11T00:00:00Z,368487.0,,,7885.0,98.0,4.0,38,172,1847,171858,171858,2019,171858,1,13,fb1d6b8e414567d16a44478c5f72cf051b9654c5,0,0,0,0,0,
2,20200810,ND,7713,162126,,48.0,417.0,,,,,6434.0,C,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,101.0,417.0,2020-08-10T00:00:00Z,362730.0,,,7713.0,97.0,4.0,38,117,1050,169839,169839,1167,169839,3,2,d864fe5e72b29cc93456d6572951bd42e36d8299,0,0,0,0,0,
3,20200809,ND,7596,161076,,47.0,415.0,,,,,6355.0,C,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,98.0,415.0,2020-08-09T00:00:00Z,358142.0,,,7596.0,94.0,4.0,38,88,1217,168672,168672,1305,168672,0,1,7aea1e59647e9efc2a434269ae7a200afda3c4be,0,0,0,0,0,
4,20200808,ND,7508,159859,,49.0,414.0,,,,,6268.0,C,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,98.0,414.0,2020-08-08T00:00:00Z,352480.0,,,7508.0,94.0,4.0,38,181,1485,167367,167367,1666,167367,0,6,0d3b3fc9926f9894efa2a5b542d6c93571772782,0,0,0,0,0,
5,20200807,ND,7327,158374,,48.0,408.0,,,,,6164.0,C,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,98.0,408.0,2020-08-07T00:00:00Z,346437.0,,,7327.0,94.0,4.0,38,150,1832,165701,165701,1982,165701,0,8,73e80ce4d67970ea14c7a4d6ad1d453d57bddc44,0,0,0,0,0,
6,20200806,ND,7177,156542,,46.0,400.0,,,,,5949.0,C,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,98.0,400.0,2020-08-06T00:00:00Z,341001.0,,,7177.0,94.0,4.0,38,120,1585,163719,163719,1705,163719,2,6,9389fff0bffa30d33baace10b2e957e097c54169,0,0,0,0,0,
7,20200805,ND,7057,154957,,42.0,394.0,,,,,5837.0,C,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,96.0,394.0,2020-08-05T00:00:00Z,335542.0,,,7057.0,92.0,4.0,38,124,1420,162014,162014,1544,162014,0,5,4600639249250be1b8aed8feaeeefa928dda7e85,0,0,0,0,0,
8,20200804,ND,6933,153537,,51.0,389.0,,,,,5715.0,C,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,96.0,389.0,2020-08-04T00:00:00Z,329812.0,,,6933.0,92.0,4.0,38,148,1571,160470,160470,1719,160470,1,10,45b60aa4a406f0dd8cd77387eb1446475f617d37,0,0,0,0,0,
9,20200803,ND,6785,151966,,46.0,379.0,,,,,5590.0,C,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,95.0,379.0,2020-08-03T00:00:00Z,324901.0,,,6785.0,91.0,4.0,38,183,2383,158751,158751,2566,158751,0,8,ca175bba1ce2d45151af82cab736dbe6560a055e,0,0,0,0,0,
