,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200711,OH,64214,918821,,928.0,8770.0,299.0,2169.0,155.0,,44101.0,B,7/11/2020 14:00,2020-07-11T14:00:00Z,07/11 10:00,3036.0,8770.0,2020-07-11T14:00:00Z,,,,60328,2780.0,256.0,39,1358,22124,983035,983035,23482,983035,4,69,0935f83f9e58eed8a18a6a18ee71294cd5885572,0,0,0,0,0,
1,20200710,OH,62856,896697,,928.0,8701.0,289.0,2161.0,151.0,,43435.0,B,7/10/2020 14:00,2020-07-10T14:00:00Z,07/10 10:00,3032.0,8701.0,2020-07-10T14:00:00Z,,,,59000,2776.0,256.0,39,1525,41626,959553,959553,43151,959553,26,131,3ffa12ed4c79b329d98caf56c7a7f5a2cc2f515c,0,0,0,0,0,
2,20200709,OH,61331,855071,,890.0,8570.0,289.0,2146.0,155.0,,42111.0,B,7/9/2020 14:00,2020-07-09T14:00:00Z,07/09 10:00,3006.0,8570.0,2020-07-09T14:00:00Z,,,,57506,2749.0,257.0,39,1150,0,916402,916402,1150,916402,15,81,e0b40ff2a6c00eec78bfc568c72b0d93ac77456f,0,0,0,0,0,
3,20200708,OH,60181,855071,,890.0,8489.0,289.0,2127.0,155.0,,42111.0,B,7/8/2020 14:00,2020-07-08T14:00:00Z,07/08 10:00,2991.0,8489.0,2020-07-08T14:00:00Z,,,,56384,2737.0,254.0,39,1277,17490,915252,915252,18767,915252,21,106,3d6f75a371b91d94e07fcac1b82070bdcf5c491d,0,0,0,0,0,
4,20200707,OH,58904,837581,,849.0,8383.0,289.0,2101.0,140.0,,41438.0,B,7/7/2020 14:00,2020-07-07T14:00:00Z,07/07 10:00,2970.0,8383.0,2020-07-07T14:00:00Z,,,,55150,2718.0,252.0,39,948,14125,896485,896485,15073,896485,43,134,7b7dab664050ad22a65dd54fb4ff337a732be621,0,0,0,0,0,
5,20200706,OH,57956,823456,,837.0,8249.0,267.0,2077.0,140.0,,40813.0,B,7/6/2020 14:00,2020-07-06T14:00:00Z,07/06 10:00,2927.0,8249.0,2020-07-06T14:00:00Z,,,,54232,2677.0,250.0,39,805,11845,881412,881412,12650,881412,16,77,8a351a4abf8151327228de5e8c31d71fed0e5af5,0,0,0,0,0,
6,20200705,OH,57151,811611,,693.0,8172.0,236.0,2058.0,119.0,,40460.0,B,7/5/2020 14:00,2020-07-05T14:00:00Z,07/05 10:00,2911.0,8172.0,2020-07-05T14:00:00Z,,,,53458,2661.0,250.0,39,968,19424,868762,868762,20392,868762,4,61,3faf53436b756b50cd4bdb598cd05aabcefbf3bb,0,0,0,0,0,
7,20200704,OH,56183,792187,,691.0,8111.0,226.0,2052.0,111.0,,39903.0,B,7/4/2020 14:00,2020-07-04T14:00:00Z,07/04 10:00,2907.0,8111.0,2020-07-04T14:00:00Z,,,,52488,2657.0,250.0,39,926,19287,848370,848370,20213,848370,4,27,28dbc7f0360965a3cb48af5fa1e220b097bf920a,0,0,0,0,0,
8,20200703,OH,55257,772900,,740.0,8084.0,233.0,2044.0,100.0,,39423.0,B,7/3/2020 14:00,2020-07-03T14:00:00Z,07/03 10:00,2903.0,8084.0,2020-07-03T14:00:00Z,,,,51581,2653.0,250.0,39,2392,33760,828157,828157,36152,828157,27,173,61a9327007d89a1f4299aa501c636c18b7d01d53,0,0,0,0,0,
9,20200702,OH,52865,739140,,724.0,7911.0,244.0,2008.0,116.0,,38987.0,B,7/1/2020 14:00,2020-07-01T14:00:00Z,07/01 10:00,2876.0,7911.0,2020-07-01T14:00:00Z,,,,49263,2626.0,250.0,39,0,0,792005,792005,0,792005,0,0,385eaabf42c259ef5c4ad0a4d27af250370e3902,0,0,0,0,0,
