,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,OK,46897,696345.0,,567.0,3953.0,240.0,,,,39282.0,A+,8/14/2020 00:00,2020-08-14T00:00:00Z,08/13 20:00,644.0,3953.0,2020-08-14T00:00:00Z,751437.0,53700.0,696345.0,46897.0,,,,,65475.0,2649.0,62826.0,,,,,,,,40,794,11176,743242,743242,11970,743242,6,52,cc7774a7c34447fb5ebbd6f732ccd3553b8b6107,0,0,0,0,0,
1,20200813,OK,46103,685169.0,,600.0,3901.0,253.0,,,,38655.0,A+,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,638.0,3901.0,2020-08-13T00:00:00Z,739287.0,52741.0,685169.0,46103.0,,,,,62502.0,2446.0,60056.0,,,,,,,,40,705,8460,731272,731272,9165,731272,11,59,ce30d0155c19c900bac07296dca198d31d314729,0,0,0,0,0,
2,20200812,OK,45398,676709.0,,519.0,3842.0,216.0,,,,37988.0,A+,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,627.0,3842.0,2020-08-12T00:00:00Z,729940.0,51862.0,676709.0,45398.0,,,,,62502.0,2446.0,60056.0,,,,,,,,40,670,7202,722107,722107,7872,722107,9,82,234ba2c1083728f53181b5a84c96d417fb0ff2c1,0,0,0,0,0,
3,20200811,OK,44728,669507.0,,530.0,3760.0,218.0,,,,37193.0,A+,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,618.0,3760.0,2020-08-11T00:00:00Z,722098.0,51238.0,669507.0,44728.0,,,,,62502.0,2446.0,60056.0,,,,,,,,40,765,19022,714235,714235,19787,714235,13,135,f12244a4c6bd2aa5d64653f7a9d3446cb36c3f0b,0,0,0,0,0,
4,20200810,OK,43963,650485.0,,594.0,3625.0,223.0,,,,36378.0,A+,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,605.0,3625.0,2020-08-10T00:00:00Z,700981.0,49186.0,650485.0,43963.0,,,,,62502.0,2446.0,60056.0,,,,,,,,40,397,0,694448,694448,397,694448,2,20,f2b7bc5b56328de8bb4a8e61d053c53a97ba0fe2,0,0,0,0,0,
5,20200809,OK,43566,650485.0,,594.0,3605.0,223.0,,,,36052.0,A+,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,603.0,3605.0,2020-08-09T00:00:00Z,700981.0,49186.0,650485.0,43566.0,,,,,62502.0,2446.0,60056.0,,,,,,,,40,486,0,694051,694051,486,694051,0,11,d88ad4c862fe62d1b860a8e32a714de338606d22,0,0,0,0,0,
6,20200808,OK,43080,650485.0,,594.0,3594.0,223.0,,,,35745.0,A+,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,603.0,3594.0,2020-08-08T00:00:00Z,700981.0,49186.0,650485.0,43080.0,,,,,62502.0,2446.0,60056.0,,,,,,,,40,825,6925,693565,693565,7750,693565,3,39,2ef585afa8d452e0eaca1e8a365fa13ceecc1757,0,0,0,0,0,
7,20200807,OK,42255,643560.0,,561.0,3555.0,216.0,,,,35001.0,A+,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,600.0,3555.0,2020-08-07T00:00:00Z,693309.0,48461.0,643560.0,42255.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,854,10308,685815,685815,11162,685815,7,58,e530022924b7b137ca9a74fba57763f156924b5b,0,0,0,0,0,
8,20200806,OK,41401,633252.0,,643.0,3497.0,216.0,,,,34320.0,A+,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,593.0,3497.0,2020-08-06T00:00:00Z,681848.0,47329.0,633252.0,41401.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,837,9086,674653,674653,9923,674653,10,52,75ce0382832eb328a55dc891f6e3a6c1f57caca2,0,0,0,0,0,
9,20200805,OK,40564,624166.0,,645.0,3445.0,207.0,,,,33383.0,A+,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,583.0,3445.0,2020-08-05T00:00:00Z,671712.0,46281.0,624166.0,40564.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,1101,6353,664730,664730,7454,664730,17,70,d52d2accc5e600f895792fbf808567acd54981da,0,0,0,0,0,
10,20200804,OK,39463,617813.0,,504.0,3375.0,232.0,,,,32319.0,A+,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,566.0,3375.0,2020-08-04T00:00:00Z,664579.0,45521.0,617813.0,39463.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,861,18352,657276,657276,19213,657276,15,100,fd38dbf0415fc76d838af475267ea2174faabbbd,0,0,0,0,0,
11,20200803,OK,38602,599461.0,,628.0,3275.0,258.0,,,,31165.0,A+,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,551.0,3275.0,2020-08-03T00:00:00Z,644042.0,43360.0,599461.0,38602.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,377,0,638063,638063,377,638063,1,34,abe98e0c84156923c529e9f218186c51354aae4a,0,0,0,0,0,
12,20200802,OK,38225,599461.0,,628.0,3241.0,258.0,,,,30820.0,A+,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,550.0,3241.0,2020-08-02T00:00:00Z,644042.0,43360.0,599461.0,38225.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,494,0,637686,637686,494,637686,1,13,01e0b7e4dc2567aecf6fdd357912b34985151f25,0,0,0,0,0,
13,20200801,OK,37731,599461.0,,628.0,3228.0,258.0,,,,30282.0,A+,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,549.0,3228.0,2020-08-01T00:00:00Z,644042.0,43360.0,599461.0,37731.0,,,,,60293.0,2272.0,58021.0,,,,,,,,40,1244,10370,637192,637192,11614,637192,8,67,ad3bfef0738cc7fae8a16d91c6b9a11331cd3d70,0,0,0,0,0,
14,20200731,OK,36487,589091.0,,621.0,3161.0,253.0,,,,29187.0,A+,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,541.0,3161.0,2020-07-31T00:00:00Z,632535.0,42245.0,589091.0,36487.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,747,9815,625578,625578,10562,625578,5,57,3b08de6efb545d409faf33194ca4c959abe97415,0,0,0,0,0,
15,20200730,OK,35740,579276.0,,647.0,3104.0,244.0,,,,28411.0,A+,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,536.0,3104.0,2020-07-30T00:00:00Z,621633.0,41179.0,579276.0,35740.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,1117,7386,615016,615016,8503,615016,13,63,b93fbb49d5045592c4a15eef65f5c790d3c7896a,0,0,0,0,0,
16,20200729,OK,34623,571890.0,,663.0,3041.0,228.0,,,,27386.0,A+,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,523.0,3041.0,2020-07-29T00:00:00Z,613202.0,40163.0,571890.0,34623.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,848,16539,606513,606513,17387,606513,14,54,3a39cba22d504a15065e5c22f01a9117e9de2977,0,0,0,0,0,
17,20200728,OK,33775,555351.0,,596.0,2987.0,207.0,,,,26363.0,A+,7/28/2020 00:00,2020-07-28T00:00:00Z,07/27 20:00,509.0,2987.0,2020-07-28T00:00:00Z,595277.0,38785.0,555351.0,33775.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,1089,19723,589126,589126,20812,589126,13,115,48244d38937a34a4c78ccb7246f87d775c92b6a7,0,0,0,0,0,
18,20200727,OK,32686,535628.0,,625.0,2872.0,225.0,,,,25252.0,A+,7/27/2020 00:00,2020-07-27T00:00:00Z,07/26 20:00,496.0,2872.0,2020-07-27T00:00:00Z,573185.0,36489.0,535628.0,32686.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,1401,0,568314,568314,1401,568314,0,37,b03069cd16510c6571e8c122e68aa1c89008bd29,0,0,0,0,0,
19,20200726,OK,31285,535628.0,,625.0,2835.0,225.0,,,,24698.0,A+,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,496.0,2835.0,2020-07-26T00:00:00Z,573185.0,36489.0,535628.0,31285.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,1204,0,566913,566913,1204,566913,0,67,a803daad639c870dea1e88ea78e9b6fa0b7a92d1,0,0,0,0,0,
20,20200725,OK,30081,535628.0,,625.0,2768.0,225.0,,,,24053.0,A+,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,496.0,2768.0,2020-07-25T00:00:00Z,573185.0,36489.0,535628.0,30081.0,,,,,57683.0,2071.0,55612.0,,,,,,,,40,965,41702,565709,565709,42667,565709,12,81,49adf8b246a7663791c7578f4f5d54eeb25b59f4,0,0,0,0,0,
21,20200724,OK,29116,493926.0,,628.0,2687.0,260.0,,,,23277.0,A+,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,484.0,2687.0,2020-07-24T00:00:00Z,527895.0,32927.0,493926.0,29116.0,,,,,55185.0,1854.0,53331.0,,,,,,,,40,1147,8720,523042,523042,9867,523042,7,91,0bba0cef29ad47406e6094fc7b5940698ec44643,0,0,0,0,0,
22,20200723,OK,27969,485206.0,,607.0,2596.0,255.0,,,,22441.0,A+,7/23/2020 00:00,2020-07-23T00:00:00Z,07/22 20:00,477.0,2596.0,2020-07-23T00:00:00Z,518134.0,31903.0,485206.0,27969.0,,,,,55185.0,1854.0,53331.0,,,,,,,,40,668,6909,513175,513175,7577,513175,3,56,1eb461d464aca066ee2d8dd83fdc896e285833ea,0,0,0,0,0,
23,20200722,OK,27301,478297.0,,630.0,2540.0,257.0,,,,21596.0,A+,7/22/2020 00:00,2020-07-22T00:00:00Z,07/21 20:00,474.0,2540.0,2020-07-22T00:00:00Z,510359.0,31051.0,478297.0,27301.0,,,,,55185.0,1854.0,53331.0,,,,,,,,40,975,6240,505598,505598,7215,505598,13,137,ba48002d7eee531b7ce7d637162411f1c0e93282,0,0,0,0,0,
24,20200721,OK,26326,472057.0,,613.0,2403.0,248.0,,,,20663.0,A+,7/21/2020 00:00,2020-07-21T00:00:00Z,07/20 20:00,461.0,2403.0,2020-07-21T00:00:00Z,503326.0,30273.0,472057.0,26326.0,,,,,55185.0,1854.0,53331.0,,,,,,,,40,893,21382,498383,498383,22275,498383,9,0,e313f7e96f88e541dc9cee6778026977290fedc3,0,0,0,0,0,
25,20200720,OK,25433,450675.0,,604.0,2403.0,232.0,,,,19750.0,A+,7/20/2020 00:00,2020-07-20T00:00:00Z,07/19 20:00,452.0,2403.0,2020-07-20T00:00:00Z,479547.0,27903.0,450675.0,25433.0,,,,,55185.0,1854.0,53331.0,,,,,,,,40,168,0,476108,476108,168,476108,1,15,bde85c2a3d4ce90ced4c6d5e7cd6ed6a0000ad83,0,0,0,0,0,
26,20200719,OK,25265,450675.0,,547.0,2388.0,232.0,,,,19466.0,A+,7/19/2020 00:00,2020-07-19T00:00:00Z,07/18 20:00,451.0,2388.0,2020-07-19T00:00:00Z,479547.0,27903.0,450675.0,25265.0,,,,,55185.0,1854.0,53331.0,,,,,,,,40,209,0,475940,475940,209,475940,0,13,4759b0f9ded9e07c37e674e7bd00bb77e18db03f,0,0,0,0,0,
