,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200630,PR,7465,,,102.0,,9.0,,2.0,,,C,6/30/2020 06:30,2020-06-30T06:30:00Z,06/30 02:30,153.0,,2020-06-30T06:30:00Z,61515.0,,,1693.0,72,215,0,7465,7465,215,7465,0,0,dbcf12e74c73ddddc13689c4177840c386c8299e,0,0,0,0,0,
1,20200629,PR,7250,,,104.0,,8.0,,1.0,,,C,6/29/2020 06:30,2020-06-29T06:30:00Z,06/29 02:30,153.0,,2020-06-29T06:30:00Z,61515.0,,,1638.0,72,61,0,7250,7250,61,7250,0,0,c7a445a1cedf9d0ba21a8ab85d45c21a0e77770b,0,0,0,0,0,
2,20200628,PR,7189,,,99.0,,8.0,,5.0,,,C,6/28/2020 06:30,2020-06-28T06:30:00Z,06/28 02:30,153.0,,2020-06-28T06:30:00Z,61515.0,,,1624.0,72,123,0,7189,7189,123,7189,1,0,695b521050fc385d062b36af17b168b18d3dc4c1,0,0,0,0,0,
3,20200627,PR,7066,,,105.0,,10.0,,5.0,,,C,6/27/2020 06:30,2020-06-27T06:30:00Z,06/27 02:30,152.0,,2020-06-27T06:30:00Z,61515.0,,,1602.0,72,144,0,7066,7066,144,7066,1,0,db4d23985206414339e7ad1a1715b3ebcde5fe8e,0,0,0,0,0,
4,20200626,PR,6922,,,89.0,,9.0,,7.0,,,C,6/26/2020 06:30,2020-06-26T06:30:00Z,06/26 02:30,151.0,,2020-06-26T06:30:00Z,61515.0,,,1583.0,72,45,0,6922,6922,45,6922,0,0,db4e36cb4fcc4730dc7b514d6234b00eb54a80d3,0,0,0,0,0,
5,20200625,PR,6877,,,85.0,,12.0,,4.0,,,C,6/25/2020 06:30,2020-06-25T06:30:00Z,06/25 02:30,151.0,,2020-06-25T06:30:00Z,61515.0,,,1579.0,72,57,0,6877,6877,57,6877,2,0,2b44ef7c176bf4051de51e394081482d6eded5bf,0,0,0,0,0,
6,20200624,PR,6820,,,80.0,,9.0,,2.0,,,C,6/24/2020 06:30,2020-06-24T06:30:00Z,06/24 02:30,149.0,,2020-06-24T06:30:00Z,61515.0,,,1577.0,72,135,0,6820,6820,135,6820,0,0,df5a426cd81b2994da3d96b48b545d1a6c0d9eef,0,0,0,0,0,
7,20200623,PR,6685,,,77.0,,9.0,,2.0,,,C,6/23/2020 06:30,2020-06-23T06:30:00Z,06/23 02:30,149.0,,2020-06-23T06:30:00Z,61515.0,,,1550.0,72,121,0,6685,6685,121,6685,0,0,f432b6c258a82229b6f84c2dbb372acbc2de8cd3,0,0,0,0,0,
8,20200622,PR,6564,,,70.0,,10.0,,3.0,,,C,6/22/2020 06:30,2020-06-22T06:30:00Z,06/22 02:30,149.0,,2020-06-22T06:30:00Z,61515.0,,,1540.0,72,39,0,6564,6564,39,6564,0,0,1a9e7c6783df7a1d1774a7aa29ae546a376573ae,0,0,0,0,0,
9,20200621,PR,6525,,,71.0,,13.0,,5.0,,,C,6/21/2020 06:30,2020-06-21T06:30:00Z,06/21 02:30,149.0,,2020-06-21T06:30:00Z,61515.0,,,1533.0,72,62,0,6525,6525,62,6525,2,0,4c0ebaab33b6cfbaafe1c7b0cb25ebf3b1021e6a,0,0,0,0,0,
10,20200620,PR,6463,,,83.0,,10.0,,4.0,,,C,6/20/2020 06:30,2020-06-20T06:30:00Z,06/20 02:30,147.0,,2020-06-20T06:30:00Z,61515.0,,,1531.0,72,268,0,6463,6463,268,6463,0,0,1b58d1e40bb835669c9721e4d15191a2691e3aba,0,0,0,0,0,
11,20200619,PR,6195,,,78.0,,7.0,,3.0,,,C,6/19/2020 06:30,2020-06-19T06:30:00Z,06/19 02:30,147.0,,2020-06-19T06:30:00Z,61515.0,,,1499.0,72,84,0,6195,6195,84,6195,0,0,d03792a2481acd3a84063d1b9f05544eeb050818,0,0,0,0,0,
12,20200618,PR,6111,,,73.0,,9.0,,5.0,,,C,6/18/2020 06:30,2020-06-18T06:30:00Z,06/18 02:30,147.0,,2020-06-18T06:30:00Z,61515.0,,,1496.0,72,108,0,6111,6111,108,6111,0,0,7d03c63ec21deb6f2456259a3508fa063438143f,0,0,0,0,0,
13,20200617,PR,6003,,,78.0,,8.0,,1.0,,,C,6/17/2020 06:30,2020-06-17T06:30:00Z,06/17 02:30,147.0,,2020-06-17T06:30:00Z,61515.0,,,1486.0,72,52,0,6003,6003,52,6003,0,0,13facb5cadb073b006aec737d9ca664096a2eb94,0,0,0,0,0,
14,20200616,PR,5951,,,94.0,,9.0,,1.0,,,C,6/16/2020 06:30,2020-06-16T06:30:00Z,06/16 02:30,147.0,,2020-06-16T06:30:00Z,61515.0,,,1479.0,72,61,0,5951,5951,61,5951,0,0,8b8087ca3125079549ba4377a4ccfcdf60f36bae,0,0,0,0,0,
15,20200615,PR,5890,,,104.0,,8.0,,2.0,,,C,6/15/2020 06:30,2020-06-15T06:30:00Z,06/15 02:30,147.0,,2020-06-15T06:30:00Z,61515.0,,,1477.0,72,79,0,5890,5890,79,5890,0,0,8eb23a03c430d5706f2c25b96f82df79eb052f21,0,0,0,0,0,
16,20200614,PR,5811,,,110.0,,6.0,,2.0,,,C,6/14/2020 06:30,2020-06-14T06:30:00Z,06/14 02:30,147.0,,2020-06-14T06:30:00Z,61515.0,,,1471.0,72,121,0,5811,5811,121,5811,1,0,014d820b91388f77a5bd6ee3d2f69d74dbbe3013,0,0,0,0,0,
17,20200613,PR,5690,,,117.0,,4.0,,3.0,,,C,6/13/2020 06:30,2020-06-13T06:30:00Z,06/13 02:30,146.0,,2020-06-13T06:30:00Z,61515.0,,,1460.0,72,154,0,5690,5690,154,5690,0,0,3c5e65868db02ecaebc3c26fc0af37d2e12b36e5,0,0,0,0,0,
18,20200612,PR,5536,,,92.0,,7.0,,4.0,,,C,6/12/2020 06:30,2020-06-12T06:30:00Z,06/12 02:30,146.0,,2020-06-12T06:30:00Z,61515.0,,,1443.0,72,184,0,5536,5536,184,5536,2,0,d4e034ad073ebd0e6736f7ddf2c1670cc177b786,0,0,0,0,0,
19,20200611,PR,5352,,,91.0,,7.0,,4.0,,,C,6/11/2020 06:30,2020-06-11T06:30:00Z,06/11 02:30,144.0,,2020-06-11T06:30:00Z,61515.0,,,1403.0,72,23,0,5352,5352,23,5352,1,0,0c3e80cf734fc54710070079e42506007c4e1469,0,0,0,0,0,
20,20200610,PR,5329,,,97.0,,8.0,,5.0,,,C,6/10/2020 06:30,2020-06-10T06:30:00Z,06/10 02:30,143.0,,2020-06-10T06:30:00Z,61515.0,,,1402.0,72,144,0,5329,5329,144,5329,1,0,1c99436d20e54f5e113ddbf5b275355487dc50a3,0,0,0,0,0,
21,20200609,PR,5185,,,95.0,,9.0,,6.0,,,B,6/9/2020 06:30,2020-06-09T06:30:00Z,06/09 02:30,142.0,,2020-06-09T06:30:00Z,61515.0,,,1386.0,72,139,0,5185,5185,139,5185,0,0,cc81d0a835f1d2143a14ca5a57771d7f2e2584f2,0,0,0,0,0,
22,20200608,PR,5046,,,107.0,,8.0,,7.0,,,B,6/8/2020 05:52,2020-06-08T05:52:00Z,06/08 01:52,142.0,,2020-06-08T05:52:00Z,61515.0,,,1373.0,72,61,0,5046,5046,61,5046,0,0,51a522da5dc89b1d835e897a886893b2a17ff891,0,0,0,0,0,
23,20200607,PR,4985,,,105.0,,6.0,,7.0,,,B,6/7/2020 05:58,2020-06-07T05:58:00Z,06/07 01:58,142.0,,2020-06-07T05:58:00Z,61515.0,,,1364.0,72,70,0,4985,4985,70,4985,0,0,bd9d67ad86ce947704d446ba9ae5a5c7642b99af,0,0,0,0,0,
24,20200606,PR,4915,,,100.0,,7.0,,4.0,,,B,6/6/2020 05:51,2020-06-06T05:51:00Z,06/06 01:51,142.0,,2020-06-06T05:51:00Z,61515.0,,,1360.0,72,295,0,4915,4915,295,4915,1,0,2ad3005b1e6951b76ad4015cbc5d1af7cbf85abf,0,0,0,0,0,
25,20200605,PR,4620,,,116.0,,9.0,,7.0,,,B,6/5/2020 05:51,2020-06-05T05:51:00Z,06/05 01:51,141.0,,2020-06-05T05:51:00Z,61515.0,,,1330.0,72,112,0,4620,4620,112,4620,1,0,272113ef7d54dd0a32e1f880abbed5f537c16b22,0,0,0,0,0,
26,20200604,PR,4508,,,114.0,,15.0,,9.0,,,B,6/4/2020 05:57,2020-06-04T05:57:00Z,06/04 01:57,140.0,,2020-06-04T05:57:00Z,61515.0,,,1322.0,72,485,0,4508,4508,485,4508,0,0,15f15d03e49a5423bbac2cde3b163495cbde05f1,0,0,0,0,0,
27,20200603,PR,4023,,,107.0,,12.0,,7.0,,,B,6/3/2020 05:53,2020-06-03T05:53:00Z,06/03 01:53,140.0,,2020-06-03T05:53:00Z,61515.0,,,1313.0,72,88,0,4023,4023,88,4023,2,0,bce808890e06fdb38ce54f4a67d49582bb983a6e,0,0,0,0,0,
