,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200809,RI,19738,198235,,84.0,2276.0,10.0,,4.0,,1876.0,A+,8/7/2020 12:00,2020-08-07T12:00:00Z,08/07 08:00,1014.0,2276.0,2020-08-07T12:00:00Z,217973,28471,367327,19738,,,44,0,0,217973,217973,0,217973,0,0,ad274dba7b313b0f3deb46b9b3788ab431565599,0,0,0,0,0,
1,20200808,RI,19738,198235,,84.0,2276.0,10.0,,4.0,,1876.0,A+,8/7/2020 12:00,2020-08-07T12:00:00Z,08/07 08:00,1014.0,2276.0,2020-08-07T12:00:00Z,217973,28471,367327,19738,,,44,0,0,217973,217973,0,217973,0,0,df1bac1a5a75a05575f3313b37b18a7cd3efcff6,0,0,0,0,0,
2,20200807,RI,19738,198235,,84.0,2276.0,10.0,,4.0,,1876.0,A+,8/7/2020 12:00,2020-08-07T12:00:00Z,08/07 08:00,1014.0,2276.0,2020-08-07T12:00:00Z,217973,28471,367327,19738,,,44,127,2123,217973,217973,2250,217973,0,12,15025f6cd8e96b79db441d8c27bf2a003f74cad1,0,0,0,0,0,
3,20200806,RI,19611,196112,,83.0,2264.0,11.0,,4.0,,1866.0,A+,8/6/2020 12:00,2020-08-06T12:00:00Z,08/06 08:00,1014.0,2264.0,2020-08-06T12:00:00Z,215723,28299,362179,19611,,,44,130,2058,215723,215723,2188,215723,2,16,4f39395be9f4e1c62345b60094f4aede956b5f6f,0,0,0,0,0,
4,20200805,RI,19481,194054,,79.0,2248.0,14.0,,5.0,,1855.0,A+,8/5/2020 12:00,2020-08-05T12:00:00Z,08/05 08:00,1012.0,2248.0,2020-08-05T12:00:00Z,213535,28145,356757,19481,,,44,91,1491,213535,213535,1582,213535,1,6,0c40eb653739f91287c01824851a36dab8d4993e,0,0,0,0,0,
5,20200804,RI,19390,192563,,80.0,2242.0,14.0,,6.0,,1848.0,A+,8/4/2020 12:00,2020-08-04T12:00:00Z,08/04 08:00,1011.0,2242.0,2020-08-04T12:00:00Z,211953,28029,353449,19390,,,44,144,1743,211953,211953,1887,211953,1,11,7f1d1fef45daaa3696b561e7e3cc74202d790644,0,0,0,0,0,
6,20200803,RI,19246,190820,,80.0,2231.0,14.0,,5.0,,1838.0,A+,8/3/2020 12:00,2020-08-03T12:00:00Z,08/03 08:00,1010.0,2231.0,2020-08-03T12:00:00Z,210066,27878,348793,19246,,,44,224,3826,210066,210066,4050,210066,3,20,1a48fabdcbb68ae8343c5454b59bd88e12078abe,0,0,0,0,0,
7,20200802,RI,19022,186994,,76.0,2211.0,15.0,,5.0,,1823.0,A+,7/31/2020 12:00,2020-07-31T12:00:00Z,07/31 08:00,1007.0,2211.0,2020-07-31T12:00:00Z,206016,27600,337466,19022,,,44,0,0,206016,206016,0,206016,0,0,ca4ebe61d37edcfa728486f7fd55454c1e546a13,0,0,0,0,0,
8,20200801,RI,19022,186994,,76.0,2211.0,15.0,,5.0,,1823.0,A+,7/31/2020 12:00,2020-07-31T12:00:00Z,07/31 08:00,1007.0,2211.0,2020-07-31T12:00:00Z,206016,27600,337466,19022,,,44,0,0,206016,206016,0,206016,0,0,d3ecb3ce56a5a0d45ba58a3809c9c1812499a93a,0,0,0,0,0,
9,20200731,RI,19022,186994,,76.0,2211.0,15.0,,5.0,,1823.0,A+,7/31/2020 12:00,2020-07-31T12:00:00Z,07/31 08:00,1007.0,2211.0,2020-07-31T12:00:00Z,206016,27600,337466,19022,,,44,72,1425,206016,206016,1497,206016,0,9,6f9b2458c3c499d9b8fb8cc49240b45cc608a9d3,0,0,0,0,0,
10,20200730,RI,18950,185569,,77.0,2202.0,13.0,,5.0,,1813.0,A+,7/30/2020 12:00,2020-07-30T12:00:00Z,07/30 08:00,1007.0,2202.0,2020-07-30T12:00:00Z,204519,27495,333452,18950,,,44,150,1904,204519,204519,2054,204519,0,7,88c39121c07655ba9b39fdace29b73976eff60c5,0,0,0,0,0,
11,20200729,RI,18800,183665,,74.0,2195.0,12.0,,6.0,,1810.0,A+,7/29/2020 12:00,2020-07-29T12:00:00Z,07/29 08:00,1007.0,2195.0,2020-07-29T12:00:00Z,202465,27348,328838,18800,,,44,75,1430,202465,202465,1505,202465,2,13,56d8cdd2bbfb70cff1cc40dfd518ee42e8611713,0,0,0,0,0,
12,20200728,RI,18725,182235,,68.0,2182.0,10.0,,7.0,,1803.0,A+,7/28/2020 12:00,2020-07-28T12:00:00Z,07/28 08:00,1005.0,2182.0,2020-07-28T12:00:00Z,200960,27247,325253,18725,,,44,210,4132,200960,200960,4342,200960,1,8,1a04bab968b3ac4349fb6725240c93095e7c454f,0,0,0,0,0,
13,20200727,RI,18515,178103,,71.0,2174.0,8.0,,6.0,,1792.0,A+,7/27/2020 12:00,2020-07-27T12:00:00Z,07/27 08:00,1004.0,2174.0,2020-07-27T12:00:00Z,196618,26961,318691,18515,,,44,291,6299,196618,196618,6590,196618,2,28,2135863d067feeb6669b2e389f8304191fff53ae,0,0,0,0,0,
