,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200711,SC,54699,433391,,1396.0,3398.0,,,,,20956.0,A,7/10/2020 23:59,2020-07-10T23:59:00Z,07/10 19:59,951.0,3398.0,2020-07-10T23:59:00Z,487929.0,68604.0,419325.0,54538.0,940.0,11.0,45,2280,10575,488090,488090,12855,488090,22,0,55f5e848e6da58124d4a52c3f05b7f7aa726829e,0,0,0,0,0,
1,20200710,SC,52419,422816,,1438.0,3398.0,,,,,20956.0,A,7/9/2020 23:59,2020-07-09T23:59:00Z,07/09 19:59,929.0,3398.0,2020-07-09T23:59:00Z,475089.0,65868.0,409221.0,52273.0,922.0,7.0,45,1728,9742,475235,475235,11470,475235,24,308,2bb8b452582c6c61b3867bb520dc9088cfaa1c8f,0,0,0,0,0,
2,20200709,SC,50691,413074,,1433.0,3090.0,,,,,19181.0,A,7/8/2020 23:59,2020-07-08T23:59:00Z,07/08 19:59,905.0,3090.0,2020-07-08T23:59:00Z,463622.0,63683.0,399939.0,50548.0,898.0,7.0,45,1782,8143,463765,463765,9925,463765,21,0,d7d012eeb7ae430358f516a5967ecf53ebe87943,0,0,0,0,0,
3,20200708,SC,48909,404931,,1404.0,3090.0,,,,,19181.0,A,7/7/2020 23:59,2020-07-07T23:59:00Z,07/07 19:59,884.0,3090.0,2020-07-07T23:59:00Z,453701.0,61473.0,392228.0,48770.0,876.0,8.0,45,1557,6992,453840,453840,8549,453840,38,0,307b4bc4cce1618975c4d2eb68cd02696c46e676,0,0,0,0,0,
4,20200707,SC,47352,397939,,1324.0,3090.0,,,,,19181.0,A,7/6/2020 23:59,2020-07-06T23:59:00Z,07/06 19:59,846.0,3090.0,2020-07-06T23:59:00Z,445153.0,59596.0,385557.0,47214.0,838.0,8.0,45,972,4462,445291,445291,5434,445291,19,208,aeb99999b75f1f73441a69e72a7c8c3bbe774f18,0,0,0,0,0,
5,20200706,SC,46380,393477,,1260.0,2882.0,,,,,16994.0,A,7/5/2020 23:59,2020-07-05T23:59:00Z,07/05 19:59,827.0,2882.0,2020-07-05T23:59:00Z,439724.0,58296.0,381428.0,46247.0,819.0,8.0,45,1533,7515,439857,439857,9048,439857,7,0,8a06d5cee0904fec9cad13e2ed3dd5bcfe490ade,0,0,0,0,0,
6,20200705,SC,44847,385962,,1251.0,2882.0,,,,,16994.0,A,7/4/2020 23:59,2020-07-04T23:59:00Z,07/04 19:59,820.0,2882.0,2020-07-04T23:59:00Z,430679.0,56567.0,374112.0,44717.0,813.0,7.0,45,1461,8655,430809,430809,10116,430809,7,0,90caf8a0bf8ad14c3e002518ebd61a3f635eb0be,0,0,0,0,0,
7,20200704,SC,43386,377307,,1190.0,2882.0,,,,,16994.0,A,7/3/2020 23:59,2020-07-03T23:59:00Z,07/03 19:59,813.0,2882.0,2020-07-03T23:59:00Z,420567.0,54851.0,365716.0,43260.0,806.0,7.0,45,1854,9807,420693,420693,11661,420693,20,0,6ed5a311908e72a342ee0e8353be802b4f4f3529,0,0,0,0,0,
8,20200703,SC,41532,367500,,1148.0,2882.0,,,,,16994.0,A,7/2/2020 23:59,2020-07-02T23:59:00Z,07/02 19:59,793.0,2882.0,2020-07-02T23:59:00Z,408913.0,52487.0,356426.0,41413.0,787.0,6.0,45,1831,5800,409032,409032,7631,409032,9,28,8d7e78081d9c56faf6b3e0b2ae02b8a7d761c218,0,0,0,0,0,
9,20200702,SC,39701,361700,,1125.0,2854.0,,,,,15471.0,A,7/2/2020 14:00,2020-07-02T14:00:00Z,07/02 10:00,784.0,2854.0,2020-07-02T14:00:00Z,401287.0,50746.0,350541.0,39587.0,777.0,7.0,45,1782,9747,401401,401401,11529,401401,18,0,4e29a401248eecf8badf0eaedf172d1f21879c60,0,0,0,0,0,
