Rows B-O were collected automatically up to 7/16; rows P-AC are manually collected ,Restaurants (outdoor dining only),Restaurants and bars,Dine-in Restaurants (no bars),Retail (curbside pickup only),Retail,Hair Salons and Barbershops,Non-hair Personal Care,Gyms & Fitness Centers,Entertainment,Houses of Worship,Office Environments,Construction,Beaches,State Parks,Restaurants (outdoor dining only),Restaurants and bars,Dine-in Restaurants (no bars),Retail (curbside pickup only),Retail,Hair Salons and Barbershops,Non-hair Personal Care,Gyms & Fitness Centers,Entertainment,Houses of Worship,Office Environments,Construction,Beaches,State Parks,,,Outdoor Recreation
Alabama,,0511,0511,,0501,,,0511,0522,0627,,,0501,,,5/11,5/11,,5/1/20,,5/11,5/11,5/22,6/27/2020,,,,,,,5/1
Alaska,,0508,0501,,0501,0501,0501,0507,0509,0625,,,,,,5/8,5/1,,5/1,5/1,5/6,5/7,5/8,6/25,,,,,,,5/7
Arizona,,,0511,0504 0515,0508,0508,,0514 0630,,0627,,,,,,,,,,,,,,,,,,,,,
Arkansas,,0526,0511,,0627,0506,0506,0504,0518,0627,,,,0501,,,5/11,,6/27,5/6,5/6,,5/18,6/27,,,,5/1,,,5/1
California,0715,0612 0630 0703 0715,0514 0715,0508 0526,0526,0527,0622,0612,0612,0526,0514,,,,,,,,,,,,,,,,,,,,
Colorado,,0622 0702,0527,0501 0519,0519,,,0608,,0627,0504,,,0514,,,,,,,,,,,,,,,,,
Connecticut,0520 0617,,0617,,0520,0601,0617,0617,0617,0627,0520,,0522,0709,,,,,,,,,,,,,,,,,
Delaware,,0601,0601,0508 0522,0520,0508,0601,0601,,0627,,,0522,0625,,,,,,,,,,,,,,,,,
District of Columbia,0529 0622,,0622,0529 0622,0520 0529 0622,0529,0622,0622,,0625,,,,,,,,,,,,,,,,,,,,,
Florida,,0605 0627,0504,,0504,,0605,0518,0605,0512 0626 0627,,,0507,,,,,,,,,,,,,,,,,,
Georgia,,0601,0501,,0626,0501,,0501,0501,0627,,,,,,,,,,,,,,,,,,,,,
