Alabama,,
Alaska,5/12,
Arizona,,
Arkansas,,
California,,
Colorado,7/14,
Connecticut,,
Delaware,,
District of Columbia,,
Florida,6/19,
Georgia,,
Hawaii,,
Idaho,5/8,
Illinois,5/8,
Indiana,5/8,
Iowa,,
Kansas,,
Kentucky,5/22,
Louisiana,5/8,
Maine,5/12,
Maryland,5/15,
Massachusetts,5/14,
Michigan,,
Minnesota,,
Mississippi,,
Missouri,,
Montana,5/8,
Nebraska,5/8,
Nevada,,
New Hampshire,,
New Jersey,,
New Mexico,,
New York,,
North Carolina,,
North Dakota,,
Ohio,,
Oklahoma,5/8,
Oregon,,
Pennsylvania,,
Rhode Island,5/23,
South Carolina,,
South Dakota,,
Tennessee,,
Texas,,
Utah,5/8,
Vermont,,
Virginia,,
Washington,,
West Virginia,,
Wisconsin,5/8,
Wyoming,,
