,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,TN,128511,1659210.0,,1312.0,5648.0,426.0,,191.0,,89151.0,A,8/13/2020 15:00,2020-08-13T15:00:00Z,08/13 11:00,1313.0,5648.0,2020-08-13T15:00:00Z,1785646.0,151925.0,1633721.0,126436.0,1273.0,40.0,,,,,,,,,,,,,47,2118,25911,1787721,1787721,28029,1787721,24,94,4bc647a35c1f15ea2e52ed59632588ad12be9e6d,0,0,0,0,0,
1,20200812,TN,126393,1633299.0,,1295.0,5554.0,428.0,,185.0,,87290.0,A,8/12/2020 15:00,2020-08-12T15:00:00Z,08/12 11:00,1289.0,5554.0,2020-08-12T15:00:00Z,1757690.0,149367.0,1608323.0,124391.0,1249.0,40.0,,,,,,,,,,,,,47,1478,17430,1759692,1759692,18908,1759692,18,90,3682db469f3c9b2aca7e40a2d7c40a76b027aa90,0,0,0,0,0,
2,20200811,TN,124915,1615869.0,,1378.0,5464.0,,,,,85313.0,A,8/11/2020 15:00,2020-08-11T15:00:00Z,08/11 11:00,1271.0,5464.0,2020-08-11T15:00:00Z,1738875.0,147566.0,1591309.0,123006.0,1232.0,39.0,,,,,,,,,,,,,47,1001,11876,1740784,1740784,12877,1740784,38,125,5d63587a12345d04c2328289bbcf1897032b2728,0,0,0,0,0,
3,20200810,TN,123914,1603993.0,,1167.0,5339.0,,,,,83170.0,A,8/10/2020 15:00,2020-08-10T15:00:00Z,08/10 11:00,1233.0,5339.0,2020-08-10T15:00:00Z,1726090.0,146416.0,1579674.0,122097.0,1194.0,39.0,,,,,,,,,,,,,47,1202,13585,1727907,1727907,14787,1727907,10,35,8915500f091a2cdc10a076771033d4d4666ec08f,0,0,0,0,0,
4,20200809,TN,122712,1590408.0,,1290.0,5304.0,,,,,80997.0,A,8/9/2020 15:00,2020-08-09T15:00:00Z,08/09 11:00,1223.0,5304.0,2020-08-09T15:00:00Z,1711319.0,144931.0,1566388.0,120911.0,1184.0,39.0,,,,,,,,,,,,,47,2127,25507,1713120,1713120,27634,1713120,8,42,0721b4caca20ea804b03c8b6a81cedab3b53eac7,0,0,0,0,0,
5,20200808,TN,120585,1564901.0,,1393.0,5262.0,,,,,80340.0,A,8/8/2020 15:00,2020-08-08T15:00:00Z,08/08 11:00,1215.0,5262.0,2020-08-08T15:00:00Z,1683722.0,142450.0,1541272.0,118821.0,1176.0,39.0,,,,,,,,,,,,,47,1803,21651,1685486,1685486,23454,1685486,9,72,9a3022c93b5252cf3505093128d1d954b5baf13f,0,0,0,0,0,
6,20200807,TN,118782,1543250.0,,1406.0,5190.0,,,,,79357.0,A,8/7/2020 15:00,2020-08-07T15:00:00Z,08/07 11:00,1206.0,5190.0,2020-08-07T15:00:00Z,1660337.0,140166.0,1520171.0,117087.0,1167.0,39.0,,,,,,,,,,,,,47,2432,24409,1662032,1662032,26841,1662032,20,81,af78b5826ebe9f5e7e4cf9668c89ca037efd9c96,0,0,0,0,0,
7,20200806,TN,116350,1518841.0,,1497.0,5109.0,,,,,77558.0,A,8/6/2020 15:00,2020-08-06T15:00:00Z,08/06 11:00,1186.0,5109.0,2020-08-06T15:00:00Z,1633642.0,137277.0,1496365.0,114801.0,1147.0,39.0,,,,,,,,,,,,,47,2252,20894,1635191,1635191,23146,1635191,42,108,7915ee6313e81dec6727a28b11f0bb9fb43ff264,0,0,0,0,0,
8,20200805,TN,114098,1497947.0,,1448.0,5001.0,,,,,75550.0,A,8/4/2020 15:00,2020-08-04T15:00:00Z,08/04 11:00,1144.0,5001.0,2020-08-04T15:00:00Z,1610604.0,134738.0,1475866.0,112657.0,1104.0,40.0,,,,,,,,,,,,,47,1657,17738,1612045,1612045,19395,1612045,27,101,d2c8b99eddddb5a9fe8a53c74ba67d0ba74b5fc0,0,0,0,0,0,
9,20200804,TN,112441,1480209.0,,1433.0,4900.0,,,,,73259.0,A,8/4/2020 15:00,2020-08-04T15:00:00Z,08/04 11:00,1117.0,4900.0,2020-08-04T15:00:00Z,1591310.0,132703.0,1458607.0,111101.0,1079.0,38.0,,,,,,,,,,,,,47,1805,16312,1592650,1592650,18117,1592650,25,92,7659769e1d366c7461a29cc188d1ef348563a1d4,0,0,0,0,0,
